assay_class_id,l1,l2,l3,class_type,bao_id,source
562,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Hypothalamic Hormones,In Vivo Bioassay of CRH (Corticotropin-Releasing Hormone) Activity,In vivo efficacy,,Vogel_2008
563,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Hypothalamic Hormones,Induction of Superovulation in Immature Rats ,In vivo efficacy,,Vogel_2008
564,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Hypothalamic Hormones,Inhibition of Experimentally Induced Endometriosis,In vivo efficacy,,Vogel_2008
565,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Hypothalamic Hormones,LH (Luteinizing Hormone) Release in the Ovariectomized Estrogen Progesterone Blocked Rat,In vivo efficacy,,Vogel_2008
566,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Hypothalamic Hormones,Measurement of Ascorbic Acid Depletion in Ovaries of Pseudopregnant Rats,In vivo efficacy,,Vogel_2008
567,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Hypothalamic Hormones,Progesterone Production in Pseudopregnant Rats,In vivo efficacy,,Vogel_2008
568,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Hypothalamic Hormones,Release of [131]I from Thyroid Glands of Mice for Thyrotropin-Releasing Hormone (TRH),In vivo efficacy,,Vogel_2008
569,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Hypothalamic Hormones,TSH and Prolactin Release by Thyrotropin-Releasing Hormone (TRH) in Rats,In vivo efficacy,,Vogel_2008
570,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Hypothalamic Hormones,Testosterone Suppression in Rats by LH-RH (Luteinizing Hormone Releasing Hormone) Antagonists,In vivo efficacy,,Vogel_2008
571,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Parathyroid Hormone,"Bone Anabolic Activity in Ovariectomized, Osteopenic Rats",In vivo efficacy,,Vogel_2008
572,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Parathyroid Hormone,Parathyroid Hormone (PTH) Assay by Serum Calcium Increase,In vivo efficacy,,Vogel_2008
573,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Parathyroid Hormone,Serum Phosphate Decrease After PTH,In vivo efficacy,,Vogel_2008
574,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Posterior Pituitary Hormones,Anti-Diuretic Activity in the Conscious Rat,In vivo efficacy,,Vogel_2008
575,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Posterior Pituitary Hormones,Anti-Diuretic Activity in the Rat in Ethanol Anesthesia,In vivo efficacy,,Vogel_2008
576,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Posterior Pituitary Hormones,Milk Ejection in the Lactating Rabbit or Rat for Oxytocin,In vivo efficacy,,Vogel_2008
577,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Posterior Pituitary Hormones,Oxytocin Receptor Determination,In vivo efficacy,,Hock_2016
578,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Posterior Pituitary Hormones,Vasopressor Activity,In vivo efficacy,,Vogel_2008
579,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Thyroid Hormones,Anti-Goitrogenic Activity,In vivo efficacy,,Vogel_2008
580,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Thyroid Hormones,Decrease of Serum Calcium in Rats by Calcitonin,In vivo efficacy,,Vogel_2008
581,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Thyroid Hormones,Inhibition of Iodine Release for Thyroid Hormones,In vivo efficacy,,Vogel_2008
582,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Thyroid Hormones,Inhibition of Iodine Uptake in Rats,In vivo efficacy,,Vogel_2008
583,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Thyroid Hormones,Oxygen Consumption for Thyroid Hormones,In vivo efficacy,,Vogel_2008
584,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Thyroid Hormones,"Tensile Strength of Connective Tissue in Rats, Modified for Thyroid Hormones",In vivo efficacy,,Vogel_2008
