patent_use_code,definition
U-569,METHOD OF USING FSH ALONE (WITHOUT EXOGENOUS LH) IN IN VITRO FERTILIZATION AND WHEREIN THEREAFTER AN OVULATORY INDUCING AMOUNT OF HCG IS ADMINISTERED
U-57,OPHTHALMIC USE OF NORFLOXACIN
U-570,METHOD OF USING FSH ALONE (WITHOUT EXOGENOUS LH) IN IN VITRO FERTILIZATION AND WHEREIN THE DAILY AMOUNT OF FSH IS ABOUT 5-10 IU/KG
U-571,TREATMENT OF AGITATION ASSOCIATED WITH SCHIZOPHRENIA AND BIPOLAR I MANIA
U-572,INTENSIVE CARE UNIT SEDATION
U-573,TREATMENT OF ACUTE PROMYELOGENOUS LEUKEMIA (APL)
U-574,PROPHYLAXIS AND TREATMENT OF THE NASAL SYMPTOMS OF SEASONAL ALLERGIC RHINITIS AND TREATMENT OF THE NASAL SYMPTOMS OF PERENNIAL ALLERGIC RHINITIS IN ADULTS AND PEDIATRIC PATIENTS 12 YEARS OF AGE AND OLDER
U-575,"LOTEMAX OPHTHALMIC SUSPENSION IS INDICATED FOR THE TREATMENT OF STEROID RESPONSIVE CONDITIONS OF THE PALPEBRAL BULBAR CONJUNCTIVA, CORNEA AND ANTERIOR SEGMENT OF THE GLOBE."
U-576,ALREX OPHTHALMIC SUSPENSION IS INDICATED FOR THE TEMPORARY RELIEF OF THE SIGNS AND SYMPTOMS OF SEASONAL ALLERGIC CONJUNCTIVITIS.
U-577,TREATMENT OF BENIGN PROSTATIC HYPERPLASIA WITH FINASTERIDE IN COMBINATION WITH DOXAZOSIN
U-578,"TREATMENT OF COMMUNITY ACQUIRED PNEUMONIA, ACUTE EXACERBATION OF CHRONIC BRONCHITIS, AND ACUTE BACTERIAL SINUSITIS CAUSED BY SUSCEPTIBLE STRAINS OF DESIGNATED MICROORGANISMS IN PATIENTS 18 YEARS AND OLDER."
U-579,TREATMENT OF EPILEPSY AND/OR MIGRAINE.
U-58,METHOD OF TREATING INFLAMMATORY INTESTINAL DISEASES
U-580,TREATMENT OF DISORDERS OF THE SEROTONERGIC SYSTEM SUCH AS DEPRESSION AND ANXIETY-RELATED DISORDERS
U-581,"METHOD OF TREATING A CONDITION CAPABLE OF TREATMENT BY INHALATION, E.G. ASTHMA, COMPRISING ADMINISTRATION OF A FORMULATION CLAIMED IN US PATENT NO. 6743413"
U-582,"METHOD FOR THE TREATMENT OF A RESPIRATORY DISORDER, E.G. ASTHMA, COMPRISING ADMINISTERING AN EFFECTIVE AMOUNT OF AN AEROSOL COMPOSITION TO A PATIENT FROM A METERED DOSE INHALER SYSTEM AS CLAIMED IN US PATENT NO. 6253762"
U-583,"METHOD FOR THE TREATMENT OF A RESPIRATORY DISORDER, E.G. ASTHMA, COMPRISING ADMINISTERING TO A PATIENT BY INHALATION, A METERED AEROSOL DOSE OF A DRUG FORMULATION FROM THE METERED DOSE INHALER SYSTEM CLAIMED IN US 6546928"
U-584,"SINGLE-DOSE ADMINISTRATION BY THE EPIDURAL ROUTE, AT THE LUMBAR LEVEL, FOR THE TREATMENT OF PAIN FOLLOWING MAJOR SURGERY"
U-585,TO PROMOTE WEIGHT GAIN AFTER WEIGHT LOSS IN CERTAIN TYPES OF PATIENTS
U-586,AN INTERMEDIATE RELEASE NICOTINIC ACID FORMULATION SUITABLE FOR ORAL ADMINISTRATION ONCE-A-DAY AS A SINGLE DOSE FOR TREATING HYPERLIPIDEMIA WITHOUT CAUSING DRUG-INDUCED HEPATOTOXICITY OR ELEVATIONS IN URIC ACID OR GLUCOSE OR BOTH
U-587,USE OF EPLERENONE IN COMBINATION WITH AN ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITOR (AND OPTIONALLY A DIURETIC) FOR TREATING CONGESTIVE HEART FAILURE AND HYPERTENSION
U-588,SHORT-TERM TREATMENT OF ACTIVE DUODENAL ULCER; TREATMENT OF HEARTBURN AND OTHER SYMPTOMS ASSOCIATED WITH GERD; SHORT-TERM TREATMENT OF EROSIVE ESOPHAGITIS; MAINTENANCE OF HEALING OF EROSIVE ESOPHAGITIS
U-589,"METHOD FOR TREATMENT OF A RESPIRATORY DISORDER, E.G., BRONCHOSPASM, COMPRISING ADMINISTERING AN EFFECTIVE AMOUNT OF AN AEROSOL COMPOSITION TO A PATIENT FROM A METERED DOSE INHALER SYSTEM AS CLAIMED IN U.S. PATENT NO. 6131966"
U-59,METHOD OF TREATING HYPERCHOLESTEROLEMIA
U-590,"METHOD FOR TREATMENT OF A RESPIRATORY DISORDER,E.G.,BRONCHOSPASM,COMPRISING ADMINISTERING TO A PATIENT BY ORAL OR NASAL INHALATION A DRUG FORMULATION BY USING THE METERED DOSE INHALER SYSTEM AS CLAIMED IN US PATENT NO.6532955"
U-591,TREATMENT OF ATTENTION DEFICIT HYPERACTIVITY DISORDER USING A DOSAGE FORM WHICH PROVIDES ONCE-DAILY ORAL ADMINISTRATION OF A PHENIDATE DRUG
U-592,"TREATMENT OF PRIMARY HYPERCHOLESTEROLEMIA, MIXED HYPERLIPIDEMIA AND/OR HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA (HOFH)"
U-593,"TREATMENT OF PRIMARY HYPERCHOLESTEROLEMIA, MIXED HYPERLIPIDEMIA AND/OR HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA (HOFH)"
U-594,PREVENTION OF POSTMENOPAUSAL OSTEOPOROSIS
U-595,35 MG ORALLY ONCE A WEEK FOR PREVENTION OF OSTEOPOROSIS IN POSTMENOPAUSAL WOMEN; 35 MG ORALLY ONCE A WEEK FOR TREATMENT OF OSTEOPOROSIS IN POSTMENOPAUSAL WOMEN
U-596,TREATMENT OF HORMONE RECEPTOR POSITIVE METASTATIC BREAST CANCER IN POSTMENOPAUSAL WOMEN WITH DISEASE PROGRESSION FOLLOWING ANTIESTROGEN THERAPY
U-597,FORTEO IS INDICATED FOR THE TREATMENT OF POST MENOPAUSAL WOMEN WITH OSTEOPOROSIS WHO ARE AT HIGH RISK FOR FRACTURE
U-598,PROPHYLACTIC TREATMENT OF MIGRAINE
U-599,METHOD FOR TREATING ALLERGIC CONJUNCTIVITIS
U-6,METHOD OF PRODUCING SYMPATHOMIMETIC EFFECTS
U-60,NASAL ADMINISTRATION OF BUTORPHANOL
U-600,A METHOD OF TREATING A PATIENT IN NEED OF OPHTHALMIC ANTIMICROBIAL THERAPY WITH LEVOFLOXACIN
U-601,TREATMENT OF BIPOLAR DISORDER
U-602,"SIGNS AND SYMPTOMS OF OSTEOARTHRITIS, RHEUMATOID ARTHRITIS IN ADULTS, AND/OR PAUCIARTICULAR OR POLYARTICULAR COURSE JUVENILE RHEUMATOID ARTHRITIS, ACUTE PAIN IN ADULTS; PRIMARY DYSMENORRHEA; AND/OR ACUTE MIGRAINE ATTACKS IN ADULTS"
U-603,METHOD OF TREATING INFECTIONS COMPRISING ORALLY ADMINISTERING AN EFFECTIVE AMOUNT OF THE FDA APPROVED ORAL SUSPENSION
U-604,METHOD OF LOWERING BLOOD GLUCOSE BY ONCE DAILY ADMINISTRATION
U-605,"TREATMENT OF MAJOR DEPRESSIVE DISORDER(MDD);ALTHOUGH THE MEHCHANISM OF THE ANTIDEPRESSANT ACTION OF DULOXETINE IN HUMANS IS UNKNOWN, IT IS BELIEVED TO BE RELATED TO ITS POTENTIATION OF SERATONERGIC AND NORADRENERGIC ACTIVITY IN THE CNS"
U-606,USE OF IRINOTECAN IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN FOR THE TREATMENT OF METASTATIC COLORECTAL CANCER
U-607,"CANCIDAS IS INDICATED FOR EMPIRICAL THERAPY FOR PRESUMED FUNGAL INFECTIONS IN FEBRILE, NEUTROPENIC PATIENTS."
U-608,USE OF QUINOLONE COMPOUNDS AGAINST PNEUMOCOCCAL PATHOGENIC BACTERIA
U-609,USE OF QUINOLONE COMPOUNDS AGAINST QUINOLONE-RESISTANT PNEUMOCOCCAL PATHOGENIC BACTERIA
U-61,CEREBRAL AND PERIPHERAL ARTERIOGRAPHY AND CT IMAGING OF THE HEAD
U-610,"ATROVENT HFA (IPRATROPIUM BROMIDE HFA) INHALATION AEROSOL IS INDICATED AS A BRONCHODILATOR FOR MAINTENANCE TREATMENT OF BRONCHOSPASM ASSOCIATED WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE, INCLUDING CHRONIC BRONCHITIS AND EMPHYSEMA."
U-611,"METHOD OF USING DESLORATADINE TO TREAT SEASONAL AND PERENNIAL ALLERGIC RHINITIS, PRURITIS, AND CHRONIC IDIOPATHIC URTICARIA IN PATIENTS 2 YEARS OF AGE AND OLDER"
U-612,TREATMENT OF SEASONAL ALLERGY SYMPTOMS WITH NASAL CONGESTION IN ADULTS AND CHILDREN 12 YEARS OF AGE AND OLDER
U-613,REDUCTION OF SERUM PHOSPHATE
U-614,TREATMENT OF SEXUAL DYSFUNCTION
U-615,"ADJUNCTIVE THERAPY TO DIET IN ADULTS TO REDUCE LDL-C, TOTAL-C, TRIGLYCERIDES AND APO B, AND INCREASE HDL-C IN PATIENTS WITH PRIMARY HYPERCHOLESTEROLEMIA OR MIXED DYSLIPIDEMIA (TYPES IIA, IIB) AND TO TREAT HYPERTRIGLYCERIDEMIA (TYPES IV, V)"
U-616,"MANAGEMENT OF PERSISTENT, MODERATE TO SEVERE PAIN IN PATIENTS REQUIRING CONTINUOUS, AROUND-THE-CLOCK ANALGESIA WITH A HIGH POTENCY OPIOID FOR AN EXTENDED PERIOD OF TIME GENERALLY WEEKS TO MONTHS OR LONGER"
U-617,TREATMENT OF ACUTE PROMYELOGENOUS LEUKEMIA (APL)
U-618,"USE OF ROSUVASTATIN CALCIUM TO REDUCE ELEVATED TOTAL-C, LDL-C, APOB, NONHDL-C OR TG LEVELS; TO INCREASE HDL-C IN ADULT PATIENTS WITH PRIMARY HYPERLIPIDEMIA OR MIXED DYSLIPIDEMIA; AND TO SLOW THE PROGRESSION OF ATHEROSCLEROSIS."
U-619,TREATMENT OF MALIGNANT NEOPLASM
U-62,"CORONARY ARTERIOGRAPHY, LEFT VENTRICULOGRAPHY, CT IMAGING OF THE BODY, INTRAVENOUS EXCRETORY UROGRAPHY, INTRAVENOUS DIGITAL SUBTRACTION ANGIOGRAPHY AND VENOGRAPHY"
U-620,TREATMENT OF INSOMNIA
U-621,METHOD OF TREATING CANCER
U-622,TREATMENT OF VEGF MEDIATED OCULAR DISEASE.
U-623,SHORT TERM TREATMENT OF ACTIVE BENIGN GASTRIC ULCER
U-624,REDUCTION OF RISK OF UPPER GASTROINTESTINAL BLEEDING IN CRITICALLY ILL PATIENTS
U-625,ALLERGIC RHINITIS OR NASAL POLYPS
U-626,CLOLAR IS INDICATED FOR THE TREATMENT OF PEDIATRIC PATIENTS 1 TO 21 YEARS OLD WITH RELAPSED OR REFRACTORY ACUTE LYMPHOBLASTIC LEUKEMIA AFTER AT LEAST TWO PRIOR REGIMENS
U-627,TREATMENT OF PATIENTS USING EXTENDED-RELEASE CARBAMAZEPINE
U-628,"USE OF AVANDIA IN COMBINATION WITH A SULFONYLUREA, AND IN COMBINATION WITH METFORMIN AND A SULFONYLUREA TO IMPROVE GLYCEMIC CONTROL IN PATIENTS WITH TYPE 2 DIABETES MELLITUS"
U-629,METHOD OF INDUCING A HYPNOTIC OR SEDATIVE EFFECT IN A HUMAN BY ADMINISTERING ESZOPICLONE
U-63,ISOPRENALINE ANTAGONISM ON THE HEART RATE OR BLOOD PRESSURE
U-630,TREATING URINARY INCONTINENCE BY ADMINISTERING AN EXTENDED-RELEASE FORM OF DARIFENACIN
U-631,TREATING A DISEASE OF ALTERED MOTILITY OR TONE OF SMOOTH MUSCLE BY ADMINISTERING A MUSCARINIC RECEPTOR ANTAGONIZING AMOUNT OF DARIFENACIN
U-632,METHOD OF TREATMENT OF CANCER BY ADMINISTERING PARTICLES OF PACLITAXEL THAT HAVE A PROTEIN COATING
U-633,METHOD FOR TREATMENT OF TUMORS BY ADMINISTERING PACLITAXEL AT A DOSE IN THE RANGE OF ABOUT 30MG/METER SQUARE TO ABOUT 100MG/METER SQUARE IN A PHARMACEUTICALLY ACCEPTABLE FORMULATION THAT DOES NOT CONTAIN CREMOPHOR
U-634,METHOD FOR DELIVERY OF A BIOLOGIC (INCLUDING ANTINEOPLASTIC AGENTS) BY ADMINISTERING TO A PATIENT AN EFFECTIVE AMOUNT OF A BIOLOGIC AS A SOLID OR LIQUID WITH A POLYMERIC BIOCOMPATIBLE MATERIAL
U-635,"TREATMENT OF GERD, MAINTENANCE OF HEALING OF EROSIVE ESOPHAGITIS AND RISK REDUCTION OF NSAID ASSOCIATED GASTRIC ULCERS"
U-636,TREATMENT OR PREVENTION OF BRONCHOSPASM OR ASTHMATIC SYMPTOMS
U-637,TREATMENT OF DIABETES WITH AN AMYLIN AGONIST
U-638,"TREATMENT OF DIABETES WITH AN AMYLIN AGONIST, INCLUDING WITH INSULIN"
U-639,TREATMENT OF A MAMMAL HAVING A NEED OF OR REDUCED ABILITY TO PRODUCE INSULIN WITH AN INSULIN AND AN AMYLIN SUCH AS PRAMLINTIDE
U-64,TREATMENT OF VIRAL INFECTIONS
U-640,USE OF AN AMYLIN AGONIST TO REDUCE GASTRIC MOTILITY AND TREAT POST PRANDIAL HYPERGYLCEMIA
U-641,"USE OF AN AMYLIN AGONIST HAVING SPECIFIED BINDING ACTIVITY TO REDUCE GASTRIC MOTILITY, INCLUDING USE THROUGH PARENTERAL ADMINISTRATION"
U-642,TREATMENT AND PREVENTION OF OSTEOPOROSIS
U-643,THE SHORT TERM TREATMENT (UP TO 10 DAYS) IN PTS HAVING GASTROESOPHAGEAL REFLUX DISEASE (GERD) AS AN ALTERNATIVE TO ORAL THERAPY IN PTS WHEN THERAPY WITH NEXIUM CAPSULES IS NOT POSSIBLE OR APPROPRIATE
U-644,TREATMENT OF SEASONAL ALLERGIC RHINITIS
U-645,TREATMENT OF ASTHMA
U-646,METHOD OF TREATING OTITIS
U-647,TREATMENT OF OSTEOPOROSIS IN POST MENOPAUSAL WOMEN AND/OR THE TREATMENT TO INCREASE BONE MASS IN MEN WITH OSTEOPOROSIS
U-648,THE TREATMENT OF OSTEOPOROSIS IN POSTMENOPAUSAL WOMEN AND/OR THE TREATMENT TO INCREASE BONE MASS IN MEN
U-649,A METHOD FOR TREATING A TUMOR DISEASE
U-65,METHOD OF TREATMENT OF A PATIENT INFECTED WITH HIV
U-650,TREATMENT OF ESOPHAGEAL CANDIDIASIS AND PROPHYLAXIS OF CANDIDA INFECTIONS IN HSCT PATIENTS
U-651,TREATMENT OF ACUTE PROMYELOCYTIC LEUKEMIA (APL)
U-652,TREATMENT OF CARDIAC ARRHYTHMIA
U-653,STIMULATING INSULIN RELEASE BY ADMINISTERING EXENATIDE
U-654,"LOWERING PLASMA GLUCAGON IN A SUBJECT IN NEED THEREOF, INCLUDING ONE WITH TYPE 2 DIABETES, BY ADMINISTERING AN EXENDIN OR ANALOG, SUCH AS EXENDIN-4"
U-655,TREATMENT OF MILD TO MODERATE ACTIVE CHROHN'S DISEASE INVOLVING THE ILEUM AND/OR THE ASCENDING COLON AND THE MAINTENANCE OF CLINICAL REMISSION OF MILD TO MODERATE CROHN'S DISEASE INVOLVING THE ILEUM AND/OR ASCENDING COLON FOR UP TO 3 MONTHS
U-656,"REDUCING GASTRIC MOTILITY OR DELAYING GASTRIC EMPTYING BY ADMINISTERING AN EXENDIN, SUCH AS EXENDIN-4"
U-657,PREVENTION OF OSTEOPOROSIS IN POSTMENOPAUSAL WOMEN
U-658,TREATMENT OF ADVANCED HORMONE-DEPENDENT BREAST CANCER
U-659,TREATMENT OF LOCALLY ADVANCED OR METASTATIC NON SMALL-CELL LUNG CANCER (NSCLC) AFTER FAILURE OF AT LEAST ONE PRIOR CHEMOTHERAPY REGIMEN
U-66,TRIPHASIC REGIMEN
U-660,TREATMENT OF HYPERTENSION AND TREATMENT OF HEART FAILURE
U-661,TREATMENT OF SEIZURE DISORDER
U-662,TREATMENT OF OSTEOPOROSIS IN POSTMENOPAUSAL WOMEN
U-663,THE TREATMENT OF UNCOMPLICATED URINARY TRACT INFECTIONS
U-664,"TREATMENT OF CONDITIONS FOR WHICH AN ALDOSTERONE RECEPTOR BLOCKER IS INDICATED, SUCH AS HYPERTENSION, HEART FAILURE, AND POST-MYOCARDIAL INFARCTION"
U-665,METHOD OF USING THE DRUG SUBSTANCE/DRUG PRODUCT FOR ULTRASOUND IMAGING
U-666,METHOD OF TREATING ADHD
U-667,MANAGEMENT OF INCONTINENCE; METHOD FOR TREATING INCONTINENCE
U-668,LEVEMIR IS A LONG-ACTING BASAL INSULIN ANALOG THAT IS INDICATED IN THE TREATMENT OF PATIENTS WITH DIABETES MELLITUS
U-669,INDICATION OF TYPE II DIABETES
U-67,METHOD OF INDUCING ANESTHESIA IN A WARM BLOODED ANIMAL
U-670,TREATMENT OF HIV-1 INFECTION BY THE CO-ADMINISTRATION OF TIPRANAVIR AND RITONAVIR.
U-671,PREVENTION AND TREATMENT OF SECONDARY HYPERPARATHYROIDISM ASSOCIATED WITH CHRONIC KIDNEY DISEASE (CKD) STAGE 3 AND 4
U-672,TREATMENT OF INFLAMMATION OR AN INFLAMMATION-ASSOCIATED DISORDER
U-673,METHOD OF TREATMENT WITH ONCE-DAILY DOSES OF 625MG/5ML
U-674,METHOD OF TREATING INSOMNIA CHARACTERIZED BY DIFFICULTY WITH SLEEP ONSET
U-675,PROPHYLAXIS AND CHRONIC TREATMENT OF ASTHMA; RELIEF OF SYMPTOMS OF ALLERGIC RHINITIS
U-676,METHOD OF TREATING ATTENTION DEFICIT DISORDER USING ORAL ADMINISTRATION OF A BI-MODAL OR PULSATILE RELEASE COMPOSITION
U-677,A METHOD OF TREATING DISEASE AMENABLE TO TREATMENT WITH A PHENIDATE DRUG BY ONCE DAILY ORAL ADMINISTRATION OF AN EXTENDED RELEASE DOSAGE FORM
U-678,METHOD OF TREATING ATTENTION DEFICIT DISORDER AND/OR ATTENTION DEFICIT HYPERACTIVITY DISORDER
U-679,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN PATIENTS WITH TYPE 2 DIABETES WHO ARE ALREADY TREATED WITH A PIOGLITAZONE AND METFORMIN
U-68,TREATMENT OF ACTINIC KERATOSIS
U-680,A METHOD OF TREATING DYSLIPIDEMIA AND DYSLIPOPROTEINEMIA USING A DOSAGE FORM THAT CAN PROVIDE AN EFFECTIVE AMOUNT OF FENOFIBRATE TO A PATIENT IN A FASTED STATE WHICH IS AT LEAST 90% OF THE AUC AMOUNT PROVIDED BY THE DOSAGE FORM
U-681,TREATMENT OF PRIMARY IGF-1 DEFICIENCY
U-682,"NON-BENZODIAZEPINE HYPNOTIC AGENT INDICATED FOR TREATMENT OF INSOMNIA, CHARACTERIZED BY DIFFICULTIES WITH SLEEP ONSET AND/OR SLEEP MAINTENANCE"
U-683,PREVENTION OR TREATMENT OF ISCHEMIC HEART DISEASE
U-684,TREATMENT OF UNCOMPLICATED SKIN MANIFESTATIONS OF CHRONIC IDIOPATHIC URTICARIA IN ADULTS AND CHILDREN 6 YEARS OF AGE AND OLDER
U-685,EXPECTORANT AND COUGH SUPPRESSANT
U-686,EXPECTORANT AND NASAL DECONGESTANT
U-687,"REDUCING FOOD INTAKE IN A SUBJECT WITH TYPE 2 DIABETES BY ADMINISTERING AN EXENDIN, SUCH AS  EXENDIN-4"
U-688,TREATMENT OF HIV-INFECTION IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS
U-689,TREATMENT OF PATIENTS WITH T-CELL ACUTE LYMPHOBLASTIC LEUKEMIA WHOSE DISEASE HAS NOT RESPONDED TO OR HAS RELAPSED FOLLOWING TREATMENT WITH AT LEAST TWO CHEMOTHERAPY REGIMENS
U-69,TREATMENT OF PNEUMOCYSTIS CARINII INFECTIONS
U-690,TO IMPROVE GLYCEMIC CONTROL IN PATIENTS WITH TYPE 2 DIABETES MELLITUS
U-691,"USE AS A MONOTHERAPY, IN COMBINATION WITH A SULFONYLUREA, METFORMIN OR INSULIN OR IN COMBINATION WITH A SULFONYLUREA PLUS METFORMIN TO IMPROVE GLYCEMIC CONTROL IN PATIENTS WITH TYPE 2 DIABETES MELLITUS"
U-692,USE OF VALSARTAN TO REDUCE CARDIOVASCULAR MORTALITY IN CLINICALLY STABLE PATIENTS WITH LEFT VENTRICULAR FAILURE OR LEFT VENTRICULAR DYSFUNCTION FOLLOWING MYOCARDIAL INFARCTION
U-693,"THE RECOMMENDED INITIAL DOSE OF EQUETRO IS 400MG/DAY GIVEN IN DIVIDED DOSES, TWICE DAILY. THE DOSE SHOULD BE ADJUSTED IN 200MG DAILY INCREMENTS TO ACHIEVE OPTIMAL CLINICAL RESPONSE."
U-694,"LENALIDOMIDE IS AN ANALOGUE OF THALIDOMIDE. THALIDOMIDE IS A KNOWN HUMAN TERATOGEN THAT CAUSES SEVERE LIFE-THREATENING HUMAN BIRTH DEFECTS.  IF LENALIDOMIDE IS TAKEN DURING PREGNANCY, IT MAY CAUSE BIRTH DEFECTS OR DEATH TO AN UNBORN BABY."
U-695,TREATMENT OF PATIENTS WITH T-CELL ACUTE LYMPHOBLASTIC LEUKEMIA AND T-CELL LYMPHOBLASTIC LYMPHOMA WHOSE DISEASE HAS NOT RESPONDED TO OR HAS RELAPSED FOLLOWING TREATMENT WITH AT LEAST TWO CHEMOTHERAPY REGIMENS
U-696,TREATMENT OF PATIENTS WITH T-CELL LYMPHOBLASTIC LYMPHOMA WHOSE DISEASE HAS NOT RESPONDED TO OR HAS RELAPSED FOLLOWING TREATMENT WITH AT LEAST TWO CHEMOTHERAPY REGIMENS
U-697,A METHOD OF USING RINFABATE RECOMBINANT (RHIGFBP-3) WITH MECASERMIN RECOMBINANT (RHIGF-1) TO PROMOTE LINEAR GROWTH IN THE TREATMENT OF PRIMARY IGF-1 DEFICIENCY
U-698,METHOD OF USING ANTAGONIST OF ARGININE VASOPRESSIN (AVA) V1A AND V2 RECEPTORS FOR INTRAVENOUS TREATMENT OF PATIENTS WITH EUVOLEMIC HYPONATREMIA
U-699,NASAL TREATMENT OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS SYMPTOMS
U-7,INCREASING CARDIAC CONTRACTILITY
U-70,TREATMENT OF TRANSIENT INSOMNIA
U-700,TREATMENT AND PREVENTION OF OSTEOPOROSIS IN POSTMENOPAUSAL WOMEN
U-701,TREATMENT OF HYPERCHOLESTEROLEMIA AND/OR HYPERTRIGLYCERIDEMIA
U-702,TOPICAL AEROSOL HAIR REGROWTH TREATMENT
U-703,"TREATMENT OF PROTEIN KINASE RELATED DISORDERS, SUCH AS GASTROINTESTINAL STROMAL TUMOR AND RENAL CELL CARCINOMA WITH SUNITINIB"
U-704,METHOD OF ADMINISTERING INSULIN VIA INHALATION
U-705,TREATING CHRONIC ANGINA BY ADMINISTERING AN EXTENDED RELEASE FORM OF RANOLAZINE
U-706,TREATMENT OF BENIGN PROSTATIC HYPERPLASIA
U-707,ALLERGIC RHINITIS
U-708,TREATMENT OF CHRONIC NON-INFECTIOUS UVEITIS AFFECTING THE POSTERIOR SEGMENT OF THE EYE
U-709,METHOD OF COMBATING BACTERIA IN A PATIENT
U-71,METHOD OF TREATMENT OF HEART FAILURE
U-710,"A METHOD OF TREATING RESPIRATORY DISORDERS, E.G., ASTHMA, WHICH COMPRISES ADMINISTRATION BY INHALATION OF AN EFFECTIVE AMOUNT OF A PHARMACEUTICAL FORMULATION AS CLAIMED IN US PATENT NO. 5658549"
U-711,ACUTE AND LONGER-TERM TREATMENT OF MAJOR DEPRESSIVE DISORDER
U-712,"A METHOD OF USING A NICOTINIC ACID FORMULATION TO REDUCE ELEVATED TC, LDL-C AND TG LEVELS, AND RAISE HDL-C LEVELS IN PATIENTS WITH HYPERLIPIDEMIA"
U-713,TREATMENT OF MILD TO MODERATE DEMENTIA OF THE ALZHEIMER'S TYPE
U-714,"TOPICAL TREATMENT OF INTERDIGITAL TINEA PEDIS AND TINEA CORPORIS DUE TO TRICHOPHYTON RUBRUM, TRICHOPHYTON MENTAGROPHYTES OR EPIDERMOPHYTON FLOCCOSUM"
U-715,"FOR CLEANSING THE BOWEL IN PREPARATION FOR COLONOSCOPY, IN ADULTS 18 YEARS OF AGE OR OLDER"
U-716,THE TREATMENT OR PREVENTION OF BRONCHOSPASM IN ADULTS AND CHILDREN 4 YEARS OF AGE AND OLDER WITH REVERSIBLE OBSTRUCTIVE AIRWAYS DISEASE AND THE PREVENTION OF EXERCISED-INDUCED BRONCHOSPASM IN PATIENTS 4 YEARS OF AGE AND OLDER
U-717,METHOD OF RELIEVING OR PREVENTING CONSTIPATION IN A HUMAN CONSTIPATED PATIENT
U-718,TREATMENT OF FUNGAL INFECTIONS
U-719,TREATENT OF PSYCHOSIS
U-72,TREATMENT OF MIGRAINE
U-720,TREATMENT OF NEUROLEPTIC DISEASES
U-721,TREATMENT OF INFLUENZA
U-722,PROPHYLAXIS OF INFLUENZA
U-723,PROPHYLACTIC TREATMENT OF MIGRAINE
U-724,METHOD OF TREATING SEIZURES
U-725,ALLERGIC RHINITIS AND URTICARIA
U-726,ALLERGIC RHINITIS
U-727,FOR THE TREATMENT OF ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD)
U-728,METHOD FOR TREATING BACTERIAL INFECTION
U-729,"TREATMENT OF GASTROESOPHAGEAL REFLUX DISEASE (GERD), RISK-REDUCTION OF NSAID-ASSOCIATED GASTRIC ULCER, H. PYLORI ERADICATION TO REDUCE THE RISK OF DUODENAL ULCER RECURRENCE"
U-73,METHOD OF TREATING DISEASES OR INFECTIONS CAUSED BY MYCETES
U-730,USE AS A NASAL SPRAY FOR TREATMENT OF THE SYMPTOMS OF SEASONAL ALLERGIC RHINITIS AND VASOMOTOR RHINITIS
U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA
U-732,ACUTE TREATMENT OF THE CUTANEOUS MANIFESTATIONS OF MODERATE TO SEVERE ERYTHEMA NODOSUM LEPROSUM (ENL)
U-733,MAINTENANCE THERAPY FOR PREVENTION AND SUPPRESSION OF THE CUTANEOUS MANIFESTATIONS OF ENL RECURRENCE
U-734,FIRST LINE THERAPY FOR TYPE 2 DIABETES MELLITUS
U-735,METHOD OF TREATING CHRONIC IRON OVERLOAD
U-736,METHOD FOR IONTOPHORETIC TRANSDERMAL DELIVERY OF FENTANYL HYDROCHLORIDE
U-737,DISINFECTION OF PATIENT SKIN PRIOR TO AN INVASIVE PROCEDURE
U-738,"INDICATED FOR THE LONG-TERM, TWICE-DAILY MAINTENANCE TREATMENT OF ASTHMA IN PATIENTS 12 YEARS OF AGE OR OLDER"
U-739,METHOD FOR TREATING CONSTIPATION BY OPENING CIC CHANNELS IN A MAMMALIAN SUBJECT
U-74,METHOD OF PROVIDING HYPNOTIC EFFECT
U-740,FOR THE TREATMENT OF PATIENTS WITH PRIMARY BILIARY CIRRHOSIS
U-741,COMBINATION THERAPY WITH CISPLATIN FOR THE TREATMENT OF LATE STAGE CERVICAL CANCER
U-742,TWICE DAILY TOPICAL TREATMENT OF MODERATE TO SEVERE PLAQUE PSORIASIS.
U-743,ONCE A DAY TOPICAL TREATMENT OF THE INFLAMMATORY LESIONS OF ROSACEA
U-744,TREATMENT OF HIV INFECTION IN ANTIRETROVIRAL TREATMENT-EXPERIENCED ADULT PATIENTS
U-745,TREATMENT OR PREVENTION OF EMESIS
U-746,PREVENTION OR TREATMENT OF NAUSEA OR EMESIS INDUCED BY A CANCER CHEMOTHERAPEUTIC AGENT
U-747,PREVENTION OR TREATMENT OF POST-OPERATIVE NAUSEA AND VOMITING
