authors,originalPublicationYear,originalTitle,title,languageCode
Caroline Myss,2001,Sacred Contracts: Awakening Your Divine Potential,Sacred Contracts: Awakening Your Divine Potential,en-US
Dave Eggers,2005,How We Are Hungry,How We Are Hungry,eng
"Plato, G.M.A. Grube, John M. Cooper",-385,"Euthyphro, Apology, Crito, Meno, Phaedo","Five Dialogues: Euthyphro, Apology, Crito, Meno, Phaedo",eng
Jana Aston,2015,Wrong,"Wrong (Wrong, #1)",eng
Oscar Wilde,1888,The Happy Prince and The House of Pomegranates,The Happy Prince,eng
J.D. Horn,2014,The Line,"The Line (Witching Savannah, #1)",eng
Erin Watt,2016,Twisted Palace,"Twisted Palace (The Royals, #3)",eng
Jeanne DuPrau,2008,The Diamond of Darkhold,"The Diamond of Darkhold (Book of Ember, #4)",eng
Gordon B. Hinckley,2000,Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes,Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes,
Daniel Silva,2003,A Death In Vienna,"A Death in Vienna (Gabriel Allon, #4)",eng
Helena Hunting,2015,,"Pucked (Pucked, #1)",eng
"Irin Carmon, Shana Knizhnik",2015,,Notorious RBG: The Life and Times of Ruth Bader Ginsburg,eng
Jennifer Estep,2011,Touch of Frost,"Touch of Frost (Mythos Academy, #1)",en-US
Chevy Stevens,2011,Never Knowing,Never Knowing,eng
Robert Ludlum,1984,The Aquitaine Progression,The Aquitaine Progression,eng
John Galsworthy,1921,The Forsyte Saga,"The Forsyte Saga (The Forsyte Chronicles, #1-3)",eng
Sue Grafton,1999,"""O"" is for Outlaw","O is for Outlaw (Kinsey Millhone, #15)",eng
Laurie Faria Stolarz,2008,"Deadly Little Secret (Touch, #1)","Deadly Little Secret (Touch, #1)",eng
"Janet Evanovich, Lee Goldberg",2014,The Chase,"The Chase (Fox and O'Hare, #2)",eng
"Jostein Gaarder, James Anderson",2003,Appelsinpiken,The Orange Girl,eng
"Leigh Nichols, Dean Koontz",1982,The House of Thunder,The House of Thunder,eng
John Marsden,1994,The Dead of the Night,"The Dead of Night (Tomorrow, #2)",eng
Daphne du Maurier,1951,My Cousin Rachel,My Cousin Rachel,eng
Gary Shteyngart,2006,Absurdistan,Absurdistan,eng
Sherrilyn Kenyon,2011,Invincible (Chronicles of Nick #2),"Invincible (Chronicles of Nick, #2)",en-US
George Carlin,2001,Napalm & Silly Putty,Napalm & Silly Putty,eng
Bill Watterson,1992,The Indispensable Calvin and Hobbes: A Calvin and Hobbes Treasury,The Indispensable Calvin and Hobbes,eng
Firoozeh Dumas,2003,Funny in Farsi: A Memoir of Growing Up Iranian in America,Funny in Farsi: A Memoir of Growing Up Iranian in America,eng
John P. Kotter,1988,,Leading Change,
"J.D. Robb, Susan Ericksen",2000,Witness in Death,"Witness in Death (In Death, #10)",eng
Gene Wolfe,1980,The Shadow of the Torturer,The Shadow of the Torturer (The Book of the New Sun #1),eng
A.S. King,2012,Ask the Passengers,Ask the Passengers,en-US
Ben Aaronovitch,2014,Foxglove Summer,"Foxglove Summer (Peter Grant, #5)",eng
Georgette Heyer,1950,The Grand Sophy,The Grand Sophy,eng
Friedrich A. Hayek,1944,The Road to Serfdom,The Road to Serfdom,en-US
Marko Kloos,2013,Terms of Enlistment,Terms of Enlistment (Frontlines #1),eng
Joanna Wylde,2014,Reaper's Legacy,"Reaper's Legacy (Reapers MC, #2)",eng
Diana Gabaldon,2007,Lord John and the Brotherhood of the Blade ,"Lord John and the Brotherhood of the Blade  (Lord John Grey, #2)",en-US
Norman Mailer,1979,The Executioner's Song,The Executioner's Song,eng
Robert Crais,2013,Suspect,"Suspect (Scott James & Maggie, #1)",eng
Toni Morrison,1981,Tar Baby,Tar Baby,en-CA
William Pène du Bois,1947,The Twenty-One Balloons,The Twenty-One Balloons,en-US
John Sandford,2012,Stolen Prey,"Stolen Prey (Lucas Davenport, #22)",eng
Donald A. Norman,1988,The Psychology of Everyday Things,The Design of Everyday Things,en-US
Margaret Peterson Haddix,1995,Running Out of Time,Running Out of Time,eng
Cathy Glass,2007,Damaged,Damaged: The Heartbreaking True Story of a Forgotten Child,
Robert Dugoni,2015,,"Her Final Breath (Tracy Crosswhite, #2)",eng
Judith McNaught,1988,Something Wonderful,"Something Wonderful (Sequels, #2)",eng
Nora Roberts,2008,Tribute,Tribute,eng
Debbie Macomber,2001,16 Lighthouse Road,"16 Lighthouse Road (Cedar Cove, #1)",eng
Tom Wolfe,1998,A Man in Full,A Man in Full,
Joanna Weaver,2000,Having a Mary Heart in a Martha World: Finding Intimacy With God in the Busyness of Life,Having a Mary Heart in a Martha World: Finding Intimacy With God in the Busyness of Life,en-US
Laura Lippman,2010,I'd Know You Anywhere,I'd Know You Anywhere,en-US
Leslye Walton,2014,The Strange and Beautiful Sorrows of Ava Lavender,The Strange and Beautiful Sorrows of Ava Lavender,eng
Joanna Trollope,2013,Sense & Sensibility,"Sense & Sensibility (The Austen Project, #1)",eng
Jen Hatmaker,2011,,7: An Experimental Mutiny Against Excess,eng
Nalini Singh,2011,,"Archangel's Consort (Guild Hunter, #3)",en-US
Anna Lee Waldo,1978,Sacajawea,Sacajawea (Lewis & Clark Expedition),eng
Gemma Malley,2007,The Declaration,"The Declaration (The Declaration, #1)",
"Gene Luen Yang, Michael Dante DiMartino, Bryan Konietzko, Gurihiru",2014,"Avatar: The Last Airbender: The Rift, Part 1","Avatar: The Last Airbender (The Rift, #1)",eng
Richard Ford,1995,Independence Day,Independence Day,eng
Brad Thor,2008,The Last Patriot,"The Last Patriot (Scot Harvath, #7)",eng
Obert Skye,2005,"Leven Thumps and the Gateway to Foo (Leven Thumps, #1)","Leven Thumps and the Gateway to Foo (Leven Thumps, #1)",
Francine Rivers,2014,Bridge to Haven,Bridge to Haven,eng
J. Courtney Sullivan,2013,The Engagements,The Engagements,eng
Beverly Cleary,1970,Runaway Ralph,"Runaway Ralph (Ralph S. Mouse, #2)",
Kristen Ashley,2012,Creed,"Creed (Unfinished Hero, #2)",eng
Ted Dekker,2002,Blink,Blink,
Daniel Silva,2016,The Black Widow,"The Black Widow (Gabriel Allon, #16)",eng
Stephen E. Robinson,1992,Believing Christ: The Parable of the Bicycle and Other Good News,Believing Christ: The Parable of the Bicycle and Other Good News,eng
Amanda Hocking,2012,Wake (Watersong #1),Wake (Watersong #1),en-US
Loreth Anne White,2015,,A Dark Lure,en-US
Simon Singh,1999,"The Code Book. How to Make It, Break It, Hack It, Crack It",The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,eng
Karen Chance,2006,Touch the Dark,"Touch the Dark (Cassandra Palmer, #1)",eng
Dan Simmons,1989,Carrion Comfort,Carrion Comfort,eng
Lori Brighton,2010,The Mind Readers,"The Mind Readers (Mind Readers, #1)",eng
Karen Marie Moning,2000,The Highlander's Touch ,"The Highlander's Touch (Highlander, #3)",eng
Deb Perelman,2012,,The Smitten Kitchen Cookbook,
Avi,2002,Crispin: The Cross of Lead,"The Cross of Lead (Crispin, #1)",eng
Piers Anthony,1986,Wielding a Red Sword,"Wielding a Red Sword (Incarnations of Immortality, #4)",en-US
Kylie Scott,2015,Deep,"Deep (Stage Dive, #4)",eng
Jeffrey Archer,1993,Honour Among Thieves,Honor Among Thieves,
"J. Michael Straczynski, Shane Davis, Sandra Hope, Barbara Ciardo, Rob Leigh",2010,"Superman: Earth One, Volume 1","Superman: Earth One, Volume 1",eng
Cassandra Clare,2011,The Mortal Instrument Series: City of Bones / City of Ashes / City of Glass / City of Fallen Angels,The Mortal Instruments (The Mortal Instruments #1-4),eng
"John Foxe, W. Grinton Berry",1563,Foxe's Book of Martyrs,Foxe's Book of Martyrs,en-CA
Rachel Gibson,2003,See Jane Score,"See Jane Score (Chinooks Hockey Team, #2)",eng
Michael Dorris,1987,A Yellow Raft in Blue Water: A Novel,A Yellow Raft in Blue Water,en-US
Seanan McGuire,2009,Rosemary and Rue,"Rosemary and Rue (October Daye, #1)",en-US
Robert Lynn Asprin,1978,Another Fine Myth,"Another Fine Myth (Myth Adventures, #1)",en-US
Elizabeth Reyes,2010,Forever Mine ,"Forever Mine (The Moreno Brothers, #1)",en-GB
"Simon Kuper, Stefan Szymanski",2009,"Soccernomics: Why England Loses, Why Germany and Brazil Win, and Why the U.S., Japan, Australia, Turkey--and Even Iraq--Are Destined to Become the Kings of the World's Most Popular Sport","Soccernomics: Why England Loses, Why Germany and Brazil Win, and Why the U.S., Japan, Australia, Turkey--and Even Iraq--Are Destined to Become the Kings of the World's Most Popular Sport",en-US
Catherine Fisher,2000,Sapphique,"Sapphique (Incarceron, #2)",eng
Lurlene McDaniel,1995,"Don't Die, My Love","Don't Die, My Love",
Tess Gerritsen,1996,Harvest ,Harvest,eng
Mark Bittman,2007,How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food,How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food,eng
Sandy   Hall,2014,A Little Something Different,A Little Something Different,eng
Ann Patchett,2011,This Is the Story of a Happy Marriage,This is the Story of a Happy Marriage,eng
Jeff Kinney,2009,,Diary of a Wimpy Kid: #1-4,en-US
John Verdon,2010,Think of a Number,"Think of a Number (Dave Gurney, #1)",eng
Lang Leav,2014,,Lullabies,eng
Nora Roberts,2003,Birthright,Birthright,eng
James L. Ferrell,2004,The Peacegiver: How Christ Offers to Heal Our Hearts and Homes,The Peacegiver: How Christ Offers to Heal Our Hearts and Homes,eng
Mark Kurlansky,1988,Cod: A Biography of the Fish that Changed the World,Cod: A Biography of the Fish that Changed the World,eng
Brian Greene,2011,The Hidden Reality: Parallel Universes and the Search for the Deep Laws of the Cosmos,The Hidden Reality: Parallel Universes and the Deep Laws of the Cosmos,eng
"Betty Friedan, Anna Quindlen",1963,The Feminine Mystique,The Feminine Mystique,eng
"Graham Greene, J.M. Coetzee",1938,Brighton Rock,Brighton Rock,eng
عبدالله المغلوث,2011,كخه يا بابا,كخه يا بابا,ara
"Greg Mortenson, Khaled Hosseini",2009,"Stones into Schools: Promoting Peace with Books, Not Bombs, in Afghanistan and Pakistan","Stones Into Schools: Promoting Peace With Books, Not Bombs, in Afghanistan and Pakistan",eng
Toni Morrison,2008,A Mercy,A Mercy,en-US
Neal Stephenson,1988,Zodiac,Zodiac,eng
A.G. Riddle,2014,Departure,Departure,eng
Kristen Ashley,2010,,"Rock Chick Redemption (Rock Chick, #3)",en-GB
Agatha Christie,1928,The Mystery of the Blue Train,"The Mystery of the Blue Train (Hercule Poirot, #6)",eng
"James Patterson, Maxine Paetro",2011,Private:  #1 Suspect,"Private #1 Suspect (Private, #2)",eng
George Saunders,2000,Pastoralia,Pastoralia,eng
Meg Jay,2012,The Defining Decade: Why Your Twenties Matter--And How to Make the Most of Them Now,The Defining Decade: Why Your Twenties Matter--And How to Make the Most of Them Now,
"Robert Kirkman, Charlie Adlard, Cliff Rathburn",2007,The Walking Dead V 7,"The Walking Dead, Vol. 07: The Calm Before",eng
H.A. Rey,1952,Curious George Rides a Bike,Curious George Rides a Bike,
Robert A. Heinlein,1958,Methuselah's Children,Methuselah's Children,en-US
Lauren Oliver,2011,Hana,"Hana (Delirium, #1.5)",eng
"Garth Ennis, Steve Dillon, John McCrea",2000,"Preacher, Volume 8: All Hell's a-Coming","Preacher, Volume 8: All Hell's a-Coming",eng
"Stephen King, Michael Whelan",2008,The Little Sisters of Eluria,"The Little Sisters of Eluria (The Dark Tower, #0.5)",eng
"Stan Berenstain, Jan Berenstain",1968,"Inside, Outside, Upside Down","Inside, Outside, Upside Down (Berenstain Bears Bright and Early Board Book)",eng
Robert Crais,2010,The First Rule,"The First Rule (Elvis Cole, #13; Joe Pike, #2)",en-US
David Colbert,2001,"The Magical Worlds of Harry Potter: A Treasury of Myths, Legends, and Fascinating Facts","The Magical Worlds of Harry Potter: A Treasury of Myths, Legends, and Fascinating Facts",eng
Peter H. Reynolds,2003,The Dot,The Dot,en-US
Shannon Hale,2009,Forest Born,"Forest Born (The Books of Bayern, #4)",en-US
Clive Barker,1985,The Damnation Game,The Damnation Game,eng
"Milan Kundera, Linda Asher",2000,L'ignorance,Ignorance,fre
Kate Brian,2006,Private,"Private (Private, #1)",eng
محمد عبد الرحمن العريفي,2006,استمتع بحياتك,استمتع بحياتك,ara
Danielle Steel,2007,Sisters,Sisters,eng
"William Gibson, Bruce Sterling",1990,The Difference Engine,The Difference Engine ,en-US
"Garth Ennis, Steve Dillon",1999,Preacher: Salvation,"Preacher, Volume 7: Salvation",
"Clayton M. Christensen, James Allworth, Karen Dillon",2012,How Will You Measure Your Life?,How Will You Measure Your Life?,
Jon Klassen,2011,I Want My Hat Back,I Want My Hat Back,eng
R.A. Salvatore,2003,The Lone Drow,"The Lone Drow (Forgotten Realms: Hunter's Blades, #2; Legend of Drizzt, #15)",en-US
Denis Leary,2008,"Why We Suck: A Feel Good Guide to Staying Fat, Loud, Lazy and Stupid","Why We Suck: A Feel Good Guide to Staying Fat, Loud, Lazy and Stupid",
Françoise Sagan,1954,Bonjour tristesse,Bonjour tristesse,fre
Jeffrey Archer,2016,Cometh the Hour,"Cometh the Hour (The Clifton Chronicles, #6)",eng
Corban Addison,2011,A Walk Across the Sun,A Walk Across the Sun,en-US
Alastair Reynolds,2008,House of Suns,House of Suns,eng
Bella Forrest,2013,,"A Shadow of Light (A Shade of Vampire, #4)",eng
Edgar Allan Poe,1843,The Black Cat,The Black Cat,eng
John Steakley,1984,Armor,Armor,eng
"Astrid Lindgren, Ilon Wikland, Jill M. Morgan",1973,Bröderna Lejonhjärta,The Brothers Lionheart,eng
Lisa Scottoline,2013,,Don't Go,eng
"J.D. Robb, Susan Ericksen",1999,Loyalty in Death,"Loyalty in Death (In Death, #9)",en-GB
Sue Grafton,2002,"""Q"" is for Quarry","Q is for Quarry (Kinsey Millhone, #17)",eng
"Alaa Al Aswany, علاء الأسواني",2013,,نادي السيارات,ara
Jojo Moyes,2005,The Ship of Brides,The Ship of Brides,en-US
"Jacqueline Wilson, Nick Sharratt",1991,The Story of Tracy Beaker,The Story of Tracy Beaker,eng
Evan Wright,2004,Generation Kill,"Generation Kill: Devil Dogs, Iceman, Captain America, and the New Face of American War",en-US
"Leigh Nichols, Dean Koontz",1984,Twilight,The Servants of Twilight,eng
Daniel Silva,2008,Moscow Rules,"Moscow Rules (Gabriel Allon, #8)",eng
Hope Jahren,2016,Lab Girl,Lab Girl,eng
Derek Landy,2008,Playing with Fire,"Playing with Fire (Skulduggery Pleasant, #2)",en-US
Laurelin Paige,2014,,"Forever with You (Fixed, #3)",
Patricia Gaffney,1999,The Saving Graces,The Saving Graces,en-US
Harlan Coben,1996,Fade Away,Fade Away (Myron Bolitar #3),eng
Darren Shan,2002,"Sons of Destiny (Cirque Du Freak, Book 12)","Sons of Destiny (Cirque Du Freak, #12)",
Peter Shaffer,1979,Amadeus,Amadeus,eng
R.A. Salvatore,2000,"The Icewind Dale Trilogy Collector's Edition (Forgotten Realms: Icewind Dale, #1-3)","The Icewind Dale Trilogy Collector's Edition (Forgotten Realms: Icewind Dale, #1-3; Legend of Drizzt, #4-6)",en-US
Emmy Laybourne,2012,Monument 14,"Monument 14 (Monument 14, #1)",eng
Jude Deveraux,1980,The Black Lyon,"The Black Lyon (Montgomery/Taggert, #1)",eng
Anne Lamott,2007,Grace [Eventually]: Thoughts on Faith,Grace (Eventually): Thoughts on Faith,en-US
Martha Stewart,2007,Everyday Food: Great Food Fast,Everyday Food: Great Food Fast,eng
Christina Lauren,2013,Beautiful Bombshell,"Beautiful Bombshell (Beautiful Bastard, #2.5)",en-US
Teri Terry,2012,Slated,"Slated (Slated, #1)",eng
Pramoedya Ananta Toer,1975,Bumi Manusia,Bumi Manusia,ind
Christine Feehan,2000,Dark Gold (Dark #3),"Dark Gold (Dark, #3)",eng
Kathy Reichs,2009,206 Bones,"206 Bones (Temperance Brennan, #12)",en-US
Lorrie Moore,2009,A Gate at the Stairs,A Gate at the Stairs,eng
Rebecca Forster,2004,Hostile Witness,"Hostile Witness (Witness Series, #1)",eng
"Jack London, Andrew Sinclair",1909,Martin Eden,Martin Eden,eng
Andrzej Sapkowski,1997,Wieża Jaskółki,"Wieża Jaskółki (Saga o Wiedźminie, #6)",pol
Conn Iggulden,2008,"Lords of the Bow (Conqueror, #2)","Genghis: Lords of the Bow (Conqueror, #2)",eng
Kevin Wignall,2016,,A Death in Sweden,
"Brian Azzarello, Cliff Chiang, Tony Akins, Dan Green, Matthew Wilson, Jared K. Fletcher",2012,"Wonder Woman, Volume 1: Blood","Wonder Woman, Volume 1: Blood",eng
Brittainy C. Cherry,2014,Loving Mr. Daniels,Loving Mr. Daniels,eng
"William Shakespeare, David Scott Kastan",1597,The History of Henry the Fourth,"King Henry IV, Part 1 (Wars of the Roses, #2)",eng
Ed Emberley,1992,"Go Away, Big Green Monster!","Go Away, Big Green Monster!",eng
"Jinsei Kataoka, Kazuma Kondou",2007,デッドマン・ワンダーランド 1,"Deadman Wonderland, Volume 1 (Deadman Wonderland, #1)",eng
Linda Lafferty,2012,The Bloodletter's Daughter: A Novel of Old Bohemia,The Bloodletter's Daughter: A Novel of Old Bohemia,eng
Robert Harling,1988,,Steel Magnolias (DPS Acting Edition),eng
John Updike,1990,Rabbit at Rest,Rabbit at Rest (Rabbit Angstrom #4),eng
"David Axton, Dean Koontz",1976,Prison of Ice ,Icebound,eng
Diana Wynne Jones,1988,The Lives of Christopher Chant,"The Lives of Christopher Chant (Chrestomanci, #2)",
George R.R. Martin,1982,Fevre Dream,Fevre Dream,eng
"Caralyn Buehner, Mark Buehner",2002,Snowmen at Night,Snowmen at Night,en-US
Alessandra Torre,2015,Hollywood Dirt,"Hollywood Dirt (Hollywood Dirt, #1)",eng
Tara Sivec,2012,Futures and Frosting,"Futures and Frosting (Chocolate Lovers, #2)",eng
"Thomas Paine, Sidney Hook, Jack Fruchtman Jr.",1776,,"Common Sense, The Rights of Man and Other Essential Writings",eng
Matthew Quick,2014,The Good Luck of Right Now,The Good Luck of Right Now,eng
Alexander McCall Smith,2008,The Miracle at Speedy Motors ,"The Miracle at Speedy Motors (No.1 Ladies' Detective Agency, #9)",en-US
Ian Fleming,1959,Goldfinger,"Goldfinger (James Bond, #7)",eng
Émile Zola,1880,Nana,"Nana (Les Rougon-Macquart, #9)",ger
Richard Paul Evans,2012,Rise of the Elgen,"Rise of the Elgen (Michael Vey, #2)",eng
Clive Barker,1988,Cabal,Cabal,en-US
Tom Perrotta,2007,The Abstinence Teacher,The Abstinence Teacher,
David Baldacci,2016,No Man's Land,"No Man's Land (John Puller, #4)",eng
David Farland,1998,The Sum of All Men,The Runelords (Runelords #1),en-US
Suzanne Rindell,2013,The Other Typist,The Other Typist,en-GB
"Cassandra Clare, Sarah Rees Brennan",2015,,"Welcome to Shadowhunter Academy (Tales from the Shadowhunter Academy, #1)",eng
Alan Dean Foster,1979,Alien,Alien,eng
Robert Crais,2011,The Sentry,"The Sentry (Elvis Cole, #14; Joe Pike, #3)",eng
J.M. Darhower,2014,Sempre,"Sempre (Sempre, #1)",eng
Ilona Andrews,2015,Magic Shifts,"Magic Shifts (Kate Daniels, #8)",eng
Susanna Kearsley,1994,Mariana,Mariana,
"Roald Dahl, Quentin Blake",1986,Going Solo,Going Solo,eng
"Sara Pennypacker, Marla Frazee",2006,"Clementine (Clementine, #1)","Clementine (Clementine, #1)",en-US
Daniel Abraham,2011,The Dragon's Path,"The Dragon's Path (The Dagger and the Coin, #1)",eng
"T.S. Eliot, Edward Gorey",1939,Old Possum's Book of Practical Cats,Old Possum's Book of Practical Cats,en-US
Philippa Gregory,2015,The Taming of the Queen,"The Taming of the Queen (The Plantagenet and Tudor Novels, #11)",eng
Cassie Dandridge Selleck,2012,,The Pecan Man,
"Henning Mankell, Laurie Thompson",1994,Mannen som log,"The Man Who Smiled (Kurt Wallander, #4)",eng
Ai Yazawa,2000,Paradise Kiss 1,"Paradise Kiss, Vol. 1 (Paradise Kiss, #1)",eng
Geoff Colvin,2008,Talent Is Overrated: What Really Separates World-Class Performers from Everybody Else,Talent is Overrated: What Really Separates World-Class Performers from Everybody Else,en-US
Sherrilyn Kenyon,2008,One Silent Night,One Silent Night (Dark-Hunter #15),eng
Lois McMaster Bujold,1986,The Warrior's Apprentice,"The Warrior's Apprentice (Vorkosigan Saga, #2)",eng
"أحلام مستغانمي, Ahlam Mosteghanemi",2003,عابر سرير,عابر سرير,ara
"George C. Perry, Clive Barda, Jane Rice, Andrew Lloyd Webber",1987,The Complete Phantom of the Opera,The Complete Phantom of the Opera,eng
"Michael Buckley, Peter Ferguson",2005,The Unusual Suspects,"The Unusual Suspects (The Sisters Grimm, #2)",en-US
Dietrich Bonhoeffer,1939,Gemeinsames Leben,Life Together: The Classic Exploration of Christian Community,
Stephen R. Donaldson,1983,The White Gold Wielder,"White Gold Wielder (The Second Chronicles of Thomas Covenant, #3)",eng
Anne McCaffrey,1969,The Ship Who Sang,"The Ship Who Sang (Brainship, #1)",en-US
"Liu Cixin, Joel Martinsen",2008,黑暗森林,"The Dark Forest (Remembrance of Earth’s Past, #2)",eng
Mira Grant,2012,Blackout,"Blackout (Newsflesh Trilogy, #3)",eng
"Douglas Preston, Lincoln Child",2011,Cold Vengance,"Cold Vengeance (Pendergast, #11)",
"Leigh Nichols, Dean Koontz",1981,The Eyes of Darkness,The Eyes of Darkness,eng
Anne Bishop,1999,Heir to the Shadows,"Heir to the Shadows (The Black Jewels, #2)",en-US
Pepper Winters,2013,,"Tears of Tess (Monsters in the Dark, #1)",eng
Tami Hoag,1996,Guilty as Sin (Deer Lake #2),"Guilty as Sin  (Deer Lake, #2)",eng
Jacqueline Carey,2006,Kushiel's Scion,"Kushiel's Scion (Imriel's Trilogy, #1)",en-GB
Alastair Reynolds,2001,Chasm City,Chasm City,eng
Martin Sixsmith,2009,"The Lost Child of Philomena Lee: A Mother, Her Son And A Fifty Year Search","The Lost Child of Philomena Lee: A Mother, Her Son and a 50 Year Search",eng
Jim Benton,2004,Let's Pretend This Never Happened (Dear Dumb Diary #1),Let's Pretend This Never Happened (Dear Dumb Diary #1),
Liz Murray,2010,"Breaking Night: A Memoir of Forgiveness, Survival, and My Journey from Homeless to Harvard","Breaking Night: A Memoir of Forgiveness, Survival, and My Journey from Homeless to Harvard",en-US
"J.D. Robb, Nora Roberts",2011,Treachery in Death,"Treachery in Death (In Death, #32)",en-US
Nancy Horan,2014,Under the Wide and Starry Sky,Under the Wide and Starry Sky,eng
Quinn Loftis,2011,Blood Rites ,"Blood Rites (The Grey Wolves, #2)",eng
"Saul Bellow, Christopher Hitchens",1953,The Adventures of Augie March,The Adventures of Augie March,
Tijan,2013,Carter Reed,"Carter Reed (Carter Reed, #1)",eng
Tony Parsons,1999,Man and Boy,"Man and Boy (Harry Silver, #1)",eng
Margaret George,1997,The Memoirs of Cleopatra,The Memoirs of Cleopatra,eng
Steve Berry,2011,The Jefferson Key,"The Jefferson Key (Cotton Malone, #7)",en-US
Miriam Toews,2014,All My Puny Sorrows,All My Puny Sorrows,eng
Miranda Beverly-Whittemore,2014,Bittersweet,Bittersweet,eng
John Gribbin,1984,In Search of Schrödinger's Cat : Quantum Physics And Reality,In Search of Schrödinger's Cat: Quantum Physics and Reality,eng
F. Paul Wilson,1981,The Keep ,"The Keep (Adversary Cycle, #1)",en-US
"James Patterson, Chris Tebbetts, Laura Park",2011,,"Middle School: The Worst Years of My Life (Midde School, #1)",eng
Octavia E. Butler,1987,Dawn,"Dawn (Xenogenesis, #1)",eng
David A. Vise,2006,"The Google Story: Inside the Hottest Business, Media, and Technology Success of Our Time","The Google Story: Inside the Hottest Business, Media, and Technology Success of Our Time",
"Hans Fallada, Michael Hofmann, Geoff Wilkes",1947,Jeder stirbt für sich allein,Every Man Dies Alone,eng
Alwyn Hamilton,2016,Rebel of the Sands,"Rebel of the Sands (Rebel of the Sands, #1)",eng
Joe Haldeman,1997,Forever Peace ,"Forever Peace (The Forever War, #2)",en-US
"J.D. Robb, Nora Roberts",2001,Betrayal in Death,"Betrayal in Death (In Death, #12)",eng
"C.G. Jung, Joseph L. Henderson, Aniela Jaffé, Jolande Jacobi, John Freeman, Marie-Louise von Franz",1964,Man and His Symbols,Man and His Symbols,eng
Gerald N. Lund,1994,"The Work and the Glory, Vol. 1: Pillar of Light","Pillar of Light (The Work and the Glory, #1)",
Kazu Kibuishi,2010,Amulet: Book Three: The Cloud Searchers,"The Cloud Searchers (Amulet, #3)",eng
Steven  Rowley,2016,Lily and the Octopus,Lily and the Octopus,eng
Tim O'Brien,1994,In the Lake of the Woods,In the Lake of the Woods,eng
"Lisa Kleypas, Rosalyn Landor",2009,Tempt Me at Twilight,"Tempt Me at Twilight (The Hathaways, #3)",eng
Colleen Houck,2012,Tiger's Destiny,"Tiger's Destiny (The Tiger Saga, #4)",eng
Harlan Coben,1997,Back Spin,Back Spin (Myron Bolitar #4),eng
Susan Elizabeth Phillips,2000,This Heart of Mine,"This Heart of Mine (Chicago Stars, #5)",eng
Jennifer L. Armentrout,2012,Elixir,"Elixir (Covenant, #3.5)",
Louise Doughty,2013,Apple Tree Yard,Apple Tree Yard,eng
"Douglas Preston, Lincoln Child",2000,The Ice Limit,The Ice Limit (Ice Limit #1),fre
Emma Chase,2014,Twisted,"Twisted (Tangled, #2)",eng
Gail Carriger,2011,Heartless,"Heartless (Parasol Protectorate, #4)",eng
Janette Oke,1983,When Calls the Heart,"When Calls the Heart (Canadian West, #1)",en-US
Stephanie Evanovich,2013,,Big Girl Panties,eng
Julie Garwood,1993,Saving Grace,Saving Grace,eng
Lisa Kleypas,2010,Married By Morning,"Married By Morning (The Hathaways, #4)",eng
"Vladimir Nabokov, David Lodge",1953,Pnin,Pnin,eng
Piers Anthony,1987,"Being a Green Mother (Incarnations of Immortality, #5)","Being a Green Mother (Incarnations of Immortality, #5)",en-GB
Cornelia Funke,1990,Inkheart,"The Inkheart Trilogy: Inkheart, Inkspell, Inkdeath (Inkworld, #1-3)",eng
Nikolai Gogol,1842,Шинель,The Overcoat,
"Eiji Yoshikawa, Charles Terry, Edwin O. Reischauer",1935,宮本武蔵 Miyamoto Musashi,Musashi,eng
Wendy Mass,2010,Finally,"Finally (Willow Falls, #2)",
John Grisham,2008,Ford County,Ford County,eng
Matthew      Lewis,1796,The Monk,The Monk,eng
John Sandford,2015,Gathering Prey,"Gathering Prey (Lucas Davenport, #25)",
Jamie Ford,2013,Songs of Willow Frost,Songs of Willow Frost,eng
"Arnaldur Indriðason, Bernard Scudder",2000,Mýrin,"Jar City (Inspector Erlendur, #3)",eng
Jeffery Deaver,2003,The Vanished Man,"The Vanished Man (Lincoln Rhyme, #5)",en-US
Lynda Mullaly Hunt,2012,,One for the Murphys,eng
"Jim Cymbala, Dean Merrill",1997,"Fresh Wind, Fresh Fire","Fresh Wind, Fresh Fire: What Happens When God's Spirit Invades the Heart of His People",
Megan Shepherd,2013,The Madman’s Daughter,"The Madman’s Daughter (The Madman’s Daughter, #1)",eng
"James Patterson, Howard Roughan",2013,Second Honeymoon,"Second Honeymoon (Honeymoon, #2)",eng
Samantha Young,2015,Hero,"Hero (Hero, #1)",eng
George Carlin,1997,Brain Droppings,Brain Droppings,eng
"Douglas Adams, Mark Carwardine",1990,Last Chance to See,Last Chance to See,
Gordon Korman,2008,Swindle,"Swindle (Swindle, #1)",eng
Lucy Knisley,2013,,Relish: My Life in the Kitchen,eng
Huntley Fitzpatrick,2014,What I Thought Was True,What I Thought Was True,eng
Lambert M. Surhone,,,Pretty Little Liars (TV Series),eng
Sara Shepard,2011,Ruthless,"Ruthless (Pretty Little Liars, #10)",en-US
Beatriz Williams,2014,The Secret Life of Violet Grant,The Secret Life of Violet Grant,eng
