id,firstname,lastname
46956,Boguslaw,Linda
46957,Curt,Linda
46958,"Carl H.",Lindahl
46959,Hans,Lindal
46960,Christina,Lindberg
46961,Clas,Lindberg
46962,Jens,Lindberg
46963,"Katherine (I)",Lindberg
46964,Liz,Lindberg
46965,"Mats (I)",Lindberg
46966,Morten,Lindberg
46967,Per,Lindberg
46968,Sven,Lindberg
46969,Carl,Lindbergh
46970,Peter,Lindbergh
46971,Søren,Lindbjerg
46972,Christian,Lindblad
46973,Axel,Lindblom
46974,Gunnel,Lindblom
46975,Leif,Lindblom
46976,Michael,Lindeborgh
46977,John,Lindell
46978,Linus,Lindell
46979,Maria,Lindell
46980,Oscar,Lindelöf
46981,Doug,Lindeman
46982,Lasse,Lindeman
46983,Klaus,Lindemann
46984,"Beth J.",Linden
46985,Edward,Linden
46986,Gustaf,Linden
46987,Hal,Linden
46988,Livia,Linden
46989,Mitchell,Linden
46990,Udo,Lindenberg
46991,Véronique,Lindenberg
46992,Michelle,Lindenberger
46993,"Kevin J.",Lindenmuth
46994,Doveed,Linder
46995,John-Lennart,Linder
46996,Maud,Linder
46997,"Max (I)",Linder
46998,"Max (II)",Linder
46999,Angela,Linders
47000,Viveca,Lindfors
47001,"Bjørn William",Lindgren
47002,Hans,Lindgren
47003,John,Lindgren
47004,Kalle,Lindgren
47005,Lars-Magnus,Lindgren
47006,Per,Lindgren
47007,Frederick,Lindh
47008,Johan,Lindh
47009,Peter,Lindholm
47010,Rami,Lindholm
47011,Håkan,Lindhé
47012,Ebba,Lindkvist
47013,Jan,Lindkvist
47014,Signe,Lindkvist
47015,Liberty,Lindley
47016,Roger,Lindley
47017,John,Lindlöf
47018,Åke,Lindman
47019,Peter,Lindmark
47020,Abel,Lindner
47021,Heinz,Lindner
47022,Marcus,Lindner
47023,Wim,Lindner
47024,Eleanor,Lindo
47025,Eleanore,Lindo
47026,Vincent,Lindon
47027,Aaron,Lindquist
47028,Frej,Lindqvist
47029,Staffan,Lindqvist
47030,Torbjörn,Lindqvist
47031,Adolf,Lindroos
47032,Alan,Lindsay
47033,Caleb,Lindsay
47034,"David (VI)",Lindsay
47035,Jim,Lindsay
47037,Lance,Lindsay
47038,"Lex (II)",Lindsay
47039,Nick,Lindsay
47040,Powell,Lindsay
47041,Rob,Lindsay
47042,Michael,Lindsay-Hogg
47043,"Sølvi A.",Lindseth
47044,Elizabeth,Lindsey
47045,"Lois (II)",Lindsey
47046,"David (I)",Lindstrom
47047,Christer,Lindström
47048,Eva,Lindström
47049,Fredrik,Lindström
47050,Jon,Lindström
47051,Rune,Lindström
47052,Leopold,Lindtberg
47053,Manne,Lindwall
47054,Russ,Lindway
47055,Willy,Lindwer
47056,Michael,Lineau
47057,Trey,Lineberger
47058,Dan'l,Linehan
47059,Graham,Linehan
47060,Jan,Linell
47061,Craig,Lines
47062,Sean,Linezo
47063,Heung,Ling
47064,Ivy,Ling
47065,Liou-Xiao,Ling
47066,Qiwei,Ling
47067,Sidney,Ling
47068,Staffan,Ling
47069,Van,Ling
47070,"Wang Yung",Ling
47071,Yun,Ling
47072,Zifeng,Ling
47073,Paul,Lingas
47074,Theo,Lingen
47075,Ruth,Lingford
47076,"Emil A.",Lingheim
47077,Pelle,Lingheim
47078,N.,Linguswamy
47079,"Jan Markus",Linhof
47080,"John F.","Link Sr."
47081,Caroline,Link
47082,Mary,Link
47083,Matthew,Link
47084,"Ron (I)",Link
47085,Sidha,Linkayya
47086,Andreas,Linke
47087,Sebastian,Linke
47088,Richard,Linklater
47089,Sergei,Linkov
47090,Dick,Linkroum
47091,Eric,Linn
47092,Garret,Linn
47093,"Michael (II)",Linn
47094,Mark,Linn-Baker
47095,Maurice,Linnane
47096,Timo,Linnasalo
47097,Abby,Linne
47098,Vera,Linnecar
47099,Otto,Linnekogel
47100,Matthew,Linnell
47101,Clay,Lins
47102,Paulo,Lins
47103,Terêncio,Lins
47104,J.J.,Linsalata
47105,Michel,Linsky
47106,Cathy,Linsley
47107,Art,Linson
47108,Dave,Linstrom
47109,Catherine,Linstrum
47110,"Derek de",Lint
47111,Bo,Linton
47112,Brian,Linton
47113,Curtis,Linton
47114,Hannes,Lintrop
47115,Renita,Lintrop
47116,Pekka,Lintula
47117,Saul,Lintupuu
47118,Ioannis,Lintzeris
47119,Irit,Linur
47120,Gay,Linvill
47121,Anthony,Lioi
47122,Magda,Liolis
47123,Álvaro,"Lion Depetre"
47124,Bernard,Lion
47125,Butch,Lion
47126,"David H.",Lion
47127,Roger,Lion
47128,Roberto,Lione
47129,"Guy (I)",Lionel
47130,Armand,Lionello
47131,"Fabio Luigi",Lionello
47132,Carl,Lionnet
47133,Amit,Lior
47134,Marcelle,Lioret
47135,Philippe,Lioret
47136,Minon,Liotet
47137,Chuck,Liotta
47138,Ken,Liotti
47139,Andrea,Lioy
47140,Tatyana,Lioznova
47141,Hero,Lip
47142,Paolo,Lipari
47143,Giuseppe,Lipartiti
47144,Christine,Lipinska
47145,Olga,Lipinska
47146,Julie,Lipinski
47147,Llazar,Lipivani
47148,Atilio,Lipizzi
47149,"Rafal M.",Lipka
47150,Ivan,Lipkies
47151,"David (III)",Lipman
47152,J.A.,Lipman
47153,Jerzy,Lipman
47154,Mark,Lipman
47155,Eric,Lipmann
47156,Nahum,Lipovsky
47157,Joanna,Lipper
47158,Julie,Lipper
47159,"Robert L.","Lippert Jr."
47160,Gerhard,Lippert
47161,Otto,Lippert
47162,"Robert L.",Lippert
47163,Adolfo,Lippi
47164,"Alois Johannes",Lippl
47165,Corbinian,Lippl
47166,Lauri,Lippmaa
47167,Amy,Lippman
47168,Jane,Lippman
47169,"Steven (II)",Lippman
47170,Carsten,Lippstock
47171,Tod,Lippy
47172,Jan,Lipsansky
47173,"Marvin G.",Lipschultz
47174,Marion,Lipschutz
47175,James,Lipscomb
47176,Mike,Lipscomb
47177,Steven,Lipscomb
47178,W.P.,Lipscomb
47179,Arthur,Lipsett
47180,Arnie,Lipsey
47181,Matt,Lipsey
47182,Stan,Lipsey
47183,Grigori,Lipshits
47184,Sigalit,Lipshitz
47185,Peter,Lipskis
47186,"Gary S.",Lipsky
47187,Jeff,Lipsky
47188,Oldrich,Lipský
47189,Dave,Lipson
47190,Aaron,Lipstadt
47192,Gustavo,Lipsztein
47193,David,Lipszyc
47194,"Albert (I)",Lipton
47195,Larry,Lipton
47197,Radovan,Lipus
47198,Jason,Liquori
47199,"Miguel Ángel",Lira
47200,Stergios,Liras
47201,Carlos,Lirola
47202,Mathieu,Lis
47203,Mariano,Lisa
47204,Steven,Lisberger
47205,Marcílio,Lisboa
47206,Joseph,Lisbona
47207,Chet,Lishawa
47208,Eda,Lishman
47209,Tamara,Lisitsian
47210,Tomas,Liska
47211,Mikhail,Lisovoy
47212,Tom,Lisowski
47213,Abe,Liss
47214,Joy,Lissandrello
47215,Heinrich,Lisson
47216,Niki,List
47217,Ralf,List
47218,Steven,List
47219,Salvatore,Lista
47220,Ardele,Lister
47221,David,Lister
47222,Derek,Lister
47223,Nickie,Lister
47224,Mike,Listo
47225,Elek,Lisziák
47226,"Max (I)",Liszt
47227,"Otar (II)",Litanishvili
47228,"David (I)",Litchfield
47229,"Joshua Atesh",Litle
47230,Michael,Litle
47231,"Mason N.",Litson
47232,"Peter Mackenzie",Litten
47233,"Miguel Joan","Littin M."
47234,Miguel,Littin
47235,"Brian (I)",Little
47236,"Dwight H.",Little
47237,Jan,Little
47238,"John (II)",Little
47239,"Mark Anthony",Little
47240,Ryan,Little
47241,Ian,Little-Smith
47242,Lennie,Little-White
47243,Larry,Littlebird
47244,Helen,Littleboy
47245,Andrew,Littlefield
47246,Joan,Littlewood
47247,Lynne,Littman
47248,Mark,Littman
47249,Anthony,Litton
47250,Larry,Litton
47251,Peter,Litton
47252,Nikolai,Litus
47253,"Andrew (I)",Litvack
47254,Anatole,Litvak
47255,Salvador,Litvak
47256,"Aleksandr (II)",Litvinov
47257,Renata,Litvinova
47258,Baode,Liu
47259,Baolin,Liu
47260,"Bing (I)",Liu
47261,Bingjian,Liu
47262,"Biu Lun",Liu
47263,"Chia Hui",Liu
47264,"Chia Yung",Liu
47265,Chia-Liang,Liu
47266,"Ching Chieh",Liu
47267,"Chun Lin",Liu
47268,Cynthia,Liu
47269,Daan,Liu
47270,"Emily (I)",Liu
47271,Ewei,Liu
47272,Fendou,Liu
47273,Gongwei,Liu
47274,"Guo Quan",Liu
47275,Harrison,Liu
47276,Hoho,Liu
47277,Huguang,Liu
47278,Huining,Liu
47279,Jianming,Liu
47280,"John (I)",Liu
47281,"John (II)",Liu
47282,"Kuo Shin",Liu
47283,Miaomiao,Liu
47284,Michael,Liu
47285,Peiran,Liu
47286,Qingwu,Liu
47287,Qiong,Liu
47288,"Qun (II)",Liu
47289,Sam,Liu
47290,Shuan,Liu
47291,Stan,Liu
47292,"Steve C.C.",Liu
47293,Weibin,Liu
47294,Wenyu,Liu
47295,"Xin (II)",Liu
47296,"Yang (I)",Liu
47297,Yichuan,Liu
47298,Yunzhou,Liu
47299,Zhongmin,Liu
47300,Eleni,Livaditi
47301,Alekos,Livaditis
47302,Zülfü,Livaneli
47303,Vasili,Livanov
47304,Doug,Lively
47305,Ernie,Lively
47306,Gerry,Lively
47307,Jason,Lively
47308,Ido,Liven
47309,Maurizio,Liverani
47310,Byron,Livernois
47311,Piero,Livi
47312,Bob,Livingston
47313,Christopher,Livingston
47314,"David (I)",Livingston
47315,Jennie,Livingston
47316,Neal,Livingston
47317,"Robert H.",Livingston
47318,Todd,Livingston
47319,"Charles D.",Livingstone
47320,Douglas,Livingstone
47321,Joe,Livingstone
47322,Leonard,Livingstone
47323,Victoria,Livingstone
47324,Sergei,Livnev
47325,Asaf,Livni
47326,Dennis,Livson
47327,Shirley,Lixenberg
47328,Tissa,Liyanage
47329,Enrique,Lizalde
47330,Anna,Lizaran
47331,Elene,Lizarralde
47332,Nick,Lizaso
47333,Assa,Lizka
47334,Boris,Liznev
47336,Francesco,Lizzani
47337,Hervé,Lièvre
47338,Frédérique,Liébaut
47339,Bénédicte,Liénard
47340,Clemencia,Liévano
47341,Germán,Liñero
47342,Brat,Ljatifi
47343,Milan,Ljubic
47344,Vesna,Ljubic
47345,Petar,Ljubojev
47346,Veselin,Ljumovic
47347,Mikael,Ljung
47348,Rune,Ljungberg
47349,Ali,Ljutaj
47350,Pedro,Llaca
47351,Jorge,Lladó
47352,Juan,Lladó
47353,Ferrán,Llagostera
47354,Joaquín,Llamas
47355,"María Victoria",Llamas
47356,Roberto,Llamas
47357,Petrit,Llanaj
47358,Antonio,Llanes
47359,"Juan Antonio",Llanes
47360,Jean-Pierre,Lledo
47361,Joaquín,Lledó
47362,Antonio,Llerandi
47363,Patricia,Llewellyn
47364,Wes,Llewellyn
47365,Francisco,Llinás
47366,Mariano,Llinás
47367,Lorenzo,"Llobet Gracia"
47368,Francesc,Llobet
47369,Franck,Llopis
47370,Denis,Llorca
47371,Mario,Llorca
47372,Pablo,Llorca
47373,Antonio,Llorens
47374,Pablo,Llorens
47375,Pierre,Llorens
47376,"Alfredo (I)",Llorente
47377,Eduardo,Llorente
47378,Ángel,Llorente
47379,Jaime,Llorrente
47380,Enrique,Lloréns
47381,Luis,Llosa
47382,Enric,Lloveras
47383,Ricardo,Llovo
47384,Andrew,"Lloyd Webber"
47385,Euan,Lloyd
47386,Evan,Lloyd
47387,"Frank (I)",Lloyd
47388,Harold,Lloyd
47389,"Ian F.H.",Lloyd
47390,Innes,Lloyd
47391,"Jack (I)",Lloyd
47392,"James (III)",Lloyd
47393,Jeremy,Lloyd
47394,"John (I)",Lloyd
47395,"John (III)",Lloyd
47396,Norman,Lloyd
47397,Rollo,Lloyd
47398,"Russell (I)",Lloyd
47399,Tab,Lloyd
47400,Ted,Lloyd
47401,"Tony (II)",Lloyd
47402,Elphin,Lloyd-Jones
47403,Julie,"Lluch Dalena"
47404,"Sari Raissa","Lluch Dalena"
47405,Miguel,Lluch
47406,Mireia,Lluch
47407,Vicente,Lluch
47408,Andrés,Llugany
47409,Elena,Lluvi
47410,Tony,"Lo Bianco"
47412,Ambrogio,"Lo Giudice"
47413,Stephen,"Lo Kit Sing"
47414,To,"Lo Po"
47415,Gerolamo,"Lo Savio"
47416,"Chi Moui",Lo
47417,Chi-Wa,Lo
47418,"Chih Shih",Lo
47419,Christian,Lo
47420,Eugene,Lo
47421,K.W.,Lo
47422,Ke,Lo
47423,"Kim Wah",Lo
47424,Kin,Lo
47425,Lieh,Lo
47426,Mar,Lo
47427,Ming-Yau,Lo
47428,Peter,Lo
47429,Steven,Lo
47430,Susanna,Lo
47431,Tun,Lo
47432,Tung,Lo
47433,Wei,Lo
47434,"Wei Don",Lo
47435,"Woody (II)",Lo
47436,Jim,Loach
47437,Ken,Loach
47440,Jayne,Loader
47441,Terry,Loane
47442,Tim,Loane
47443,Jacques,Loar
47444,Marcos,Loayza
47445,Eber,Lobato
47446,Moctezuma,Lobato
47447,Rogelio,Lobato
47448,Wendy,Lobel
47449,Andrew,Lobell
47450,Marc,Lobet
47451,Alyssa,Lobit
47452,Victor,Lobl
47453,Gogol,Lobmayr
47454,Gogol,Lobnoyea
47456,Martín,Lobo
47457,Camila,Loboguerrero
47458,J.D.,Lobue
47459,Rémi,Loca
47460,Orfeo,Locatelli
47461,Roberto,Locci
47462,Chai,Locher
47463,Lee,Lochhead
47464,John,Lochland
47465,Ed,Lochman
47466,"Scott Floyd",Lochmus
47467,"Reine de",Locht
47468,Lori,LoCicero
47469,Georgina,Lock
47470,Keith,Lock
47471,Oliver,Lock
47472,Steven,Lock
47473,Édouard,Lock
47474,Albert,Locke
47475,Bill,Locke
47476,Larry,Locke
47477,Mark,Locke
47479,Rick,Locke
47480,Robert,Locke
47481,Sondra,Locke
47482,Adam,Locke-Norton
47483,Kenneth,Locker
47484,Stefan,Lockerby
47485,"Amy (II)",Lockhart
47486,"Sharon (II)",Lockhart
47487,"Brian (II)",Lockwood
47488,Grey,Lockwood
47489,"Harold (I)",Lockwood
47490,Roy,Lockwood
47491,Philippe,Locquet
47492,Ken,Locsmandi
47493,Thorkil,Lodahl
47494,Doug,Lodato
47495,Barbara,Loden
47496,Markus,Loder-Taucher
47497,"David (V)",Lodge
47498,Lee,Lodge
47499,Indra,Lodiers
47500,Elisabetta,Lodoli
47501,Carlo,Lodovici
47502,Jean,Lods
47503,Jean,Lodul
47504,Lee,Lodyga
47505,Peter,Lodynski
47506,Humphrey,Loe
47507,Vera,Loebner
47508,Joerg,Loedecke
47509,"Louis R.",Loeffler
47510,Brent,Loefke
47511,Michael,Loeken
47512,Ben,Loeterman
47513,Ram,Loevy
47514,Jacques,Loew
47515,Rolando,Loewenstein
47516,Thomas,Lofaro
47517,Tyson,Loffredo
47518,Dennis,Lofgren
47519,Daniel,Loflin
47520,Jens,Loftager
47521,Norman,Loftis
47522,Charles,Lofton
47523,Julie,Lofton
47524,Terry,Lofton
47525,Michael,Loftus
47526,Anthony,Logan
47527,"Bob (I)",Logan
47528,Bruce,Logan
47529,Campbell,Logan
47530,"Christopher (II)",Logan
47531,Guy,Logan
47532,Jacqueline,Logan
47533,Joshua,Logan
47534,"Kerry (I)",Logan
47536,Stanley,Logan
47537,"Tom (II)",Logan
47538,"Zoe 'Joshua Tree'",Logan
47539,Juan,Logar
47540,Bengt,Logardt
47541,Béatrice,Logeais
47542,Edouard,Logereau
47543,Ed,Logg
47544,Roy,Logger
47545,Robert,Loggia
47546,Dimitri,Logothetis
47547,Peter,LoGreco
47548,Dawn,Logsdon
47549,Charles,Logue
47550,Donal,Logue
47551,"John (I)",Logue
47552,Steve,Loh
47553,Ari,Lohenoja
47554,Armand,Lohikoski
47555,"Ambazhathil Karanakuran",Lohithadas
47556,Axel,Lohman
47557,Ben,Lohman
47558,Dieter,Lohmann
47559,Dietrich,Lohmann
47560,Severin,Lohme
47561,Georg,Lohmeier
47562,Peter,Lohmeyer
47563,Helmut,Lohner
47564,Henning,Lohner
47565,"Karl W.",Lohninger
47566,Václav,Lohniský
47567,Vesa-Matti,Loiri
47568,Manuel,"Lois Piñeiro"
47569,Saturio,"Lois Piñeiro"
47570,Cristina,Lois
47571,Pierre-Henri,Lois
47572,Yiorgos,Lois
47573,Regis,Loisel
47574,Jacques,Loiseleux
47575,Stéphane,Loison
47576,Christophe,Loizillon
47577,António,"Loja Neves"
47578,Julie,Lojkine
47579,Cliff,Lok
47580,"Daai Yue",Lok
47581,Martin,Loke
47582,Adriaan,Lokman
47583,Z.,Lokman
47584,Khesya,Lokshina
47585,Julia,Loktev
47586,Dominique,Lolhé
47587,Iliana,Lolitch
47588,"Alberto Carlo",Lolli
47589,Calvin,Lom
47590,Raoul,Lomas
47591,Robert,Lombaerts
47592,"Benton Claus",Lombard
47593,Jacques,Lombard
47594,"Kevin (I)",Lombard
47595,Vincent,Lombard
47596,Manuel,Lombardero
47597,"Luigi M.","Lombardi Setriani"
47598,Alain,Lombardi
47599,Carlo,Lombardi
47600,"Francisco J.",Lombardi
47601,Gerd,Lombardi
47602,Giuseppe,Lombardi
47603,Louis,Lombardi
47604,"Michael J.",Lombardi
47605,"Paul J.",Lombardi
47606,Silvana,Lombardi
47607,Ugo,Lombardi
47608,Carlo,Lombardini
47609,"Greg (I)",Lombardo
47610,Lou,Lombardo
47611,"Paolo (I)",Lombardo
47612,Paul,Lombardo
47613,"Rick (I)",Lombardo
47614,"Gian Paolo",Lomi
47615,Grigori,Lomidze
47616,Sergei,Lomkin
47617,Ulli,Lommel
47618,Stig,Lommer
47619,Jan,Lomnicki
47620,Adjaratou,Lompo
47621,Stefano,Lonati
47622,Richard,Loncraine
47623,Eitan,Londner
47624,Briana,London
47625,Jeff,London
47626,Jeremy,London
47627,Jerry,London
47628,Jonathan,London
47629,Roy,London
47630,"Ana María",Londoño
47631,Kenneth,Lonergan
47632,Lloyd,Lonergan
47633,Steven,"Long Mitchell"
47635,"Chris (I)",Long
47636,Christopher,Long
47637,Dwight,Long
47638,Edmund,Long
47639,"Hal (II)",Long
47640,"Huey (I)",Long
47641,"Jack (III)",Long
47642,Jiang,Long
47643,"Jim (III)",Long
47644,Joan,Long
47645,Jon,Long
47646,"Kuen Moi",Long
47647,"Mike (II)",Long
47650,"Peter (III)",Long
47651,"Richard (I)",Long
47652,"Robert (IX)",Long
47653,"Rodney (I)",Long
47654,"Sean (I)",Long
47655,Shao-Ji,Long
47656,"Stanley A.",Long
47657,Stephanie,Long
47658,Sula,Long
47659,Tony,Long
47660,Tu,Long
47661,Van,Long
47662,William,Long
47663,Leo,Longanesi
47664,Patrick,Longchamps
47665,John,Longden
47666,"Emil Artur",Longen
47667,Brenda,Longfellow
47668,Matthew,Longfellow
47669,Raymond,Longford
47670,Maurizio,Longhi
47671,Roberto,Longhi
47672,Jean-Claude,Longin
47673,Kim,Longinotto
47674,Moby,Longinotto
47675,James,Longley
47676,Francesco,Longo
47677,Frank,Longo
47678,Ramiro,Longo
47679,"Robert (I)",Longo
47680,Sal,Longo
47681,Tiziano,Longo
47682,Angelo,Longoni
47683,Samantha,Longoni
47684,Bernard,Longpré
47685,Sue,Longstaff
47686,Harry,Longstreet
47687,Michel,Longuet
47688,René,Longueville
47689,Jean-Marc,Longval
47690,Ivan,Longyel
47691,Gordon,Lonsdale
47692,"Pamela (I)",Lonsdale
47693,"Timothy J.",Lonsdale
47694,Valeri,Lonskoy
47695,Katrijn,Lont
47696,Ng,Loo
47697,"Claus (II)",Loof
47698,Nils,Loof
47699,Richard,Looft
47700,Lydia,Look
47701,Alan,Looke
47702,Robert,Loomis
47703,Ti,Loon
47704,Shiao,Loong
47705,J.,Loop
47706,Peter,Loos
47707,Rob,Loos
47708,"Jan Willem",Looze
47709,Mark,Loparco
47710,Chris,Lopata
47711,Dean,Lopata
47712,Faust,Lopatinsky
47713,Raul,"Lopes Freire"
47714,António,"Lopes Ribeiro"
47715,Afonso,"Lopes Vieira"
47716,"António Luis",Lopes
47717,Djalma,Lopes
47718,"Fernando (I)",Lopes
47719,Frederico,Lopes
47720,Helena,Lopes
47721,"João (II)",Lopes
47722,Leão,Lopes
47723,"Luis Vidal",Lopes
47724,Miguel,Lopes
47725,Nivaldo,Lopes
47726,"Paulo Nuno",Lopes
47727,Priscilla,Lopes
47728,"Sidnei Paiva",Lopes
47729,"Victor (II)",Lopes
47730,Julie,Lopes-Curval
47731,Antonio,"Lopez Cardona"
47732,Hector,"Lopez Carmona"
47733,Raul,"Lopez Herrera"
47734,Roberto,"Lopez Marquez"
47735,Enrique,"Lopez Navarro"
47736,Pablo,"Lopez Paredes"
47737,Clara,"Lopez Rubio"
47738,Jerry,"Lopez Sineneng"
47739,Francisco,"Lopez Torres"
47740,Reynaldo,"Lopez Valdez"
47741,Antoine,Lopez
47742,"Daniel (III)",Lopez
47743,Ernest,Lopez
47744,"Francisco (V)",Lopez
47745,"Frank Perry",Lopez
47746,"Gabriel (I)",Lopez
47747,Guy,Lopez
47748,Gérard,Lopez
47749,"John S.",Lopez
47750,"Luis (I)",Lopez
47751,"Marcus G.",Lopez
47752,Massimo,Lopez
47753,Matt,Lopez
47754,Mike,Lopez
47755,Odilon,Lopez
47756,"Pedro Daniel",Lopez
47757,Seidy,Lopez
47758,Trina,Lopez
47759,Wiebaldo,Lopez
47760,Kamala,Lopez-Dawson
47761,Rodolfo,Lopezreal
47762,Stan,Lopresto
47763,Alice,Lops
47764,F.,Lopukhova
47765,Konstantin,Lopushansky
47766,Deeya,Loram
47767,Martín,Loran
47768,Cristián,Lorca
47769,Carter,Lord
47770,Cliff,Lord
47771,Del,Lord
47772,"Jack (I)",Lord
47773,Jean-Claude,Lord
47774,Jean-Sébastien,Lord
47775,"Martin (III)",Lord
47776,"Peter (I)",Lord
47777,"Pierre (II)",Lord
47779,"Stephen (I)",Lord
47781,Jean,Lordier
47782,Giga,Lordkipanidze
47783,Franck,Lords
47784,Frank,Lords
47786,"Dominique (I)",Loreau
47787,Olivier,Lorelle
47788,"Alejo (I)",Loren
47789,"Julian Keith",Loren
47790,Nikola,Lorencin
47792,Germán,Lorente
47793,Lech,Lorentowicz
47794,"Erik (I)",Lorentz
47795,Michael,Lorentz
47796,Nathan,Lorentz
47797,Pare,Lorentz
47798,"Svend Aage",Lorentz
47799,Morten,Lorentzen
47800,"Bernd Daktari",Lorenz
47801,Gerald,Lorenz
47802,Juliane,Lorenz
47803,Cyril,Lorenzana
47804,Anton,Lorenze
47805,Jan,Lorenzen
47806,Antoine,Lorenzi
47807,Jean-François,Lorenzi
47808,Jean-Louis,Lorenzi
47809,Stefano,Lorenzi
47810,Stellio,Lorenzi
47811,Ennio,Lorenzini
47812,Lorenzo,Lorenzini
47813,"José Ramón","Lorenzo Picado"
47814,Fulco,Lorenzo
47815,Manuel,Lorenzo
47816,Santiago,Lorenzo
47817,"Siro Manuel",Lorenzo
47818,Nicanor,Loreti
47819,Fabrizio,Lori
47820,Marceline,"Loridan Ivens"
47821,Peter,Lories
47822,Ray,Loriga
47823,Ian,Lorimer
47824,Eugene,Loring
47825,Ken,Loring
47826,"Thomas Z.",Loring
47827,James,Lorinz
47828,Guy,Loriquet
47829,"Sam B.",Lorn
47830,Harry,Lorraine
47831,Chuck,Lorre
47832,"Peter (I)",Lorre
47833,Vere,Lorrimer
47834,Olivier,Lorsac
47835,Claude,Lortie
47836,Sean,Lorton
47837,William,Lorton
47838,Giga,Lortqipanidze
47839,Dennis,Lortz
47840,Mauro,Losa
47841,Luis,Losada
47842,Santiago,Losada
47843,Rolf,Losansky
47846,Joseph,Losey
47847,Marie,Losier
47848,Chris,Losnegard
47849,Jill,Losquadro
47850,Nicholas,Losse
47851,Daniel,Losset
47852,Yigal,Lossin
47853,"Ernest A.",Losso
47854,Marc,Lostracco
47855,Oded,Lotan
47856,Eli,Lotar
47857,Emil,Loteanu
47858,Wendy,Loten
47859,Steve,Loter
47860,Gholam-Hossein,Lotfi
47861,Rambod,Lotfi
47862,Stanislaw,Loth
47863,"Ernst (III)",Lothar
47864,Frank,Lothar
47865,Ralph,Lothar
47866,Jack,Lothian
47867,Philip,Lott
47868,Beat,Lottaz
47869,Sydney,Lotterby
47870,Sahara,Lotti
47871,Eb,Lottimer
47872,Karl-Heinz,Lotz
47873,Jian,Lou
47874,Martin,Lou
47877,Patrick,Loubert
47878,Nathalie,Loubeyre
47879,Jean,Loubignac
47880,Christopher,Loucks
47881,Harry,Loud
47882,Chris,Louden
47883,Bob,Loudin
47884,Jean-Martin,Louembet
47885,Gilbert,Louet
47886,Fred,Louf
47887,"Adam Bhala",Lough
47888,Robin,Lough
47889,W.B.,Loughead
47890,Glen,Lougheed
47891,"John (I)",Loughlin
47892,Roisin,Loughrey
47893,Taieb,Louhichi
47894,Aku,Louhimies
47895,Aku,Louhimäki
47896,Bryan,Louie
47897,Guymond,Louie
47898,Benjamin,Louis
47900,S.,Louis
47901,Will,Louis
47902,Peter,Louis-Jensen
47903,Todd,Louiso
47904,Dimitris,Loukatos
47905,Michael,Loukinen
47906,Alexandros,Loukos
47907,Vassilis,Loules
47908,Ioannis,Loumos
47909,John,Lounsbery
47910,"Ruth Ozeki",Lounsbury
47911,"Jean (II)",Loup
47912,Stathis,Loupas
47913,Philippe,Lourdou
47914,Gilberto,Loureiro
47915,"Oswaldo (II)",Loureiro
47916,Tiago,Lourenço
47917,"David (IV)",Lourie
47918,Eugène,Lourié
47919,Claude,Loursais
47920,Vincent,Loury
47921,Frédéric,Loustalot
47922,Olivier,Loustau
47923,Jan,Louter
47924,"Guy J.",Louthan
47925,Gérard,Louvin
47926,Derrick,Louw
47927,Max,Louw
47928,Oswaldo,Louzada
47929,Eric,Louzil
47930,Ninoslav,Lovcevic
47931,Gareth,Love
47932,Gary,Love
47933,Jennifer,Love
47935,Kenneth,Love
47936,Nick,Love
47937,Pamella,Love
47940,"Tony (I)",Love
47941,Cheri,Lovedog
47942,"Tim (II)",Lovejoy
47943,Asha,Lovelace
47944,Alan,Lovell
47945,Lexy,Lovell
47946,Louise,Lovely
47947,Charlie,Loventhal
47948,Anthony,Lover
47949,Graham,Loveridge
47950,Grant,Lovering
47951,Jeremy,Lovering
47952,Otho,Lovering
47953,Joe,Lovero
47954,Chris,Lovett
47955,"Joseph (II)",Lovett
47956,"Joseph F.",Lovett
47957,Angie,Loving
47958,Virginie,Lovisone
47959,Bert,Lovitt
47960,Zane,Lovitt
47961,Lori,Lovoy-Goran
47962,Mate,Lovric
47963,Alex,Lovy
47964,Robert,Lovy
47965,Steven,Lovy
47966,Adam,Low
47967,Bryant,Low
47968,Colin,Low
47969,Dorothy,Low
47970,Rachel,Low
47971,Sam,Low
47972,"Stephen (I)",Low
47973,Al,Lowe
47974,Amy,Lowe
47975,Blackhorse,Lowe
47976,"Chad (I)",Lowe
47977,"Chris (I)",Lowe
47978,"David (III)",Lowe
47979,"David L.",Lowe
47980,Felicia,Lowe
47981,"George (I)",Lowe
47982,Lucas,Lowe
47983,"Rob (I)",Lowe
47984,"Tim (II)",Lowe
47985,Wesley,Lowe
47986,Ogden,Lowell
47987,"Ross (I)",Lowell
47988,Celia,Lowenstein
47989,Richard,Lowenstein
47990,Stephen,Lowenstein
47992,John,Lowenthal
47993,Mark,Lowenthal
47994,Robert,Lower
47995,"Christina (II)",Lowery
47996,"David (IV)",Lowery
47997,William,Lowery
47998,Andrew,Lowes
47999,Teodoro,Lowey
48000,Jay,Lowi
48001,Declan,Lowney
48002,Chris,Lowry
48003,Dick,Lowry
48004,Fred,Lowry
48005,"Ira M.",Lowry
48006,"James E.",Lowry
48007,"Mark (I)",Lowry
48008,"Peter (II)",Lowry
48009,"Richard (II)",Lowry
48010,"Richard (III)",Lowry
48011,Rico,Lowry
48012,George,Lowther
48013,Jim,Lowther
