id,compound_id,species_text,species_accession,component_text,component_accession,strain_text,source_type,source_accession,comments
22781,134558,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22782,134559,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22783,134560,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22784,134561,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22785,134562,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22786,134563,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22787,134564,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22788,134565,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22789,134566,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22790,134568,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22791,134569,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22792,134570,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22793,9440,Epicoccum sorghinum,NCBI:txid749593,,,,PubMed Id,28126937,
22794,9440,Alternaria alternata,NCBI:txid5599,,,,PubMed Id,19486420,
22795,9440,Homo sapiens,NCBI:txid9606,urine,BTO:0001419,,PubMed Id,23397093,
22796,137699,Methanobacterium  thermoautotrophicum,NCBI:txid145262,,,,PubMed Id,3691535,
22797,137699,Methanospirillum  hungatei,NCBI:txid2203,,,,PubMed Id,3691535,
22798,137699,Methanosarcina acetivorans,NCBI:txid188937,,,C2A,PubMed Id,27846569,
22799,137699,Methanobrevibacter arboriphilus,NCBI:txid39441,,,,PubMed Id,3691535,
22800,137728,Homo sapiens,NCBI:txid9606,,,,PubMed Id,27871026,
22801,137725,Homo sapiens,NCBI:txid9606,urine,BTO:0001419,,PubMed Id,23756370,
22802,137749,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,9920859,
22803,137754,Homo sapiens,NCBI:txid9606,,,,PubMed Id,18287092,
22804,137790,Homo sapiens,NCBI:txid9606,urine,BTO:0001419,,PubMed Id,17058234,
22805,137791,Homo sapiens,NCBI:txid9606,,,,PubMed Id,23756370,
22806,137799,Homo sapiens,NCBI:txid9606,,,,PubMed Id,23756370,
22807,137807,Homo sapiens,NCBI:txid9606,,,,PubMed Id,23756265,
22808,137812,Homo sapiens,NCBI:txid9606,urine,BTO:0001419,,PubMed Id,23756265,
22809,137817,Homo sapiens,NCBI:txid9606,urine,BTO:0001419,,PubMed Id,21255593,
22810,137822,Homo sapiens,NCBI:txid9606,urine,BTO:0001419,,PubMed Id,23756265,
22811,134567,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22812,134571,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22813,134572,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22814,137836,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22815,134574,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22816,134575,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22817,134587,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22818,134576,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22819,134578,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22820,134579,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22821,134580,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22822,134581,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22823,134583,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22824,134584,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22825,134585,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22826,134586,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22827,134588,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22828,134589,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22829,134590,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22830,134591,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22831,134592,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22832,134593,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22833,134595,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22834,134596,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22835,134598,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22836,134599,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22837,134601,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22838,61042,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22839,61042,Homo sapiens,NCBI:txid9606,,,,PubMed Id,21545139,
22840,134603,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22841,134604,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22842,134623,Staphylococcus aureus,NCBI:txid1280,,,,MetaboLights,MTBLS370,
22843,134623,Candida albicans,NCBI:txid5476,,,,MetaboLights,MTBLS370,
22844,134625,Staphylococcus aureus,NCBI:txid1280,,,,MetaboLights,MTBLS370,
22845,134625,Candida albicans,NCBI:txid5476,,,,MetaboLights,MTBLS370,
22846,137829,Homo sapiens,NCBI:txid9606,,,,PubMed Id,23756265,
22847,137921,Homo sapiens,NCBI:txid9606,,,,PubMed Id,23756265,
22848,137921,Rattus norvegicus,NCBI:txid10116,,,,PubMed Id,12191677,
22849,137015,Thermotoga maritima,NCBI:txid2336,,,,PubMed Id,23441918,
22850,137932,Thermotoga maritima,NCBI:txid2336,,,,PubMed Id,23441918,
22852,137932,Paracoccus laeviglucosivorans,NCBI:txid1197861,,,,PubMed Id,23038265,
22853,136972,Homo sapiens,NCBI:txid9606,,,,PubMed Id,21561814,
22854,136975,Rattus norvegicus,NCBI:txid10116,,,,PubMed Id,28219710,
22855,136975,Homo sapiens,NCBI:txid9606,,,,PubMed Id,26180245,
22856,134637,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22857,134638,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22858,134640,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22859,134639,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22860,134642,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22861,134643,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22862,134644,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22863,134648,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
22864,134653,Apis cerana,NCBI:txid7461,,,,MetaboLights,MTBLS379,
22865,5850,Apis cerana,NCBI:txid7461,,,,MetaboLights,MTBLS379,
22866,134196,Bacillus subtilis,NCBI:txid1423,,,,PubMed Id,21534620,
22867,134196,Apis cerana,NCBI:txid7461,,,,MetaboLights,MTBLS379,
22868,94686,Streptomyces toxytricini,NCBI:txid67369,,,,Article,EP129748,Isolated from fermentation broth
22869,17688,Nicotiana tabacum,NCBI:txid4097,,,,PubMed Id,11559179,
22870,18362,Catharanthus roseus,NCBI:txid4058,,,,Article,"Heterocycles, 1986, v24, 2415",
22871,138026,Homo sapiens,NCBI:txid9606,blood serum,BTO:0000133,,PubMed Id,26239050,
22872,136988,Homo sapiens,NCBI:txid9606,,,,PubMed Id,20702771,
22873,136989,Homo sapiens,NCBI:txid9606,,,,PubMed Id,27000802,
22874,136990,Homo sapiens,NCBI:txid9606,,,,PubMed Id,21689782,
22875,136991,Homo sapiens,NCBI:txid9606,,,,PubMed Id,21689782,
22876,136992,Homo sapiens,NCBI:txid9606,,,,PubMed Id,27000802,
22878,5356,Ginkgo biloba,NCBI:txid3311,root,BTO:0001188,,PubMed Id,15038029,Isolated from root bark
46193,137031,Homo sapiens,NCBI:txid9606,urine,BTO:0001419,,PubMed Id,22773874,
46194,137032,Homo sapiens,NCBI:txid9606,urine,BTO:0001419,,PubMed Id,22773874,
62619,69441,Homo sapiens,NCBI:txid9606,,,,MetaboLights,MTBLS226,From MetaboLights
62620,69441,Homo sapiens,NCBI:txid9606,,,,MetaboLights,MTBLS150,From MetaboLights
64058,17745,Brassica napus,NCBI:txid3708,leaf lamina,BTO:0000719,,MetaboLights,MTBLS309,From MetaboLights
64587,89351,Brassica napus,NCBI:txid3708,,,,MetaboLights,MTBLS312,From MetaboLights
65894,65665,Nicotiana attenuata,NCBI:txid49451,,,,MetaboLights,MTBLS335,From MetaboLights
66464,88543,Homo sapiens,NCBI:txid9606,urine,BTO:0001419,,MetaboLights,MTBLS280,From MetaboLights
66466,88543,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,MetaboLights,MTBLS280,From MetaboLights
68415,88987,Homo sapiens,NCBI:txid9606,blood serum,BTO:0000133,,MetaboLights,MTBLS92,From MetaboLights
69621,42027,Homo sapiens,NCBI:txid9606,saliva,UBERON:0001836,,MetaboLights,MTBLS178,From MetaboLights
69624,42027,Mus musculus,NCBI:txid10090,brain,BTO:0000142,,MetaboLights,MTBLS378,From MetaboLights
70823,75340,Homo sapiens,NCBI:txid9606,,,,MetaboLights,MTBLS358,
74221,69061,Cucumaria,MESH:D048016,,,,MetaboLights,MTBLS336,From MetaboLights
75824,15837,Starmerella bacillaris,NCBI:txid1247836,,,,MetaboLights,MTBLS212,From MetaboLights
75826,15837,Vitis vinifera,NCBI:txid29760,,,,MetaboLights,MTBLS212,From MetaboLights
76910,88758,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,MetaboLights,MTBLS358,From MetaboLights
76913,77518,Starmerella bacillaris,NCBI:txid1247836,,,,MetaboLights,MTBLS212,From MetaboLights
76914,77518,Vitis vinifera,NCBI:txid29760,,,,MetaboLights,MTBLS212,From MetaboLights
81091,69581,Brassica napus,NCBI:txid3708,,,,MetaboLights,MTBLS309,From MetaboLights
81866,34128,Mus musculus,NCBI:txid10090,,,,MetaboLights,MTBLS278,From MetaboLights
82553,89420,Ovis aries,NCBI:txid9940,,,,MetaboLights,MTBLS322,From MetaboLights
84495,89228,Mus musculus,NCBI:txid10090,,,,MetaboLights,MTBLS345,From MetaboLights
84944,69187,Homo sapiens,NCBI:txid9606,,,,MetaboLights,MTBLS191,From MetaboLights
84954,69188,Brassica napus,NCBI:txid3708,,,,MetaboLights,MTBLS309,From MetaboLights
84958,69188,Mus musculus,NCBI:txid10090,,,,MetaboLights,MTBLS345,From MetaboLights
88411,137585,Homo Sapiens,NCBI:txid9606,,,,PubMed Id,27642067	,
88412,137585,Mus musculus,NCBI:txid10090,,,,PubMed Id,27642067	,
88413,137581,Homo Sapiens,NCBI:txid9606,,,,PubMed Id,27642067,
88414,137581,Mus musculus,NCBI:txid10090,,,,PubMed Id,27642067,
88415,137053,Mus musculus,NCBI:txid10090,,,,PubMed Id,23910990,
88416,137053,Homo sapiens,NCBI:txid9606,,,,PubMed Id,25017465,
88417,137061,Homo sapiens,NCBI:txid9606,,,,PubMed Id,25017465,
88418,137057,Manduca sexta,NCBI:txid7130,,,,PubMed Id,9014337,
88419,137057,Homo sapiens,NCBI:txid9606,,,,PubMed Id,25017465,
88420,137057,Drosophila melanogaster,NCBI:txid7227,,,,PubMed Id,11476936,
88421,137057,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,WO2011067144,
88422,137062,Homo sapiens,NCBI:txid9606,,,,PubMed Id,21813643,
88423,137063,Homo sapiens,NCBI:txid9606,,,,PubMed Id,21813643,
88424,137077,Homo sapiens,NCBI:txid9606,,,,PubMed Id,12649386,
88425,137077,Rattus norvegicus,NCBI:txid10116,,,,PubMed Id,15721200,
88426,138105,Bacillus subtilis,NCBI:txid1423,,,,PubMed Id,21538109,
88427,138110,Homo sapiens,NCBI:txid9606,,,,PubMed Id,28655971,
88428,137172,Homo sapiens,NCBI:txid9606,,,,PubMed Id,12244105,
88429,137176,Homo sapiens,NCBI:txid9606,,,,PubMed Id,12244105,
88430,137178,Homo sapiens,NCBI:txid9606,,,,PubMed Id,12244105,
88431,138135,Homo sapiens,NCBI:txid9606,,,,PubMed Id,8555216,
88432,138136,Homo sapiens,NCBI:txid9606,,,,PubMed Id,8555216,
88433,34131,Mus musculus,NCBI:txid10090,,,,PubMed Id,21193584,
88434,138144,Mus musculus,NCBI:txid10090,,,,PubMed Id,12907422,
89991,17196,Homo sapiens,NCBI:txid9606,,,,MetaboLights,MTBLS226,From MetaboLights
89992,17196,Homo sapiens,NCBI:txid9606,,,,MetaboLights,MTBLS425,From MetaboLights
89993,17196,Homo sapiens,NCBI:txid9606,,,,MetaboLights,MTBLS140,From MetaboLights
89994,17196,Homo sapiens,NCBI:txid9606,,,,MetaboLights,MTBLS337,From MetaboLights
89995,17196,Homo sapiens,NCBI:txid9606,,,,MetaboLights,MTBLS290,From MetaboLights
89997,17196,Homo sapiens,NCBI:txid9606,,,,MetaboLights,MTBLS152,From MetaboLights
89998,17196,Homo sapiens,NCBI:txid9606,,,,MetaboLights,MTBLS20,From MetaboLights
89999,17196,Homo sapiens,NCBI:txid9606,,,,MetaboLights,MTBLS177,From MetaboLights
90000,17196,Homo sapiens,NCBI:txid9606,,,,MetaboLights,MTBLS280,From MetaboLights
90146,88970,Homo sapiens,NCBI:txid9606,blood serum,BTO:0000133,,MetaboLights,MTBLS92,From MetaboLights
90784,138149,Rattus norvegicus,NCBI:txid10116,,,,PubMed Id,8555216,
90785,80249,Mus musculus,NCBI:txid10090,,,,PubMed Id,25268135,
90786,80249,Rattus norvegicus,NCBI:txid10116,,,,PubMed Id,25268135,
90787,80249,Pichia pastoris,NCBI:txid4922,,,,PubMed Id,24752560,
90788,80304,Homo sapiens,NCBI:txid9606,,,,PubMed Id,26089302,
90789,17803,Sclerotinia sclerotiorum,NCBI:txid5180,,,,PubMed Id,7612007,
90790,134676,Apis cerana,NCBI:txid7461,,,,MetaboLights,MTBLS379,
90791,134690,Clitocybe amoenolens,NCBI:txid1144693,,,,PubMed Id,12882485,
90792,134690,Apis cerana,NCBI:txid7461,,,,MetaboLights,MTBLS379,
90793,134693,Apis cerana,NCBI:txid7461,,,,MetaboLights,MTBLS379,
90794,28155,Apis cerana,NCBI:txid7461,,,,MetaboLights,MTBLS379,
90795,10552,Paramichelia baillonii,NCBI:txid86754,,,,Article,"Acta Botanica Yunnanica 23(1): 115-120, 134",
90796,10552,Liriodendron tulipifera,NCBI:txid3415,leaf,BTO:0000713,,PubMed Id,24705566,
90797,10552,Liriodendron chinense,NCBI:txid3414,,,,Article,"Acta Botanica Yunnanica 23(1): 115-120, 134",
90798,10552,Apis cerana,NCBI:txid7461,,,,MetaboLights,MTBLS379,
90799,134646,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90800,134647,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90801,134649,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90802,136058,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90803,136059,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90804,136060,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90805,136062,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90806,136063,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90807,136064,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90808,136066,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90809,136068,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90810,136069,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90811,136070,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90812,136072,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90813,136099,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90814,136111,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90815,136071,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90816,136073,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90817,136074,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90818,136075,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90819,136076,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90820,136077,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90821,136079,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90822,136080,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90823,136081,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90824,136085,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90825,136082,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90826,136086,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90827,136087,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90828,136088,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90829,136089,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90830,136090,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90831,136091,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90832,136092,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90833,136093,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90834,136094,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90835,136083,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90836,136095,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90837,136096,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90838,136084,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90839,136098,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90840,136100,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90841,136101,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90842,136102,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90843,136103,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90844,136104,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90845,136109,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90846,136114,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90847,136116,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90848,136119,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90849,138179,Homo sapiens,NCBI:txid9606,,,,PubMed Id,17244615,
90850,138186,Homo sapiens,NCBI:txid9606,,,,PubMed Id,19597036,
90851,138190,Homo sapiens,NCBI:txid9606,,,,PubMed Id,19450703,
90852,137404,Rattus norvegicus,NCBI:txid10116,,,,PubMed Id,5263,
90853,137404,Homo sapiens,NCBI:txid9606,faeces,UBERON:0001988,,PubMed Id,18469256,
90854,137404,Eubacterium limosum,NCBI:txid1736,,,,PubMed Id,9688274,
90855,138196,Rattus norvegicus,NCBI:txid10116,,,,PubMed Id,2508746,
90856,138196,Mus musculus,NCBI:txid10090,,,,PubMed Id,24632148,
90857,138201,Mus musculus,NCBI:txid10090,,,,PubMed Id,24632148,
90858,138202,Homo sapiens,NCBI:txid9606,,,,PubMed Id,27791009,
90859,138206,Homo sapiens,NCBI:txid9606,,,,PubMed Id,27791009,
90860,138209,Homo sapiens,NCBI:txid9606,,,,PubMed Id,27791009,
90861,138237,Mycobacterium tuberculosis,NCBI:txid1773,,,,PubMed Id,23118010,
90862,138248,Homo sapiens,NCBI:txid9606,,,,PubMed Id,25036362,
90863,138236,Isodon rubescens,NCBI:txid587669,leaf,BTO:0000713,,PubMed Id,28259901,
90864,137522,Streptomyces violaceusniger,NCBI:txid68280,,,,PubMed Id,24626486,
90865,137522,Streptomyces malaysiensis,NCBI:txid92644,,,,PubMed Id,28247907,
90866,137522,Leptopgraphium lundbergii,NCBI:txid96373,,,,PubMed Id,25171145,
90867,138279,Homo sapiens,NCBI:txid9606,,,,PubMed Id,22844113,
90868,138281,Homo sapiens,NCBI:txid9606,,,,PubMed Id,22844113,
90869,138283,Sphingomonas sp.,NCBI:txid28214,,,KC8,PubMed Id,28552583,
90870,138285,Sphingomonas sp.,NCBI:txid28214,,,KC8,PubMed Id,28552583,
90872,137533,Pelargonium quercetorum,NCBI:txid158602,cotyledon,BTO:0000300,,PubMed Id,17365684,Obtained from the essential oil
90873,137533,Sabina chinensis,NCBI:txid50182,leaf,BTO:0000713,,PubMed Id,16830472,
90874,137533,Pinus massoniana,NCBI:txid88730,amniotic fluid,BTO:0000068,,Article,"Journal of Xiamen University. Natural science 41, 584-588",Obtained from the essential oil of the needles
90875,137533,Cupressus lusitanica,NCBI:txid103968,leaf,BTO:0000713,,PubMed Id,16830472,
90876,137533,Kundmannia sicula,NCBI:txid1094597,aerial part,BTO:0001658,,PubMed Id,18463583,Obtained from the essential oil of the aerial parts
90877,137533,Alseuosmia macrophylla,NCBI:txid49583,flower,BTO:0000469,,DOI,10.1080/10412905.1996.9700590,Obtained from the essential oil of the flowers
90878,137533,Nepeta persica,IPNI:452651-1,root,BTO:0001188,,PubMed Id,20433086,Obtained from the essential oil of the roots
90879,138291,Rattus norvegicus,NCBI:txid10116,,,,PubMed Id,6806263,
90880,138291,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,6806263,
90881,34727,Pseudo-nitzschia,NCBI:txid41953,,,,PubMed Id,28817087,
90882,136121,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90883,136122,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90884,136120,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90885,136123,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90886,136124,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90887,136126,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90888,136129,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90889,136130,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90890,136141,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90891,136142,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90892,136157,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90893,136133,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90894,136127,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90895,136134,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90896,136135,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90897,136136,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90898,136137,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90899,136138,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90900,136125,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90901,136145,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90902,136146,Papio hamadryas,NCBI:txid9557,,,,MetaboLights,MTBLS426,
90903,3291,Coffea arabica,NCBI:txid13443,,,,Article,"Clarke, R.J. and Macrae, R. (2013). <i>Coffee Volume 1: Chemistry</i>. Springer, New York. ISBN 978-9401086936",
90904,137994,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,27865643,
90905,137995,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,27865643,
90906,138332,Mus musculus,NCBI:txid10090,,,,PubMed Id,9822682,
90907,138361,Mus musculus,NCBI:txid10090,,,,PubMed Id,27642067,
90908,138361,Homo sapiens,NCBI:txid9606,,,,PubMed Id,27642067,
90909,81308,Cyprinus carpio,NCBI:txid7962,,,,PubMed Id,12810826,
90910,81308,Sus scrofa,NCBI:txid9823,faeces,UBERON:0001988,,PubMed Id,11041240,
90911,81308,Petromyzon marinus,NCBI:txid7757,,,,PubMed Id,12460600,
90912,81308,Rattus norvegicus,NCBI:txid10116,,,,PubMed Id,24940599,
90913,81308,Homo sapiens,NCBI:txid9606,faeces,UBERON:0001988,,PubMed Id,5965294,
90914,81308,Oryctolagus cuniculus,NCBI:txid9986,,,,PubMed Id,5073332,
90915,81308,Carpiodes carpio,NCBI:txid154811,,,,PubMed Id,4644219,
90916,81308,Bos taurus,NCBI:txid9913,,,,PubMed Id,4673765,
90917,81308,Uromastix hardwickii,NCBI:txid40250,,,,PubMed Id,1255017,
90918,81276,Rattus norvegicus,NCBI:txid10116,,,,PubMed Id,6031333,
90919,81276,Arius platystomus,NCBI:txid1455662,,,,PubMed Id,26142515,
90920,50250,Mentha x piperita,NCBI:txid34256,,,,PubMed Id,16663900,
90921,138388,Aloe arborescens var. natalensis,NCBI:txid45386,leaf,BTO:0000713,,PubMed Id,10552708,
90922,138389,Bacillus sp.,NCBI:txid1409,,,,PubMed Id,10585964,
90923,138247,Sordaria araneosa,NCBI:txid573841,,,,Article,"Kato, J. Chem. Soc., Chem. Commun., 1993, 1002",
90924,138243,Isodon rubescens,NCBI:txid587669,leaf,BTO:0000713,,PubMed Id,22565549,
90925,138166,Isodon rubescens,NCBI:txid58766,leaf,BTO:0000713,,PubMed Id,28445526,
90926,138166,Cryptomeria japonica,NCBI:txid3369,leaf,BTO:0000713,,PubMed Id,23714012,Found in essential oil from leaves
90927,10278,Cryptomeria japonica,NCBI:txid3369,leaf,BTO:0000713,,PubMed Id,23714012,Found in essential oil from leaves
90928,62513,Cryptomeria japonica,NCBI:txid3369,leaf,BTO:0000713,,PubMed Id,23714012,Found in essential oil from leaves
90929,138166,Callitropsis vietnamensis,NCBI:txid257623,leaf,BTO:0000713,,PubMed Id,AGR:IND43895555,Found in essential oil from leaves
90930,138166,Hesperocyparis arizonica,NCBI:txid49011,leaf,BTO:0000713,,PubMed Id,AGR:IND20603548,Found in leaf oil
90931,138166,Taxodium distichum,NCBI:txid28982,heartwood,PO:0004512,,PubMed Id,24276129,
90932,138166,Thuja standishii,NCBI:txid89194,,,,Article,"J. Pharm. Soc. Japan, 1970, v91, 664",
90933,138303,Lycopodium clavatum,NCBI:txid3252,,,,PubMed Id,12677532,
90934,138303,Diphasiastrum complanatum,NCBI:txid34168,,,,PubMed Id,17850835,
90935,138303,Dendrolycopodium obscurum,NCBI:txid62333,whole plant,BTO:0001461,,PubMed Id,20055158,
90936,138303,Palhinhaea cernua,NCBI:txid73621,,,,PubMed Id,16872152,
90937,138303,Ononis cristata,NCBI:txid797998,root,BTO:0001188,,Article,"Rowan, M.G. and Dean, P.G.D., Phytochemistry,  1972, 11, 3263",
