DIAMETER_MM;INSTALLATION_DATE;MATERIAL;Geom
100;1929-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09992623522284, 49.24565174341847], [-123.09992827088833, 49.24560517333208]]}"
150;1961-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09907645877372, 49.247653212838145], [-123.09907711878371, 49.24763971942615]]}"
150;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13361798768835, 49.26522808771272], [-123.13361899887855, 49.26519534399786]]}"
150;1968-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0801645267349, 49.22611797956181], [-123.08202921887278, 49.226149494209636]]}"
150;1961-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09908775449833, 49.24746160473467], [-123.09908840280217, 49.24744226443207]]}"
200;1969-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12695099218494, 49.27550238972259], [-123.12693598274863, 49.27549296126451]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12611221569342, 49.27704397689064], [-123.12610000077791, 49.277036083453176]]}"
200;1947-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09063864415451, 49.232862320199295], [-123.09063883948177, 49.232856464136056]]}"
200;1951-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12273039557493, 49.274861059225515], [-123.12284829150057, 49.27493663745203]]}"
300;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08008224275548, 49.245456039924164], [-123.08008583160142, 49.24534733903493]]}"
200;1926-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12815982328233, 49.27837430663334], [-123.12826790941813, 49.27830293584885]]}"
150;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13362023385413, 49.26539818443479], [-123.1336148095738, 49.26550695172427]]}"
200;1945-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08915051807398, 49.20838620813258], [-123.08891167769063, 49.208406190864515]]}"
200;1927-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13928101267227, 49.28149243460133], [-123.13932164859155, 49.28151892139329]]}"
300;1927-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13940544383145, 49.28157441054001], [-123.13933912883628, 49.281530279218096]]}"
200;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.076385590271, 49.24247820576533], [-123.07636987179889, 49.24299407503974]]}"
200;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07636987179889, 49.24299407503974], [-123.07636789015055, 49.24305433544296]]}"
300;1959-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08263260844699, 49.23274027689718], [-123.08251895400757, 49.23273888291664]]}"
200;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08511304922587, 49.22543887715474], [-123.0840095029375, 49.225420803914695]]}"
200;1927-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13818253811068, 49.28077683757663], [-123.13807686484091, 49.28070460666426]]}"
150;1930-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09090040538861, 49.226547101291416], [-123.09082622354748, 49.22654563944136]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14080251046698, 49.28785079086196], [-123.14079043184947, 49.28785872132832]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1260895351353, 49.277029456426774], [-123.12610000077791, 49.277036083453176]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12808276321633, 49.278332429544214], [-123.12815321028242, 49.27837966610226]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12450341129133, 49.25614322849833], [-123.12450476203543, 49.25610656253198]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12451803095675, 49.255382891848456], [-123.12451832643919, 49.25537470588006]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1314997248367, 49.27765252235689], [-123.13147296215419, 49.27767018337378]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12425037073648, 49.280091951943746], [-123.12484807114032, 49.28048213930705]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13458106729117, 49.278090377307706], [-123.13526078979677, 49.27764405211562]]}"
150;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08316912393913, 49.21981878053514], [-123.08302161950624, 49.21981643093338]]}"
300;1946-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1025169240462, 49.20753210642574], [-123.10252091839439, 49.2075051529809]]}"
300;1959-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08276379031857, 49.23274180213405], [-123.08270953176381, 49.23274112137374]]}"
300;1938-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12403263725717, 49.27864960151803], [-123.12452634506734, 49.27832276123315]]}"
300;1938-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12461760816099, 49.27826239511231], [-123.12477957114524, 49.2781547278768]]}"
100;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12402977543498, 49.27992624583462], [-123.12415898134127, 49.27984063486226]]}"
150;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08186341989537, 49.212905177220364], [-123.08184694324478, 49.212905188896436]]}"
200;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07620119189545, 49.2483910113359], [-123.07623482229076, 49.24743215166247]]}"
200;1928-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14108539655477, 49.282021590830226], [-123.14074966917849, 49.28224384834795]]}"
200;1974-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0891968584295, 49.22548955172445], [-123.08917144999559, 49.22548930148286]]}"
150;1932-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08846529378118, 49.22266988215237], [-123.09060358039214, 49.22270195705789]]}"
150;1947-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09119360441349, 49.2117830244105], [-123.09101512365996, 49.21178233761574]]}"
200;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13204081747412, 49.25188833273257], [-123.13205123863587, 49.25193149790444]]}"
150;1955-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1320561122331, 49.251950382307456], [-123.13205123863587, 49.25193149790444]]}"
200;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07623666128636, 49.247377189592264], [-123.0762684696392, 49.24645836871855]]}"
200;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07629833257184, 49.24543693135309], [-123.0761380848774, 49.24543496816946]]}"
150;1953-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14097416134346, 49.26610215386176], [-123.14100082044648, 49.26547749434514]]}"
200;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13849434571904, 49.260824183339956], [-123.13847579032348, 49.260823755819864]]}"
150;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0907765607329, 49.21304219813778], [-123.08948657292729, 49.21301273767954]]}"
150;1929-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.09421782441217, 49.213088394800835], [-123.09421745027515, 49.21310827468483]]}"
200;1947-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0903764755986, 49.23296687953423], [-123.0903641122896, 49.232966439443125]]}"
200;1909-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12251476872812, 49.27688976581159], [-123.1226245138274, 49.276958759411706]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14104954015154, 49.28768696640253], [-123.14080251046698, 49.28785079086196]]}"
200;1948-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12431260332234, 49.275875788141875], [-123.12438544318898, 49.27582769344235]]}"
150;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1198554145783, 49.258774584976756], [-123.11958809843914, 49.258770724174916]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.11998570554582, 49.25877650964731], [-123.11998867306436, 49.258702386000316]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12002807156094, 49.25773186032164], [-123.12002819568468, 49.25772637311105]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12002819568468, 49.25772637311105], [-123.12002831893588, 49.25772052609273]]}"
200;1969-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12673974696403, 49.275365004233656], [-123.12671564905189, 49.27534973884259]]}"
200;1947-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12697607757029, 49.27538813226094], [-123.1272891625266, 49.27518136619617]]}"
200;1947-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12655355529877, 49.27566437028228], [-123.12673266143433, 49.27554535653768]]}"
300;1983-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12733967741855, 49.27372545702481], [-123.12734049445487, 49.273775829194584]]}"
300;1983-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12739449572159, 49.27381903653783], [-123.12741281431232, 49.2738324191741]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12439966110301, 49.27594347318637], [-123.12432591942327, 49.27589538332397]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1239859482489, 49.275677597327594], [-123.123492724323, 49.27535208592634]]}"
200;1952-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07697574374937, 49.236815443895544], [-123.07684387636682, 49.23681277014492]]}"
300;1954-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.12842929107354, 49.2757398661736], [-123.12855445788806, 49.275657178144186]]}"
300;1954-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.12841036468149, 49.27575222860631], [-123.12842929107354, 49.2757398661736]]}"
300;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08004651652188, 49.246550433669874], [-123.08004820533695, 49.24649870092206]]}"
150;1968-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08152179341663, 49.22705904062594], [-123.08194190306988, 49.22706697405363]]}"
300;1956-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0780374607533, 49.24868892191692], [-123.07802921646076, 49.248688918490124]]}"
150;1972-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09997552395787, 49.24452435499726], [-123.09997619911869, 49.24451850750986]]}"
200;1930-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0987515283092, 49.24868542379932], [-123.09853029944186, 49.24868182569329]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13326059771427, 49.29286912407018], [-123.13322253132124, 49.292895101012064]]}"
150;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08287646933758, 49.22256063267935], [-123.08287646422312, 49.22255757429145], [-123.0828947861439, 49.22202496021846]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09012879198806, 49.244521140448796], [-123.09013032593457, 49.24446562965536]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09024217451945, 49.241063525354534], [-123.09025175632055, 49.240893507819145]]}"
200;1948-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12585345129716, 49.27485836547062], [-123.1257673234571, 49.27491314999884]]}"
200;1953-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12822851019455, 49.2745551889008], [-123.12798862438339, 49.27455410558604]]}"
200;1953-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12798862438339, 49.27455410558604], [-123.12717620159462, 49.27509242921475]]}"
200;1953-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12733047538912, 49.27520830624447], [-123.12734286809881, 49.27521593849789]]}"
200;1947-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12833144122554, 49.27448716993852], [-123.12836844181876, 49.27446286881079]]}"
150;1929-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08777817962591, 49.245509547645774], [-123.0877849687568, 49.24540204044976]]}"
150;1947-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09976506023646, 49.2237660414088], [-123.0996819722935, 49.223766113137444]]}"
200;1949-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10130484248786, 49.22571531588578], [-123.10144867214828, 49.225718284033704]]}"
200;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13857268646683, 49.26082446720669], [-123.13849434571904, 49.260824183339956]]}"
150;1948-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08324153095485, 49.25872541295765], [-123.08158200479998, 49.258709074004436]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08753726673518, 49.25355183242778], [-123.08752323029033, 49.25353287214087]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08752323029033, 49.25353287214087], [-123.08755228027447, 49.25286451416532]]}"
600;;<blank>;"{""type"": ""LineString"", ""coordinates"": [[-123.07802921646076, 49.248688918490124], [-123.07802509432156, 49.24868892127412]]}"
150;1953-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13620909596811, 49.25916452168002], [-123.1361891467432, 49.25970119966235]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1333313215704, 49.27644532931169], [-123.13375562844887, 49.27616438697134]]}"
300;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09779084071957, 49.215793994671834], [-123.09779187331041, 49.215677055150586]]}"
150;1959-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08802052059795, 49.23646633088714], [-123.08802157573749, 49.23645712794476]]}"
150;1959-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0762260274938, 49.249011206941795], [-123.07619390074974, 49.24901036459216]]}"
150;1948-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09950885062666, 49.23633780139264], [-123.09931240298758, 49.23633392257793]]}"
150;1948-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09931240298758, 49.23633392257793], [-123.09923272461778, 49.23633219199784]]}"
200;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07640649490277, 49.24177988258201], [-123.076385590271, 49.24247820576533]]}"
300;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14142775272825, 49.270568319188264], [-123.14134168328336, 49.270567533981286]]}"
150;1909-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13847579032348, 49.260823755819864], [-123.13758721218109, 49.260810029254046]]}"
150;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08786626341016, 49.24171482215777], [-123.08786879952744, 49.241603306243434]]}"
150;1958-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08770437967839, 49.24919168444146], [-123.08770902445295, 49.24908334239054]]}"
150;1953-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14100082044648, 49.26547749434514], [-123.14100174374657, 49.26535290963074]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13989403591484, 49.288451863045495], [-123.13976823852916, 49.288535130628404]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13358764546882, 49.26605037440692], [-123.13358786699618, 49.26604587654904]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13358528738452, 49.26619519990747], [-123.1335695094268, 49.266206012392146]]}"
150;1951-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.11658373080469, 49.239190586876404], [-123.11646465759596, 49.23908816118902]]}"
150;1932-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14568080552189, 49.267269334843526], [-123.14568032736298, 49.26710692706738]]}"
200;1912-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.11103622064788, 49.259396259025806], [-123.11103579786895, 49.25940996813635]]}"
150;1926-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1790019249717, 49.26418450340305], [-123.1785426981331, 49.2641769653419]]}"
300;1983-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17570632162544, 49.27119419008702], [-123.1757030245279, 49.27133413339536]]}"
450;;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.10941680206032, 49.25940244552509], [-123.10942504831455, 49.25940252766756]]}"
200;1985-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.11472462921631, 49.26324231746819], [-123.11472974206721, 49.263082197705735]]}"
100;1911-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10950196908469, 49.26033371109615], [-123.10949517813258, 49.26033300691038]]}"
200;1952-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.11091057438121, 49.26326450879875], [-123.11091595423453, 49.26320574694374]]}"
800;1939-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.16536037226852, 49.257659933019795], [-123.16515971411168, 49.257656720894495]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09702166315267, 49.277705658692255], [-123.097007107941, 49.27759578574944]]}"
200;1912-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.11109987589109, 49.257967694899584], [-123.11110712340339, 49.25784743989459]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10484442874841, 49.26300560560059], [-123.10483842885372, 49.26303459360136]]}"
600;1948-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.10864638968773, 49.281332757575505], [-123.10843017441697, 49.281293471834516]]}"
150;1929-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10461242348403, 49.25379219803762], [-123.10295820841627, 49.253762497594536]]}"
150;1979-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10294253808456, 49.26019653784818], [-123.10290062369546, 49.26019837422766]]}"
150;1979-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10290062369546, 49.26019837422766], [-123.10288212487436, 49.26019184218782]]}"
100;1908-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.11572524421804, 49.25943358424493], [-123.1151890922097, 49.25942520576529]]}"
150;1959-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09434766088292, 49.250198224456724], [-123.09413836703523, 49.25019495001174]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10456669448044, 49.26928892488562], [-123.10448832431418, 49.26928746659996]]}"
150;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10626685822507, 49.214240416893], [-123.10229038096895, 49.214180464033504]]}"
150;1987-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.08987795848371, 49.250133217492035], [-123.08986079220364, 49.250138627981045]]}"
150;1930-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10363278478735, 49.22854434800134], [-123.1057074999851, 49.2285851776316]]}"
150;1966-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10556726989292, 49.23369862358457], [-123.10558372570979, 49.233331116478055]]}"
300;1951-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.11274150467975, 49.265994985172455], [-123.11275301062379, 49.265730065224155]]}"
300;1968-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17122111124011, 49.25074445825538], [-123.17140597695824, 49.250956921312984]]}"
300;1968-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1720528370602, 49.25164409482323], [-123.1720907317653, 49.25167462216032]]}"
150;1927-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17848459026429, 49.24713033477679], [-123.17589044715368, 49.24712056866395]]}"
150;1927-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17564657247654, 49.24711986026804], [-123.17313484460266, 49.24711045566035]]}"
150;1926-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.18481734223313, 49.264279404085805], [-123.18394782250999, 49.264265904612216]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10098173252155, 49.25937692445864], [-123.10098455078614, 49.259296513791384]]}"
300;1955-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10100286540575, 49.259260211094904], [-123.10100223755269, 49.25927580934235]]}"
200;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10299287038917, 49.26111598340552], [-123.10296577984376, 49.261115377886455]]}"
150;1968-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.11225089330706, 49.269036263268646], [-123.1122536476291, 49.269038509392246]]}"
200;1928-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17029558212369, 49.26053913128363], [-123.17029325076777, 49.260396812436696]]}"
150;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10296894975819, 49.26123851948152], [-123.10296948285935, 49.2612305132699]]}"
150;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10162910721726, 49.26546910780875], [-123.10163067587908, 49.265429788397064]]}"
150;1930-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.18741005129345, 49.270400998291436], [-123.18577616082824, 49.27037350294173]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.11287811627452, 49.27064534263768], [-123.11287733663148, 49.27066513282888]]}"
40;1985-01-01;Copper;"{""type"": ""LineString"", ""coordinates"": [[-123.10729765831032, 49.28154327266499], [-123.10723948060496, 49.28153549187225]]}"
400;1923-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.10991140497113, 49.2826699446774], [-123.10962172109778, 49.28248359693036]]}"
400;1923-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.11112662845697, 49.283449545655394], [-123.1110471480306, 49.28339849348813]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.11065668892297, 49.27990947662565], [-123.11080042319759, 49.27999568362846], [-123.11146760243156, 49.280386323298075]]}"
300;1958-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.11106045204441, 49.269618530375546], [-123.11088605026747, 49.26970325272673]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10934233090215, 49.26937612935497], [-123.10926808434091, 49.26937467940409]]}"
150;1926-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.18767572343246, 49.26360413161889], [-123.18703447287805, 49.26359456608799]]}"
150;1975-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.18604338864085, 49.263579803895745], [-123.18577601451533, 49.26357614129175]]}"
200;2000-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17870132734267, 49.25641582823482], [-123.17870970456354, 49.25640661316585]]}"
150;1945-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10493428765282, 49.21593459216007], [-123.1042500592979, 49.21592497507937]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10934820803969, 49.283105134904545], [-123.10938103119506, 49.28302513672739]]}"
150;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09190245155021, 49.25366108074479], [-123.09190350013145, 49.25363373443886]]}"
150;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09192273357465, 49.25275768349158], [-123.09192325801762, 49.252744100288496]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0848156669305, 49.281528436608426], [-123.08483157077944, 49.28123727802872]]}"
150;1960-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19065885358332, 49.25566130112351], [-123.18817061640021, 49.25565233739058]]}"
150;1926-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16721211758355, 49.26398648915398], [-123.16632858230642, 49.263971204260535]]}"
200;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09112534091943, 49.260725791871074], [-123.09112740433581, 49.26062229135774]]}"
150;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09112860147712, 49.26052603266997], [-123.09113807633366, 49.260446867346204]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10302983523434, 49.26020185716195], [-123.10302459804326, 49.26032689526596]]}"
150;1979-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10302983523434, 49.26020185716195], [-123.10294253808456, 49.26019653784818]]}"
200;1912-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.11111208122617, 49.25770511283001], [-123.11111357087098, 49.25765854316695]]}"
200;1961-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10960398451451, 49.25769418490406], [-123.10960199776449, 49.25772791884634]]}"
300;;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.18503048517894, 49.25775105576784], [-123.18503301161482, 49.25750413293403]]}"
150;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09308483722073, 49.25972389040772], [-123.09307588957905, 49.25972357378854]]}"
150;1945-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.11330211964183, 49.235204117799825], [-123.11329505155209, 49.235351035164896]]}"
300;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.11004309827, 49.28159938426068], [-123.11005202249439, 49.28159352889586]]}"
150;1957-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10062160375432, 49.25571499868727], [-123.10057968797311, 49.25571432456242]]}"
150;1953-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16542508473468, 49.250947712348946], [-123.16539492256724, 49.25094758462325]]}"
150;1925-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.18500905260976, 49.24715542207882], [-123.1846057335292, 49.24715353058927]]}"
200;1986-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.18179937978529, 49.247149444294614], [-123.18179111433108, 49.24714361039743]]}"
200;1986-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.18179111433108, 49.24714361039743], [-123.1817828703439, 49.24714362336933]]}"
200;1986-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1817828703439, 49.24714362336933], [-123.18177461648324, 49.24714094678062]]}"
150;1929-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16480337896384, 49.26917776330465], [-123.16618186267783, 49.2691993023688]]}"
