OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,StartDate,EndDate,ReviewDate,Appraisaldate,Displayuntildate,ExtensionPeriod,ExtensionsTaken,EstimatedValue,IrrecoverableVAT,SupplierName,ContactName,ProcessType,OJEU,Framework type,Keywords
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN192496 (CONTRACT-9UGK-JNHAJS),Supply of Office Furniture,N/A,The supply of office furniture to Leeds City Council,01/11/2015,31/10/2018,31/03/2018,,30/11/2018,12,0,"�3,500,000.00",�0.00,Please view tab 2 on excel sheet,Stephen Blighton,Not provided,No,Framework,"Office, Furniture"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN197140 (CONTRACT-A5VH-STMJPO),Supply of Periodicals,City Development,Supply of Periodicals,01/06/2016,31/05/2019,30/11/2018,,30/06/2019,12,0,"�80,160.00",�0.00,Please view tab 2 on excel sheet,Maxine Sutcliffe,Not provided,No,N/A,"periodicals, magazines, press"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN210265 (CONTRACT-YORE-9DNFL7),Supply of Rock Salt - West Yorkshire 2014/2018,City Development,"The supply of rock salt for Leeds City Council, Bradford Metropolitan District 
Council, Calderdale Council, Kirklees Council and City of Wakefield 
Metropolitan District Council.",01/04/2014,31/03/2018,30/09/2017,,30/04/2018,0,0,"�60,000,000.00",�0.00,Please view tab 2 on excel sheet,Richard Tinker,Not provided,No,Framework,"salt, roads, winter, ice"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN209925 (CONTRACT-YORE-9D8G2F),Supply of sexual health contraception (condoms) (Quasi),Public Health,Supply of sexual health contraception (condoms) (Quasi),01/02/2014,31/03/2018,22/01/2018,,30/04/2018,0,0,�1.00,�0.00,Please view tab 2 on excel sheet,Ms Kate Daly,RFQ,No,N/A,"sexual, health, condoms, contraception"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN197686 (CONTRACT-A6QD-J6E4VN),"Supply of swimming awards, badges, certificates and training (Quasi)",N/A,"Provision of swimming awards including school packs and learn to swim items 
from the Amateur Swimming Association is the only body who can provide these 
items.",01/04/2015,31/03/2019,28/02/2019,,30/04/2019,0,0,"�80,000.00",�0.00,Please view tab 2 on excel sheet,Edwige Moutault,Not provided,No,N/A,"Swimming, Pool, Awards, Certificate, ASA"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN193572 (CONTRACT-9WJL-A8BB3J),Supply of Teachers and Educational Staff (re-tender),Strategy and Resources,"A framework of up to 11 Agencies to supply temporary teaching and 
educational Temporary Agency Workers to Leeds schools",01/08/2015,31/07/2019,31/07/2018,,31/08/2019,0,0,"�26,800,000.00",�0.00,Please view tab 2 on excel sheet,Sophie Thompson,Not provided,No,Framework,"teachers, educational, temporary, schools"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN193954 (CONTRACT-9XBC-PN5I7A),Supply of Telecare Equipment,N/A,"This framework agreement is for the Supply of Telecare equipment which 
will provide Community benefits by promoting and maintaining the independence 
and well-being of the residents who require such support. 
This is a collaboration between Leeds City Council and 
Middlesbrough Council 
 Tenderers should be aware that this is a 12 month framework with approval 
obtained to reprocure for the following three subsequent years, at the 
Council�s discretion, with the final 12 month framework expiring 
31st March 2020 . This is to provide as much flexibility as possible 
by providing the opportunity for the Council to update the product 
specifications, provide new suppliers access to the framework and existing 
suppliers the chance to upgrade their products.   
  
Due to the flooding experienced by many organisations including Assisted 
Living Leeds, the deadline for tender submissions has been extended to 12 noon 
Wednesday 3rd February 2016, however, tenderers should be aware that 
the evaluation process may also take longer than usual due to the additional 
emergency workload that has been placed upon members of the evaluation panel. 
 Once stage one of the evaluation process (the desktop assessment) has 
been concluded, the request for samples will confirm revised dates and 
delivery address as apposed to those indicated in the Tender Instructions 
document.  These delays may affect the intended framework start date, as 
originally detailed in the tender documentation, if it becomes a necessity a 
new framework start date will be communicated as soon as possible prior to 
the award of the framework.",01/09/2016,31/08/2017,,,31/08/2017,0,0,"�400,000.00",�0.00,Please view tab 2 on excel sheet,Hilary Sedgwick,Not provided,No,N/A,"alarm, telecare, monitoring, sensor"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN189837 (CONTRACT-9PFE-SEMAG0),Supply of Traffic Census Enumerators 2015/17,City Development,"Supply of Traffic Census Enumerators to undertake Traffic Data Collection 
predominantly in West Yorkshire, but may also extend across North, South and 
East Yorkshire.",27/04/2015,26/04/2018,30/01/2018,,26/05/2018,12,0,"�120,000.00",�0.00,Please view tab 2 on excel sheet,Mrs Anne Sweeting,RFQ,No,N/A,"traffic, enumerators"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN215197,"Supply of up to 4 no. 26,000kg Narrow Track 6 x 2 Rear Steer Refuse Vehicles",Civic Enterprise Leeds,"Supply of up to 4 no. 26,000kg Narrow Track 6 x 2 Rear Steer Refuse Vehicles",19/12/2016,18/08/2017,18/07/2017,,19/09/2017,N/A,0,"�542,502.00",�0.00,Please view tab 2 on excel sheet,Mr Carl Snowden,RFQ,No,N/A,"Narrow, Track, 260000, Refuse, Vehicle"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201536 (CONTRACT-AD7G-6VHM90),Supply of up to 9 no. Double Cab 4 x 4 pickups,Strategy and Resources,Supply of up to 9 (nine) Double Cab 4 X 4 Pickups,01/01/2017,30/06/2017,31/05/2017,,31/07/2017,0,0,"�166,500.00",�0.00,Please view tab 2 on excel sheet,Mr Carl Snowden,RFQ,No,N/A,"4 x 4, Double Cab"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN234528,"Supply of Vehicle Lubricating Oils, Greases & Anti-Freeze","Projects, Programmes & Procurement Unit","Supply of Vehicle Lubricating Oils, Greases & Anti-Freeze",01/02/2017,31/01/2021,01/02/2020,,31/03/2021,0,0,"�90,000.00",�0.00,Please view tab 2 on excel sheet,Mrs Hilary Sedgwick,RFQ,No,N/A,"vehicle, car, van"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN208398 (CONTRACT-YORE-9AQKZA),Supply of Vehicles Framework,Strategy and Resources,"The supply of vehicles to Leeds City Council, City of Bradford Metropolitan 
District Council, Scarborough Borough Council, Harrogate Borough Council and 
Ryedale District Council.",01/04/2014,31/03/2018,30/09/2017,,31/03/2018,0,0,"�32,000,000.00",�0.00,Please view tab 2 on excel sheet,Carl Snowden,Not provided,No,Framework,"Vehicle, Refuse, Van, Minibus, Car, trailer"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN188564 (CONTRACT-9LTA-HYOM24),Supply of Webcasting Services,Strategy and Resources,Webcasting of Council meetings,01/09/2013,31/08/2018,31/08/2017,,30/09/2018,12,4,"�113,295.00",�0.00,Please view tab 2 on excel sheet,Mr Kevin Tomkinson,RFQ,No,N/A,webcasting
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN192383 (CONTRACT-9UAJ-TG9VYO),"Supply Rental, Installation & Maintenance Of Warm air Hand Dryers For Leisure Centres",City Development,"To supply, install and maintain 105 warm air hand dryers and�26 hair 
dryers across 22 Sport and Leisure Facilities currently operated by Leeds City 
Council 

 
 The dryers need to be of a heavy duty standard, capable of withstanding a 
high public usage on a constant basis.� As these dryers are used by a 
large number of children of all ages, they need to be vandal resistant, hard 
wearing and simple to operate.",01/08/2015,31/07/2018,01/01/2018,,31/08/2018,24,0,"�25,000.00",�0.00,Please view tab 2 on excel sheet,Richard Jones,Not provided,No,N/A,"Hand Dryers, Heavy Duty, Rental"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN187723 (CONTRACT-9K5F-4ROKX2),"Supply, Fitting, Repair, Maintenance and Management of Tyres",Civic Enterprise Leeds,"This contract covers the requirements of all Leeds City Council departments 
and will consist of 3 Lots for the supply, fitting, repair, maintenance and 
management of 
tyres�����������&nb
sp;&nbs p; ��� Lot 1 - Tyres to Parks and Countryside 
grounds maintenance equipment. 
�������������
 ��� Lot 2 - Tyres under 17.5�� to non LGV vehicles and plant. 
�������������
 ��� Lot 3 - LGV tyres 17.5�� and over including heavy plant and 
earthmoving equipment",01/10/2014,31/03/2018,01/03/2016,,30/04/2018,12,0,"�979,779.00",�0.00,Please view tab 2 on excel sheet,Mr Terry Pycroft,RFQ,No,N/A,"tyre, repair, vehicle"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN207798 (CONTRACT-YORE-99AGH8),"Supply, Maintenance & Repair of Overhead Tracking Hoists",Adult Social Care,"Supply, Maintenance & Repair of Overhead Tracking Hoists",01/12/2013,30/11/2017,30/04/2016,,31/12/2017,12,0,"�1,409,844.00",�0.00,Please view tab 2 on excel sheet,Mrs Katie Cunningham,RFQ,No,N/A,hoists
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201370 (CONTRACT-ACWB-AX8J3P),Support and Maintenance of Info 4 Local Gov (Technical Indexes),City Development,"The council currently has a subscription to the Info4localgov portal 
(also known as Technical Indexes). This provides up-to-date online access to a 
virtual library of �complete reports relevant to Building Control, Health 
and Safety, Highways, Environmental Health and other technical services. This 
contract is for the support and maintenance of this portal.",01/04/2016,31/03/2018,01/10/2017,,30/04/2018,12,0,"�33,687.00",�0.00,Please view tab 2 on excel sheet,Mr Eric Roussounis,RFQ,No,N/A,"support, maintenance, info4localgov, technical, indexes"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN197322 (CONTRACT-A656-USKJO6),Support and Personal Care Service for People Living with Dementia,"Projects, Programmes & Procurement Unit",Day services for older people with dementia.,01/03/2016,31/10/2021,01/11/2020,,31/10/2021,12,0,"�1,142,528.30",�0.00,Please view tab 2 on excel sheet,Mrs Julia Holden,RFQ,No,N/A,Dementia
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN251839,Support for young carers (Willow),Childrens Services,Support for young carers (Willow),01/07/2017,31/03/2018,01/08/2017,,30/04/2018,12,0,"�265,725.00",�0.00,Please view tab 2 on excel sheet,Mr Howard Smith,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN232641,Support of the e-book and e-audio provision,Citizens and Communities,Support of the e books and e audio provision,01/04/2017,31/10/2017,30/09/2017,,30/11/2017,0,0,"�35,000.00",�0.00,Please view tab 2 on excel sheet,Mrs Rachael Grimes,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN190189 (CONTRACT-9Q4J-TC2IE8),Supported Living Services for people with Learning Disabilities,N/A,"Service users are provided with a care plan�which fall within the 
exempt contracts for the purposes of CPRs 
This contract is to record�the use of providers for supported living. 
there are 14 providers�of 106 supported living services to 391 
service�users. 
Please see the attached for infomation for the providers.",01/04/2014,31/08/2019,31/08/2019,,30/09/2019,72,0,�1.00,�0.00,Please view tab 2 on excel sheet,Hilary Sedgwick,Not provided,No,N/A,"supported, living"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN209831 (CONTRACT-YORE-9D2KWE),Surface Dressing of Footways and Carriageways West Yorkshire Contract KMCHS-140 1 February 2014 - 31 January 2018,Streetscene and Housing,"The Services will consist of the provision of labour, plant, materials and 
traffic management to carry out Surface Dressing of Footways and Carriageways 
within the administrative area of the relevant Contracting Authoritiy of the 
Council of the Borough of Kirklees, Leeds City Council, City of Wakefield 
Metropolitan Council, Bradford Metropolitan District Council, Calderdale 
Council and any other Local Authority (as defined in the Local Government Act 
1972) within the Yorkshire and Humber Region. Details of the relevant Local 
Authorities who may participate under this Framework Contract can be found 
at: 
http://local.direct.gov.uk/LDGRediret/MapLocationSearch.do?mode=1.1 
&map=4 
�as more fully described in the Service Information document 
which forms part of the Tender Documents.",01/02/2014,31/01/2018,01/09/2017,,31/01/2019,0,0,"�20,000,000.00",�0.00,Please view tab 2 on excel sheet,Beverley Martin,Not provided,No,Framework,Surface Dressing
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN208470 (CONTRACT-YORE-9ATNSZ),Sustainment mental health housing support service at Foundry Mill,Environment and Neighbourhoods,,01/05/2014,02/10/2018,01/01/2016,,02/10/2017,12,0,"�108,244.20",�0.00,Please view tab 2 on excel sheet,Simon Pickering,Not provided,No,N/A,"mental health, housing, support service"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN193353 (CONTRACT-9W4L-F7SX3H),Swarcliffe Primary School - Building Cleaning,N/A,The provision of a building cleaning service at Swarcliffe Primary School.,07/09/2015,06/09/2018,06/03/2018,,06/10/2018,12,0,"�54,598.00",�0.00,Please view tab 2 on excel sheet,Iain Dunn,Not provided,No,N/A,"cleaning, swarcliffe"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN189899 (CONTRACT-9PHL-5NPN1F),Swarcliffe Primary School Catering Service,N/A,Swarcliffe Primary School Catering Service.,23/02/2015,22/02/2018,22/02/2017,,22/03/2018,12,0,"�210,000.00",�0.00,Please view tab 2 on excel sheet,Rachael Grimes,Not provided,No,N/A,"school, catering, lunches, dinners"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198032 (CONTRACT-A79N-QP6WD3),Swimming Pool Plant Maintenance & Repairs Framework,City Development,"The maintenance and repairs contract will be structured to provide CPM with 
24/7/365 swimming pool plant services for both routine planned maintenance and 
responsive repair works including call-outs and emergency response. Additional 
design and development works may be commissioned during the course of the 
contract for new installations, refurbishment and upgrading of installations, 
replacement of equipment and staff training and development",01/09/2016,31/08/2019,31/08/2018,,30/09/2019,12,0,"�765,000.00",�0.00,Please view tab 2 on excel sheet,Andrew McCulloch,Not provided,No,Framework,"swimming, pool, maintenance, swim"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN195260 (CONTRACT-9ZSC-W846B1),Talk Matters - Speech and Language Therapy - Catriona Taylor,Childrens Services,"Speech and language therapy. The contract is a call off contract with work 
being called off in units of 6 days with a maximum of 6 unit per year.",01/09/2015,31/08/2017,31/07/2017,,30/09/2017,0,0,"�12,240.00",�0.00,Please view tab 2 on excel sheet,Helen Stevens,Not provided,No,N/A,"speech, Language, Catriona, Therapy"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN254550,Targeted Youth Work - The Cardigan Centre,Childrens Services,Targeted Youth Work - The Cardigan Centre,01/04/2017,31/03/2018,01/10/2017,,30/04/2018,6,0,"�46,209.00",�0.00,Please view tab 2 on excel sheet,Ms Catherine Henderson,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN250340,Targeted Youth Work - The Hamara Healthy Living Centre,Childrens Services,Targeted Youth Work - The Hamara Healthy Living Centre,01/04/2017,30/06/2017,01/05/2017,,31/07/2017,N/A,0,"�5,977.83",�0.00,Please view tab 2 on excel sheet,Ms Catherine Henderson,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN253943,Targeted Youth Work - The Market Place,Childrens Services,Targeted Youth Work - The Market Place,01/04/2017,31/03/2018,01/06/2017,,30/04/2018,N/A,0,"�92,385.00",�0.00,Please view tab 2 on excel sheet,Ms Catherine Henderson,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN214872,Taxi & Private Hire Licensing: Driving Standards Assessment,Citizens and Communities,Taxi & Private Hire Licensing: Driving Standards Assessment,01/12/2016,30/11/2018,01/12/2017,,30/12/2018,12,0,�0.00,�0.00,Please view tab 2 on excel sheet,Ms Kate Coldwell,ITT,No,N/A,"travel, taxi, hackney, driving, test"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN200438 (CONTRACT-AB6A-P69NWS),Taxi and Private Hire Licensing: English literacy and numeracy screening,Citizens and Communities,"The literacy and numeracy testing was introduced as a result of 
concerns raised by both the public and trade, that some licence applicants have 
difficulty speaking, reading or writing English where it is not their first 
language.� All applicants are required to undertake/pass this screening 
test before they can move on to the next stage of the application 
process.",22/06/2016,28/06/2017,01/12/2016,,28/07/2017,0,0,"�21,000.00",�0.00,Please view tab 2 on excel sheet,Valens Jacobs,Not provided,No,N/A,"literacy, numeracy"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN200947 (CONTRACT-AC2C-CLSXTW),Taxi and Private Hire Licensing: HPI On Line Checking System,Citizens and Communities,"In order to comply with the�licensing requirements, officers at 
Taxi and Private Hire Licensing Section use a HPI on line checking system that 
will allow them to instantly see if the vehicle is HPI Clear.",01/08/2016,31/07/2020,31/07/2019,,31/08/2020,12,0,"�20,644.00",�0.00,Please view tab 2 on excel sheet,Valens Jacobs,Not provided,No,N/A,"HPI, vehicle, taxi, licensing"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201563 (CONTRACT-ADCK-UC7YT2),Taxi and Private Hire Licensing: Unmet Demand Survey,"Projects, Programmes & Procurement Unit",Taxi and Private Hire Licensing Unmet Demand Survey,01/01/2017,31/12/2017,30/11/2017,,31/01/2018,0,0,"�23,465.00",�0.00,Please view tab 2 on excel sheet,Mrs Rachael Grimes,RFQ,No,N/A,"survey, taxi"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN210429 (CONTRACT-YORE-9E2DRD),Technical Advisor for the Construction of Leeds Flood Alleviation Scheme,City Development,Construction stage support for the Leeds Flood Alleviation Schene,20/01/2014,30/07/2017,30/01/2017,,30/07/2017,0,0,"�1,200,000.00",�0.00,Please view tab 2 on excel sheet,Anne Sweeting,Not provided,No,N/A,"flood, advisor, technical, alleviation"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198830 (CONTRACT-A8SJ-E9C2S5),Telephone Call Back Software and Services,Citizens and Communities,,01/04/2016,31/03/2018,31/03/2017,,30/04/2018,0,0,"�55,698.00",�0.00,Please view tab 2 on excel sheet,Adam Quesne,Not provided,No,N/A,"Telephony, Voice, Queue management"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN196868 (CONTRACT-A4ZK-GL80IR),Temple Green Park and Ride,City Development,"Temple Green Park and Ride involves a permanent, high quality block paved 
and blacktop surface which is to be lit, drained and formally set out for circa 
1000 car parking spaces. CCTV, fencing and gates will be installed to provide 
safety/security. A key feature of the project will be a quality landscaping 
scheme to ensure the aesthetics of the area are transformed to provide a high 
calibre visual impact for end users this will be carried out by an in house 
team. 
� 
Additionally the successful Contractor shall be responsible for the design, 
construction and implementation of a new multi-purpose building as part of the 
works. The buildings main functions shall provide shelter for passengers; 
electronic equipment & information space for passengers; office space; 
welfare facilities and space to allow for utilities apparatus",05/09/2016,25/05/2017,25/01/2017,,25/06/2017,0,0,"�3,275,299.00",�0.00,Please view tab 2 on excel sheet,Anne Sweeting,Not provided,No,N/A,"Temple, Green, Park, Ride"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201534 (CONTRACT-AD7E-3T0JWD),"Temporary Event Fencing, Barriers and Front of Stage Barrier Systems",City Development,"Temporary Event Fencing, Barriers and Front of Stage Barrier Systems",01/05/2017,30/04/2019,30/09/2018,,30/05/2019,24,0,"�148,000.00",�0.00,Please view tab 2 on excel sheet,Mr Ian Cairns,RFQ,No,N/A,"fencing, barriers, hire"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN189804 (CONTRACT-9PBG-BH7NID),Temporary ICT Staff Framework,N/A,Framework for the supply of ICT temporary staff,01/06/2015,31/05/2019,31/05/2018,,30/06/2019,0,0,"�12,000,000.00",�0.00,Please view tab 2 on excel sheet,Philippa Elliott,Not provided,No,Framework,"temporary, staff, ICT, personnel, worker"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN209376 (CONTRACT-YORE-9BVMGD),Tenancy of Springhead Park Cafe,Environment and Neighbourhoods,"Leeds City Council (LCC) is offering business premises for rent in the former 
caf� building located in Springhead Park. It is anticipated that the 
business will provide goods for sale such as appropriate refreshments to 
include but not be limited to hot and cold drinks, sandwiches and snacks, 
cakes, wrapped confectionary and ice creams. In addition the sale of wine, 
beers and spirits with light lunches or dinner would be encouraged.",18/12/2014,17/12/2039,17/12/2038,,17/01/2040,0,0,�0.00,�0.00,Please view tab 2 on excel sheet,Linda Gunn,Not provided,No,N/A,"cafe, food, springhead, drink, park, premises"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN231111,The Health Trainer Programme,Public Health,"The Health Trainer Programme provides one to one support, signposting and information for people in the most deprived areas of Leeds leading to behaviour changes through motivational interviewing and the setting of personal goals.",01/04/2017,30/09/2017,01/06/2017,,31/10/2017,6,0,"�84,425.00",�0.00,Please view tab 2 on excel sheet,Mrs Kate Daly,RFQ,No,N/A,"Physical activity, overweight,, healthy eating, Obesity, health trainers"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN195585 (CONTRACT-A2KE-FLYIMW),The Hub - Activity Club Service for Older People,Adult Social Care,Activity Club service for Older People,01/10/2015,30/09/2018,01/04/2018,,31/10/2018,12,0,"�49,770.00",�0.00,Please view tab 2 on excel sheet,Phillip Draper,Not provided,No,N/A,"Activity, Club, Older, People"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN211108 (CONTRACT-YORE-9FKHZ9),The Kennelling of Stray Dogs,Environment and Neighbourhoods,"The kennelling of stray dogs for Leeds City Council. Organisations must have a 
valid licence under the Animal Boarding Establishments Act 1963.",10/05/2014,08/05/2018,01/09/2017,,08/06/2018,12,0,"�110,000.00",�0.00,Please view tab 2 on excel sheet,Mr Paul Spandler,RFQ,No,N/A,"dogs, stray, dog, kennels"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN196875 (CONTRACT-A52B-EXDIVQ),The Leeds CNG Station - Technical Consultancy,"Projects, Programmes & Procurement Unit",The Leeds CNG Station - Technical Consultancy,01/03/2017,28/02/2018,01/07/2017,,31/03/2018,0,0,"�30,000.00",�0.00,Please view tab 2 on excel sheet,Ms Emma Slater,RFQ,No,N/A,"CNG, LNG, Low Carbon, Air Quality, Energy, Gas"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN196792 (CONTRACT-A4TK-WS9VWT),The maintenance and repair of pay and display machines,Environment & Housing,"The maintenance and repair of parking machines, using the ESPO framework",01/04/2016,31/03/2018,01/09/2017,,30/04/2018,12,0,"�173,222.00",�0.00,Please view tab 2 on excel sheet,Mark Jefford,Not provided,No,Framework,"Parking, Meters, Pay, Display"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN249968,The Older Irish People Project,Public Health,Deliver a project to improve the health and wellbeing of Irish older people in Leeds,01/04/2017,31/03/2019,03/09/2018,,31/03/2019,N/A,0,"�100,000.00",�0.00,Please view tab 2 on excel sheet,Mrs Kate Daly,Other (Direct appointment),No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198152 (CONTRACT-A7GK-2H6G72),The Procurement of Vehicle & Machinery Tracking Units (Waiver),N/A,The purchase of bespoke vehicle and machinery tracking system,01/03/2016,28/02/2019,31/01/2019,,31/03/2019,0,0,"�100,000.00",�0.00,Please view tab 2 on excel sheet,Edwige Moutault,Not provided,No,N/A,"JCB, Livelink, GPS"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN209519 (CONTRACT-YORE-9CAFF4),The provision of a Leeds Carers Support service,Public Health,"This contract is for the provision of a combined carer�s support service 
with Leeds Carers Consortium which comprises Carers Leeds, Leeds and York NHS 
Partnership Foundation Trust (LYPFT) and Touchstone",01/12/2014,31/03/2018,30/09/2016,,31/03/2018,12,0,"�3,398,208.00",�0.00,Please view tab 2 on excel sheet,Mr Tony Bailey,RFQ,No,N/A,"carers, support"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN196483 (CONTRACT-A48H-R9ZK1M),The Provision of Executive Search and Selection Services,N/A,"The Council are to establish a Framework with 3 providers to deliver Executive 
Search and Selection and Associated services.",01/04/2016,31/03/2018,01/04/2017,,30/04/2018,12,0,"�400,000.00",�0.00,Please view tab 2 on excel sheet,Rachael Grimes,Not provided,No,N/A,"Recruitment, staff, senior appointments"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN196606 (CONTRACT-A4JD-2FKK60),The Provision of External Debt Recovery Services,Strategy and Resources,"The Contractor is required to undertake the collection of unpaid sundry debt, 
housing benefit overpayments, former tenant arrears, leasehold charges and a 
minimal value of other debt type that may be identified by the Council over the 
period of the contract e.g. former commercial and market rent arrears and 
residual council tax.",01/04/2016,31/03/2021,01/04/2020,,30/04/2021,0,0,"�250,000.00",�0.00,Please view tab 2 on excel sheet,David Levitt,Not provided,No,Framework,"debt, collection, arrears"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN187326 (CONTRACT-9J3L-682NTT),The Provision of Funeral Services,Strategy and Resources,"The service required under this Contract is for a full funeral 
service including; removal of the body to an appropriate facility, making 
arrangements for a funeral service, preparation of the body and the provision 
of the coffin.",01/07/2014,30/06/2017,30/06/2016,,30/06/2017,12,0,"�300,000.00",�0.00,Please view tab 2 on excel sheet,Duncan Hargreaves,Not provided,No,N/A,"Funeral, Coffins, Burial"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN214659,The Provision of Independent Chair and Report Author for a Domestic Homicide Review,Environment & Housing,The Provision of Independent Chair and Report Author for a Domestic Homicide Review,21/09/2016,30/07/2017,31/05/2017,,30/08/2017,0,0,"�7,000.00",�0.00,Please view tab 2 on excel sheet,Mrs Michelle De Souza,RFQ,No,N/A,"report, safety, violence, domestic"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN193544 (CONTRACT-9WHL-EV2DL1),The provision of Insurance Broking Services,Strategy & Resources - Audit & Investment,"Leeds City Council are seeking tenders for the Provision of Insurance 
Broking Services.",10/07/2015,09/07/2020,01/11/2019,,09/08/2020,0,0,"�20,000.00",�0.00,Please view tab 2 on excel sheet,Matthew Southwell,Not provided,No,N/A,"insurance, finance, brokers"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN193803 (CONTRACT-9X3H-GX6VLK),The Provision of Laboratory Analytical Services.,City Development,The Provision of Laboratory Analytical Services.,01/09/2015,31/08/2017,01/01/2017,,30/09/2017,12,0,"�90,000.00",�0.00,Please view tab 2 on excel sheet,Julia Reynolds,Not provided,No,N/A,"Soil, Testing, Environmental, Water"
