RATEPAYER,Property Address,PROPREF,RV,Property Description,RELIEF_CODE
Homes & Communities Agency,"6 King Cross Street, Halifax, HX1 2SH",65520716,5200,Showroom And Premises,6
Homes & Communities Agency,"1st Floor, 6 King Cross Street, Halifax, HX1 2SH",65520721,5500,Offices and Premises,6
,"19A King Cross Street, Halifax, HX1 2SH",65520725,4650,Offices And Premises,21
,"17A King Cross Street, Halifax, HX1 2SH",65520726,4050,Offices And Premises,21
Homes & Communities Agency,"Part Ground Floor, 8 King Cross Street, Halifax, HX1 2SH",65520730,2600,Offices and Premises,6
Homes & Communities Agency,"First Floor, 6 King Cross Street, Halifax, HX1 2SH",65520734,2100,Offices and Premises,13
,"Lane Ends, Wheatley, Halifax, HX2 8TW",65572700,480,Workshop And Premises,13
Ingfield Farm Shop Ltd,"Ingfield Farm Shop, Law Farm, Law Lane, Southowram, Halifax              HX3 9UG",65592706,4250,Shop and Premises,21
,"Office 16/17 The Spire, Leeds Road, Halifax, HX3 8NU",65612708,4800,Offices And Premises,6
W W Leese [Hx] Ltd,"Unit 1 Lower Brea, Leeds Road, Halifax, HX3 7AQ",65612715,910,Store,13
W W Leese [Hx] Ltd,"Unit 5 Lower Brea, Leeds Road, Halifax, HX3 7AQ",65612719,2025,Store And Premises,13
W W Leese [Hx] Ltd,"Lower Brea, Leeds Road, Halifax, HX3 7AQ",65612724,4550,Warehouse And Premises,21
,"5 Leeds Road, Hipperholme, Halifax, HX3 8ND",65616005,7000,Shop and Premises,21
,"Room 12, The Spire, Leeds Road, Halifax             HX3 8NU",65620704,2425,Offices And Premises,6
,"2nd Floor, The Spire, Leeds Road, Halifax             HX3 8NU",65620705,9700,Offices And Premises,6
,"Office 10 The Spire, Leeds Road, Lightcliffe, Halifax              HX3 8NU",65620707,6000,Office,6
,"Office 19, The Spire, Leeds Road, Lightcliffe, Halifax              HX3 8ND",65620711,2600,Office,6
,"Office 20, The Spire, Leeds Road, Lightcliffe, Halifax              HX3 8NU",65620712,2400,Office,6
,"Office 8 The Spire, Leeds Road, Lightcliffe, Halifax              HX3 8NU",65620714,1075,Office,13
,"Offices 2,3,6,9,14&15, The Spire, Leeds Road, Lightcliffe          HX3 8NU",65620716,12000,Offices And Premises,6
,"Office 7, The Spire, Leeds Road, Lightcliffe          HX3 8NU",65620717,1575,Office,6
,"29 Lees Buildings, Halifax Road, Hipperholme, Halifax             HX3 8EW",65624703,4900,Shop and Premises,21
Tag Tool Hire Ltd,"Unit 1 Victoria Park, Lightowler Road, Pellon, Halifax              HX1 5ND",65626702,14500,Warehouse And Premises,21
C2 (General Partner Two) Lp,"Unit 8 Victoria Park, Lightowler Road, Halifax, HX1 5ND",65626711,8200,Workshop And Premises,12
,"2 Ling Bob, Pellon, Halifax, HX2 0QE",65648002,3200,Shop and Premises,21
,"36 Lister Lane, Halifax, HX1 5AX",65652731,8200,Shop and Premises,21
Aquaspersions Limited,"Listers Road, Halifax, HX3 6AG",65654700,12250,Vehicle Repair Workshop And Premises,21
,"1 Manor Drive, Halifax, HX3 0DN",65732001,4100,Shop and Premises,21
,"10 Market Street, Halifax, HX1 1RN",65736010,32000,Shop and Premises,6
Calderdale Mbc Economy & Environment,"42 Market Street, Halifax, HX1 1PB",65736042,34750,Shop and Premises,6
William Hill Organization Ltd,"39 Westgate House, Market Street, Halifax, HX1 1PD",65736704,41000,Betting Shop And Premises,21
"Armitage, Hewitt & Hellowell","Room 3, Palatine Chambers, 6 Market Street, Halifax             HX1 1RW",65736718,1400,Offices and Premises,6
"Armitage, Hewitt & Hellowell","Room 5 1st Floor, 6 Market Street, Halifax, HX1 1RN",65736727,1200,Offices and Premises,6
Calderdale Mbc Markets Manager,"1ST, 2ND & 3RD Floors, 34 Market Street, Halifax, HX1 1PB",65736739,4450,Offices And Premises,6
Vine Property Management Ltd,"Unit 6, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",65752708,7700,Workshop And Premises,12
,"Queens Head Inn, 13 Mason Green, Illingworth, Halifax             HX2 8HG",65756700,10000,Public House and Premises,21
Burrwood Garage Ltd,"Miall Street Mills, Miall Street, Halifax, HX1 4AE",65788700,5200,Warehouse And Premises,21
Burrwood Garage Ltd,"Miall Street Mills, Miall Street, Halifax, HX1 4AE",65788701,1950,Store And Premises,13
Burrwood Garage Ltd,"Monsal Mills, Miall Street, Halifax, HX1 4AE",65788708,2650,Workshop And Premises,21
,"Telecommunications Mast H3G, Site HX007 Miall St Mills, Miall Street, Halifax              HX1 4AE",65788717,8900,Communication Station and Premises,17
,"29 Mile Cross Road, Halifax, HX1 4HN",65800029,1550,Shop and Premises,13
,"Mile Cross Works, Mile Cross Road, Halifax, HX1 4HN",65800701,43750,Warehouse And Premises,21
Hutchinson 3G Uk Ltd,"Telecommunications Mast, Site Ref 0009, Mile Cross Road, Halifax              HX1 4HN",65800703,8400,Communication Station and Premises,17
Reflecting Roadstuds Ltd,"The Old Foundry (Empty), Mill Lane, Boothtown, Halifax              HX3 6TR",65808766,7700,Workshop And Premises,21
,"148 Moor End Road, Halifax, HX2 0SF",65844148,1650,Shop and Premises,18
,"41 Mount Pellon, Pellon, Halifax, HX2 0EE",65876041,2325,Workshop And Premises,13
Hutchinson Construction [Northern] Ltd,"Empire House, 11 Mulcture Hall Road, Halifax, HX1 1SP",65900704,4000,Warehouse And Premises,21
Hutchinson Construction [Northern] Ltd,"Empire House, 11 Mulcture Hall Road, Halifax, HX1 1SP",65900707,10250,Offices and Premises,21
,"Storage Land Adjacent To, Hipperholme Works, Halifax Road, Hipperholme          HX3 8BS",65936703,19500,Land Used For Storage,17
Decopak Ltd,"Land At, Hipperholme Works, Halifax Road, Hipperholme          HX3 8BS",65936708,12250,Land Used For Storage and Premises,21
,"Land At, Hipperholme Works, Halifax Road, Hipperholme          HX3 8BS",65936709,8300,Land Used For Storage and Premises,17
Halifax Plumbers Merchants Ltd,"First Floor Showroom B, 150 Jubilee Road, Halifax, HX3 9LL",65958704,4450,Showroom And Premises,21
Halifax Plumbers Merchants Ltd,"First Floor Store, 150 Jubilee Road, Halifax, HX3 9LL",65958705,5000,Warehouse And Premises,12
Royal London Mutual Insurance Society Ltd,"The Pump Room, 35 New Road, Halifax, HX1 2LH",68028707,8100,Public House and Premises,21
Royal London Mutual Insurance Society Ltd,"7/9/11 New Road, Halifax, HX1 2LH",68028709,12250,Shop and Premises,21
Royal London Mutual Insurance Society Ltd,"New Road Business Park, New Road, Halifax, HX1 2LH",68028714,10500,Workshop And Premises,21
Royal London Mutual Insurance Society Ltd,"New Road Bus Park (Empty), New Road, Halifax, HX1 2LH",68028715,4600,Workshop And Premises,21
,"5a Old Lane, Halifax, HX3 6TD",68080702,500,Workshop And Premises,13
Calderdale Mbc Land & Property Services,"17 Northgate, Halifax, HX1 1UR",68096017,10250,Shop and Premises,6
,"33 Northgate, Halifax, HX1 1UR",68096033,8100,Shop and Premises,6
Northgate Halifax Ltd,"95 Northgate, Halifax, HX1 1XF",68096095,9200,Showroom And Premises,21
Dews Motor Group Ltd,"North Bridge, Northgate, Halifax, HX1 1XJ",68096702,1575,Garage And Premises,13
,"Suite 4, Nursery Lane Health Centre, Nursery Lane, Halifax              HX3 5SW",68104704,870,Office,13
,"Suite 3, Nursery Lane Health Care, Nursery Lane, Halifax              HX3 5SW",68104711,4200,Offices And Premises,21
,"1 Oak Terrace, Stainland, Halifax, HX4 9EY",68112001,1775,Shop and Premises,13
Brittania Developments Ltd,"Old Lane Dye Works, Old Lane, Halifax, HX3 6TQ",68132710,67500,Factory and Premises,6
Brittania Developments Ltd,"Old Lane Dyeworks, Old Lane, Halifax, HX3 6TQ",68132721,10500,Warehouse And Premises,6
Dean Clough Ltd,"Holroyd Mills, Old Lane, Halifax, HX3 5QN",68132725,6800,Warehouse And Premises,21
Calderbrook Estates Ltd,"Office No 1, Ladyship Industrial Estate, Old Lane, Halifax             HX3 5QN",68132730,1875,Offices and Premises,13
Ladyship Estates Ltd,"David Beck Stone Yard, Ladyship Mills, Old Lane, Halifax              HX3 5QN",68132743,2025,Land Used For Vehicle Training,13
Calder Brook Estates Ltd,"Unit 5, Ladyship Industrial Estate, Old Lane, Halifax              HX3 5QN",68132753,1600,Store,13
Calder Brook Estates Ltd,"Unit 8, Ladyship Industrial Estate, Old Lane, Halifax              HX3 5QN",68132755,1625,Store,13
Exors Of Mr Jnp Crossley,"Unit A1A/A1B, Lower Ladyship Mills, Old Lane, Halifax              HX3 5QN",68132770,3700,Warehouse And Premises,21
Capita S I P Services S W I 0126,"1st, 2nd & 3rd Floors, 14/16 Old Market, Halifax, HX1 1TN",68140703,8200,Shop and Premises,21
,"Unit 10a Station Ind. Park, Old Station Road, Luddendenfoot, Halifax             HX2 6AD",68144711,21750,Warehouse And Premises,21
,"298/300 Ovenden Road, Halifax, HX3 5TJ",68156713,1100,Workshop And Premises,18
H.Q Leisure Ltd,"Ovenden Hall, Ovenden Road, Halifax, HX3 5QG",68156719,42000,Offices and Premises,6
Calderdale Mbc,"232 Ovenden Way, Ovenden, Halifax, HX3 5NU",68160702,3250,Hairdressing Salon and Premises,21
,"12 Park Road, Halifax, HX1 2TS",68208012,9700,Hostel And Premises,6
,"98 Parkinson Lane, Halifax, HX1 3QH",68224098,2325,Shop and Premises,18
R E Dickie Ltd,"West End Works, Parkinson Lane, Halifax, HX1 3UB",68224730,15750,Workshop And Premises,21
,"Pear Street, Halifax, HX1 3UA",68232701,1150,Garage And Premises,13
,"Unit U1, Pear Street, Halifax, HX1 3UA",68232706,2200,Store And Premises,13
,"Unit U3, Pear Street, Halifax, HX1 3UA",68232708,1950,Store And Premises,13
,"Unit B1, 49 Pear Street, Halifax, HX1 3UA",68232710,2200,Workshop And Premises,13
,"12 Pellon Lane, Halifax, HX1 5SP",68236012,5900,Shop and Premises,21
,"32 Pellon Lane, Halifax, HX1 5SP",68236032,390,Store and Premises,18
,"224 Pellon Lane, Halifax, HX1 5RU",68236224,3750,Shop and Premises,21
,"Lower Grd Floor & Basement, 354 Pellon Lane, Halifax, HX1 4QD",68236781,1925,Store And Premises,13
Heinz Pension Plans Property Investment Fund,"Unit 4 Pellon Retail Park, Pellon Lane, Halifax, HX1 5HQ",68236785,43000,Retail Warehouse And Premises,21
Haverley Properties Ltd,"28 Pellon Lane, Halifax, HX1 5SP",68236786,2250,Taxi Office And Premises,18
Heinz Pension Plans Property Investment Fund,"Unit 2 Pellon Lane Retail Pk, Pellon Lane, Halifax, HX1 5HQ",68236791,23750,Retail Warehouse And Premises,21
,"Hill Top Farm, Pepper Hill, Cock Hill Lane, Shelf                HX3 7TH",68244706,1800,Land Used For Storage and Premises,18
Hawkhead Bray & Son Ltd,"Unit 25, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248714,950,Store And Premises,18
Hawkhead Bray & Son Ltd,"Unit 32a, Phoebe Lane Ind Est, Phoebe Lane, Halifax             HX3 9EX",68248727,260,Store And Premises,13
Hawkhead Bray & Son Ltd,"Unit 32b, Phoebe Lane Ind Estate, Phoebe Lane, Halifax             HX3 9EX",68248731,260,Store And Premises,13
Hawkhead Bray & Son Ltd,"Units 3 & 4, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248734,670,Workshop And Premises,13
Hawkhead Bray & Son Ltd,"Unit 36A, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248749,7000,Store And Premises,12
Hawkhead Bray & Son Ltd,"First Floor Unit 5B, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248751,840,Store And Premises,18
Hawkhead Bray & Son Ltd,"Second Floor Unit 5C, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248752,510,Store And Premises,13
Hawkhead Bray & Son Ltd,"First Floor Unit 21, Phoebe Lane Industrial Est, Phoebe Lane, Halifax              HX3 9EX",68248753,1725,Offices And Premises,18
Hawkhead Bray & Son Ltd,"Ground Floor Unit 21, Phoebe Lane Industrial Est, Phoebe Lane, Halifax              HX3 9EX",68248754,2100,Offices And Premises,18
Calderdale Mbc,"24 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252024,2550,Shop and Premises,6
Calderdale Mbc,"80 Rustic, Piece Hall, Halifax, HX1 1RE",68252080,1700,Shop and Premises,6
Calderdale Mbc,"49 Arcade, Piece Hall, Halifax, HX1 1RE",68252706,2500,Shop and Premises,6
Calderdale Mbc,"50/51/52 Arcade, Piece Hall, Halifax, HX1 1RE",68252708,7400,Shop and Premises,6
Director Of Safer & Stronger Communities,"Between 52 And 53, Arcade, Piece Hall, Halifax             HX1 1RE",68252710,3650,Shop and Premises,6
Calderdale Mbc Land & Property Services,"64 Rustic, Piece Hall, Halifax, HX1 1RE",68252715,2600,Shop and Premises,6
Calderdale Mbc Land & Property Services,"65 Rustic, Piece Hall, Halifax, HX1 1RE",68252717,1675,Shop and Premises,6
Calderdale Mbc Land & Property Services,"66 Rustic, Piece Hall, Halifax, HX1 1RE",68252718,1700,Shop and Premises,6
Calderdale Mbc Land & Property Services,"60 Rustic, Piece Hall, Halifax, HX1 1RE",68252720,2600,Shop and Premises,6
Calderdale Mbc Land & Property Services,"61 Rustic, Piece Hall, Halifax, HX1 1RE",68252721,2550,Shop and Premises,6
Director Of Safer & Stronger Communities,"Adj 67 Rustic, Piece Hall, Halifax, HX1 1RE",68252724,4750,Shop and Premises,6
Calderdale Mbc,"27 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252725,2550,Shop and Premises,6
Calderdale Mbc Community Services,"25 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252726,2500,Shop and Premises,6
Calderdale Mbc,"29 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252727,2500,Shop and Premises,6
Calderdale Mbc Community Services,"23 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252728,2500,Shop and Premises,6
Calderdale Mbc,"21 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252729,1575,Shop and Premises,6
Calderdale Mbc,"20 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252731,2550,Shop and Premises,6
Calderdale Mbc,"18 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252732,2550,Shop and Premises,6
Calderdale Mbc Community Services,"16 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252733,2500,Shop and Premises,6
Calderdale Mbc,"14 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252734,2550,Shop and Premises,6
Calderdale Mbc,"8 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252735,2550,Shop and Premises,6
Calderdale Mbc,"5 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252736,810,Shop and Premises,6
Calderdale Mbc,"28 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252737,2500,Shop and Premises,13
Calderdale Mbc,"7 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252739,2500,Shop and Premises,6
Calderdale Mbc Land & Property Services,"12/13 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252741,5100,Shop and Premises,6
Calderdale Mbc Community Services,"43 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252743,720,Shop and Premises,6
Calderdale Mbc,"33 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252744,2500,Shop and Premises,6
Calderdale Mbc,"34/35 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252746,5100,Shop and Premises,6
Calderdale Mbc,"38 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252747,1675,Shop and Premises,6
Calderdale Mbc,"36 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252748,2500,Shop and Premises,6
Calderdale Mbc Land & Property Services,"22 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252749,2475,Shop and Premises,6
Calderdale Mbc,"30 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252750,2500,Shop and Premises,6
Calderdale Mbc,"39 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252751,2600,Shop and Premises,6
Calderdale Mbc Community Services,"37 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252752,2550,Shop and Premises,6
Calderdale Mbc Land & Property Services,"31/32 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252753,5000,Shop and Premises,6
Calderdale Mbc Land & Property Services,"15 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252754,2550,Shop and Premises,6
Calderdale Mbc,"17 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252755,2375,Shop and Premises,6
Calderdale Mbc,"10 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252756,2550,Shop and Premises,6
Calderdale Mbc,"19 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252757,2550,Shop and Premises,6
Calderdale Mbc Community Services,"42 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252758,2550,Shop and Premises,6
Calderdale Mbc Director Of Leisure Services,"40/41 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252759,5300,Shop and Premises,6
Calderdale Mbc,"2 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252760,5000,Shop and Premises,6
Calderdale Mbc Community Services,"57 Arcade, Piece Hall, Halifax, HX1 1RE",68252764,1000,Store And Premises,6
Calderdale Mbc,"26 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252766,2475,Shop and Premises,6
Calderdale Mbc,"9 The Colonade, Piece Hall, Halifax, HX1 1RE",68252767,2550,Shop and Premises,6
Calderdale Mbc,"54 Arcade, Piece Hall, Halifax, HX1 1RE",68252769,1650,Shop and Premises,6
Calderdale Mbc,"53 Arcade, Piece Hall, Halifax, HX1 1RE",68252770,3300,Shop and Premises,6
Calderdale Mbc,"48 Arcade, Piece Hall, Halifax, HX1 1RE",68252771,2475,Shop and Premises,6
Calderdale Mbc Land & Property Services,"6 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252773,2500,Shop and Premises,6
Calderdale Mbc,"Unit 59 The Bradley Room, Piece Hall, Halifax, HX1 1RE",68252774,5300,Shop and Premises,6
Calderdale Mbc Community Services,"11 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252775,1625,Shop and Premises,6
Calderdale Mbc Land & Property Services,"68 Rustic, Piece Hall, Halifax, HX1 1RE",68252777,830,Shop and Premises,6
Calderdale Mbc Land & Property Services,"67 Rustic, Piece Hall, Halifax, HX1 1RE",68252778,2500,Shop and Premises,6
Calderdale Mbc,"69 Rustic, Piece Hall, Halifax, HX1 1RE",68252779,1725,Shop and Premises,6
Calderdale Mbc Community Services,"3 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252780,2500,Shop and Premises,6
Calderdale Mbc Community Services,"75 Rustic, Piece Hall, Halifax, HX1 1RE",68252781,1750,Shop and Premises,6
Calderdale Mbc,"55/56 Arcade, Piece Hall, Halifax, HX1 1RE",68252782,5000,Shop and Premises,6
Calderdale Mbc,"77 Arcade, Piece Hall, Halifax, HX1 1RE",68252786,10500,Shop and Premises,6
Calderdale Mbc,"76 Rustic, Piece Hall, Halifax, HX1 1RE",68252789,6200,Shop and Premises,6
Calderdale Mbc Community Services,"Adj 59 Rustic, Piece Hall, Halifax, HX1 1RE",68252790,4100,Offices and Premises,6
Calderdale Mbc Community Services,"Public Conveniences, Rustic, Piece Hall, Halifax              HX1 1RE",68252791,3900,Public Conveniences And Premises,6
Director Of Safer & Stronger Communities,"62/63 Rustic, Piece Hall, Halifax, HX1 1RE",68252792,4250,Shop And Premises,6
Calderdale Mbc,"1 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252793,2500,Shop and Premises,18
Calderdale Mbc,"44-47 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252794,3300,Shop and Premises,6
Calderdale Mbc,"Art Galleries, Piece Hall, Halifax, HX1 1RE",68252795,7600,Art Gallery And Premises,6
Hutchinson 3G Uk Ltd,"Telecommunication Mast, Ref HX0014 Coal Pit Lane, Southowram, HX3 9RG",68256703,8200,Communication Station and Premises,17
,"Kingfisher House, Portland Place, Halifax, HX1 2JQ",68272702,37000,Offices and Premises,21
,"Stores, Portland Place, Halifax, HX1 2QN",68272707,2025,Store And Premises,13
,"First Floor, Surefix Motoring Centre, Portland Place, Halifax              HX1 2QN",68272709,5300,Warehouse And Premises,21
,"4 Powell Street, Halifax, HX1 1LN",68276004,7900,Shop and Premises,3
,"Mozart House, 34 & 34a Prescott Street, Halifax, HX1 2QW",68280034,4300,Guest House And Premises,21
Calderdale Mbc,"Princess Buildings, 18 Princess Street, Halifax, HX1 1TP",68288701,92500,Offices and Premises,6
Friarshill Ltd,"Unit 12A Washer Lane Works, Washer Lane, Halifax, HX2 7DX",68296730,1875,Warehouse And Premises,13
Friarshill Ltd,"Unit 21/21A, Washer Lane Works, Washer Lane, Halifax              HX2 7DX",68296734,1975,Warehouse And Premises,13
Friarshill Ltd,"Part Unit 24, Washer Lane Works, Washer Lane, Halifax              HX2 7DX",68296738,1500,Warehouse And Premises,13
,"Part Unit 16, Washer Lane Works, Washer Lane, Halifax              HX2 7DX",68296740,1075,Warehouse And Premises,13
,"173 Queens Road, Halifax, HX1 4LN",68308173,2425,Hairdressing Salon and Premises,13
Hewden Stuart Ltd,"327 Queens Road, Halifax, HX1 4PY",68308327,24500,Warehouse And Premises,21
,"Milk Distribution Depot, Queens Road, Halifax, HX1 3NT",68308710,13750,Warehouse And Premises,21
Brook Pharmacy Ltd,"1ST & 2ND Floors, 236 Queens Road, Halifax, HX1 4NE",68308727,1575,Store And Premises,13
Brearley-Greens,"296b Queens Road, Halifax, HX1 4NS",68308732,2475,Shop and Premises,13
Marrtree Investments Ltd,"327a Queens Road, Halifax, HX1 4PY",68308736,5700,Shop and Premises,21
Trustees Of The Oddyssey Glass Pension Scheme,"Unit 4B, High Level Way, Queens Road, Halifax              HX1 4PS",68308761,34500,Warehouse And Premises,21
,"D Y L Motor Group, Queens Road, Halifax, HX1 3XY",68308800,79000,Car Showroom And Premises,21
,"D Y L Motor Group, Queens Road, Halifax, HX1 3XY",68308801,76500,Car Showroom And Premises,21
,"Second Floor Warehouse, 43-51 Queens Road, Halifax, HX1 3NS",68308813,1525,Warehouse And Premises,13
,"First Floor Store Above, 43/45 Queens Road, Halifax, HX1 3NS",68308816,3050,Store And Premises,21
Leo Sawrij Ltd,"Sect 3A Unit 6, Pellon Industrial Estate, Queens Road, Halifax              HX1 4PS",68308820,6500,Store and Premises,21
,"First Floor, 259/261 Queens Road, Halifax, HX1 4NS",68308827,3150,Showroom And Premises,21
,"Ground Floor, 259/261 Queens Road, Halifax, HX1 4NS",68308828,14000,Shop and Premises,21
Pennine Housing 2000,"Unit 3, Range Court, Halifax, HX3 6DJ",68332701,7000,Garage And Premises,21
Pennine Housing 2000,"Unit 4, Range Court, Halifax, HX3 6DL",68332702,8100,Garage And Premises,21
,"2 Range Lane, Halifax, HX3 6DL",68336002,2600,Shop and Premises,21
,"1 Raven Street, Halifax, HX1 4NB",68340705,1475,Store And Premises,13
,"58 Rochdale Road, Greetland, Halifax, HX4 8AX",68392058,1950,Shop and Premises,13
,"18 Rochdale Road, Greetland, Halifax, HX4 8AL",68392707,1275,Offices and Premises,13
J.B.G Computer Services Ltd [In Liquidation],"Civic Hall, Rochdale Road, Greetland, Halifax             HX4 8AH",68392710,21250,Offices and Premises,8
,"15 Roils Head Road, Halifax, HX2 0NQ",68396015,1500,Shop and Premises,13
Castledene Yorkshire Ltd,"21 Roils Head Road, Halifax, HX2 0NQ",68396021,1950,Shop and Premises,13
,"23 Roils Head Road, Halifax, HX2 0NQ",68396023,1975,Shop and Premises,13
,"Norwood Green Cricket Club, Rookes Lane, Norwood Green, Halifax             HX3 8PU",68404700,1500,Cricket Club And Premises,18
Binns & Sons (Greetland) Ltd,"Brian Royd Mills, Saddleworth Road, Greetland, Halifax              HX4 8NF",68444723,2650,Workshop And Premises,12
Binns & Sons (Greetland) Ltd,"Brian Royd Mills, Brian Royd Lane, Greetland, Halifax              HX4 8NF",68444731,455,Workshop And Premises,13
Binns & Sons (Greetland) Ltd,"4th Flr Brian Royd Mills, Brian Royd Lane, Greetland, Halifax             HX4 8NF",68444733,1525,Aerobics Studio And Premises,13
Binns & Sons (Greetland) Ltd,"Brian Royd Mills, Brian Royd Lane, Greetland, Halifax              HX4 8NF",68444734,4300,Workshop And Premises,12
Binns & Sons (Greetland) Ltd,"Pt 4th Flr Brian Royd Mills, Brian Royd Lane, Greetland, Halifax             HX4 8NF",68444742,2075,Warehouse And Premises,13
,"Unit 4, Bandwalk Industrial Estate, Saddleworth Road, Greetland            HX4 8BA",68444754,3300,Workshop And Premises,21
Hutchinson 3G Uk Ltd,"Telecommunication Mast, Ref HX0024 Brian Royd Mills, Saddleworth Road, Greetland            HX4 8NN",68444756,8400,Communication Station and Premises,17
Pearson Brothers Properties,"340 Salterhebble Hill, Halifax, HX3 0QT",68452340,6200,Offices and Premises,21
Mosonic Ltd,"Unit 7, Clifby Works, Sandbeds Road, Halifax              HX2 0QQ",68456702,5400,Warehouse And Premises,21
Mosonic Ltd,"Unit 5A Clifby Works, Sandbeds Road, Pellon, Halifax              HX2 0QQ",68456717,2500,Warehouse And Premises,18
,"2ND Floor, 52 Manor Heath Road, Halifax, HX3 0BE",68470052,1900,Offices and Premises,13
,"Carlton Works, Rear Of 24 Savile Park Road, Halifax, HX1 2EN",68472700,810,Store And Premises,13
,"Carlton Works, The Boulevard, Savile Park Road, Halifax             HX1 2EN",68472703,1800,Store And Premises,13
,"Carlton Works, The Boulevard, R/O 24 Savile Park Road, Halifax             HX1 2EN",68472709,2175,Warehouse And Premises,13
,"Carlton Works, The Boulevard, R/O 24 Savile Park Road, Halifax             HX1 2EN",68472711,3000,Store And Premises,21
,"Carlton Works, The Boulevard, R/O 24 Savile Park Road, Halifax             HX1 2EN",68472712,1425,Store And Premises,13
,"Carlton Works, The Boulevard, R/O 24 Savile Park Road, Halifax             HX1 2EN",68472715,1675,Workshop And Premises,13
Everything Everywhere Ltd,"Telecomms Mast, Site Ref WYK0178, Savile Park Road, Halifax              HX1 2XH",68472718,8900,Communication Station and Premises,17
,"4 Savile Park Street, Halifax, HX1 3DX",68476004,2500,Shop and Premises,13
,"6 Savile Park Street, Halifax, HX1 3DX",68476006,3100,Shop And Premises,3
,"12 Savile Park Street, Halifax, HX1 3DX",68476012,2850,Surgery And Premises,21
Unitward Ltd,"Sedburgh Road, Halifax, HX3 9HB",68520710,8100,Land Used For Storage and Premises,12
Shaw Lodge Mills Ltd,"Level - 2 The 1850 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526701,3500,Warehouse And Premises,6
Shaw Lodge Mills Ltd,"LEVEL-1 The 1830 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526705,4850,Warehouse And Premises,6
Shaw Lodge Mills Ltd,"Level 2 The 1830 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526707,2250,Warehouse And Premises,6
Shaw Lodge Mills Ltd,"Level 3 The 1850 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526710,5300,Warehouse And Premises,6
Shaw Lodge Mills Ltd,"The Engine House (A), Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526712,2425,Vehicle Repair Workshop And Premises,13
Shaw Lodge Mills Ltd,"Office G7 Shaw Lodge House, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526721,690,Office,6
Shaw Lodge Mills Ltd,"Level 4 The 1862 Warehouse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526733,5100,Warehouse And Premises,6
Shaw Lodge Mills Ltd,"Level - 1 The 1862 Warehouse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526734,9200,Warehouse And Premises,6
