PROPREF,PROPERTY_DESCRIPTION,PROPERTY_ADDRESS,RATEPAYER,RV,LIABILITY_START,RELIEF_AS_AT_TODAY
76060710,Micro Pub and Premises,"3 The Courtyard, Bridge Gate, Hebden Bridge, HX7 8EX",Calan's Micropub Ltd,8500,01/04/2015,SBR
76060711,Shop and Premises,"11B Bridge Gate, Hebden Bridge, HX7 8EX",,7500,07/05/2011,SBR
76060712,Shop and Premises,"The Courtyard, Bridge Gate, Hebden Bridge, HX7 8EX",Ethical Collections Ltd,10750,07/12/2010,EX
76060713,Shop and Premises,"Ground Floor, 14 Bridge Gate, Hebden Bridge, HX7 8EX",,10250,02/09/2012,DCR MCR
76060714,Restaurant And Premises,"Over 12-16, Bridge Gate, Hebden Bridge, HX7 8EX",,9900,10/06/2014,SBR
76064087,Workshop And Premises,"87 Bridge Lanes, Hebden Bridge, HX7 6AT",,990,01/04/1990,SBR
76064707,Car Park And Premises,"Free Car Park, Bridge Lanes, Hebden Bridge, HX7 6AT",Calderdale Mbc Parking Services,2000,01/04/2013,SBR
76064708,Car Park and Premises,"Licensed Car Park, Bridge Lanes, Hebden Bridge, HX7 6AT",Albanyview Limited,1400,01/04/2013,SBR
76068702,Offices and Premises,"Units 1A & 1B, Brier Hey, Burnley Road, Mytholmroyd          HX7 5PF",Junamoon Ltd,8600,01/07/2015,SBR
76068704,Offices And Premises,"Unit 2 Brier Hey, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5PF",P M Reinforcements Ltd,7500,01/04/2010,SBR
76076709,Self Catering Holiday Unit And Premises,"1 The Mill, Brunswick Street, Hebden Bridge, HX7 6AF",,1500,01/01/2013,SBR
76080719,Self Catering Holiday Unit And Premises,"Stephenson House, Burlees Lane, Wadsworth, Hebden Bridge        HX7 8PR",,2800,01/08/2015,SBR
76084701,Mooring And Premises,"Mayroyd Moorings, Burnley Road, Hebden Bridge, HX7 8NU",,8500,24/07/1997,SBR
76084702,Communication And Traffic Monitoring Station And Premises,"Trafficmaster 6446, Burnley Road, Hebden Bridge, HX7 8AZ",Trafficmaster Plc,140,01/04/1998,SBR
76084715,Warehouse And Premises,"Part 1B White Lee, Burnley Road, Hebden Bridge, HX7 5AD",,3800,01/06/2012,SBR
76088001,Hairdressing Salon and Premises,"1 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,3400,01/06/2012,
76088003,Shop and Premises,"3 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",Golden Fish 168 Ltd,1925,24/05/2005,SBR
76088004,Shop and Premises,"4 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,1975,01/04/1990,SBR
76088005,Shop and Premises,"5 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,1825,08/06/1990,SBR
76088007,Estate Agents,"7 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",J & M Estates Ltd,2600,01/03/2013,SBR
76088009,Shop and Premises,"9 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,1300,01/04/1990,EX
76088014,Hairdressing Salon and Premises,"14 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,770,01/04/1990,SBR
76088016,Shop and Premises,"16 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,770,01/04/2011,
76088019,Shop and Premises,"19 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,1825,01/07/2015,EX
76088026,Hairdressing Salon and Premises,"26 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LN",,1325,01/04/1990,SBR
76088027,Offices And Premises,"27 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5PD",S G S Technologies Ltd,1000,07/10/2013,SBR
76088701,Shop and Premises,"Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5PD",,8400,19/09/1999,SBR
76088709,Workshop And Premises,"4A Brier Hey, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5PF",Brier Hey Pottery,1500,01/04/2012,SBR
76088710,Workshop And Premises,"Unit 3 Brier Hey, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5PF",,7900,02/02/2005,SBR
76088713,School and Premises,"Burnley Road J & I School, Burnley Road, Mytholmroyd, Hebden Bridge       HX7 5DE",Burnley Road Academy,29500,01/09/2011,EX
76088714,Showroom And Premises,"Clough Bottom, Burnley Road, Mytholmroyd, Hebden Bridge       HX7 5LN",Stokers Ltd,70000,01/04/1990,
76088717,Sports Ground And Premises,"Ewood Holmes, Mytholmroyd, Hebden Bridge, HX7 5QN",Calder High School,3250,01/04/2002,SBR
76088721,Fire Station And Premises,"Mytholmroyd Fire Station, Burnley Road, Mytholmroyd, Hebden Bridge       HX7 5DP",,13000,01/04/1990,SBR
76088723,Sports Ground And Premises,"Moderna Way, Mytholmroyd, Hebden Bridge, HX7 5PD",,5900,01/04/1990,SBR
76088725,Factory and Premises,"Unit 1, Green Hill Industrial Estate, Mytholmroyd, Hebden Bridge       HX7 5QF",Vale Upholstery Ltd,89000,01/04/1990,
76088726,Petrol Filling Station And Premises,"Unit 1, Burnley Road Garage, Mytholmroyd, Hebden Bridge       HX7 5AE",Co-Operative Group Ltd,32000,02/09/1995,
76088727,Warehouse And Premises,"Unit 10, Moderna Business Park, Mytholmroyd, Hebden Bridge       HX7 5QQ",Faun Zoeller (Uk) Ltd,22250,01/05/2011,
76088728,Offices and Premises,"Unit 11, Moderna Business Park, Mytholmroyd, Hebden Bridge       HX7 5QQ",Microsearch Laboratories Ltd,26000,08/06/2008,
76088729,Showroom And Premises,"Unit 2, Burnley Road Garage, Mytholmroyd, Hebden Bridge       HX7 5AD",Valley Kitchens Ltd,5600,01/04/2015,EX
76088732,Factory and Premises,"Unit 3, Green Hill Industrial Estate, Mytholmroyd, Hebden Bridge       HX7 5QF",Damika Ltd,28500,02/10/2010,
76088734,Warehouse And Premises,"Unit 5, Brier Hey, Mytholmroyd, Hebden Bridge       HX7 5PF",,16000,28/05/1990,SBR
76088738,Garage And Premises,"Unit 8, Burnley Road Garage, Mytholmroyd, Hebden Bridge       HX7 5AD",,6800,01/09/2010,SBR
76088743,Laboratory And Premises,"Units 3-7, Burnley Road Garage, Mytholmroyd, Hebden Bridge        HX7 5LH",Co-Operative Group Ltd,21500,16/08/2011,ER
76088745,Workshop And Premises,"Unit 6 White Lee, Burnley Road, Mytholmroyd, Hebden Bridge       HX7 5LN",Bob Wild Grass Machinery Ltd,12000,01/05/2005,SBR
76088746,Workshop And Premises,"Unit 5 White Lee, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5QJ",Abacus Photoframes 2009 Ltd,10250,05/10/2009,SBR
76088748,Public House and Premises,"White Lion Hotel, Burnley Road, Mytholmroyd, Hebden Bridge       HX7 5LN",,6250,01/04/2015,SBR
76088749,Shop and Premises,"10a Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",Whitesands Travel Ltd,2950,25/07/2006,SBR
76088754,Car Park and Premises,"Adj White Lion Hotel, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5LN",Regeneration And Development,2400,01/04/1990,SBR
76088757,Workshop And Premises,"Unit 3 White Lee, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5QL",M.S.L Woodworking Machinery Ltd,4950,01/02/1994,SBR
76088758,Warehouse And Premises,"Unit 2 White Lee Garage, Burnley Road, Mytholmroyd, Hebden Bridge       HX7 5QL",,3600,01/03/2008,SBR
76088762,Offices and Premises,"11 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,1375,01/04/2001,EX
76088767,Workshop And Premises,"Unit 19, Moderna Business Park, Mytholmroyd, Hebden Bridge       HX7 5QQ",Moderna M.O.Ts Ltd,10500,09/02/2004,SBR
76088769,Cafe and Premises,"Moderna Business Park, Mytholmroyd, Hebden Bridge, HX7 5QQ",,990,03/07/2006,SBR
76088771,Warehouse And Premises,"Units 7 & 8, White Lee Garage, Burnley Road, Mytholmroyd         HX7 5QJ",Bob Wild Grass Machinery Ltd,28000,01/05/2005,
76088772,Warehouse And Premises,"The Showroom, Greenhill Industrial Estate, Mytholmroyd, Hebden Bridge       HX7 5QF",Vale Upholstery Ltd,20000,02/04/1999,
76088783,Offices and Premises,"Moderna Way, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5PZ",H.E.C Ltd,44500,26/05/2006,
76088785,Workshop And Premises,"Unit 7, Top Land Country Business Pk, Burnley Road, Mytholmroyd          HX7 5RU",Mfg Consultants Ltd,14000,01/08/2014,SBR
76088802,Surgery And Premises,"Grange Dene Medical Centre, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5LF",Shaw & Associates Dental Surgeons Ltd,11750,06/08/2010,SBR
76088804,Shop and Premises,"Ground Floor, Mytholmroyd Medical Centre, Burnley Road, Mytholmroyd          HX7 5LF",The Langhorne Pharmacy Ltd,5100,09/08/2004,SBR
76088805,Shop and Premises,"Mytholmroyd Medical Centre, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5LF",Welcome Independent Living Ltd,2600,15/10/2015,SBR
76088811,Shop and Premises,"Millys, Grange Dene Yard, Burnley Road, Mytholmroyd          HX7 5LL",,1725,01/08/2015,SBR
76088821,Warehouse And Premises,"Unit 15C, Moderna Business Park, Burnley Road, Mytholmroyd          HX7 5QQ",Springhill Water Services Ltd,9500,01/07/2010,SBR
76088822,Factory and Premises,"Unit 1A, Moderna Business Park, Mytholmroyd, HX7 5QL",Drew Forsyth & Co,37500,01/04/2008,
76088827,Hair Salon,"S G M Hair Studio, Mytholmroyd House 1ST Floor, 1 Burnley Road, Mytholmroyd          HX7 5LH",,4650,23/03/2006,SBR
76088829,Office,"White Lee Estates Office, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",Industrials Uk Ltd Partnership,2075,06/06/2015,EX
76088830,Workshop And Premises,"Unit 8, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",Nutclough Mill Ltd,3800,01/12/2012,SBR
76088832,Workshop And Premises,"Unit 9, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",Myford Ltd,2450,01/09/2012,SBR
76088837,Workshop And Premises,"Unit 1, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",Sgl Carbon Fibers Ltd,44500,01/04/2011,
76088839,Shop and Premises,"Unit 4 White Lee Garage, Burnley Road, Mytholmroyd, HX7 5AD",,2800,01/02/2006,SBR
76088846,Warehouse And Premises,"Unit 15A Moderna Business Pk, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5QQ",,9000,01/04/2014,SBR
76088848,Store And Premises,"Wessex House, Caldene Business Park, Mytholmroyd, Hebden Bridge        HX7 5QJ",Industrials Uk Ltd Partnership,5300,07/02/2015,EX
76088849,Public House and Premises,"Dusty Miller Hotel, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5LH",,24250,29/06/2015,
76088850,Warehouse And Premises,"Belvoir House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",Prodoto Photographic Studios Ltd,44750,20/11/2010,
76088852,Factory and Premises,"Unit 1B, Moderna Business Park, Burnley Road, Mytholmroyd          HX7 5QL",Microsearch Laboratories Ltd,38500,01/01/2014,
76088855,Workshop And Premises,"Cleveland House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",Wardray Premise Ltd,28250,01/04/2007,
76088858,Warehouse And Premises,"2 Windsor House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",Stokers Ltd,19000,21/05/2007,
76088859,Medical Centre And Premises,"Grange Dene Medical Centre, Grange Dene, Burnley Road, Mytholmroyd          HX7 5LF",Hebden Bridge Group Practice,91000,01/04/2005,
76088860,Warehouse And Premises,"Units 16D & 16E, Moderna Business Park, Burnley Road, Mytholmroyd          HX7 5QQ",Sissel Uk Ltd,13250,02/09/2007,SBR
76088861,Workshop And Premises,"Unit 16B & C, Moderna Business Park, Burnley Road, Mytholmroyd          HX7 5QQ",Sheerin Bespoke Furniture Manufacturing Ltd,16500,13/07/2011,SBR
76088863,Store And Premises,"Unit 16A Moderna Business Pk, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5QQ",Sheerin Bespoke Furniture Manufacturing Ltd,5300,13/07/2011,SBR
76088864,Store And Premises,"Units 18A & 18B, Moderna Business Park, Burnley Road, Mytholmroyd          HX7 5QQ",,11000,01/12/2012,SBR
76088865,Store And Premises,"Richmond House D3, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",T D Jagger Ltd,9000,19/11/2007,SBR
76088866,Warehouse And Premises,"Unit 15B Moderna Business Pk, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5QQ",,10000,01/08/2014,SBR
76088867,Builders Merchants And Premises,"Units 1 & 2, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",Mytholmroyd Builders Merchants Ltd,16750,14/01/2008,SBR
76088870,Warehouse And Premises,"Unit D1 Richmond House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",Wardray Premise Ltd,7900,01/10/2013,SBR
76088871,Land Used For Storage,"Land At, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",,640,14/01/2008,SBR
76088872,Factory and Premises,"Unit 6, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",,2000,14/01/2008,EX
76088875,Warehouse And Premises,"Unit 4, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",,7600,01/05/2016,SBR
76088876,Factory and Premises,"Unit 5, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",,1825,14/01/2008,EX
76088879,Warehouse And Premises,"2 Richmond House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",Ryden Llp,5000,09/04/2016,EX
76088880,Offices and Premises,"Units 17A,17B & 17C, Moderna Business Park, Burnley Road, Mytholmroyd",Instant Availability Ltd,42500,01/04/2011,
76088881,Surgery And Premises,"Unit 1A & 4A, White Lee Garage, Burnley Road, Mytholmroyd          HX7 5AD",Cvs (Uk) Ltd,21000,23/09/2013,
76088886,Warehouse And Premises,"Rockwood House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",Prodoto Photographic Studios Ltd,9600,01/01/2015,SBR
76088887,Warehouse And Premises,"Grosvenor House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",R D G Tools Ltd,23000,07/06/2008,
76088888,Warehouse And Premises,"Unit 2G, Greenhill Industrial Estate, Mytholmroyd, Hebden Bridge        HX7 5QF",Litemania.Co.Uk Limited,9100,01/09/2014,SBR
76088889,Warehouse And Premises,"Unit 4, Greenhill Industrial Estate, Mytholmroyd, Hebden Bridge        HX7 5QF",Jacksons Of Hebden Bridge Ltd,11000,10/07/2009,SBR
76088891,Warehouse And Premises,"Unit 2C, Greenhill Industrial Estate, Mytholmroyd, Hebden Bridge        HX7 5QF",Damika Ltd,13000,06/12/2010,
76088894,Warehouse And Premises,"Unit 1C Whitelee Business Pk, Burnley Road, Mytholmroyd, HX7 5AD",Pennine Signs Ltd,4150,11/04/2009,SBR
76088895,Showroom And Premises,"Unit 1D Whitelee Business Pk, Burnley Road, Mytholmroyd, HX7 5AD",,3500,11/04/2009,SBR
76088896,Offices and Premises,"Portacabin, Moderna Business Park, Burnley Road, Mytholmroyd          HX7 5QQ",,770,01/04/2012,SBR
76092705,Community Centre And Premises,"Mytholmroyd Community Centre, Caldene Avenue, Mytholmroyd, HX7 5AF",Mytholmroyd Community Association,38250,01/04/2012,
76092707,Shop and Premises,"The Village Garden Hut, 1 Caldene Avenue, Mytholmroyd, Hebden Bridge        HX7 5AF",,2650,30/06/2015,SBR
76096702,Garage And Premises,"Waterside, Calder Brook, Hebden Bridge, HX7 8PA",,3950,01/01/2014,SBR
76100700,Land Used For Storage and Premises,"Whiteley Garage, Calderside, Oakville Road, Hebden Bridge        HX7 6NG",Network Rail Ltd,1300,04/01/2009,EX
76104700,Club and Premises,"21 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LN",D.D.H Services Ltd,4150,07/12/2015,SBR
76108006,Hairdressing Salon and Premises,"6 Carlton Street, Hebden Bridge, HX7 8ER",,2700,01/03/2011,SBR
76108700,Public House and Premises,"Marshalls Bar, Carlton Street, Hebden Bridge, HX7 8ER",,4500,24/05/2000,SBR
76108704,Warehouse And Premises,"Youth House, Carlton Street, Hebden Bridge, HX7 8ER",Hebden Bridge Light Opera Society C.I.C,3700,06/09/2013,SBR
76120700,Store And Premises,"Near Castle Gate, Cragg Vale, Hebden Bridge, HX7 5SJ",,1350,01/04/1990,SBR
76128700,School and Premises,"Central Street Infant School, Central Street, Hebden Bridge, HX7 6HB",Central Street Infant School,22000,01/04/2001,
76128701,Play Gym and Cafe,"Central Street, Hebden Bridge, HX7 6HB",Central Street Infant School,7200,24/01/2016,SBR
76128702,Community Centre And Premises,"Salem Community Centre, Central Street, Hebden Bridge, HX7 6HB",,22750,01/05/1999,DCR MCR
76128703,Playgym and Premises,"Salem Mill, Central Street, Hebden Bridge, HX7 6HB",Aegis Martial Arts Academy - Hebden Bridge,3150,01/04/2015,SBR
76132006,Betting Shop And Premises,"6 Cheetham Street, Hebden Bridge, HX7 8EW",,3600,11/04/2016,SBR
76136700,School and Premises,"Hebden Royd Ce J & I School, Church Lane, Hebden Bridge, HX7 6DS",Hebden Royd Ce (Va) Primary School,13000,01/04/2001,MCR
76140704,Museum And Premises,"Museum, Church Lane, Heptonstall, Hebden Bridge        HX7 7PL",Calderdale Mbc Director Of Leisure Services,6000,01/01/2007,SBR
76144700,Car Park and Premises,"Church Street, Mytholmroyd, Hebden Bridge, HX7 5DS",Calderdale Mbc,1200,01/04/1990,SBR
76148004,Shop and Premises,"4 Commercial Street, Hebden Bridge, HX7 8AJ",,5200,22/02/1997,SBR
76148702,Shop and Premises,"2 Commercial Street, Hebden Bridge, HX7 8AJ",,7400,01/04/2008,SBR
76156704,Camping Site And Premises,"Lower Clough Foot, Cragg Vale, Hebden Bridge, HX7 5RU",,6500,01/04/1990,SBR
76156706,Public House and Premises,"Robin Hood Inn, Cragg Road, Cragg Vale, Hebden Bridge       HX7 5SQ",,6700,30/09/2009,SBR
76156709,Day Nursery and Premises,"Unit 3, Dean Hey Country Business Pk, Cragg Road, Hebden Bridge        HX7 8RU",The Ark Experience Llp,34500,01/04/2015,
76156711,Workshop And Premises,"Unit 2E Crossley Works, Cragg Road, Cragg Vale, Hebden Bridge        HX7 5TB",,2150,01/04/2010,SBR
76156712,Self Catering Holiday Unit And Premises,"Holiday Apt 1, Higher Clough Foot Barn, Cragg Road, Cragg Vale           HX7 5RU",,1500,14/12/2005,SBR
76156713,Self Catering Holiday Unit And Premises,"Holiday Apt 2, Higher Clough Foot Barn, Cragg Road, Cragg Vale           HX7 5RU",,1500,14/12/2005,SBR
76156714,Self Catering Holiday Unit And Premises,"Holiday Apt 3, Higher Clough Foot Barn, Cragg Road, Cragg Vale           HX7 5RU",,1500,14/12/2005,SBR
76156721,Gym And Premises,"Unit 8B, Topland Country Business Pk, Cragg Road, Hebden Bridge        HX7 5RU",,3700,16/11/2015,SBR
76156722,Workshop And Premises,"Unit 8A, Topland Country Business Pk, Cragg Road, Hebden Bridge        HX7 5RU",Rock Drill Engineering Ltd,4450,15/05/2012,SBR
76156726,Workshop And Premises,"Unit 1B, Topland Country Bus Pk, Cragg Road, Hebden Bridge        HX7 5RU",Active Human Ltd,5400,01/03/2013,SBR
76156727,Workshop And Premises,"Unit 1C, Topland Country Bus Pk, Cragg Road, Hebden Bridge        HX7 5RU",J K Leisure Ltd,7200,01/07/2014,SBR
76156729,Workshop And Premises,"Unit 8F, Topland Country Bus Pk, Cragg Road, Hebden Bridge        HX7 5RU",Thornber Chicks Ltd,6000,01/03/2014,ER
76156730,Offices And Premises,"Unit 6A/6B, Topland Country Bus. Pk, Cragg Road, Hebden Bridge        HX7 5RU",Synergy Health Laboratory Services Ltd,11500,01/06/2013,SBR
76156731,Store &  Premises,"Unit 6B1, Topland Country Bus. Pk, Cragg Road, Hebden Bridge        HX7 5RU",,1400,01/10/2013,SBR
76156732,Offices And Premises,"Unit 2 Riverside Terminal, Hoo Hole, Cragg Road, Hebden Bridge        HX7 5HB",C M Diesels Ltd,3450,30/09/2013,SBR
76156733,Warehouse And Premises,"Unit 1 Riverside Terminal, Cragg Road, Hebden Bridge, HX7 5HB",Shellon Engineering Ltd,7800,30/09/2013,SBR
76156736,Workshop And Premises,"Units 8D & 8E, Topland Country Bus Pk, Cragg Road, Hebden Bridge        HX7 5RU",Site Computers Ltd,5300,15/04/2013,SBR
76160064,Art Gallery And Premises,"64 Cragg Road, Mytholmroyd, Hebden Bridge, HX7 5EZ",,690,10/12/2011,SBR
76160702,Offices and Premises,"1st Floor, Adj New Bridge, Cragg Road, Mytholmroyd, Hebden Bridge       HX7 5HR",Calderdale Mbc,4450,22/10/2003,SBR
76160703,Library And Premises,"Mytholmroyd Library, Cragg Road, Mytholmroyd, Hebden Bridge       HX7 5HR",Director Of Leisure Services,1300,01/04/1990,SBR
76160705,Workshop And Premises,"Cragg Holme Mill, Off Cragg Road, Mytholmroyd, Hebden Bridge        HX7 5SQ",,3150,01/04/1990,SBR
76160709,Shop Workshop And Premises,"The Old Fire Station, Cragg Road, Mytholmroyd, HX7 5EG",,4800,19/06/2013,SBR
76160711,Workshop And Premises,"Unit 2B Crossley Works, Cragg Road, Mytholmroyd, Hebden Bridge        HX7 5HR",Walker Boats Ltd,4050,01/06/2004,SBR
76160722,Workshop And Premises,"Unit 14, Topland Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU",Broadcliffe Fabrications Ltd,6600,01/04/2003,SBR
76160723,Workshop And Premises,"Unit 16, Topland Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU",,4050,01/04/2009,SBR
76160725,Offices And Premises,"Unit 11A, Topland Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU",Horton Housing Support Ltd,8200,01/02/2013,MCR
76160730,"Offices, Office And Premises","Unit 10A, Topland Country Busn.Pk, Cragg Road, Mytholmroyd",Calder Commercial Kitchens Ltd,4550,01/06/2013,SBR
76160733,Warehouse And Premises,"Unit 3B, Top Land Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU",Thornber Chicks Ltd,8000,01/10/2003,SBR
76160734,Workshop And Premises,"Unit 9A, Top Land Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU",,4050,25/02/2005,SBR
76160735,Store And Premises,"Unit 9B, Top Land Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU",,3400,15/05/2013,SBR
76160736,Store And Premises,"Unit 9C, Top Land Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU",Pg Control Systems Ltd,3550,01/08/2008,SBR
76160744,Warehouse And Premises,"Unit 3A, Topland Country Busn.Pk., Cragg Road, Mytholmroyd          HX7 5RU",Expertreat Ltd,6700,01/12/2004,SBR
76160749,Workshop And Premises,"Unit 2A Crossley Works, Cragg Road, Mytholmroyd, Hebden Bridge        HX7 5HR",,2700,01/07/2013,SBR
76160753,Workshop And Premises,"Unit 1, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Vizbox Enclosures Ltd,2650,01/03/2015,SBR
76160754,Workshop And Premises,"Unit 1A, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Hebden Bridge Brass Band,3700,01/08/2004,SBR
76160758,Workshop And Premises,"Unit 5, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,4850,01/12/2005,SBR
76160761,Offices and Premises,"Unit 1D, Dean Hey Country Business Pk, Cragg Road, Mytholmroyd",,8100,01/11/2013,SBR
76160768,Offices and Premises,"Unit 12, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Addison Holdings Ltd,1975,01/08/2008,SBR
76160769,Workshop And Premises,"Unit 15, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,4200,01/11/2007,SBR
76160770,Offices and Premises,"Unit 17, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,2650,01/01/2016,SBR
76160772,Store And Premises,"Unit 9F, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Westlander Ltd,3400,20/05/2013,SBR
76160777,Store And Premises,"Store & Premises Adj Unit 1, Dean Hey Country Bsn Pk, Cragg Road, Mytholmroyd          HX7 5RU",,2650,01/04/2008,SBR
76160779,Day Nursery and Premises,"Unit 4, Dean Hey Country Bsn Park, Cragg Road, Mytholmroyd          HX7 5RU",The Ark Experience Llp,22750,01/04/2015,
76160784,Offices And Premises,"Unit 10E, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,3350,01/04/2014,SBR
76160785,Offices And Premises,"Unit 10F, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Atmosphere Environmental Ltd,3300,01/03/2016,SBR
76160786,Warehouse And Premises,"Unit 2B, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Make Solutions Ltd,7100,01/07/2014,SBR
76160787,Offices and Premises,"Unit 2A, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Branded Consumable Goods (Direct) Ltd,10250,02/01/2008,SBR
76160788,Workshop And Premises,"Unit 2C & 2D Crossley Works, Cragg Road, Mytholmroyd, Hebden Bridge        HX7 5EY",,3000,27/03/2008,SBR
76160790,Offices and Premises,"Unit 10B, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Noonstone Ltd,6600,01/01/2016,SBR
76160797,Offices And Premises,"Unit 4F, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Countryside Learning,3600,01/05/2010,MCR
76160798,Offices And Premises,"Unit 4G, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,3450,01/05/2010,SBR
76160799,Offices And Premises,"Unit 4E, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Metropolis Interiors Ltd,3600,01/01/2016,SBR
76160800,Offices And Premises,"Unit 4D, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Fast Lane (Yorkshire) Ltd,3600,01/09/2015,SBR
76160801,Offices And Premises,"Unit 4A, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Thornber Chicks Ltd,8900,01/07/2016,EX
76160802,Offices And Premises,"Unit 4B, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Thornber Chicks Ltd,2600,01/04/2016,ER
76160803,Workshop And Premises,"Unit 6C & 6D, Topland Country Business Pk, Cragg Road, Mytholmroyd",Pocket Media (Uk) Ltd,9100,01/04/2014,SBR
76160804,Offices And Premises,"Unit 4C, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,3650,01/01/2016,SBR
76160805,Offices And Premises,"Unit 1, Dean Hey Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,5200,01/01/2013,SBR
76160806,Offices And Premises,"Unit 1A, Dean Hey Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,5500,24/10/2012,SBR
76160807,Offices And Premises,"Unit 1B, Dean Hey Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Scout Road Academy,8000,11/01/2016,MCR
76160809,Offices And Premises,"Unit 1C, Dean Hey Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,5700,29/02/2016,SBR
76160813,Warehouse And Premises,"Units 3 & 6, Cragg Road Works, Cragg Road, Mytholmroyd          HX7 5EY",Adventure Spec Ltd,8100,01/06/2013,SBR
76160814,Warehouse And Premises,"Royds Ices, Cragg Road, Mytholmroyd, Hebden Bridge        HX7 5HR",Lakebeech Ltd,27500,01/04/2014,
