ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (�),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,DRB HEALTHCARE LTD,23/12/2016,543.08,RESIDENTIAL LONG TERM,V001077719
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BELVOIR CARE HOME LIMITED,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077722
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,RANDOMLIGHT LIMITED,23/12/2016,2400,RESIDENTIAL LONG TERM,V001077723
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,RANDOMLIGHT LIMITED,23/12/2016,2400,RESIDENTIAL LONG TERM,V001077724
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,23/12/2016,629.58,RESIDENTIAL LONG TERM,V001077727
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,STAMFORD HOUSE REST HOME LIMITED,23/12/2016,594.52,RESIDENTIAL LONG TERM,V001077728
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,23/12/2016,521.26,RESIDENTIAL LONG TERM,V001077729
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,23/12/2016,614.12,RESIDENTIAL LONG TERM,V001077730
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,DRB HEALTHCARE LTD,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077731
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,DRB HEALTHCARE LTD,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077732
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,ELDERCARE LANCS LIMITED,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077733
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,23/12/2016,552.06,RESIDENTIAL LONG TERM,V001077734
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,23/12/2016,583.54,RESIDENTIAL LONG TERM,V001077735
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,HALF ACRE HOUSE,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077736
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,ORCHARD CARE HOMES,23/12/2016,927.4,RESIDENTIAL LONG TERM,V001077737
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077738
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,23/12/2016,612.12,RESIDENTIAL LONG TERM,V001077739
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,23/12/2016,612.12,RESIDENTIAL LONG TERM,V001077740
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,EMBRACE ALL LIMITED,23/12/2016,619.54,RESIDENTIAL LONG TERM,V001077741
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,23/12/2016,549.54,RESIDENTIAL LONG TERM,V001077742
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,ORCHARD CARE HOMES,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077743
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077744
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077745
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BELVOIR CARE HOME LIMITED,23/12/2016,509.8,RESIDENTIAL LONG TERM,V001077746
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077747
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,23/12/2016,588.2,RESIDENTIAL LONG TERM,V001077749
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,23/12/2016,559.3,RESIDENTIAL LONG TERM,V001077751
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077752
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,BEECH HOUSE,23/12/2016,675.34,RESIDENTIAL LONG TERM,V001077754
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,BEECH HOUSE,23/12/2016,859.52,RESIDENTIAL LONG TERM,V001077755
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,DRB HEALTHCARE LTD,23/12/2016,598.12,NURSING LONG TERM,V001077757
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,DRB HEALTHCARE LTD,23/12/2016,598.12,NURSING LONG TERM,V001077758
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,23/12/2016,620.74,RESIDENTIAL LONG TERM,V001077759
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ROSEMARY CARE HOME,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077760
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,BEECH HOUSE,23/12/2016,859.52,RESIDENTIAL LONG TERM,V001077762
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,BROOKVALE RESIDENTIAL CARE,23/12/2016,1632.4,RESIDENTIAL LONG TERM,V001077765
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,BROOKVALE RESIDENTIAL CARE,23/12/2016,1632.4,RESIDENTIAL LONG TERM,V001077766
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077767
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,THE JOSEPH COX CHARITY,23/12/2016,784.4,RESIDENTIAL LONG TERM,V001077768
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077769
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,23/12/2016,602.12,RESIDENTIAL LONG TERM,V001077771
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,23/12/2016,541.08,NURSING LONG TERM,V001077778
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,23/12/2016,576.28,RESIDENTIAL LONG TERM,V001077779
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,23/12/2016,859.52,RESIDENTIAL LONG TERM,V001077780
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,23/12/2016,600.12,RESIDENTIAL LONG TERM,V001077781
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077782
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,23/12/2016,622.44,RESIDENTIAL LONG TERM,V001077784
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,STANSFIELD HALL REST HOME,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077786
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,CHADDERTON TOTAL CARE UNIT LTD,23/12/2016,618.6,NURSING LONG TERM,V001077788
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,FOUR SEASONS HEALTHCARE,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077789
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,23/12/2016,587.02,RESIDENTIAL LONG TERM,V001077790
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,23/12/2016,728.9,NURSING LONG TERM,V001077792
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ROSEMARY CARE HOME,23/12/2016,552.72,RESIDENTIAL LONG TERM,V001077796
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,23/12/2016,802.48,NURSING LONG TERM,V001077798
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,23/12/2016,802.48,NURSING LONG TERM,V001077799
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,23/12/2016,859.52,RESIDENTIAL LONG TERM,V001077800
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,23/12/2016,859.52,RESIDENTIAL LONG TERM,V001077801
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,23/12/2016,598.12,NURSING LONG TERM,V001077802
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,23/12/2016,598.12,NURSING LONG TERM,V001077803
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,23/12/2016,601.34,RESIDENTIAL LONG TERM,V001077804
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,DRB HEALTHCARE LTD,23/12/2016,562.06,NURSING LONG TERM,V001077805
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,DRB HEALTHCARE LTD,23/12/2016,562.06,NURSING LONG TERM,V001077806
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,23/12/2016,599.96,NURSING LONG TERM,V001077807
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,23/12/2016,583.04,RESIDENTIAL LONG TERM,V001077808
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,HALF ACRE HOUSE,23/12/2016,595.09,RESIDENTIAL LONG TERM,V001077810
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,23/12/2016,859.52,NURSING LONG TERM,V001077811
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,BRIARMEDE CARE LTD,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077812
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,AVERY HOMES MOSTON LIMITED,23/12/2016,802.48,RESIDENTIAL LONG TERM,V001077814
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,AVERY HOMES MOSTON LIMITED,23/12/2016,802.48,RESIDENTIAL LONG TERM,V001077815
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,BUPA CARE SERVICES,23/12/2016,1976,NURSING LONG TERM,V001077816
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,LILY CARE LIMITED,23/12/2016,859.52,RESIDENTIAL LONG TERM,V001077818
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BEECH HOUSE,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077819
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077820
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,23/12/2016,585.94,RESIDENTIAL LONG TERM,V001077821
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,HURSTEAD HOUSE CARE HOME,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077822
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,BELVOIR CARE HOME LIMITED,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077823
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LIMITED,23/12/2016,859.52,NURSING LONG TERM,V001077824
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,23/12/2016,614.02,RESIDENTIAL LONG TERM,V001077826
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,MERIDIAN HEALTHCARE LTD,23/12/2016,924,RESIDENTIAL LONG TERM,V001077829
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077830
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,23/12/2016,609.18,RESIDENTIAL LONG TERM,V001077831
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,23/12/2016,605.3,RESIDENTIAL LONG TERM,V001077832
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,DRB HEALTHCARE LTD,23/12/2016,595.64,NURSING LONG TERM,V001077833
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,DRB HEALTHCARE LTD,23/12/2016,595.64,NURSING LONG TERM,V001077834
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,23/12/2016,539.3,RESIDENTIAL LONG TERM,V001077836
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,23/12/2016,590.62,RESIDENTIAL LONG TERM,V001077839
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,23/12/2016,601.12,RESIDENTIAL LONG TERM,V001077840
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,23/12/2016,614.12,RESIDENTIAL LONG TERM,V001077841
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,23/12/2016,614.12,RESIDENTIAL LONG TERM,V001077842
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077843
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,WOODLANDS RESIDENTIAL CARE HOME LTD,23/12/2016,1018,RESIDENTIAL LONG TERM,V001077845
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077847
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,23/12/2016,606.12,RESIDENTIAL LONG TERM,V001077848
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,23/12/2016,601.08,RESIDENTIAL LONG TERM,V001077849
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,23/12/2016,594.12,RESIDENTIAL LONG TERM,V001077850
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,LIVING AMBITIONS LTD,23/12/2016,2773.26,RESIDENTIAL LONG TERM,V001077851
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,23/12/2016,536.76,RESIDENTIAL LONG TERM,V001077852
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,CANTERBURY CARE HOMES LTD,23/12/2016,583.46,NURSING LONG TERM,V001077853
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LIMITED,23/12/2016,859.52,RESIDENTIAL LONG TERM,V001077854
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,DRB HEALTHCARE LTD,23/12/2016,715.4,NURSING LONG TERM,V001077855
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,DRB HEALTHCARE LTD,23/12/2016,715.4,NURSING LONG TERM,V001077856
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,HEALYCARE LTD,23/12/2016,831.2,NURSING LONG TERM,V001077857
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,HEALYCARE LTD,23/12/2016,831.2,NURSING LONG TERM,V001077858
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,23/12/2016,599.3,RESIDENTIAL LONG TERM,V001077859
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,23/12/2016,547.32,RESIDENTIAL LONG TERM,V001077860
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,23/12/2016,568.22,RESIDENTIAL LONG TERM,V001077861
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077863
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,APSLEY HOUSE,23/12/2016,1916.58,RESIDENTIAL LONG TERM,V001077864
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077865
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,HEATHCOTES GROUP,23/12/2016,3596.34,RESIDENTIAL LONG TERM,V001077866
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,23/12/2016,625.3,RESIDENTIAL LONG TERM,V001077867
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077868
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,23/12/2016,697.4,NURSING LONG TERM,V001077869
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,23/12/2016,572.06,RESIDENTIAL LONG TERM,V001077870
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,23/12/2016,595.96,RESIDENTIAL LONG TERM,V001077871
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077872
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,23/12/2016,859.52,RESIDENTIAL LONG TERM,V001077875
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,HURSTEAD HOUSE CARE HOME,23/12/2016,597.54,NURSING LONG TERM,V001077876
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,23/12/2016,598.12,NURSING LONG TERM,V001077877
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,23/12/2016,566.4,RESIDENTIAL LONG TERM,V001077878
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,23/12/2016,541.06,RESIDENTIAL LONG TERM,V001077879
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077880
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,23/12/2016,556.3,RESIDENTIAL LONG TERM,V001077881
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,FIELDHOUSE NURSING HOME,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077882
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,23/12/2016,540.6,RESIDENTIAL LONG TERM,V001077883
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,DOVE CARE LTD,23/12/2016,920,RESIDENTIAL LONG TERM,V001077884
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,ORCHARD CARE HOMES,23/12/2016,616.34,RESIDENTIAL LONG TERM,V001077886
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,AS CARE SOLUTIONS LTD,23/12/2016,2900,RESIDENTIAL LONG TERM,V001077887
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,BROOKVALE RESIDENTIAL CARE,23/12/2016,1602.8,RESIDENTIAL LONG TERM,V001077888
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,BROOKVALE RESIDENTIAL CARE,23/12/2016,1602.8,RESIDENTIAL LONG TERM,V001077889
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,23/12/2016,714.5,NURSING LONG TERM,V001077890
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,DRB HEALTHCARE LTD,23/12/2016,564.06,RESIDENTIAL LONG TERM,V001077891
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,DRB HEALTHCARE LTD,23/12/2016,564.06,RESIDENTIAL LONG TERM,V001077892
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,CHADDERTON TOTAL CARE UNIT LTD,23/12/2016,645.88,RESIDENTIAL LONG TERM,V001077893
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,23/12/2016,859.52,NURSING LONG TERM,V001077894
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077895
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,23/12/2016,627.3,RESIDENTIAL LONG TERM,V001077896
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,23/12/2016,575.14,RESIDENTIAL LONG TERM,V001077897
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,23/12/2016,581.98,RESIDENTIAL LONG TERM,V001077898
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,23/12/2016,593.7,RESIDENTIAL LONG TERM,V001077899
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,23/12/2016,566.1,RESIDENTIAL LONG TERM,V001077900
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,23/12/2016,541.42,RESIDENTIAL LONG TERM,V001077901
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,23/12/2016,597.48,RESIDENTIAL LONG TERM,V001077902
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,MBI SOCIAL CARE LTD,23/12/2016,874.9,NURSING LONG TERM,V001077903
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,23/12/2016,598.12,RESIDENTIAL LONG TERM,V001077904
