Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,CONTRACT TYPE,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50618,ocds-7hge34-NCCF41248,Bus 5 Salthouse to Kelling and Sheringham High ,framework agreement,Children's Services ,,,Bus 5 Salthouse to Kelling and Sheringham High ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,Sanders Coaches Limited,,,74414,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50619,ocds-7hge34-NCCF41248,Bus 1 Plumstead to Sheringham High ,framework agreement,Children's Services ,,,Bus 1 Plumstead to Sheringham High ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,Sanders Coaches Limited,,,74414,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50620,ocds-7hge34-NCCF41248,Bus 402 Holt to Sheringham  ,framework agreement,Children's Services ,,,Bus 402 Holt to Sheringham  ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,Sanders Coaches Limited,,,74414,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50621,ocds-7hge34-NCCF41248,Bus 404 West Beckham to Sheringham High and Bus 66 West Beckham to Sheringham Primary ,framework agreement,Children's Services ,,,Bus 404 West Beckham to Sheringham High and Bus 66 West Beckham to Sheringham Primary ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,Sanders Coaches Limited,,,74414,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50606,ocds-7hge34-NCCF41248,Thornage to Holt feeder and Holt to Kelling Primary ,framework agreement,Children's Services ,,,Thornage to Holt feeder and Holt to Kelling Primary ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,North Norfolk Community Transport,,,1071767,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN51440,ocds-7hge34-NCCF41248,Matlaske to Aldborough County Primary ,framework agreement,Children's Services ,,,Matlaske to Aldborough County Primary ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2018,,31/07/2025,#VALUE!,Estimated,,North Norfolk Community Transport,,,1071767,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN51441,ocds-7hge34-NCCF41248,West Beckham and Aylmerton to Gresham Village School ,framework agreement,Children's Services ,,,West Beckham and Aylmerton to Gresham Village School ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,North Norfolk Community Transport,,,1071767,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50600,ocds-7hge34-NCCF41248,Bus 5 Mundesley to North Walsham High ,framework agreement,Children's Services ,,,Bus 5 Mundesley to North Walsham High ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,Maretts Chariots,,,71720,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50622,ocds-7hge34-NCCF41248,Bus 6 Bacton to North Walsham High ,framework agreement,Children's Services ,,,Bus 6 Bacton to North Walsham High ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,Spratts Coaches (East Anglian & Continental) Limited,,,74793,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50601,ocds-7hge34-NCCF41248,Bus 12 Gimingham to North Walsham High ,framework agreement,Children's Services ,,,Bus 12 Gimingham to North Walsham High ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,Maretts Chariots,,,71720,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50623,ocds-7hge34-NCCF41248,"Bus 3 Happisburgh Common, Honing, East Ruston to Stalham Schools ",framework agreement,Children's Services ,,,"Bus 3 Happisburgh Common, Honing, East Ruston to Stalham Schools ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,Spratts Coaches (East Anglian & Continental) Limited,,,74793,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50611,ocds-7hge34-NCCF41248,"Bus 5 Potter Heigham, Ludham and Catfield to Stalham Schools ",framework agreement,Children's Services ,,,"Bus 5 Potter Heigham, Ludham and Catfield to Stalham Schools ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,Reynolds Coaches,,,73902,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50624,ocds-7hge34-NCCF41248,"Bus 6 Ostend, Happisburgh and Sea Palling to Stalham Schools ",framework agreement,Children's Services ,,,"Bus 6 Ostend, Happisburgh and Sea Palling to Stalham Schools ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,Spratts Coaches (East Anglian & Continental) Limited,,,74793,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50604,ocds-7hge34-NCCF41248,Dilham and Honing to East Ruston Infant School ,framework agreement,Children's Services ,,,Dilham and Honing to East Ruston Infant School ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,Feline Executive Travel,,,1249773,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50627,ocds-7hge34-NCCF41248,Sea Palling to Hickling Infant School ,framework agreement,Children's Services ,,,Sea Palling to Hickling Infant School ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,24 x 7 Ltd,,,412122,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50612,ocds-7hge34-NCCF41248,Potter Heigham to Ludham Primary ,framework agreement,Children's Services ,,,Potter Heigham to Ludham Primary ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,Reynolds Coaches,,,73902,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50602,ocds-7hge34-NCCF41248,Aylsham area schools  ,framework agreement,Children's Services ,,,Aylsham area schools  ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,Elite Cabs (payable to A J Bales),,,193755,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50603,ocds-7hge34-NCCF41248,North Norfolk Schools Transport ,framework agreement,Children's Services ,,,North Norfolk Schools Transport ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,Elite Cabs (payable to A J Bales),,,193755,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50598,ocds-7hge34-NCCF41248,Great Yarmouth and North Walsham to Cromer Academy ,framework agreement,Children's Services ,,,Great Yarmouth and North Walsham to Cromer Academy ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2020,,31/07/2025,#VALUE!,Estimated,,Albies Ltd,,,2185106,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AQN50474,ocds-7hge34-NCCQ41344,Sprowston Day Services and Norwich NR2 to Sprowston Day Services ,single award contract,Adult Care,,,Sprowston Day Services and Norwich NR2 to Sprowston Day Services ,PASSENGER TRANSPORT.Adult Social Care,PASSENGER TRANSPORT,60100000,,,10/04/2017,30/04/2019,,30/04/2019,#VALUE!,Estimated,,S Greening,,,459329,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN50421,,Lakenheath to Thetford  ,single award contract,Adult Care,,,Lakenheath to Thetford  ,PASSENGER TRANSPORT.Adult Social Care,PASSENGER TRANSPORT,60100000,,,14/03/2017,31/03/2019,,31/03/2019,#VALUE!,Estimated,,Bobs Taxis,,,66715,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AQN50428,,Thorpe End to Iceni ,single award contract,Adult Care,,,Thorpe End to Iceni ,PASSENGER TRANSPORT.Adult Social Care,PASSENGER TRANSPORT,60100000,,,20/03/2017,31/12/2018,,31/03/2019,#VALUE!,Estimated,,Nortax Taxis,,,133850,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN50454,,Service 580 Great Yarmouth to Beccles ,single award contract,Community and Environmental Services,,,Service 580 Great Yarmouth to Beccles ,PASSENGER TRANSPORT.Local Bus,PASSENGER TRANSPORT,60100000,,,18/04/2017,31/12/2018,,31/12/2020,#VALUE!,Estimated,,BorderBus Ltd,,,1315765,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AEN50457,,Bus 1: Buxton to Aylsham High School ,single award contract,Children's Services ,,,Bus 1: Buxton to Aylsham High School ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,01/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,Norse Eastern Ltd,,,506493,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AEN50458,,Bus 2: Badersfield - Burgh to Aylsham High School ,single award contract,Children's Services ,,,Bus 2: Badersfield - Burgh to Aylsham High School ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,01/09/2017,31/07/2024,,31/07/2025,#VALUE!,Estimated,,Norse Eastern Ltd,,,506493,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AUN50522,,Lease Car ,single award contract,Adult Care,,,Lease Car ,PASSENGER TRANSPORT.Adult Social Care,PASSENGER TRANSPORT,60100000,,,03/05/2016,30/04/2019,,30/04/2019,#VALUE!,Estimated,,West Norfolk Community Transport Project,,,76197,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN50473,,"NR7 to NANSA, Norwich and Sprowston Day Services ",single award contract,Adult Care,,,"NR7 to NANSA, Norwich and Sprowston Day Services ",PASSENGER TRANSPORT.Adult Social Care,PASSENGER TRANSPORT,60100000,,,01/05/2017,30/04/2019,,30/04/2019,#VALUE!,Estimated,,Nortax Taxis,,,133850,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AQN50472,ocds-7hge34-NCCQ41350,"Attleborough or Diss to Onward Enterprise, Harleston ",single award contract,Adult Care,,,"Attleborough or Diss to Onward Enterprise, Harleston ",PASSENGER TRANSPORT.Adult Social Care,PASSENGER TRANSPORT,60100000,,,27/03/2017,31/08/2018,,31/07/2021,#VALUE!,Estimated,,Jjs Coach & Taxis,,,2286331,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN50507,,581 Village feeder to Beccles and Bungay  ,single award contract,Community and Environmental Services,,,581 Village feeder to Beccles and Bungay  ,PASSENGER TRANSPORT.Local Bus,PASSENGER TRANSPORT,60100000,,,24/04/2017,20/04/2018,,20/04/2018,#VALUE!,Estimated,,Beccles/Bungay Area Community Transport,,,81235,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50535,ocds-7hge34-NCCF41356,"Barroway Drove and Walpole Highway to Westfield House School, Terrington St Clement ",framework agreement,Children's Services ,,,"Barroway Drove and Walpole Highway to Westfield House School, Terrington St Clement ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,18/04/2017,31/08/2022,,31/03/2025,#VALUE!,Estimated,,Station Taxis (Kings Lynn) Limited,,,74931,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50532,ocds-7hge34-NCCF41356,"Downham Market to Meadowgate School, Wisbech ",framework agreement,Children's Services ,,,"Downham Market to Meadowgate School, Wisbech ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,13/04/2017,31/07/2018,,31/07/2023,#VALUE!,Estimated,,JR Cars & Buses Ltd,,,2178038,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50533,ocds-7hge34-NCCF41356,"King's Lynn to Westfield House School, Terrington St Clement ",framework agreement,Children's Services ,,,"King's Lynn to Westfield House School, Terrington St Clement ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,13/04/2017,31/07/2018,,31/07/2018,#VALUE!,Estimated,,JR Cars & Buses Ltd,,,2178038,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AGN50529,,Distribution of grant funding ,grant,Community and Environmental Services,,,Distribution of grant funding ,PASSENGER TRANSPORT.Community Transport,PASSENGER TRANSPORT,60100000,,,30/03/2017,31/03/2019,,31/03/2019,#VALUE!,Estimated,,Norfolk Community Foundation,,,1165780,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AQN50568,ocds-7hge34-NCCQ41353,"Blakeney, Field Dalling, Sheringham, Bodham, Cley to About With Friends, Cromer ",single award contract,Adult Care,,,"Blakeney, Field Dalling, Sheringham, Bodham, Cley to About With Friends, Cromer ",PASSENGER TRANSPORT.Adult Social Care,PASSENGER TRANSPORT,60100000,,,02/05/2017,29/06/2018,,28/06/2019,#VALUE!,Estimated,,S Heels NR27 0BD,,,74190,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AQN50570,ocds-7hge34-NCCQ41353,"Honing, North Walsham, Smallburgh, Cromer, Wroxham and Mundesley to About With Friends, Cromer ",single award contract,Adult Care,,,"Honing, North Walsham, Smallburgh, Cromer, Wroxham and Mundesley to About With Friends, Cromer ",PASSENGER TRANSPORT.Adult Social Care,PASSENGER TRANSPORT,60100000,,,02/05/2017,29/06/2018,,28/06/2019,#VALUE!,Estimated,,N J E Executive Travel Ltd,,,1175765,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AQN50566,ocds-7hge34-NCCQ41353,"Wymondham, Dereham and Briston and Horsford to About with Friends, Cromer ",single award contract,Adult Care,,,"Wymondham, Dereham and Briston and Horsford to About with Friends, Cromer ",PASSENGER TRANSPORT.Adult Social Care,PASSENGER TRANSPORT,60100000,,,08/05/2017,29/06/2018,,28/06/2019,#VALUE!,Estimated,,A1 Cabs & Travel Company,,,65820,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AQN50567,ocds-7hge34-NCCQ41353,"Cawston or Cromer to About With Friends, Cromer ",single award contract,Adult Care,,,"Cawston or Cromer to About With Friends, Cromer ",PASSENGER TRANSPORT.Adult Social Care,PASSENGER TRANSPORT,60100000,,,02/05/2017,29/06/2018,,28/06/2019,#VALUE!,Estimated,,A1 Cabs & Travel Company,,,65820,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AQN50569,ocds-7hge34-NCCQ41353,"Weybourne to About With Friends, Cromer ",single award contract,Adult Care,,,"Weybourne to About With Friends, Cromer ",PASSENGER TRANSPORT.Adult Social Care,PASSENGER TRANSPORT,60100000,,,05/05/2017,29/06/2018,,28/06/2019,#VALUE!,Estimated,,Country Cars Cromer (Paul Kendrick NR27 0DN),,,75191,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN50547,,Service 6: North Walsham - Stalham - Great. Yarmouth. School Holidays and Saturdays ,single award contract,Community and Environmental Services,,,Service 6: North Walsham - Stalham - Great. Yarmouth. School Holidays and Saturdays ,PASSENGER TRANSPORT.Local Bus,PASSENGER TRANSPORT,60100000,,,01/09/2017,31/08/2018,,31/08/2018,#VALUE!,Estimated,,Sanders Coaches Limited,,,74414,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN50548,,Services 44A and 18: Hevingham and Marsham (via Aylsham) to Paston College. Purchase of season tickets ,single award contract,Children's Services ,,,Services 44A and 18: Hevingham and Marsham (via Aylsham) to Paston College. Purchase of season tickets ,PASSENGER TRANSPORT.Education Post 16,PASSENGER TRANSPORT,60100000,,,01/09/2017,31/07/2019,,31/07/2020,#VALUE!,Estimated,,Sanders Coaches Limited,,,74414,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN50549,,"Services 4,5, 9, 44 and 55. Purchase of season tickets ",single award contract,Children's Services ,,,"Services 4,5, 9, 44 and 55. Purchase of season tickets ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,01/09/2017,31/07/2019,,31/07/2020,#VALUE!,Estimated,,Sanders Coaches Limited,,,74414,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN50554,,Service 6 - Potter Heigham - Stalham - Paston College Purchase of season tickets ,single award contract,Children's Services ,,,Service 6 - Potter Heigham - Stalham - Paston College Purchase of season tickets ,PASSENGER TRANSPORT.Education Post 16,PASSENGER TRANSPORT,60100000,,,01/09/2017,31/07/2019,,31/07/2020,#VALUE!,Estimated,,Sanders Coaches Limited,,,74414,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN50550,,"Service 6 - AM Relief, Yarmouth, Caister, Ormesby - Martham to Paston College.  Purchase of season tickets.",single award contract,Children's Services ,,,"Service 6 - AM Relief, Yarmouth, Caister, Ormesby - Martham to Paston College.  Purchase of season tickets.",PASSENGER TRANSPORT.Education Post 16,PASSENGER TRANSPORT,60100000,,,01/09/2017,31/07/2019,,31/07/2020,#VALUE!,Estimated,,Sanders Coaches Limited,,,74414,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN50551,,Service 6: North Walsham - Stalham - Yarmouth and Gorleston Colleges. Purchase of season tickets ,single award contract,Children's Services ,,,Service 6: North Walsham - Stalham - Yarmouth and Gorleston Colleges. Purchase of season tickets ,PASSENGER TRANSPORT.Education Post 16,PASSENGER TRANSPORT,60100000,,,01/09/2017,31/07/2018,,31/07/2018,#VALUE!,Estimated,,Sanders Coaches Limited,,,74414,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN50552,,Sanders 6 - Ormesby to Flegg High School. Purchase of season tickets. ,single award contract,Children's Services ,,,Sanders 6 - Ormesby to Flegg High School. Purchase of season tickets. ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,01/09/2017,31/07/2019,,31/07/2020,#VALUE!,Estimated,,Sanders Coaches Limited,,,74414,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN50546,,Service 2 - Great Yarmouth to Barrack Estate. Sundays and bank holidays only ,single award contract,Community and Environmental Services,,,Service 2 - Great Yarmouth to Barrack Estate. Sundays and bank holidays only ,PASSENGER TRANSPORT.Local Bus,PASSENGER TRANSPORT,60100000,,,28/05/2017,31/05/2018,,31/05/2020,#VALUE!,Estimated,,First Eastern Counties Buses Limited,,,68966,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50571,ocds-7hge34-NCCF41363,"Great Yarmouth to Earthsea School, Honingham ",framework agreement,Children's Services ,,,"Great Yarmouth to Earthsea School, Honingham ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,24/04/2017,31/07/2018,,31/07/2018,#VALUE!,Estimated,,Albies Ltd,,,2185106,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN50629,,"X2/X22: Beccles-Loddon to Norwich. Sundays, / Bank Holidays and Evenings ",single award contract,Community and Environmental Services,,,"X2/X22: Beccles-Loddon to Norwich. Sundays, / Bank Holidays and Evenings ",PASSENGER TRANSPORT.Local Bus,PASSENGER TRANSPORT,60100000,,,01/09/2017,31/08/2020,,31/08/2020,#VALUE!,Estimated,,First Eastern Counties Buses Limited,,,68966,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN50578,,Great Yarmouth area Services 1/1A/6/7/(5 Burgh Castle daily): Evenings Sundays and Bank Holidays ,single award contract,Community and Environmental Services,,,Great Yarmouth area Services 1/1A/6/7/(5 Burgh Castle daily): Evenings Sundays and Bank Holidays ,PASSENGER TRANSPORT.Local Bus,PASSENGER TRANSPORT,60100000,,,01/09/2017,31/08/2019,,31/08/2019,#VALUE!,Estimated,,First Eastern Counties Buses Limited,,,68966,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN50575,,Great Yarmouth outer zone to Great Yarmouth and Gorleston schools and colleges. Purchase of season tickets ,single award contract,Children's Services ,,,Great Yarmouth outer zone to Great Yarmouth and Gorleston schools and colleges. Purchase of season tickets ,PASSENGER TRANSPORT.Education Post 16,PASSENGER TRANSPORT,60100000,,,01/09/2017,31/07/2018,,31/07/2018,#VALUE!,Estimated,,First Eastern Counties Buses Limited,,,68966,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN50576,,Norwich - Yarmouth: Purchase of season tickets for Post 16 students ,single award contract,Children's Services ,,,Norwich - Yarmouth: Purchase of season tickets for Post 16 students ,PASSENGER TRANSPORT.Education Post 16,PASSENGER TRANSPORT,60100000,,,01/09/2017,31/07/2018,,31/07/2022,#VALUE!,Estimated,,First Eastern Counties Buses Limited,,,68966,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50596,ocds-7hge34-NCCF41366,Dereham to Mattishall Primary School ,framework agreement,Children's Services ,,,Dereham to Mattishall Primary School ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,25/04/2017,31/07/2018,,31/07/2020,#VALUE!,Estimated,,Jayne@ Robin's Taxis of Watton,,,1947869,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AFN50630,,"Outwell to Meadowgate Special School, Wisbech ",framework agreement,Children's Services ,,,"Outwell to Meadowgate Special School, Wisbech ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,26/04/2017,31/07/2019,,31/07/2019,#VALUE!,Estimated,,S Gibb (Taxi Services) PE34 4AX,,,74168,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
