ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,29/07/2016,1004.32,PERSONAL BUDGETS - MANAGED,V001032079
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,29/07/2016,864,PERSONAL BUDGETS - MANAGED,V001032081
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,29/07/2016,864,PERSONAL BUDGETS - MANAGED,V001032082
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,29/07/2016,1514.8,PERSONAL BUDGETS - MANAGED,V001032084
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,29/07/2016,4224,RESIDENTIAL LONG TERM,V001032085
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,DAVID LEWIS ORGANISATION,29/07/2016,13008.76,RESIDENTIAL LONG TERM,V001032086
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,29/07/2016,4372.2,RESIDENTIAL LONG TERM,V001032087
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,29/07/2016,1004.32,PERSONAL BUDGETS - MANAGED,V001032088
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,29/07/2016,1148.16,PERSONAL BUDGETS - MANAGED,V001032089
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,29/07/2016,1435.2,PERSONAL BUDGETS - MANAGED,V001032090
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,29/07/2016,1680,PERSONAL BUDGETS - MANAGED,V001032091
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,NEWMARK CARE LTD,29/07/2016,1593,PERSONAL BUDGETS - MANAGED,V001032092
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,29/07/2016,1680,PERSONAL BUDGETS - MANAGED,V001032093
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,29/07/2016,2982.2,RESIDENTIAL LONG TERM,V001032094
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,29/07/2016,1103.24,RESIDENTIAL LONG TERM,V001032096
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,MORNINGTON HOUSE W E F,29/07/2016,3752.76,RESIDENTIAL LONG TERM,V001032098
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,29/07/2016,1397.24,RESIDENTIAL LONG TERM,V001032099
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,29/07/2016,1719.04,RESIDENTIAL LONG TERM,V001032100
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,AVERILL HOUSE CARE HOME,29/07/2016,1246.6,RESIDENTIAL LONG TERM,V001032101
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROOKWOOD,29/07/2016,1613.04,NURSING LONG TERM,V001032102
ROCHDALE BOROUGH COUNCIL,28/07/2016,LEARNING DIS & MENTAL HEALTH,EZITRACKER,28/07/2016,4833.02,SOFTWARE,V001032103
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROOKWOOD,29/07/2016,1692.08,NURSING LONG TERM,V001032104
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,849.24,PERSONAL BUDGETS - MANAGED,V001032105
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,29/07/2016,1272.6,NURSING LONG TERM,V001032107
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,29/07/2016,631.52,PERSONAL BUDGETS - MANAGED,V001032109
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,SUNNYBANK P R S LTD,29/07/2016,3237.6,RESIDENTIAL LONG TERM,V001032110
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,29/07/2016,789.4,PERSONAL BUDGETS - MANAGED,V001032111
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,LIVING AMBITIONS LTD,29/07/2016,6002.52,RESIDENTIAL LONG TERM,V001032112
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,1596.92,PERSONAL BUDGETS - MANAGED,V001032113
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,29/07/2016,1397.24,RESIDENTIAL LONG TERM,V001032114
ROCHDALE BOROUGH COUNCIL,28/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,SALFORD ROYAL NHS FOUNDATION TRUST,28/07/2016,1396.54,MORTUARY CHARGES,V001032115
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,WELLESLEY HOUSE,29/07/2016,4231.96,RESIDENTIAL LONG TERM,V001032116
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,29/07/2016,1400,PERSONAL BUDGETS - MANAGED,V001032117
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,LIVING AMBITIONS LTD,29/07/2016,10799.4,RESIDENTIAL LONG TERM,V001032118
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,FREEHOLD COTTAGE,29/07/2016,1601.6,RESIDENTIAL LONG TERM,V001032119
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,29/07/2016,4350.2,RESIDENTIAL LONG TERM,V001032120
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,29/07/2016,872.4,PERSONAL BUDGETS - MANAGED,V001032121
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,29/07/2016,5709.76,PERSONAL BUDGETS - MANAGED,V001032122
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,29/07/2016,1795.4,NURSING LONG TERM,V001032123
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,29/07/2016,1164.24,RESIDENTIAL LONG TERM,V001032124
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROOKWOOD,29/07/2016,1197.64,NURSING LONG TERM,V001032125
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,CARE IN SAFE HANDS HEALTHCARE LIMITED,29/07/2016,7027,RESIDENTIAL LONG TERM,V001032126
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,FREEHOLD COTTAGE,29/07/2016,2368,RESIDENTIAL LONG TERM,V001032127
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,THE REGARD PARTNERSHIP LIMITED,29/07/2016,1678.2,RESIDENTIAL LONG TERM,V001032128
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,HC ONE,29/07/2016,1082.16,NURSING LONG TERM,V001032129
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROOKWOOD,29/07/2016,1613.04,RESIDENTIAL LONG TERM,V001032130
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,29/07/2016,1134.88,PERSONAL BUDGETS - MANAGED,V001032131
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,29/07/2016,2920.56,RESIDENTIAL LONG TERM,V001032132
ROCHDALE BOROUGH COUNCIL,29/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,DR A PADWELL,29/07/2016,1435,HISTOLOGY PAYMENTS,V001032133
ROCHDALE BOROUGH COUNCIL,29/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,DR A PADWELL,29/07/2016,1661.4,MEDICAL FEES,V001032133
ROCHDALE BOROUGH COUNCIL,29/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,29/07/2016,518,WITNESSES EXPENSES,V001032133
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,29/07/2016,825.28,RESIDENTIAL LONG TERM,V001032134
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,BROOKVALE RESIDENTIAL CARE,29/07/2016,1923.24,RESIDENTIAL LONG TERM,V001032135
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,BROOKVALE RESIDENTIAL CARE,29/07/2016,1957.8,RESIDENTIAL LONG TERM,V001032136
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,MORNINGTON HOUSE W E F,29/07/2016,3674.88,RESIDENTIAL LONG TERM,V001032139
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,29/07/2016,760,PERSONAL BUDGETS - MANAGED,V001032140
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,29/07/2016,1795.4,NURSING LONG TERM,V001032143
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,29/07/2016,1058.2,PERSONAL BUDGETS - MANAGED,V001032144
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,29/07/2016,756.84,RESIDENTIAL LONG TERM,V001032145
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,29/07/2016,1132.08,RESIDENTIAL LONG TERM,V001032146
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,29/07/2016,559.42,RESIDENTIAL LONG TERM,V001032147
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,29/07/2016,1196.24,RESIDENTIAL LONG TERM,V001032148
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,509.52,PERSONAL BUDGETS - MANAGED,V001032149
ROCHDALE BOROUGH COUNCIL,28/07/2016,LEARNING DIS & MENTAL HEALTH,EZITRACKER,28/07/2016,5070,SOFTWARE,V001032150
ROCHDALE BOROUGH COUNCIL,29/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,DR ABDUL QUADER GANJIFROCKWALA,29/07/2016,677.6,MEDICAL FEES,V001032151
ROCHDALE BOROUGH COUNCIL,29/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,DR ABDUL QUADER GANJIFROCKWALA,29/07/2016,957,HISTOLOGY PAYMENTS,V001032151
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,29/07/2016,1795.4,NURSING LONG TERM,V001032152
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,29/07/2016,1972.8,PERSONAL BUDGETS - MANAGED,V001032153
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,29/07/2016,818.4,PERSONAL BUDGETS - MANAGED,V001032154
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,MORNINGTON HOUSE W E F,29/07/2016,3754.56,RESIDENTIAL LONG TERM,V001032155
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,849.24,PERSONAL BUDGETS - MANAGED,V001032158
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,849.24,PERSONAL BUDGETS - MANAGED,V001032159
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,849.24,PERSONAL BUDGETS - MANAGED,V001032160
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,DALESVIEW,29/07/2016,9858.2,RESIDENTIAL LONG TERM,V001032161
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,CAMBIAN LEARNING DISABILITIES LTD,29/07/2016,11877.2,RESIDENTIAL LONG TERM,V001032162
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,509.52,PERSONAL BUDGETS - MANAGED,V001032163
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,PENDLETON CARE LTD,29/07/2016,6726.2,RESIDENTIAL LONG TERM,V001032164
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,679.4,PERSONAL BUDGETS - MANAGED,V001032165
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,29/07/2016,4701.4,RESIDENTIAL LONG TERM,V001032166
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/07/2016,582.12,PERSONAL BUDGETS - MANAGED,V001032167
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,697.08,PERSONAL BUDGETS - MANAGED,V001032168
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,679.4,PERSONAL BUDGETS - MANAGED,V001032169
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,2021.52,PERSONAL BUDGETS - MANAGED,V001032170
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,29/07/2016,4340.8,RESIDENTIAL LONG TERM,V001032172
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,1083.68,PERSONAL BUDGETS - MANAGED,V001032173
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,BROTHERS OF CHARITY SERVICES,29/07/2016,628.8,PERSONAL BUDGETS - MANAGED,V001032174
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,679.4,PERSONAL BUDGETS - MANAGED,V001032175
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,679.4,PERSONAL BUDGETS - MANAGED,V001032176
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,679.4,PERSONAL BUDGETS - MANAGED,V001032177
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,MORNINGTON HOUSE W E F,29/07/2016,4416.08,RESIDENTIAL LONG TERM,V001032178
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,849.24,PERSONAL BUDGETS - MANAGED,V001032179
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,29/07/2016,1076.92,PERSONAL BUDGETS - MANAGED,V001032182
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,29/07/2016,1120,PERSONAL BUDGETS - MANAGED,V001032183
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,849.24,PERSONAL BUDGETS - MANAGED,V001032185
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,ST GEORGES NURSING HOME OLDHAM LTD,29/07/2016,2960.2,NURSING LONG TERM,V001032186
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,FUTURE DIRECTIONS CIC,29/07/2016,2100,PERSONAL BUDGETS - MANAGED,V001032188
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,ROSEMARY CARE HOME,29/07/2016,1168.2,RESIDENTIAL LONG TERM,V001032189
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,STANSFIELD HALL REST HOME,29/07/2016,1131.16,RESIDENTIAL LONG TERM,V001032190
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ROOKWOOD,29/07/2016,1262.4,RESIDENTIAL LONG TERM,V001032191
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,DENTAK CARE AND SERVICES LIMITED,29/07/2016,1719.04,NURSING LONG TERM,V001032192
ROCHDALE BOROUGH COUNCIL,28/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,ACORN RECOVERY PROJECTS,28/07/2016,2078.57,CONTRACTED SERVICES,V001032193
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,BLUE PITS HOUSING ACTION,29/07/2016,1300,PERSONAL BUDGETS - MANAGED,V001032194
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LIMITED,29/07/2016,1196.24,NURSING LONG TERM,V001032195
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ORCHARD CARE HOMES,29/07/2016,1679.4,NURSING LONG TERM,V001032196
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,VESTA CARE LTD,29/07/2016,3550,PERSONAL BUDGETS - MANAGED,V001032197
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,MONA CLIFFE CARE HOME,29/07/2016,522.12,RESIDENTIAL LONG TERM,V001032198
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,1435.36,PERSONAL BUDGETS - MANAGED,V001032199
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,HENSHAWS SOCIETY FOR BLIND PEOPLE,29/07/2016,-4599.4,RESIDENTIAL LONG TERM,V001032200
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,HENSHAWS SOCIETY FOR BLIND PEOPLE,29/07/2016,-4599.4,RESIDENTIAL LONG TERM,V001032201
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,HENSHAWS SOCIETY FOR BLIND PEOPLE,29/07/2016,4599.4,RESIDENTIAL LONG TERM,V001032202
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,HENSHAWS SOCIETY FOR BLIND PEOPLE,29/07/2016,4599.4,RESIDENTIAL LONG TERM,V001032203
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,HENSHAWS SOCIETY FOR BLIND PEOPLE,29/07/2016,4599.4,RESIDENTIAL LONG TERM,V001032204
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,HENSHAWS SOCIETY FOR BLIND PEOPLE,29/07/2016,4599.4,RESIDENTIAL LONG TERM,V001032205
ROCHDALE BOROUGH COUNCIL,28/07/2016,LEARNING DIS & MENTAL HEALTH,EZITRACKER,28/07/2016,5355.28,SOFTWARE,V001032206
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LIMITED,29/07/2016,1086.16,RESIDENTIAL LONG TERM,V001032207
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LIMITED,29/07/2016,943.12,NURSING LONG TERM,V001032208
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,29/07/2016,760,PERSONAL BUDGETS - MANAGED,V001032209
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,RANDOMLIGHT LIMITED,29/07/2016,-4800,RESIDENTIAL LONG TERM,V001032210
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,RANDOMLIGHT LIMITED,29/07/2016,-4800,RESIDENTIAL LONG TERM,V001032211
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,RANDOMLIGHT LIMITED,29/07/2016,4800,RESIDENTIAL LONG TERM,V001032212
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,RANDOMLIGHT LIMITED,29/07/2016,4800,RESIDENTIAL LONG TERM,V001032213
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,RANDOMLIGHT LIMITED,29/07/2016,4800,RESIDENTIAL LONG TERM,V001032214
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,RANDOMLIGHT LIMITED,29/07/2016,4800,RESIDENTIAL LONG TERM,V001032215
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,29/07/2016,513.6,PERSONAL BUDGETS - MANAGED,V001032216
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,1025.04,PERSONAL BUDGETS - MANAGED,V001032217
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LIMITED,29/07/2016,1196.24,RESIDENTIAL LONG TERM,V001032218
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/07/2016,849.24,PERSONAL BUDGETS - MANAGED,V001032219
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,29/07/2016,1104.12,RESIDENTIAL LONG TERM,V001032223
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,NEWMARK CARE LTD,29/07/2016,918,PERSONAL BUDGETS - MANAGED,V001032224
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,29/07/2016,510,PERSONAL BUDGETS - MANAGED,V001032225
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,FUTURE DIRECTIONS CIC,29/07/2016,1170,PERSONAL BUDGETS - MANAGED,V001032226
ROCHDALE BOROUGH COUNCIL,29/07/2016,LEARNING DIS & MENTAL HEALTH,ORCHARD CARE HOMES,29/07/2016,1854.8,RESIDENTIAL LONG TERM,V001032230
ROCHDALE BOROUGH COUNCIL,28/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,CLEWS AUTO REPAIR SPECIALISTS,28/07/2016,750,EQUIPMENT - GENERAL,V001032231
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,29/07/2016,1196.24,RESIDENTIAL LONG TERM,V001032232
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,29/07/2016,1224.24,RESIDENTIAL LONG TERM,V001032233
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,EMBRACE ALL LTD,29/07/2016,-1226.56,RESIDENTIAL LONG TERM,V001032234
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,EMBRACE ALL LTD,29/07/2016,-1226.56,RESIDENTIAL LONG TERM,V001032235
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,EMBRACE ALL LTD,29/07/2016,1226.56,RESIDENTIAL LONG TERM,V001032236
ROCHDALE BOROUGH COUNCIL,28/07/2016,LEARNING DIS & MENTAL HEALTH,EZITRACKER,28/07/2016,4943.27,SOFTWARE,V001032237
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,EMBRACE ALL LTD,29/07/2016,1226.56,RESIDENTIAL LONG TERM,V001032238
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,EMBRACE ALL LTD,29/07/2016,1226.56,RESIDENTIAL LONG TERM,V001032239
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,EMBRACE ALL LTD,29/07/2016,1226.56,RESIDENTIAL LONG TERM,V001032240
ROCHDALE BOROUGH COUNCIL,29/07/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,29/07/2016,549.54,RESIDENTIAL LONG TERM,V001032241
