Organisation Name (A),Department (B),Service Cat Label (C),Purpose of Spend (D),Expenditure-CIPFA Sub Group (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount  (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,GIBSONS GARDEN MACHINERY LTD,A0001201, 11/08/2016,PCO0273234,108.42,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,GIBSONS GARDEN MACHINERY LTD,A0001201, 11/08/2016,PCO0273234,208.74,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,GIBSONS GARDEN MACHINERY LTD,A0001201, 04/08/2016,PCO0273143,22.41,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,GLENDALE HORTICULTURE T/A MAHOODS,A0080226, 11/08/2016,PCO0273224,1143.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,44,GLOBAL PAYMENTS,A0072461, 16/08/2016,AAS0273675,7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,44,GLOBAL PAYMENTS,A0072461, 16/08/2016,AAS0273675,1009.24,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Credit card and online charges,44,GLOBAL PAYMENTS,A0072461, 16/08/2016,AAS0273674,7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Credit card and online charges,44,GLOBAL PAYMENTS,A0072461, 16/08/2016,AAS0273676,7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Credit card and online charges,44,GLOBAL PAYMENTS,A0072461, 16/08/2016,AAS0273674,828.14,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Credit card and online charges,44,GLOBAL PAYMENTS,A0072461, 16/08/2016,AAS0273676,1383.42,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 04/08/2016,OPS0273071,64720.38,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,GOLDSHAWBOOTH PARISH COUNCIL,A0080533, 25/08/2016,HED0273558,125,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,GOLDSHAWBOOTH PARISH COUNCIL,A0080533, 04/08/2016,HED0273180,350,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,47,GRADKO INTERNATIONAL LTD,A0025806, 25/08/2016,ENV0273615,216.75,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,GREENVALE PRODUCTS LIMITED,A0043407, 04/08/2016,PCO0273146,30,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,H2O FLOWTECH LIMITED,A0090845, 11/08/2016,EST0273328,230.69,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,H2O FLOWTECH LIMITED,A0090845, 18/08/2016,EST0273510,6281,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,HAVEN POWER LIMITED,A0090490, 18/08/2016,AAS0273531,16.61,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Indirect Employee Expenses,Emp : Medical Expenses,12,HEALTH BUSINESS LIMITED,A0088933, 18/08/2016,PER0273549,435,N,N/A,N,N/A
Pendle Borough Council,Human Resources,,Payroll deductions,93,HEALTHSHIELD,A0018488, 11/08/2016,PER0273315,-4.95,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,HERITAGE CARDS & SOUVENIRS LTD,A0077997, 04/08/2016,REG0273132,49.9,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,HERITAGE CARDS & SOUVENIRS LTD,A0077997, 04/08/2016,REG0273134,151.16,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Court Fees,44,HM COURTS & TRIBUNALS SERVICE,A0083319, 16/08/2016,AAS0273677,660,N,N/A,N,N/A
Pendle Borough Council,Revenues Services,Supplies and Services,Consultants Fees,44,HM COURTS & TRIBUNALS SERVICE,A0090903, 18/08/2016,TRE0273545,99,N,N/A,N,N/A
Pendle Borough Council,Revenues Services,Supplies and Services,Consultants Fees,44,HM COURTS & TRIBUNALS SERVICE,A0090903, 18/08/2016,TRE0273545,1815,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 11/08/2016,COR0273270,116.14,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 11/08/2016,COR0273271,117.3,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 11/08/2016,COR0273279,179.57,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 11/08/2016,COR0273278,287.03,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),44,JACOBS,A0016294, 25/08/2016,HED0273557,-50,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),44,JACOBS,A0016294, 25/08/2016,HED0273557,50,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Passenger Shelter Cleaning,26,JANDON CLEANING SERVICES,A0079028, 11/08/2016,HED0273238,140,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Passenger Shelter Cleaning,26,JANDON CLEANING SERVICES,A0079028, 11/08/2016,HED0273238,100,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Passenger Shelter Cleaning,26,JANDON CLEANING SERVICES,A0079028, 11/08/2016,HED0273238,160,N,N/A,N,N/A
Pendle Borough Council,Revenues Services,Supplies and Services,Consultants Fees,44,JBW GROUP LIMITED,A0088708, 18/08/2016,TRE0273547,165,N,N/A,N,N/A
Pendle Borough Council,Revenues Services,Supplies and Services,Consultants Fees,44,JBW GROUP LIMITED,A0088708, 18/08/2016,TRE0273548,330,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,JEWSON LIMITED,A0001323, 18/08/2016,PCO0273459,4.63,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,20,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 11/08/2016,HED0273237,45,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 04/08/2016,OPS0273130,45,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 18/08/2016,OPS0273495,45,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 18/08/2016,OPS0273496,45,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 18/08/2016,OPS0273497,90,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,47,JOHNSONS TEXICARE LTD,A0002665, 11/08/2016,ENV0273275,78.8,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Adverts : Statutory Notice,47,JOHNSTON PUBLISHING LIMITED,A0059640, 11/08/2016,DAL0273288,262.2,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Adverts : Statutory Notice,47,JOHNSTON PUBLISHING LIMITED,A0059640, 11/08/2016,DAL0273163,235.98,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Adverts : Statutory Notice,47,JOHNSTON PUBLISHING LIMITED,A0059640, 11/08/2016,DAL0273289,288.42,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Adverts : Statutory Notice,47,JOHNSTON PUBLISHING LIMITED,A0059640, 18/08/2016,DAL0273438,314.64,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Adverts : Statutory Notice,47,JOHNSTON PUBLISHING LIMITED,A0059640, 25/08/2016,DAL0273551,314.64,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,47,JOHNSTON PUBLISHING LIMITED,A0059640, 11/08/2016,DAL0273170,157.32,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Capital Costs,Capital : Legal Fees,CD,JOHNSTON PUBLISHING LIMITED,A0059640, 18/08/2016,DAL0273436,1188.64,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Capital Costs,Capital : Payments,CD,JOHNSTON PUBLISHING LIMITED,A0059640, 11/08/2016,DAL0273287,104.88,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Capital Costs,Capital : Payments,CD,JOHNSTON PUBLISHING LIMITED,A0059640, 18/08/2016,DAL0273437,104.88,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,KEVIN WILKINSON LANDSCAPES LTD,A0085660, 11/08/2016,HED0273310,120,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,KEYPLUS SECURITY LIMITED,A0062723, 11/08/2016,EST0273326,40,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,KEYPLUS SECURITY LIMITED,A0062723, 18/08/2016,OPS0273466,37.5,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Capital Costs,Capital : Payments,CD,KOOL COUTURE,A0090668, 25/08/2016,REG0273631,279,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Trade Refuse Charges,26,LANCASHIRE COUNTY COUNCIL,A0001690, 18/08/2016,OPS0273422,3509.58,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Trade Refuse Charges,26,LANCASHIRE COUNTY COUNCIL,A0001690, 18/08/2016,OPS0273422,15611.58,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Trade Refuse Charges,26,LANCASHIRE COUNTY COUNCIL,A0001690, 18/08/2016,OPS0273422,51070.44,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,LANCASHIRE COUNTY COUNCIL,A0001690, 11/08/2016,HMR0273259,524.96,N,N/A,N,87.49
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,LANCASHIRE COUNTY COUNCIL,A0001690, 25/08/2016,HMR0273578,873,N,N/A,N,145.5
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,LANCASHIRE COUNTY COUNCIL,A0001690, 25/08/2016,HMR0273579,1114,N,N/A,N,185.67
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,LANCASHIRE COUNTY COUNCIL,A0001690, 18/08/2016,HMR0273456,2955,N,N/A,N,492.5
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,LANCASHIRE DAF,A0089429, 11/08/2016,PCO0273221,211,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,LANDSCAPE ENGINEERING LTD,A0013135, 11/08/2016,EST0273327,896.8,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,LANESHAWBRIDGE PARISH COUNCIL,A0062284, 25/08/2016,HED0273625,100,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,LANESHAWBRIDGE PARISH COUNCIL,A0062284, 11/08/2016,HED0273280,150,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,LANLEE SUPPLIES LIMITED,A0001672, 11/08/2016,PCO0273229,299.4,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANLEE SUPPLIES LIMITED,A0001672, 04/08/2016,PCO0273164,177.39,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANLEE SUPPLIES LIMITED,A0001672, 18/08/2016,HED0273402,3.16,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANLEE SUPPLIES LIMITED,A0001672, 18/08/2016,HED0273402,15.98,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,LANLEE SUPPLIES LIMITED,A0001672, 04/08/2016,PCO0273141,11.08,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,LANLEE SUPPLIES LIMITED,A0001672, 04/08/2016,PCO0273141,31.98,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,47,LCC WELLBEING PREVENTION & EARBY HELP SERVICE,A0090883, 04/08/2016,HED0273212,1000,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,LEWIS EQUIPMENT LIMITED,A0090108, 11/08/2016,PCO0273220,191.14,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,Car Allows : Offs : Lease Exps,38,LEX AUTOLEASE LIMITED,A0066530, 18/08/2016,PER0273539,2030.62,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,Car Allows : Offs : Lease Exps,38,LEX AUTOLEASE LIMITED,A0066530, 18/08/2016,PER0273539,2111.82,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,Car Allows : Offs : Lease Exps,38,LEX AUTOLEASE LIMITED,A0066530, 18/08/2016,PER0273539,1898.58,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,Car Allows : Offs : Lease Exps,38,LEX AUTOLEASE LIMITED,A0066530, 18/08/2016,PER0273539,2112.42,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,Car Allows : Offs : Lease Exps,38,LEX AUTOLEASE LIMITED,A0066530, 18/08/2016,PER4005087,-110,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,LIBERATA UK LTD,A0051618, 11/08/2016,AAS0273384,1726.04,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/08/2016,AAS0273378,2042,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/08/2016,AAS0273385,10672.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/08/2016,AAS0273385,33600.81,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/08/2016,AAS0273385,25091.93,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/08/2016,AAS0273385,88420.32,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/08/2016,AAS0273385,51798.8,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/08/2016,AAS0273379,1433.23,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/08/2016,AAS0273381,1433.23,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/08/2016,AAS0273382,2192.72,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/08/2016,AAS0273385,84447.27,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/08/2016,AAS0273385,122220.71,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Other Expenses,47,LIBRA TEXTILES LTD,A0062627, 18/08/2016,REG0273449,2500,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Other Expenses,47,LIBRA TEXTILES LTD,A0062627, 11/08/2016,REG0273283,3760.59,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,47,LIMPET LABELS UK LIMITED,A0067671, 04/08/2016,OPS0273139,166,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,47,LIMPET LABELS UK LIMITED,A0067671, 04/08/2016,OPS0273139,243.27,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Support Services,Bank Charges,72,LLOYDS BANKING GROUP,A0072462, 23/08/2016,AAS0273679,45,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,LORD STREET CO PRIMARY SCHOOL,A0001702, 18/08/2016,AAS0273412,100,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,LUSTALUX LIMITED,A0090902, 18/08/2016,HMR0273498,899,N,N/A,N,149.83
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,M C & M A STEWART HAULAGE,A0068863, 04/08/2016,PCO0273145,425.57,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,M C & M A STEWART HAULAGE,A0068863, 04/08/2016,PCO0273145,587.93,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,M C & M A STEWART HAULAGE,A0068863, 18/08/2016,PCO0273475,296.38,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,M C & M A STEWART HAULAGE,A0068863, 04/08/2016,PCO0273064,297.84,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,M C & M A STEWART HAULAGE,A0068863, 04/08/2016,PCO0273067,591.44,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,M J RUSHTON,A0043864, 11/08/2016,PCO0273337,255,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,M L PLUMBING & BUILDING,A0078739, 11/08/2016,HMR0273323,888,N,N/A,N,148
Pendle Borough Council,Economic Development & Tourism,,Deposits in Lieu of Bond,B6,Redacted - Personal Data,A0090126, 18/08/2016,REG0273512,1000,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,M65 RECRUITMENT,A0090760, 04/08/2016,OPS0273128,72.02,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,M65 RECRUITMENT,A0090760, 25/08/2016,OPS0273594,235.88,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,M65 RECRUITMENT,A0090760, 11/08/2016,OPS0273241,214.43,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,M65 RECRUITMENT,A0090760, 25/08/2016,OPS0273594,214.43,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,M65 RECRUITMENT,A0090760, 18/08/2016,OPS0273393,359.76,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,M65 RECRUITMENT,A0090760, 18/08/2016,OPS0273392,520.59,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,M65 RECRUITMENT,A0090760, 04/08/2016,OPS0273128,572.47,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,M65 RECRUITMENT,A0090760, 04/08/2016,OPS0273054,609.94,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,M65 RECRUITMENT,A0090760, 11/08/2016,OPS0273241,214.43,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,M65 RECRUITMENT,A0090760, 04/08/2016,OPS0273054,228.73,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Premises Related Expense,Bldgs : R & M : Abnormal,20,MARTIN COLLINS JOINERY & GLAZING,A0000623, 25/08/2016,ENV0273611,54,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Premises Related Expense,Bldgs : R & M : Abnormal,20,MARTIN COLLINS JOINERY & GLAZING,A0000623, 25/08/2016,ENV0273612,78,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Premises Related Expense,Bldgs : R & M : Abnormal,20,MARTIN COLLINS JOINERY & GLAZING,A0000623, 18/08/2016,ENV0273470,54,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,MARTIN COLLINS JOINERY & GLAZING,A0000623, 11/08/2016,HMR0273272,48,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,MARTIN COLLINS JOINERY & GLAZING,A0000623, 11/08/2016,HMR0273273,152,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,MARTIN COLLINS JOINERY & GLAZING,A0000623, 18/08/2016,HMR0273445,830,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Newspapers & Periodicals,43,MARTINS,A0074550, 04/08/2016,HED0273157,19.6,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,cd,MAXIGIENE ENVIRONMENTAL SERVICES LTD,A0060911, 11/08/2016,EST0273339,105,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,MAXIGIENE ENVIRONMENTAL SERVICES LTD,A0060911, 11/08/2016,EST0273340,2452.5,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,,Paid in the Year,PD,Redacted - Personal Data,A0090587, 18/08/2016,HMR0273468,2574,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,,Other Income : Non-VATable,93,Redacted - Personal Data,A0060456, 04/08/2016,HED0273183,34,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Consultants Fees,44,MOHAMMED SHAZAD SARWAR,A0090438, 11/08/2016,COR0273335,11500,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Other Expenses,47,Redacted - Personal Data,A0090892, 11/08/2016,HMR0273268,200,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,,Fees Income : Non-VATable,93,Redacted - Personal Data,A0081403, 18/08/2016,PCO0273401,279.5,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Fees Income : Non-VATable,93,Redacted - Personal Data,A0090893, 18/08/2016,OPS0273421,30,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,,Paid in the Year,PD,Redacted - Personal Data,A0090583, 18/08/2016,HMR0273502,2358.8,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,,Fees Income : Non-VATable,93,Redacted - Personal Data,A0090889, 11/08/2016,PCO0273265,30,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,,Fees Income : Non-VATable,93,Redacted - Personal Data,A0090889, 11/08/2016,PCO0273264,90,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Consultants Fees,44,Redacted - Personal Data,A0090882, 18/08/2016,HMR0273439,17.33,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Consultants Fees,44,Redacted - Personal Data,A0090882, 04/08/2016,HMR0273166,270.49,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Indirect Employee Expenses,Training,12,MYERSCOUGH COLLEGE,A0053390, 11/08/2016,PCO0273231,400,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,NEIL WILLSON,A0053659, 11/08/2016,HED0273336,135,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,NEIL WILLSON,A0053659, 11/08/2016,HED0273336,140,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,NEW MIND INTERNET CONSULTANCY LTD,A0064687, 18/08/2016,REG0273448,200,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,NORTH VALLEY COMMUNITY CENTRE,A0062271, 18/08/2016,AAS0273411,96,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,NORTH WEST TRADING COMPANY,A0063527, 04/08/2016,PCO0273154,77,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/08/2016,HMR0273465,9.89,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 04/08/2016,HMR0273112,11.04,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 04/08/2016,HMR0273119,11.5,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 04/08/2016,HMR0273113,33.75,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 04/08/2016,HMR0273120,35.85,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 04/08/2016,HMR0273121,36.32,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 04/08/2016,HMR0273122,36.7,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 04/08/2016,HMR0273123,38.57,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 04/08/2016,HMR0273124,38.8,N,N/A,N,N/A
