UID,Client,Pro Class,Contract Title,Route to Market,Contract Type,Contract Start Date,Initial Contract Term (Months),Potential Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier,Supplier Type,Registered Company/ Charity Number,Postcode,Council Directorate
3041,Stockport Council,"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Emergency plaster repair work to the Ballroom at Stockport Town Hall,Exemption,Contract,11/04/2016,4,4,11/08/2016,No,11/08/2016,01/08/2016,"£87,000.00","£87,000.00",Plaster Restorations UK Ltd,SME,4844002,LS167TN,Stockport- Services to Place
3068,Stockport Council,152200-Consultancy : Technical & Feasibility : ,Consultancy Support for the Development of a Regional Adoption Agency,RFQ,Contract,01/06/2016,3,3,30/09/2016,No,30/09/2016,30/09/2016,"£49,600.00","£49,600.00",BDO LLP,Other,05177887,W1U 7EU,Stockport- Services to People
3118,Stockport Council,"391310-Works - Construction, Repair & Maintenance : Open Spaces : Construction",South Park Skate Park ,Mini Competition (External),Contract,01/08/2016,2,2,30/09/2016,No,30/09/2016,01/09/2016,"£40,000.00","£40,000.00",Bendcrete Leisure Ltd.,SME,3220846,SK15 1ST,Stockport- Services to Place
3121,Stockport Council,379999-Utilities : Not Elsewhere Classified : ,Disconnection of Utilities Redrock,Exemption,Contract,01/03/2016,4,4,01/07/2016,No,01/07/2016,31/05/2016,"£7,886.31","£2,628.77",Birchwood Gas Services (BGS),Other,4945686,WA3 6FW,Stockport- Services to Place
3181,Stockport Council,379999-Utilities : Not Elsewhere Classified : ,"Water, Waste Water, and Ancilliary Services",Local Services,Contract,,12,12,31/03/2017,No,31/03/2017,01/08/2016,"£1,973,000.00","£1,973,000.00",United Utilities,Other,06559020,WA5 3LP,Stockport- Corporate & Support Services
3188,Stockport Council,271420-Information Communication Technology : Services : Online Services,Governors Hub,RFQ,Contract,01/04/2016,12,12,31/03/2017,No,31/03/2017,01/12/2016,"£12,372.00","£12,372.00",Ortoo Technologies,SME,8142817,NR28 ODX,Stockport- Services to People
3202,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Health Visiting and Family Nurse Partnership Services for the Borough of Stockport,Exemption,Contract,01/04/2016,12,12,31/03/2017,No,31/03/2017,01/10/2016,"£5,842,000.00","£5,842,000.00",Stockport NHS Foundation Trust ,NHS,n/a,SK2 5HR,Stockport- Corporate & Support Services
3223,Stockport Council,141100-Clothing : Protective : ,"Personal Protective Equipment, Footwear, Corporate Clothing & Equipment Framework Contract",Tender (OJEU),Contract,02/08/2015,24,48,01/08/2017,No,31/07/2019,01/12/2016,"£21,198.62","£84,794.48",Various- See supplier Tab,Various- See supplier Tab,Various- See supplier Tab,Various- See supplier Tab,Stockport- Corporate & Support Services
3231,Stockport Council,199999-Facilities & Management Services : Not Elsewhere Classified : ,Antiques,Exemption,Contract,20/06/2016,12,12,20/06/2017,No,20/06/2017,01/05/2017,"£10,000.00","£10,000.00",Imperial Antiques,Other,4718076,SK2 7NR,Stockport- Services to Place
3238,Stockport Council,271300-Information Communication Technology : Services : Maintenance & Support,Cumbria Lead AGMA Hhub,Call Off (External),contract,01/08/2016,48,96,31/07/2020,No,31/07/2024,01/08/2019,"£2,140.00","£17,120.00",Due-North - Proactis,SME,04499220,NE23 1LZ,Stockport- Corporate & Support Services
