Reference Number,Titile of Agreement,Department Responsible,Description of Goods and/or Services,Supplier,Total Contract Value,Start Date,End Date,Award Method,SME
701192,Corprate Cleaning,CSG,,Churchill Contract Services Limited,"£1,800,000.00",01/11/2014,31/10/2017,ITT,N/A
701186,Electrical Term Maintenace,CSG,,RGE Services Limited,"£630,000.00",11/08/2014,10/08/2017,ITT,N/A
701181,Lift Term Maintenace,CSG,,Lift and Engineering Services Ltd,"£135,000.00",11/08/2014,10/08/2017,ITT,N/A
701144,Provision of Cleaning Consumables,CSG,,Hertfordshire Supplies,"£64,000.00",29/09/2014,31/10/2016,ITT,N/A
701180,Water Hygiene Term Maintenace,CSG,,AJS Lim,"£120,000.00",11/08/2014,10/08/2017,ITT,N/A
701182,Water Hygiene Term Maintenace - Mechanical,CSG,,Hertel Solutions Ltd,"£57,600.00",10/08/2014,10/08/2017,ITT,N/A
701280,Copper Consultancy - Depot Relocation Project,CSG,,Copper Consultancy Ltd,"£96,975.00",11/03/2015,11/06/2017,ITT,N/A
701324,London Academy - Works under LOI,CSG,,Morgan Sindall,"£3,315,811.75",01/05/2015,01/12/2017,OJEU,N/A
701322,Monkfrith Expansion - Temporary Accommodation,CSG,,PORTAKABIN Ltd,"£56,261.00",01/05/2015,01/12/2016,ITT,N/A
701378,Software Maintenance and Support (Mission IT),CSG,,Mission IT,"£32,500.00",28/07/2015,31/03/2017,ITT,N/A
701384,LGRP Framework Contract,CSG,,GATENBYSANDERSON LTD,"£150,000.00",01/09/2015,31/03/2017,ITT,N/A
701437,External Audit,CSG,,BDO LLP,"£400,000.00",21/11/2015,20/11/2016,OJEU,N/A
701435,L B Pension Fund,CSG,,Capita Employee Benefits,"£5,500,000.00",24/11/2015,23/11/2016,OJEU,N/A
701454,Oak Lodge Expansion,CSG,,Morgan Sindall,"£6,484,967.00",15/01/2016,01/09/2018,ITQ/Tender,N/A
701464,Monkfrith Primary School Expansion,CSG,,Farrans Construction,"£4,213,958.34",18/02/2016,03/08/2017,Other,N/A
701489,Business Case Coach,CSG,,Simetrica,"£24,240.00",01/02/2016,30/04/2016,Quote,N/A
701476,Provide Urgent Services for Depot Relocation in Oakleigh Road South,CSG,,UK Power Networks,"£38,175.40",09/03/2016,26/01/2017,ITQ/Tender,N/A
5000003776,School Travel Plan Grant  (EPR),Re,,Deansbrook Infant School,"£11,300.00",21/06/2013,21/06/2016,ITT,N/A
5000003778,School Travel Plan Grant  (EPR),Re,,Garden Suburb Infant School,"£10,200.00",21/06/2013,21/06/2016,ITT,N/A
5000003781,School Travel Plan Grant  (EPR),Re,,St Joseph's Junior School,"£10,800.00",21/06/2013,21/06/2016,ITT,N/A
5000003802,School Travel Plan Grant  (EPR),Re,,All Saints' CE School N20,"£10,500.00",21/06/2013,21/06/2016,ITT,N/A
5000003805,School Travel Plan Grant  (EPR),Re,,St Catherine's RC School,"£10,800.00",21/06/2013,21/06/2016,ITT,N/A
5000003815,School Travel Plan Grant  (EPR),Re,,Lyonsdown School Trust Ltd,"£10,100.00",21/06/2013,21/06/2016,ITT,N/A
5000003838,School Travel Plan Grant  (EPR),Re,,Courtland School,"£11,500.00",21/06/2013,21/06/2016,ITT,N/A
5000003847,School Travel Plan Grant  (EPR),Re,,Oakleigh School,"£10,000.00",21/06/2013,21/06/2016,ITT,N/A
5000003867,School Travel Plan Grant  (EPR),Re,,St John's CE School N11,"£10,500.00",21/06/2013,21/06/2016,ITT,N/A
5000003871,School Travel Plan Grant  (EPR),Re,,JCoSS,"£10,000.00",21/06/2013,21/06/2016,ITT,N/A
5000005189,Residential Independent Adv Serv  (EPR),Re,,Strategic Urban,"£88,000.00",07/05/2013,07/05/2017,Quote,N/A
5000005132,GVA - CBX Scheme  (EPR),Re,,GVA Grimley Ltd,"£439,040.00",29/05/2013,01/04/2016,Framework,N/A
5000001591,Stonegrove Legal Advice,Re,Legal advice on PDA and CPO,Nabbarro,"£152,036.00",20/01/2003,31/03/2018,Framework,N/A
5000000732,Brent Cross/Cricklewood Valuation Advice,Re,Advice for  Principal Development Negotiations- Brent Cross ,CBRE,"£125,000.00",31/07/2007,30/06/2027,ITT,N/A
5000006167,North London Waste Plan (LBB Camden),Re,North London Waste Plan,London Borough of Camden,"£68,000.00",13/11/2013,31/03/2018,ITT,N/A
5000006354,London Highways Alliance Contract,Re,LoHAC,CONWAY AECOM,"£100,000,000.00",01/10/2013,31/03/2021,ITT,N/A
700266,Choices for Grahame Park - Genesis,Re,,Choices for Grahame Park,"£5,000,000.00",01/04/2014,31/03/2019,Other,N/A
701161,Grahame Park Resident Independent Advisor,Re,,Priority Estates Project,"£89,850.00",06/10/2014,06/10/2017,SLA,N/A
701195,Bus 382 Route - Millbrook Park,Re,,Transport For London,"£165,354.00",14/11/2014,31/12/2016,ITT,N/A
700043,Independent Tenant Advisor for West Hendon,Re,,Priority Estates Project Ltd,"£73,500.00",27/11/2014,27/11/2017,ITQ/Tender,N/A
701241,Brent Cross - Wragge Lawrence Graham & Co,Re,,Wragge Lawrence Graham & Co,"£800,000.00",31/10/2014,31/10/2019,ITT,N/A
701242,Colindale Primary Care / Grahame Park Health Centre,Re,,North London Estate Partnership,"£74,500.00",01/02/2015,31/12/2018,ITT,N/A
701225,Focus Consultants,Re,,Pre-contract award supplier,"£60,000.00",01/01/2015,01/01/2019,ITT,N/A
700778,Workfinder Project for the London Borough of Barnet,Re,,Groundwork London,"£171,000.00",02/03/2015,01/03/2017,ITT,N/A
701345,Sapiens Consultancy - Business Relocation for BXC,Re,,Sapiens Consultancy Ltd,"£12,000.00",01/05/2015,31/05/2018,ITT,N/A
701339,Transport Modelling Report for Brent Cross Thameslink,Re,,AECOM Limited,"£33,906.74",01/04/2015,31/03/2017,ITT,N/A
701370,Data Collection Support for Additional Licensing of HMOs Consultation,Re,,Opinion Research Services,"£40,000.00",04/08/2015,31/07/2016,ITT,N/A
701371,Sustrans - Bike It,Re,,Sustrans Ltd,"£34,000.00",18/08/2015,31/08/2016,ITT,N/A
701483,ITA Service for Dollis Valley,Re,,PPCR - Public Participation Consultation & Research,"£110,000.00",01/01/2015,01/01/2020,Other,N/A
701505,Brent Cross Cricklewood CPO Inquiry Venue,Re,,Crown Moran Hotel,"£64,500.00",19/04/2016,31/07/2016,Other,N/A
701516,Burnt Oak HSF,Re,,We Made That LLP,"£125,000.00",05/02/2016,31/03/2017,Quote,N/A
Non,Provision of play areas,Street Scene,supply and install play areas,SMP (playgrounds) Ltd,"£500,000.00",10/11/2012,09/11/2016,Quote,N/A
5000004923,Route optimisation software  (EPR),Street Scene,,Webaspx Ltd,"£50,715.00",01/04/2013,01/04/2018,Quote,N/A
5000004945,Highways Sign Shop Alloys,Street Scene,Supply of Sign Shop Alloys,ASD Metals,"£100,000.00",01/09/2013,31/08/2016,Quote,N/A
5000004946,Highways Sign Shop Vinyls,Street Scene,Supply of Sign Shop Vinyls,Rennick UK Ltd,"£150,000.00",23/08/2013,22/08/2016,Quote,N/A
700450,Barnet CCTV Service,Street Scene,,OCS Group UK Limited,"£4,181,714.00",01/06/2014,30/05/2019,OJEU restricted,N/A
5000000693,PFI Street Lighting,Street Scene,Provision and maintenance of borough street lighting,Barnet Lighting Services,"£62,500,000.00",01/09/2004,29/04/2031,OJEU - Restricted,N/A
5000006595,Specialist Park Furniture,Street Scene,Specialist Park Furniture,Taylormade Castings,"£25,000.00",08/03/2014,08/03/2017,Quote,N/A
700700,NON Provision of play areas,Street Scene,,SMP (playgrounds) Ltd,"£500,000.00",10/11/2012,09/11/2016,Other,N/A
701135,Software Licence Agreement for Fleet Management Services,Street Scene,,Chevin Fleet Solutions,"£62,000.00",01/07/2014,30/06/2017,Other,N/A
701312,Supply of Mini Tractor,Street Scene,,Euromec Contracts Ltd,"£17,718.00",01/04/2015,31/12/2016,ITT,N/A
701420,Refurbishment of Steel Wheeled Bins,Street Scene,,Bin Master,"£28,125.00",05/10/2015,04/10/2017,ITT,N/A
701421,Vehicle Advertising Banners for Waste and Recycling Fleet,Street Scene,,RGVA,"£34,760.33",16/09/2015,16/09/2017,ITT,N/A
701429,Vehicle Tracking Equipment,Street Scene,,Quartix,"£45,000.00",01/04/2015,31/03/2017,ITT,N/A
701360,Provision of Aboricultural Services West Zone,Street Scene,,Glendale Managed Services Ltd,"£457,500.00",01/04/2016,31/03/2020,OJEU,N/A
701361,Provision of Tree Planting & Maintenance Service,Street Scene,,Gristwood and Toms Ltd,"£457,500.00",01/04/2016,31/03/2020,OJEU,N/A
