ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT £,PURPOSE,TRANSACTION NO
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,31/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001110895
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,623.30 ,RESIDENTIAL LONG TERM,V001110896
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,31/03/2017,991.20 ,NURSING LONG TERM,V001110900
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,31/03/2017,991.20 ,NURSING LONG TERM,V001110901
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,31/03/2017,991.20 ,NURSING LONG TERM,V001110902
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,591.66 ,RESIDENTIAL LONG TERM,V001110904
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,31/03/2017,598.12 ,NURSING LONG TERM,V001110905
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,31/03/2017,598.12 ,NURSING LONG TERM,V001110906
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,31/03/2017,598.12 ,NURSING LONG TERM,V001110907
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,31/03/2017,612.12 ,RESIDENTIAL LONG TERM,V001110908
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,31/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001110909
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,583.02 ,RESIDENTIAL LONG TERM,V001110910
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,HC ONE LTD,31/03/2017,613.50 ,RESIDENTIAL LONG TERM,V001110911
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,CEDAR COURT NURSING HOME,31/03/2017,993.92 ,NURSING LONG TERM,V001110912
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,CHADDERTON TOTAL CARE UNIT LTD,31/03/2017,697.18 ,RESIDENTIAL LONG TERM,V001110913
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,31/03/2017,555.46 ,RESIDENTIAL LONG TERM,V001110914
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,31/03/2017,570.04 ,RESIDENTIAL LONG TERM,V001110915
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,DENTAK CARE AND SERVICES LIMITED,31/03/2017,587.42 ,NURSING LONG TERM,V001110916
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,LEIGHTON HOUSE RETIREMENT HOME LIMITED,31/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001110917
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,801.30 ,NURSING LONG TERM,V001110918
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,31/03/2017,602.30 ,RESIDENTIAL LONG TERM,V001110919
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,664.20 ,RESIDENTIAL LONG TERM,V001110920
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,31/03/2017,601.88 ,RESIDENTIAL LONG TERM,V001110921
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,31/03/2017,601.88 ,RESIDENTIAL LONG TERM,V001110922
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,31/03/2017,601.88 ,RESIDENTIAL LONG TERM,V001110923
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,31/03/2017,656.90 ,NURSING LONG TERM,V001110924
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,31/03/2017,628.18 ,RESIDENTIAL LONG TERM,V001110925
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,658.72 ,NURSING LONG TERM,V001110926
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,31/03/2017,971.70 ,NURSING LONG TERM,V001110927
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,THE ROYAL MASONIC BENEVOLENT INSTITUTION,31/03/2017,557.08 ,RESIDENTIAL LONG TERM,V001110928
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,THE ROYAL MASONIC BENEVOLENT INSTITUTION,31/03/2017,557.08 ,RESIDENTIAL LONG TERM,V001110929
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,662.82 ,RESIDENTIAL LONG TERM,V001110930
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,31/03/2017,-675.34 ,NURSING LONG TERM,V001110931
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,31/03/2017,-859.52 ,NURSING LONG TERM,V001110932
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,31/03/2017,-859.52 ,NURSING LONG TERM,V001110933
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,31/03/2017,564.04 ,RESIDENTIAL LONG TERM,V001110934
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,31/03/2017,565.20 ,RESIDENTIAL LONG TERM,V001110935
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,31/03/2017,616.12 ,RESIDENTIAL LONG TERM,V001110936
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,31/03/2017,551.50 ,RESIDENTIAL LONG TERM,V001110937
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,31/03/2017,593.62 ,RESIDENTIAL LONG TERM,V001110938
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,ROSEMARY CARE HOME,31/03/2017,-561.58 ,RESIDENTIAL LONG TERM,V001110940
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,ROSEMARY CARE HOME,31/03/2017,-561.58 ,RESIDENTIAL LONG TERM,V001110941
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,ROSEMARY CARE HOME,31/03/2017,-561.58 ,RESIDENTIAL LONG TERM,V001110942
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,ROSEMARY CARE HOME,31/03/2017,-561.58 ,RESIDENTIAL LONG TERM,V001110943
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,ROSEMARY CARE HOME,31/03/2017,-561.58 ,RESIDENTIAL LONG TERM,V001110944
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,31/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001110951
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,31/03/2017,606.00 ,RESIDENTIAL LONG TERM,V001110953
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,502.70 ,NURSING LONG TERM,V001110954
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,31/03/2017,736.73 ,SHORT TERM CARE - RESIDENTIAL,V001110955
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,31/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001110957
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,31/03/2017,555.40 ,RESIDENTIAL LONG TERM,V001110958
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,FOUR SEASONS,31/03/2017,632.92 ,RESIDENTIAL LONG TERM,V001110960
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,31/03/2017,698.62 ,RESIDENTIAL LONG TERM,V001110961
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,AVERY HOMES MOSTON LIMITED,31/03/2017,623.30 ,RESIDENTIAL LONG TERM,V001110962
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,AVERY HOMES MOSTON LIMITED,31/03/2017,623.30 ,RESIDENTIAL LONG TERM,V001110963
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,31/03/2017,537.04 ,RESIDENTIAL LONG TERM,V001110964
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,EMBRACE ALL LIMITED,31/03/2017,575.64 ,RESIDENTIAL LONG TERM,V001110965
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,31/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001110967
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,BELVOIR CARE HOME LIMITED,31/03/2017,859.52 ,RESIDENTIAL LONG TERM,V001110968
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,DRB HEALTHCARE LTD,31/03/2017,697.40 ,RESIDENTIAL LONG TERM,V001110970
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,DRB HEALTHCARE LTD,31/03/2017,697.40 ,RESIDENTIAL LONG TERM,V001110971
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BELVOIR CARE HOME LIMITED,31/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001110972
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,602.26 ,RESIDENTIAL LONG TERM,V001110973
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,SUNNYBANK P R S LTD,31/03/2017,1136.88 ,RESIDENTIAL LONG TERM,V001110974
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,31/03/2017,590.86 ,RESIDENTIAL LONG TERM,V001110976
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,31/03/2017,991.20 ,NURSING LONG TERM,V001110977
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,31/03/2017,991.20 ,NURSING LONG TERM,V001110978
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,31/03/2017,991.20 ,NURSING LONG TERM,V001110979
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,31/03/2017,1040.00 ,RESIDENTIAL LONG TERM,V001110980
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,31/03/2017,636.30 ,NURSING LONG TERM,V001110981
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,31/03/2017,578.98 ,NURSING LONG TERM,V001110982
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,31/03/2017,578.98 ,NURSING LONG TERM,V001110983
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,31/03/2017,578.98 ,NURSING LONG TERM,V001110984
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,31/03/2017,557.50 ,RESIDENTIAL LONG TERM,V001110985
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,CIC GROUP EACHSTEP BLACKLEY,31/03/2017,1968.82 ,NURSING LONG TERM,V001110987
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,CIC GROUP EACHSTEP BLACKLEY,31/03/2017,1968.82 ,NURSING LONG TERM,V001110988
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,31/03/2017,560.38 ,RESIDENTIAL LONG TERM,V001110989
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,31/03/2017,586.58 ,RESIDENTIAL LONG TERM,V001110990
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001110991
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,588.28 ,NURSING LONG TERM,V001110992
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,31/03/2017,540.52 ,RESIDENTIAL LONG TERM,V001110993
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,592.12 ,NURSING LONG TERM,V001110995
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,31/03/2017,598.12 ,NURSING LONG TERM,V001110996
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,D & A C FITTON,31/03/2017,-659.22 ,RESIDENTIAL LONG TERM,V001110997
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,D & A C FITTON,31/03/2017,-659.22 ,RESIDENTIAL LONG TERM,V001110998
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,31/03/2017,595.90 ,RESIDENTIAL LONG TERM,V001110999
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,31/03/2017,991.20 ,NURSING LONG TERM,V001111000
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,31/03/2017,991.20 ,NURSING LONG TERM,V001111001
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,31/03/2017,991.20 ,NURSING LONG TERM,V001111002
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,31/03/2017,606.12 ,NURSING LONG TERM,V001111003
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,31/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001111006
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,ANTONI & RIENZIE LTD,31/03/2017,606.12 ,RESIDENTIAL LONG TERM,V001111007
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,31/03/2017,623.30 ,RESIDENTIAL LONG TERM,V001111009
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,31/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001111011
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,31/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001111012
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,HORIZON  RESIDENTIAL HOMES LTD,31/03/2017,541.78 ,RESIDENTIAL LONG TERM,V001111015
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,31/03/2017,547.16 ,RESIDENTIAL LONG TERM,V001111016
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,31/03/2017,547.16 ,RESIDENTIAL LONG TERM,V001111017
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,31/03/2017,547.16 ,RESIDENTIAL LONG TERM,V001111018
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,31/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001111019
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,APSLEY HOUSE,31/03/2017,3397.70 ,RESIDENTIAL LONG TERM,V001111020
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,608.12 ,NURSING LONG TERM,V001111022
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,SPRINGHILL CARE HOME,31/03/2017,747.30 ,RESIDENTIAL LONG TERM,V001111023
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,BEECH HOUSE,31/03/2017,517.14 ,RESIDENTIAL LONG TERM,V001111024
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,31/03/2017,506.80 ,RESIDENTIAL LONG TERM,V001111025
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,ROSEMARY CARE HOME,31/03/2017,585.32 ,RESIDENTIAL LONG TERM,V001111027
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,884.70 ,RESIDENTIAL LONG TERM,V001111029
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,31/03/2017,523.02 ,RESIDENTIAL LONG TERM,V001111030
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,31/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001111031
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,31/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001111032
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,527.76 ,RESIDENTIAL LONG TERM,V001111033
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,31/03/2017,859.52 ,RESIDENTIAL LONG TERM,V001111034
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,THE HESLEY GROUP LTD,31/03/2017,8880.00 ,RESIDENTIAL LONG TERM,V001111035
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,THE HESLEY GROUP LTD,31/03/2017,8880.00 ,RESIDENTIAL LONG TERM,V001111036
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,THE HESLEY GROUP LTD,31/03/2017,8880.00 ,RESIDENTIAL LONG TERM,V001111037
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,31/03/2017,592.32 ,RESIDENTIAL LONG TERM,V001111056
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,31/03/2017,598.60 ,RESIDENTIAL LONG TERM,V001111057
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,31/03/2017,598.60 ,RESIDENTIAL LONG TERM,V001111058
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,31/03/2017,598.60 ,RESIDENTIAL LONG TERM,V001111059
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,31/03/2017,595.16 ,RESIDENTIAL LONG TERM,V001111061
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,HC ONE LTD,31/03/2017,619.94 ,RESIDENTIAL LONG TERM,V001111062
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,859.52 ,NURSING LONG TERM,V001111063
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,HANDSALE LTD,31/03/2017,1018.00 ,RESIDENTIAL LONG TERM,V001111065
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,HANDSALE LTD,31/03/2017,1018.00 ,SHORT TERM CARE - RESIDENTIAL,V001111067
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,HANDSALE LTD,31/03/2017,1018.00 ,SHORT TERM CARE - RESIDENTIAL,V001111068
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,603.62 ,NURSING LONG TERM,V001111070
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,PENDLE RESIDENTIAL CARE,31/03/2017,2887.70 ,RESIDENTIAL LONG TERM,V001111071
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,PENDLE RESIDENTIAL CARE,31/03/2017,2887.70 ,RESIDENTIAL LONG TERM,V001111072
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001111074
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,596.12 ,RESIDENTIAL LONG TERM,V001111075
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,THE HESLEY GROUP LTD,31/03/2017,8423.00 ,RESIDENTIAL LONG TERM,V001111077
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,THE HESLEY GROUP LTD,31/03/2017,8423.00 ,RESIDENTIAL LONG TERM,V001111078
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,THE HESLEY GROUP LTD,31/03/2017,8423.00 ,RESIDENTIAL LONG TERM,V001111079
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,GHS CARE LTD,31/03/2017,610.00 ,RESIDENTIAL LONG TERM,V001111080
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,31/03/2017,598.12 ,NURSING LONG TERM,V001111081
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,31/03/2017,697.40 ,NURSING LONG TERM,V001111082
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,31/03/2017,569.36 ,RESIDENTIAL LONG TERM,V001111083
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,HORIZON  RESIDENTIAL HOMES LTD,31/03/2017,610.12 ,RESIDENTIAL LONG TERM,V001111084
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,CHADDERTON TOTAL CARE UNIT LTD,31/03/2017,708.60 ,RESIDENTIAL LONG TERM,V001111086
ROCHDALE BOROUGH COUNCIL,31/03/2017,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,31/03/2017,613.40 ,RESIDENTIAL LONG TERM,V001111087
ROCHDALE BOROUGH COUNCIL,31/03/2017,LEARNING DIS & MENTAL HEALTH,HC ONE LTD,31/03/2017,528.68 ,RESIDENTIAL LONG TERM,V001111088
