PROPERTY_DESCRIPTION,PROPREF,PROPERTY_ADDRESS,RATEPAYER,RV,LIABILITY_START,RELIEF_AS_AT_TODAY
Workshop And Premises,29268702,"Unit 1 George Street, Clifton, Brighouse, HD6 1PU",Hadley Interiors Limited,20500,01/03/2013,
Workshop And Premises,29272711,"Northern Timber Merchants, Gooder Lane, Brighouse, HD6 1HF",Alco Valves Group Ltd,110000,30/11/2015,EX
Workshop And Premises,29274703,"Unit 2 Prince Of Wales Mill, Princess Street, Brighouse, HD6 1LH",Prima Packaging Ltd,38500,01/04/2014,
Workshop And Premises,29284731,"Unit 9 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",,4250,01/10/2011,EX
Workshop And Premises,29284744,"Unit 26 Robin Hood Works, Grove Street, Brighouse, HD6 1PL",Owram Estates Ltd,15750,18/07/2014,ER
Workshop And Premises,29292700,"Cornaro Works, Half House Lane, Brighouse, HD6 2PH",Cornaro Engineering Ltd,21750,01/04/1990,
Workshop And Premises,29296732,"Unit 1A The Nurseries, Halifax Road, Brighouse, HD6 2QD",T I Controls,860,01/03/2011,SBR
Workshop And Premises,29348700,"Huntingdon Road, Brighouse, HD6 1PZ",Biffa Waste Services Ltd,30000,01/04/1990,
Workshop And Premises,29376708,"Unit 3 The Mill, Laura Street, Brighouse, HD6 1JD",Jmv Contracts Ltd,2750,01/04/2014,SBR
Workshop And Premises,29384097,"97 Lightcliffe Road, Brighouse, HD6 2HJ",Dust Collector Tubes Ltd,2325,01/04/1990,SBR
Workshop And Premises,29420703,"Wilkin Royd Mills, Mill Lane, Brighouse, HD6 1PN",,2550,01/04/1990,SBR
Workshop And Premises,29420737,"Unit 1/1A, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",,4550,01/08/2011,EX
Workshop And Premises,29420752,"Calder Clutch Co Ltd, Mill Lane, Brighouse, HD6 1PN",Calder Clutch Company Ltd,7400,01/01/2015,EX
Workshop And Premises,29420753,"Calder Manufacturing, Mill Lane, Brighouse, HD6 1PN",,8300,01/01/2015,SBR
Workshop And Premises,29440708,"Unit 4 Little John Mills, Oak Hill Road, Brighouse, HD6 1SL",Advertising Technique Ltd,4400,01/03/2006,SBR
Workshop And Premises,29480025,"25 Rastrick Common, Brighouse, HD6 3DW",,7000,09/04/2014,SBR
Workshop And Premises,29480038,"38 Rastrick Common, Brighouse, HD6 3DR",A Jackson & Co Ltd,22750,01/04/1990,
Workshop And Premises,29480700,"Bartre Works, Rastrick Common, Brighouse, HD6 3DR",Boge Compressors Ltd,32250,01/04/1990,
Workshop And Premises,29508701,"Sherwood Road, Brighouse, HD6 1QG",Sherwood Coatings Ltd,22000,01/04/1990,
Workshop And Premises,29508704,"Sherwood Road, Brighouse, HD6 1QG",Ladies Only Travel Ltd,14250,01/06/2015,SBR DRR
Workshop And Premises,29508711,"Unit 1, Sherwood Road, Brighouse, HD6 1QG",Kent Introl Ltd,56500,09/12/2010,
Workshop And Premises,29540700,"Owler Ings Road, Brighouse, HD6 1EJ",Impact Bodyshop & Repairs Ltd,25500,07/03/2013,DRR
Workshop And Premises,29572701,"Thornhill Briggs Mill, Thornhills Beck Lane, Brighouse, HD6 4AW",Decopac Ltd [In Liquidation],107000,03/12/2009,EX
Workshop And Premises,29572714,"Unit 1, Woodvale Workshops, Thornhills Beck Lane, Brighouse            HD6 4AW",Pennine Housing 2000 Ltd,5300,01/07/2013,SBR
Workshop And Premises,29572715,"Unit 1A, Woodvale Workshops, Thornhills Beck Lane, Brighouse            HX6 4AW",A.C.C (Flooring) Ltd,4700,17/02/2011,SBR
Workshop And Premises,29592001,"1 Upper Bonegate, Brighouse, HD6 1RT",,1975,01/05/2014,SBR
Workshop And Premises,29608708,"Units 2 & 3, Robin Hood Works, Wakefield Road, Brighouse            HD6 1PE",Home Improvement Supplies Ltd,20000,20/11/2006,
Workshop And Premises,29608728,"Wakefield Road, Brighouse, HD6 1QH",,9900,01/04/2011,SBR
Workshop And Premises,29608733,"2 Phoenix Court, Wakefield Road, Brighouse, HD6 1PF",F & S Tube Manipulation Ltd,3900,01/02/2002,EX
Workshop And Premises,29608760,"Units 1,2,4,6,7 & 8, Phoenix Street Works, Wakefield Road, Brighouse            HD6 1PE",Phoenix Pressings Ltd,26250,23/02/2008,EX
Workshop And Premises,29648700,"Unit 1, Wood Street, Brighouse, HD6 1PW",,7000,01/04/2001,EX
Workshop And Premises,29648715,"Unit 2 The Warehouse, Wood Street, Brighouse, HD6 1PW",,7600,07/04/2011,SBR
Workshop And Premises,29648716,"Unit 3 The Warehouse, Wood Street, Brighouse, HD6 1PW",,5200,26/04/2012,EX
Workshop And Premises,29656755,"Unit 1 Woodvale Mills, Woodvale Road, Brighouse, HD6 4AB",Peak Communications Ltd,38750,01/08/2015,
Workshop And Premises,29673707,"British Ceramic Tile, George Street, Brighouse, HD6 1PU",Auto Furniture [ Csp ] Ltd,57500,28/03/2015,
Workshop And Premises,29683701,"The Top Yard, Birkhouse Lane, Bailiff Bridge, Brighouse            HD6 4JL",Outdoor & Play Ltd,10500,16/09/2010,SBR
Workshop And Premises,56020702,"Briggate, Elland, HX5 9HG",Alzin Engineering Ltd,11500,01/04/1990,SBR
Workshop And Premises,56028713,"Unit 6, Burley Street, Elland, HX5 0AQ",Calder Screenprint Ltd,13750,01/05/2008,SBR
Workshop And Premises,56028717,"Unit 1 Burley Street Works, Burley Street, Elland, HX5 0AQ",Calder Screenprint Ltd,3100,14/05/2008,SBR
Workshop And Premises,56064702,"Spa Well, Dewsbury Road, Elland, HX5 9AZ",,2900,01/04/1990,DCR MCR
Workshop And Premises,56064739,"Unit 1 Mount Works, Dewsbury Road, Elland, HX5 9BG",Hammerstones Construction Ltd,17250,31/07/2007,SBR
Workshop And Premises,56064744,"Unit 4 Gannex Park, Dewsbury Road, Elland, HX5 9AF",K T Hydraulics Ltd,70000,01/03/2012,
Workshop And Premises,56064745,"Unit 1 Copperas Works, Dewsbury Road, Elland, HX5 9JU",Crossfit Halifax Ltd,13250,06/03/2015,SBR
Workshop And Premises,56064746,"Unit 2 Copperas Works, Dewsbury Road, Elland, HX5 9JU",A J Broome Ltd,4650,01/03/2015,SBR
Workshop And Premises,56068701,"Dodgson Street, Elland, HX5 0PA",Mbe Glazing Systems Ltd,21250,11/12/2009,
Workshop And Premises,56072702,"Unit 2, Eastgate, Elland, HX5 9DQ",Truarc Ltd,28250,01/10/2003,
Workshop And Premises,56072712,"Units A & B, Eastgate, Elland, HX5 9DQ",Wildax Conversions Ltd,26750,29/11/2012,
Workshop And Premises,56076711,"Unit D, Old Fire Station Buildings, Elizabeth Street, Elland              HX5 0LD",,1675,01/02/2013,EX
Workshop And Premises,56076712,"Unit E Fast Lane Buildings, Elizabeth Street, Elland, HX5 0JH",,3650,01/05/2003,SBR
Workshop And Premises,56080701,"Bridge Works, Elland Bridge, Elland, HX5 0SQ",C3S Projects Ltd,16000,01/04/2015,EX
Workshop And Premises,56080702,"10 Bridgefield, Elland Bridge, Elland, HX5 0SQ",,4550,01/04/1990,SBR
Workshop And Premises,56080704,"Bridgefield Works, Elland Bridge, Elland, HX5 0SQ",C3S Projects Ltd,34000,01/04/2015,
Workshop And Premises,56080706,"Bridgefield Works, Elland Bridge, Elland, HX5 0SQ",,6000,01/04/1990,SBR
Workshop And Premises,56080708,"Canal Mills, Elland Bridge, Elland, HX5 0SQ",C3S Projects Ltd,24500,01/02/2016,EX
Workshop And Premises,56080709,"Pennine Works, Elland Bridge, Elland, HX5 0SQ",C3S Projects Ltd,22000,01/04/2015,
Workshop And Premises,56080710,"Joinery Works, Elland Bridge, Elland, HX5 0SQ",C3S Projects Ltd,25750,01/04/1996,
Workshop And Premises,56080738,"Units 2,5,7 Bridgefield Mill, Bridgefield Works, Elland Bridge, Elland               HX5 0SQ",Compass Bridge Ltd,11250,01/04/2013,MCR
Workshop And Premises,56084704,"Elland Lane, Elland, HX5 9DU",,7300,24/09/2015,ER
Workshop And Premises,56084711,"Marshall Hall Mills, Elland Lane, Elland, HX5 9DU",,14750,01/04/1993,SBR
Workshop And Premises,56084712,"Marshall Hall Mills, Elland Lane, Elland, HX5 9DU",D.M.D Design & Marketing Ltd,8800,31/01/2003,SBR
Workshop And Premises,56084714,"Quebec Works, Elland Lane, Elland, HX5 9DU",,9000,01/04/1990,SBR
Workshop And Premises,56084721,"Marshall Hall Mills, Elland Lane, Elland, HX5 9DU",R & D Electrical Contractors(Yorkshire) Ltd,2225,01/05/2015,SBR
Workshop And Premises,56084740,"Unit 1, Elland Lane, Elland, HX5 9DZ",Nu-Fit Windows & Doors Ltd,42500,01/04/2009,
Workshop And Premises,56084741,"Unit 1A, Elland Lane, Elland, HX5 9DZ",Brook Miller Mobility Ltd,47250,01/12/2008,
Workshop And Premises,56084750,"Unit B, Marshall Hall Mills, Elland Lane, Elland               HX5 9DU",Firebelly Stoves Ltd,16000,20/09/2014,SBR
Workshop And Premises,56096704,"Unit 1 The Old Station Yard, Exley Lane, Elland, HX5 0SW",Joseph Dobson & Sons Ltd,35000,15/01/2013,
Workshop And Premises,56104703,"The Wharf, Gas Works Lane, Elland, HX5 9HH",,4450,01/04/1990,EX
Workshop And Premises,56108703,"Unit 4, George Street Garage & Store, George Street, Elland               HX5 0NE",,3200,01/04/2011,SBR
Workshop And Premises,56108705,"Unit 5, George Street, Elland, HX5 0NE",Ererco Doors And Loading Bay Solutions Ltd,2950,10/11/2014,SBR
Workshop And Premises,56108707,"Unit 3, George Street, Elland, HX5 0NE",,3250,01/04/2014,SBR
Workshop And Premises,56116701,"Long Lea Mills, Halifax Road, Elland, HX5 0SH",,15250,01/01/2008,SBR
Workshop And Premises,56116702,"Long Lea Mills, Halifax Road, Elland, HX5 0SH",A Orme & Co,18750,01/09/2004,
Workshop And Premises,56116711,"Spata Ironworks, Halifax Road, Elland, HX5 0SH",,1650,06/04/1999,SBR
Workshop And Premises,56116721,"Woodside Mills, Halifax Road, Elland, HX5 0SH",T Severn [Fibreglass Products Ltd],14750,01/04/2008,SBR
Workshop And Premises,56116723,"Basement Riverside Works, Halifax Road, Elland, HX5 0SH",,7300,01/07/2009,EX
Workshop And Premises,56116724,"Unit 1 The Maltings, Halifax Road, Elland, HX5 0SH",,2900,01/01/2012,SBR
Workshop And Premises,56128701,"Unit 1, Heathfield Industrial Estate, Heathfield Street, Elland              HX5 9AE",Sprayed Concrete Repair And Equipment Hire Ltd,12500,01/04/2010,SBR
Workshop And Premises,56128702,"Unit 6, Heathfield Industrial Estate, Heathfield Street, Elland              HX5 9AE",,8000,05/05/2007,SBR
Workshop And Premises,56128704,"Unit 7, Heathfield Industrial Estate, Heathfield Street, Elland              HX5 9AE",Envirolectrics Ltd,8400,18/02/2008,SBR
Workshop And Premises,56128705,"Unit 2, Heathfield Industrial Estate, Heathfield Street, Elland              HX5 9AE",Waxman Holdings Ltd,13000,01/12/2015,EX
Workshop And Premises,56128708,"Unit 12/14/15, Heathfield Industrial Estate, Heathfield Street, Elland               HX5 9AE",Ths Industrial Textiles Ltd,64000,01/04/2008,
Workshop And Premises,56128709,"Workshop, Heathfield Business Park, Heathfield Street, Elland               HX5 9AU",T.B.T Joinery Ltd,16750,16/05/2015,SBR
Workshop And Premises,56132702,"Ainleys Industrial Estate, Huddersfield Road, Elland, HX5 9JP",Archway Engineering (Uk) Ltd,78500,01/04/1990,
Workshop And Premises,56132706,"Huddersfield Road, Elland, HX5 0EE",,4450,01/04/1990,SBR
Workshop And Premises,56132707,"Rosemount Estate, Huddersfield Road, Elland, HX5 0EE",Early Excellence Ltd,23250,01/10/2011,
Workshop And Premises,56132711,"Ainleys Industrial Estate, Huddersfield Road, Elland, HX5 9JP",P Bairstow Ltd,61000,18/02/2013,
Workshop And Premises,56132743,"The Storth, Huddersfield Road, Elland, HX5 9JR",Briggs & Partner Ltd,22500,01/04/1990,
Workshop And Premises,56132745,"Unit 13, Ainleys Industrial Estate, Huddersfield Road, Elland              HX5 9JP",Andy Thornton Contracts Ltd,112000,06/01/2012,
Workshop And Premises,56132753,"Ainleys Industrial Estate, Huddersfield Road, Elland, HX5 9JP",Resdev Ltd,68000,01/04/1990,
Workshop And Premises,56132763,"69a Huddersfield Road, Elland, HX5 9AA",Asda Stores Ltd,10250,01/04/2008,ER
Workshop And Premises,56132764,"69a Huddersfield Road, Elland, HX5 9AA",Asda Stores Ltd,3150,01/04/2008,ER
Workshop And Premises,56132773,"Rear 59 Huddersfield Road, Elland, HX5 9AA",,2550,01/01/1997,SBR
Workshop And Premises,56132783,"Unit 11, The Ainleys, Huddersfield Road, Elland              HX5 9DW",Obl Contacts Ltd,2950,01/10/2014,SBR
Workshop And Premises,56132784,"Unit 9, The Ainleys, Huddersfield Road, Elland              HX5 9JR",,2950,01/10/2012,SBR
Workshop And Premises,56132785,"Unit 10, The Ainleys, Huddersfield Road, Elland              HX5 9JR",M Stainthorp (Solid Fuel) Ltd,2650,01/06/2011,SBR
Workshop And Premises,56132792,"Unit 7 The Ainleys, Huddersfield Road, Elland, HX5 9JR",,3050,01/04/2008,SBR
Workshop And Premises,56132819,"Unit 8A The Ainleys, Huddersfield Road, Elland, HX5 9JB",,1375,01/05/2006,SBR
Workshop And Premises,56132820,"Unit 8B The Ainleys, Huddersfield Road, Elland, HX5 9JB",,1325,01/05/2006,SBR
Workshop And Premises,56132842,"Huddersfield Road, Elland, HX5 9JP",Freshroast Coffee Co Ltd,66500,01/04/2005,
Workshop And Premises,56174723,"Unit G5 Navigation Close, Lowfields Business Park, Elland, HX5 9HB",C.N.C Marketing Ltd,84000,04/01/2000,
Workshop And Premises,56174728,"Unit G14 Lock View, Lowfields Business Park, Elland, HX5 9HD",Triangle Wholefoods Collective Ltd,60500,02/10/2015,
Workshop And Premises,56174740,"Unit H5 Premier Way, Lowfields Business Park, Elland, HX5 9HF",Garlock [G B] Ltd,80000,22/11/2001,EX
Workshop And Premises,56184701,"Old Coach House, Oak Street, Elland, HX5 0JJ",A.I.W Management Ltd,3500,25/03/2014,SBR
Workshop And Premises,56192717,"Park Road Buildings, Park Road, Elland, HX5 9HP",Advanced Engineering Ltd,14250,01/07/2004,SBR
Workshop And Premises,56192738,"Unit 6 Park Road Mills, Park Road, Elland, HX5 9HX",Hilclare Technology Ltd,30500,12/03/2004,EX
Workshop And Premises,56192766,"1ST, 2ND & 2RD Floors, Park Road Mills, Park Road, Elland               HX5 9HX",Benjamin Whiteley & Sons Ltd,10500,08/09/2008,ER
Workshop And Premises,56196702,"Unit 2, Brookfield Works, Quebec Street, Elland               HX5 9AP",Combserve Ltd,5900,01/07/2003,SBR
Workshop And Premises,56196719,"Unit 1, Brookfield Works, Quebec Street, Elland               HX5 9AP",Rol-Trac (Automatic Doors) Ltd,14000,01/07/2003,SBR
Workshop And Premises,56196720,"Unit 3, Brookfield Works, Quebec Street, Elland               HX5 9AP",Penrose Control Systems Ltd,3750,01/12/2005,SBR
Workshop And Premises,56196721,"Unit 4, Brookfield Works, Quebec Street, Elland               HX5 9AP",Woodview Textiles Ltd,2300,01/07/2007,SBR
Workshop And Premises,56196722,"Quebec Street, Elland, HX5 9BX",Nicsol Limited,9500,17/11/2015,SBR
Workshop And Premises,56196734,"4TH & 5TH Flrs Unit 1,& 3RD, Flr Unit 5 Wellington Mills, Quebec Street, Elland               HX5 9AS",Rapidname Ltd,12500,01/04/2006,SBR
Workshop And Premises,56196740,"Unit 10, Wellington Business Centre, Quebec Street, Elland               HX5 9AS",Logicalis Uk Limited,15500,01/03/2012,SBR
Workshop And Premises,56196743,"First Floor Unit 9, Wellington Mills, Quebec Street, Elland               HX5 9BX",Royds Properties Ltd,5500,01/05/2008,ER
Workshop And Premises,56196746,"Unit 11, Wellington Business Centre, Quebec Street, Elland               HX5 9AS",Hilton Process Solutions Ltd,24000,01/12/2008,
Workshop And Premises,56196752,"Ground Floor Part Unit 5, Wellington Mills, Quebec Street, Elland               HX5 9AS",Atlas Machine Knives Ltd,4550,01/06/2009,SBR
Workshop And Premises,56196761,"Unit 1 (Gf), The Old Mill, Wellington Mills, Quebec Street, Elland               HX5 9AS",,8900,01/01/2014,SBR
Workshop And Premises,56196762,"1ST Flr Unit 1, The Old Mill, Wellington Mills, Quebec Street, Elland               HX5 9AS",Royds Properties Ltd,6200,01/01/2014,SBR
Workshop And Premises,56196765,"Units 5 & 6, Wellington Business Centre, Quebec Street, Elland               HX5 9AS",Arthur McKay & Co Ltd,13750,03/12/2013,SBR
Workshop And Premises,56196766,"Unit 7, Wellington Business Centre, Quebec Street, Elland               HX5 9AS",Enco Ltd,12500,16/05/2014,SBR
Workshop And Premises,56196767,"Unit 8, Wellington Business Centre, Quebec Street, Elland               HX5 9AS",M.A.S.Medical Ltd,7000,28/10/2013,SBR
Workshop And Premises,56196768,"Unit 4, Wellington Business Centre, Quebec Street, Elland               HX4 9AS",Redtronic Ltd,7600,01/06/2014,SBR
Workshop And Premises,56196770,"Units 8 & 9, Wellington Mills, Quebec Street, Elland               HX5 9BX",Faulkner Moulds Ltd,7500,01/07/2015,SBR
Workshop And Premises,56208700,"Albion Mills, Rosebery Street, Elland, HX5 0HT",Screen Print Productions Ltd,40500,05/04/1994,
Workshop And Premises,56212701,"Albert Mills, Saddleworth Road, Elland, HX5 0RY",Robinson & Hanson Ltd,23500,01/04/1990,EX
Workshop And Premises,56212707,"Castle Mill, Saddleworth Road, Elland, HX5 0RY",H P C Laser Ltd,14250,02/09/2010,SBR
Workshop And Premises,56212712,"Unit 5 Riverside Mills, Saddleworth Road, Elland, HX5 0RY",Seadrift Offshore Ltd,13500,01/09/2014,SBR
Workshop And Premises,56212717,"Unit 4 Grd Floor South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",,2900,01/10/2011,SBR
Workshop And Premises,56220022,"22 South Lane, Elland, HX5 0HQ",C J W Printers Ltd,7100,01/04/1990,SBR
Workshop And Premises,56220711,"South Lane Mills, South Lane, Elland, HX5 0HQ",Texfelt Ltd,19500,01/10/1996,
Workshop And Premises,56220721,"Unit 1 Woodman Works, South Lane, Elland, HX5 0PA",Northgate Fabrications Ltd,4650,23/12/2013,SBR
Workshop And Premises,56220722,"1st Floor Over Unit 1, Woodman Works, South Lane, Elland              HX5 0HQ",Heathleigh Ltd,1300,24/01/2004,EX
Workshop And Premises,56220723,"Unit 3, Woodman Works, South Lane, Elland               HX5 0PA",High Spec Metal Spinning Ltd,7400,01/05/2015,SBR
Workshop And Premises,56220735,"Albert Mill, James Street, Elland, HX5 0HB",M C M Services Uk Ltd,9600,01/04/2012,SBR
Workshop And Premises,56220736,"Unit 16 Woodman Works, South Lane, Elland, HX5 0HQ",Commercial Vehicle Cleaning Services,4900,01/04/2007,SBR
Workshop And Premises,56220737,"Unit 20 Woodman Works, South Lane, Elland, HX5 0HQ",,4900,17/11/1997,SBR
Workshop And Premises,56220738,"Unit 18 Woodman Works, South Lane, Elland, HX5 0HQ",Pws (Leeds) Ltd,4900,02/07/2012,SBR
Workshop And Premises,56220740,"Brooks Mill, South Lane, Elland, HX5 0HQ",Poundstretcher Ltd,7600,18/12/2007,SBR DRR
Workshop And Premises,56220751,"Unit 11A Woodman Works, South Lane, Elland, HX5 0PA",Advanced Pipeline Services Ltd,4600,01/08/2005,SBR
Workshop And Premises,56220754,"Unit 15 Woodman Works, South Lane, Elland, HX5 0HQ",A R Commercial Repairs,5800,01/10/2013,SBR
Workshop And Premises,56220755,"Unit 17 Woodman Works, South Lane, Elland, HX5 0PA",H.K Nunn Plant Services Ltd,5800,01/08/2003,SBR
Workshop And Premises,56220756,"Unit D Woodman Works, South Lane, Elland, HX5 0PA",,5200,01/01/2014,SBR
Workshop And Premises,56220758,"Unit B Woodman Works, South Lane, Elland, HX5 0PA",We Fit Solar Uk Ltd,3450,01/01/2015,SBR
Workshop And Premises,56220762,"Unit A Woodman Works, South Lane, Elland, HX5 0PA",Pyxis Joinery Ltd,5100,30/11/2014,SBR
Workshop And Premises,56220768,"Unit 24 Woodman Works, South Lane, Elland, HX5 0HQ",,11000,14/02/2010,SBR
Workshop And Premises,56220769,"Garage Unit 7A, Woodman Works, South Lane, Elland               HX5 0PA",,4500,01/01/2014,SBR
Workshop And Premises,56220770,"Unit 7A Woodman Works, South Lane, Elland, HX5 0PA",Heathleigh Ltd,335,01/09/2005,EX
Workshop And Premises,56220771,"Unit 7A Woodman Works, South Lane, Elland, HX5 0PA",Elland Metal Finishers Ltd,3550,08/11/2004,SBR
Workshop And Premises,56220774,"First Floor Unit 7A, Woodman Works, South Lane, Elland               HX5 0PA",T's Transport Ltd,1100,01/07/2014,SBR
Workshop And Premises,56220777,"UNIT19 Woodman Works, South Lane, Elland, HX5 0PA",,10750,01/04/2015,SBR
Workshop And Premises,56220778,"Unit 8B Woodman Works, South Lane, Elland, HX5 0PA",,3900,01/03/2008,SBR
Workshop And Premises,56220779,"Unit 8 Woodman Works, South Lane, Elland, HX5 0PA",,4550,17/06/2011,SBR
Workshop And Premises,56220780,"Unit 10/12 Woodman Works, South Lane, Elland, HX5 0PA",Calder Sheetmetal Ltd,10500,01/05/2007,SBR
Workshop And Premises,56220805,"Unit 9, Woodman Works, South Lane, Elland               HX5 0PA",Gb Forklift Training Services Ltd,5000,01/04/2011,SBR
Workshop And Premises,56220811,"Unit 19A, Woodman Works, South Lane, Elland               HX5 0PA",,8200,01/10/2013,SBR
Workshop And Premises,56220812,"Unit 9B, Woodman Works, South Lane, Elland               HX5 0PA",Elite Metal Services Ltd (In Liquidation),3500,01/06/2011,SBR
Workshop And Premises,56220813,"Unit 9C, Woodman Works, South Lane, Elland               HX5 0PA",,5100,01/12/2011,SBR
Workshop And Premises,56220814,"Unit 7D, Woodman Works, South Lane, Elland               HX5 0PA",Whitaker Electrical Ltd,310,01/07/2011,SBR
Workshop And Premises,56220815,"Unit 7E, Woodman Works, South Lane, Elland               HX5 0PA",,2550,01/07/2011,SBR
Workshop And Premises,56220818,"Unit 14 Woodman Works, South Lane, Elland, HX5 0PA",,5500,05/01/2015,SBR
Workshop And Premises,56220819,"Unit 14A Woodman Works, South Lane, Elland, HX5 0PA",Calder Sheetmetal Ltd,6100,01/12/2015,SBR
Workshop And Premises,56220821,"Unit 26 Woodman Works, South Lane, Elland, HX5 0PE",,10750,01/12/2013,SBR DRR
Workshop And Premises,56224728,"R/O 80 Southgate, Elland, HX5 0EP",Leading Force Ltd,6500,18/12/1993,SBR
Workshop And Premises,56264705,"Bronte Works, Wistons Lane, Elland, HX5 9DT",Dromec Measurement Ltd,16500,24/05/1999,EX
Workshop And Premises,56269701,"The Works, Norman Street, Elland, HX5 9BS",Casey Joinery Ltd,5600,24/03/2008,SBR
Workshop And Premises,64004700,"King Cross Joinery Works, Aachen Way, Halifax, HX1 3ND",Mark Of Quality Ltd,2900,02/01/1998,SBR
Workshop And Premises,64024700,"Adelaide Street Works, Adelaide Street, Halifax, HX1 4LY",Crossley Evans Ltd,13500,01/04/1990,SBR
Workshop And Premises,64024704,"Boston Street, Halifax, HX1 4ND",Crossley Evans Ltd,8300,01/04/2005,ER
Workshop And Premises,64024711,"Unit 2 Jefferson House, Adelaide Street, Halifax, HX1 4LY",,9500,01/06/2012,SBR
Workshop And Premises,64024712,"Unit 1 Jefferson House, Adelaide Street, Halifax, HX1 4LY",,8600,01/04/2010,SBR
Workshop And Premises,64036711,"1ST & 2ND Floors, 4 Akroyd Place, Halifax, HX1 1YH",,4850,08/11/2005,SBR
Workshop And Premises,64040700,"Albert Road, Halifax, HX2 0BY",,2700,02/08/1999,SBR
Workshop And Premises,64040701,"Unit 1A Moorlea Garage, Albert Road, Halifax, HX2 0DF",,6400,01/11/2012,SBR
Workshop And Premises,64040705,"Moorlea Garage, Albert Road, Halifax, HX2 0DF",,3050,01/04/1997,SBR
Workshop And Premises,64040711,"Victoria Mills, Albert Road, Halifax, HX2 0DB",R Collett & Sons (Transport) Ltd,84500,24/06/1996,
Workshop And Premises,64040722,"Unit 3 Victoria Terminal, Albert Road, Halifax, HX2 0BY",,4450,01/04/2010,SBR
Workshop And Premises,64040723,"Unit 5 Victoria Terminal, Albert Road, Halifax, HX2 0BY",G & A Engineering Ltd,6200,01/04/2000,SBR
Workshop And Premises,64040741,"Unit 2, Thrum Hall Business Park, Albert Road, Halifax              HX2 0DB",Ducati Mondo Ltd,4250,01/10/2012,SBR
Workshop And Premises,64040742,"Units 4& 6, Thrum Hall Business Park, Albert Road, Halifax              HX2 0DB",Harmonised Electrical Services Ltd,7800,01/10/2012,SBR
Workshop And Premises,64044712,"Unit 3, 2 Albert Street, Halifax, HX1 5NW",,3500,02/07/2012,SBR
Workshop And Premises,64068701,"Victoria Works, Allerton Place, Halifax, HX1 5JJ",My Automotive Limited,6800,15/04/2014,DRR SBR
Workshop And Premises,64084700,"Arundel Street, Halifax, HX1 4LE",Metaltech (1997) Ltd,12250,05/01/1999,SBR
Workshop And Premises,64084701,"Jasper Street Works, Queens Road, Halifax, HX1 4NT",Envoyjade Ltd,39000,01/04/1990,
Workshop And Premises,64084703,"Arundel Street, Halifax, HX1 4LE",,8600,01/04/1990,SBR
Workshop And Premises,64124725,"Bailey Hall Business Park, Bailey Hall Road, Halifax, HX3 9XT",Bailey Hall Ltd,2325,30/12/2011,SBR
Workshop And Premises,64144704,"Unit A Bank Top Works, Bank Top, Southowram, Halifax              HX3 9NJ",J.I Electronics Ltd,4600,01/04/2014,SBR
Workshop And Premises,64144705,"Unit B Bank Top Works, Bank Top, Southowram, Halifax              HX3 9NJ",Calder Temperature Controls Ltd,5200,01/04/2014,SBR
Workshop And Premises,64148701,"Bankhouse Lane, Salterhebble, Halifax, HX3 0QL",,1775,01/04/2000,SBR
Workshop And Premises,64180700,"Baxter Lane Works, Northowram, Halifax, HX3 7EF",,2350,12/02/2013,EX
Workshop And Premises,64184702,"Part Albion Iron Works, Beacon Hill Road, Halifax, HX3 6AF",,6900,01/04/1990,SBR
Workshop And Premises,64188702,"Bedford Street Works, Bedford Street, Halifax, HX1 5DL",,5800,01/04/1990,SBR
Workshop And Premises,64188705,"Stirling Works, 16 Bedford Street, Halifax, HX1 5DL",W Brown (Halifax) Ltd,3050,01/04/1990,SBR
Workshop And Premises,64192027,"25/27 Bedford Street North, Halifax, HX1 5BH",,18000,01/11/2002,
Workshop And Premises,64192701,"Bedford Street North, Halifax, HX1 5BH",,6800,01/04/2011,SBR
Workshop And Premises,64236701,"Eastfield Mills, Belmont Street, Claremount, HX3 6AT",,4800,15/07/1991,SBR
Workshop And Premises,64236704,"Unit 8, Eastfield Mills, Belmont Street, Halifax             HX3 6AT",,3350,01/04/2014,SBR
Workshop And Premises,64236706,"Unit 9, Eastfield Mills, Belmont Street, Halifax             HX3 6AT",,2125,01/04/2015,SBR
Workshop And Premises,64236707,"Unit 10, Eastfield Mills, Belmont Street, Halifax             HX3 6AT",,3750,23/01/1999,SBR
Workshop And Premises,64236712,"Unit 8A Eastfield Mills, Belmont Street, Halifax, HX3 6AT",,2600,01/04/2014,SBR
Workshop And Premises,64236716,"Unit 12 Eastfield Mills, Belmont Street, Halifax, HX3 6AT",J & G Ainley Ltd,8900,01/09/2003,SBR
Workshop And Premises,64236721,"Unit 2 Eastfield Mills, Belmont Street, Halifax, HX3 6AT",,4100,14/05/2014,SBR
Workshop And Premises,64236724,"Unit A The Shed, Eastfield Mills, Belmont Street, Halifax              HX3 6AT",,4050,01/01/2014,SBR
Workshop And Premises,64242783,"Unit 1A, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",Maramar Holdings Ltd,5700,13/06/2015,ER
Workshop And Premises,64242811,"Unit 1 Culver Works, Hopwood Lane, Halifax, HX1 5EZ",,3600,10/12/2011,SBR
