Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Rateable Value 2010,Property Description,Empty,Empty From,Charity,Disc,Mand,Occupied
1.01938E+13,,,01.09.2015                                               ,UNIT 4 THE OLD BAKERY           ,                                ,ASHFIELD ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1PX,2650,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0, 
3.12164E+13,,,15.02.2012                                               ,GROUND FLOOR                    ,                                ,57 MARKET STREET                   ,HEYWOOD                            ,LANCS                           ,                                ,OL10 1HZ,6700,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.5557E+13,,,01.04.2005                                               ,SPRING COURT AUTO CENTRE R/O    ,                                ,45 WHITWORTH ROAD                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0RA,9800,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0, 
3.07036E+13,,,19.04.2011                                               ,UNITS 3 & 4                     ,                                ,BRITANNIA INDUSTRIAL ESTATE        ,HEYWOOD                            ,LANCS                           ,                                ,OL10 4PL,5900,Workshop and Premises                                       ,     ,                                                         , ,0,0, 
1580080076006B     ,,,15.08.2015                                               ,                                ,                                ,185A YORKSHIRE STREET              ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0DR,7200,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
1.1379E+13,,,22.04.2016                                               ,                                ,                                ,UNIT 5 EVANS EASYSPACE             ,DANE STREET                        ,ROCHDALE                        ,                                ,OL12 6XB,5400,Workshop and Premises                                       ,     ,                                                         , ,0,0, 
306649001200X7     ,,,31.08.2012                                               ,11-14 (K/A UNIT                 ,9)                              ,FOX STREET                         ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1EJ,2500,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
5.03947E+13,,,16.05.2016                                               ,                                ,                                ,38A DALE STREET                    ,MILNROW                            ,ROCHDALE                        ,LANCASHIRE                      ,OL16 4HS,4200,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
3.13153E+13,,,09.03.2012                                               ,UNIT 2 SPRING MILL              ,                                ,MOOR STREET                        ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 3DD,3800,FACTORY AND PREMISES                                        ,     ,                                                         , ,0,0, 
1.42656E+13,,,30.01.2015                                               ,                                ,                                ,UNIT 10E & STORES                  ,HARP INDUSTRIAL ESTATE             ,QUEENSWAY                       ,ROCHDALE                        ,OL11 2QQ,9600,"Offices,Stores and Premises                                 ",     ,                                                         , ,0,0, 
2.09845E+13,,,01.09.2013                                               ,UNIT 3 HANSON CLOSE             ,                                ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 2HD ,1625,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
1.2239E+13,,,01.10.2015                                               ,HIGH SHERIFF                    ,                                ,71 HALIFAX ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 9BA,5200,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
3.07651E+13,,,10.10.2011                                               ,UNIT 2 PHOENIX MILL             ,                                ,GREEN LANE                         ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2EP,1700,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
1.54774E+13,,,01.04.2005                                               ,                                ,                                ,24 WELL I'TH LANE                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1BB,2750,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
13874X96964337     ,,,01.08.2016                                               ,                                ,                                ,UNIT 1A ROGER HASSAN AT            ,NORMAN ROAD                        ,ROCHDALE                        ,                                ,OL11 4HS,2475,Workshop and Premises                                       ,     ,                                                         , ,0,0, 
1.30434E+13,,,01.04.2016                                               ,UNIT 6A                         ,                                ,LINCOLN STREET BUSINESS PARK       ,ROCHDALE                           ,LANCS                           ,                                ,OL11 1LB,11500,WAREHOUSE AND PREMISES                                      ,Y    ,01.04.2016                                               , ,0,0, 
146601000400X4     ,,,06.04.2015                                               ,                                ,                                ,119 SANDY LANE                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5DG,3000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.55609E+13,,,31.08.2008                                               ,                                ,                                ,110 WHITWORTH ROAD                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0JJ,4550,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
13937X29176783     ,,,27.10.2011                                               ,                                ,                                ,113 OLDHAM ROAD                    ,ROCHDALE                           ,                                ,                                ,OL16 5QT,0,Building Undergoing Works                                   ,Y    ,27.10.2011                                               , ,0,0, 
13937X01210036     ,,,01.04.2005                                               ,R/O 293                         ,                                ,OLDHAM ROAD                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5JG,1225,GARAGE                                                      ,Y    ,01.04.2005                                               , ,0,0, 
6.02413E+13,,,01.05.2013                                               ,                                ,                                ,625 HALIFAX ROAD                   ,WARDLE                             ,ROCHDALE                        ,LANCASHIRE                      ,OL12 9PY,7400,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.00347E+13,,,02.01.2013                                               ,UNIT 4                          ,                                ,CLAY COURT BUILDINGS               ,CRAWFORD STREET                    ,ROCHDALE                        ,                                ,OL16 5RS,6400,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
1.49279E+13,,,01.04.2005                                               ,                                ,                                ,170 SPOTLAND ROAD                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 7AA,6300,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.2044E+13,,,09.07.2015                                               ,ENTWISLE ROAD MOTORS            ,                                ,GEORGE STREET                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2DF,7000,LAND USED FOR CAR SALES                                     ,     ,                                                         , ,0,0, 
1.5273E+13,,,01.04.2005                                               ,                                ,                                ,27 TWEEDALE STREET                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1HH,4350,SHOP                                                        ,     ,                                                         , ,0,0, 
1.15313E+13,,,15.09.2011                                               ,                                ,                                ,69 DRAKE STREET                    ,ROCHDALE                           ,                                ,                                ,OL16 1SB,3550,Shop and Premises                                           ,     ,                                                         , ,0,0, 
1.43008E+13,,,09.09.2016                                               ,                                ,                                ,ASIF SHAKUR CAR SALES              ,2A RAMSAY STREET                   ,ROCHDALE                        ,                                ,OL16 2BX,6800,Car Sales Land & Premises                                   ,     ,                                                         , ,0,0, 
1.41413E+13,,,01.05.2011                                               ,                                ,                                ,209 DRAKE STREET                   ,ROCHDALE                           ,LANCS                           ,                                ,OL11 4LW,7600,Shop and Premises                                           ,     ,                                                         , ,0,0, 
1.15766E+13,,,01.10.2013                                               ,                                ,                                ,36 DURHAM STREET                   ,ROCHDALE                           ,LANCS                           ,                                ,OL11 1JJ,3850,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
13298X92161494     ,,,01.04.2008                                               ,UNIT 1 CASTLE WORKS             ,                                ,MANCHESTER ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4HY,5400,Shop and Premises                                           ,     ,                                                         , ,0,0, 
3.023E+13,,,01.03.2015                                               ,                                ,                                ,GND & PT 1ST FLR BRADSHAW CENTRE   ,BRADSHAW STREET                    ,HEYWOOD                         ,                                ,OL10 1PB,8000,Offices and Premises                                        ,Y    ,01.03.2015                                               , ,0,0, 
3.023E+13,,,01.03.2015                                               ,                                ,                                ,UNIT 1 BRADSHAW CENTRE             ,BRADSHAW STREET                    ,HEYWOOD                         ,                                ,OL10 1PB,12750,Workshop and Premises                                       ,     ,                                                         , ,0,0, 
2.12526E+13,,,23.11.2015                                               ,                                ,                                ,2 KINGSWAY                         ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1LS ,3750,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
13138X0377002A     ,,,22.02.2012                                               ,EASTERN                         ,                                ,377 LOWER FALINGE                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 6PE,21000,RESTAURANT AND PREMISES                                     ,     ,                                                         , ,0,0, 
1.5673E+13,,,15.10.2015                                               ,UNIT 3M                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,4900,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
14291X94397664     ,,,01.08.2010                                               ,UNIT 31                         ,                                ,SPOTLAND BRIDGE MILL               ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 7AG,3950,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
2.14713E+13,,,01.04.2005                                               ,                                ,                                ,606 MANCHESTER OLD ROAD            ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 4PW ,4600,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
3.02386E+13,,,01.12.2014                                               ,                                ,                                ,1 BRIDGE STREET                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JB,7300,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.55231E+13,,,04.09.2015                                               ,UNIT 1                          ,                                ,THE WHEATSHEAF CENTRE              ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JZ,32750,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
3.15166E+13,,,01.04.2005                                               ,PENN GREEN FARM                 ,                                ,BIRTLE ROAD                        ,BURY                               ,                                ,                                ,BL9 6US ,4000,LIVERY STABLES AND PREMISES                                 ,     ,                                                         , ,0,0, 
1.43513E+13,,,01.04.2005                                               ,UNIT 2 PIONEER GARAGE           ,                                ,REGENT STREET                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HQ,2200,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0, 
5.03946E+13,,,01.04.2005                                               ,                                ,                                ,106 DALE STREET                    ,MILNROW                            ,ROCHDALE                        ,LANCASHIRE                      ,OL16 4HX,7300,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.22429E+13,,,01.04.2005                                               ,                                ,                                ,108 HALIFAX ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 9QU,3150,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
1.35894E+13,,,04.08.2015                                               ,                                ,                                ,127-129 MILNROW ROAD               ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5DN,12500,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
2.09076E+13,,,14.10.2014                                               ,                                ,                                ,100 GREEN STREET                   ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2JE ,1800,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
2.01036E+13,,,03.11.2015                                               ,UNIT 1.8                        ,                                ,MIDDLETON SHOPPING CENTRE          ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 4EL ,10000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1060190053005A     ,,,01.05.2014                                               ,THE HARROWS 159                 ,                                ,BOLTON ROAD                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 3LW,6400,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
10058X97396101     ,,,04.08.2016                                               ,                                ,                                ,UNIT 2 ALBION INDUSTRIAL ESTATE    ,ROCHDALE                           ,                                ,                                ,OL11 4JB,15750,Warehouse and Premises                                      ,     ,                                                         , ,0,0, 
1.35894E+13,,,17.09.2016                                               ,                                ,                                ,133 MILNROW ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5DN,4900,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.16302E+13,,,01.04.2005                                               ,                                ,                                ,772 EDENFIELD ROAD                 ,NORDEN                             ,ROCHDALE                        ,LANCASHIRE                      ,OL12 7RB,4500,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
4.04904E+13,,,01.04.2005                                               ,FALCON COTTAGE                  ,                                ,LODGE STREET                       ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 9DA,2325,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
4.02926E+13,,,01.04.2005                                               ,                                ,                                ,22 CHURCH STREET                   ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 9AA,9000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
50100X00260035     ,,,12.02.2014                                               ,UNIT 20 FIRGROVE BUSINESS PARK  ,                                ,BELFIELD MILL LANE                 ,ROCHDALE                           ,                                ,                                ,OL16 2UJ,1600,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
2.19212E+13,,,01.04.2010                                               ,R/O 16                          ,                                ,SADLER STREET                      ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 5UJ ,1700,WORKSHOP AND PREMISES                                       ,Y    ,01.04.2010                                               , ,0,0, 
1.03522E+13,,,01.06.2010                                               ,CASTLE WORKS TRUCK MEND         ,                                ,BARLOW STREET                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1TG,3350,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0, 
1.16302E+13,,,01.04.2005                                               ,                                ,                                ,824 EDENFIELD ROAD                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 7RB,5300,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
3.08565E+13,,,30.03.2012                                               ,                                ,                                ,STALLS 48 & 49                     ,HEYWOOD MAGIC MARKET               ,HARTLEY STREET                  ,HEYWOOD                         ,OL10 1LW,1400,Market Stalls and Premises                                  ,     ,                                                         , ,0,0, 
4.06855E+13,,,01.04.2005                                               ,B ROGERSON                      ,                                ,HARWOOD STREET                     ,LITTLEBOROUGH                      ,                                ,                                ,OL15 8NA,5600,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0, 
1.36256E+13,,,01.10.2015                                               ,                                ,                                ,FAT FREDDIES GRILL S/O ELITE       ,CAR WASH                           ,MOLESWORTH STREET               ,ROCHDALE                        ,OL16 1TP,4000,FOOD VAN PITCH & PREMISES                                   ,     ,                                                         , ,0,0, 
6.00707E+13,,,01.04.2005                                               ,                                ,                                ,444 BIRCH ROAD                     ,WARDLE                             ,ROCHDALE                        ,LANCASHIRE                      ,OL12 9LH,7200,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
3.16218E+13,,,01.04.2005                                               ,B J MOTORS                      ,                                ,RIVER STREET                       ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4AB,3850,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0, 
1.55609E+13,,,01.04.2005                                               ,                                ,                                ,108 WHITWORTH ROAD                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0JJ,4700,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
2.15299E+13,,,01.04.2005                                               ,CJ JEWELLERS PT                 ,20-22                           ,MIDDLETON GARDENS                  ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 4DF ,4350,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
3.03107E+13,,,01.04.2005                                               ,BLUE BELL GARAGE                ,205-207                         ,BURY AND ROCHDALE OLD ROAD         ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4BQ,9700,GARAGE AND PREMISES                                         ,     ,                                                         , ,0,0, 
4.04273E+13,,,01.04.2005                                               ,R/O 8                           ,                                ,EAFIELD ROAD                       ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 8HR,1725,GARAGE AND PREMISES                                         ,     ,                                                         , ,0,0, 
13937X0224001B     ,,,24.05.2016                                               ,                                ,                                ,493-495 OLDHAM ROAD                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 4TF,5700,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.42656E+13,,,01.05.2010                                               ,                                ,                                ,PT UNIT 1 HARP INDUSTRIAL ESTATE   ,QUEENSWAY                          ,ROCHDALE                        ,                                ,OL11 2QQ,5000,Warehouse and Premises                                      ,     ,                                                         , ,0,0, 
2.17084E+13,,,01.10.2013                                               ,                                ,                                ,437 OLDHAM ROAD                    ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2DH ,3900,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
13298X62404379     ,,,01.12.2015                                               ,                                ,                                ,"UNIT 7, 1050 MANCHESTER ROAD       ",ROCHDALE                           ,                                ,                                ,OL11 2XJ,3100,Workshop and Premises                                       ,     ,                                                         , ,0,0, 
2.01035E+13,,,12.02.2016                                               ,UNIT 3S MIDDLETON SHOPPING      ,CENTRE                          ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 4EL ,10750,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
309912002602X6     ,,,01.04.2005                                               ,UNIT 48                         ,                                ,HOOLEY BRIDGE IND ESTATE           ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4AP,2900,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
2.13992E+13,,,20.10.2015                                               ,                                ,                                ,77C LONG STREET                    ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 6UN ,6100,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
4.04151E+13,,,04.07.2016                                               ,                                ,                                ,OFFICE 4 DUKE STREET BUSINESS      ,CENTRE                             ,DUKE STREET                     ,LITTLEBOROUGH                   ,OL15 8DL,3250,Offices and Premises                                        ,     ,                                                         , ,0,0, 
30338X96680893     ,,,04.03.2011                                               ,UNIT A7 AXIS POINT              ,                                ,HARESHILL BUSINESS PARK            ,HEYWOOD                            ,LANCS                           ,                                ,OL10 2RQ,12000,Workshop and Premises                                       ,     ,                                                         , ,0,0, 
1580320033006A     ,,,04.06.2015                                               ,                                ,                                ,66 YORKSHIRE STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JP,37750,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.15075E+13,,,25.07.2012                                               ,UNIT 6                          ,                                ,DODGSON STREET IND ESTATE          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5SJ,3650,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
1.41987E+13,,,01.04.2008                                               ,BROOKFIELD ENGINEERING LTD      ,                                ,PRINCESS STREET                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HA,5100,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
30790X97024224     ,,,01.02.2011                                               ,UNIT B                          ,                                ,GREGGE STREET                      ,HEYWOOD                            ,                                ,                                ,OL10 2HD,1700,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
2.22066E+13,,,01.12.2013                                               ,                                ,                                ,7 TOWNLEY STREET                   ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1AT ,4850,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
4.02173E+13,,,01.04.2008                                               ,ALEXANDER HOUSE                 ,                                ,CALDERBROOK ROAD                   ,LITTLEBOROUGH                      ,LANCS                           ,                                ,OL15 9JW,6900,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
5.13018E+13,,,01.04.2010                                               ,THE POTTING SHED HYLANDS        ,                                ,WILDHOUSE COURT                    ,MILNROW                            ,ROCHDALE                        ,LANCS                           ,OL16 3UU,1700,SELF CATERING HOLIDAY UNIT AND PREMISES                     ,     ,                                                         , ,0,0, 
1.55618E+13,,,01.06.2013                                               ,UNIT E5                         ,                                ,FIELDHOUSE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0AA,3950,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
3.11951E+13,,,18.01.2010                                               ,                                ,                                ,118 MANCHESTER STREET              ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1DW,5800,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
3.07639E+13,,,01.03.2013                                               ,UNIT 207                        ,                                ,PHOENIX INDUSTRIAL PARK            ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2EW,6000,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0, 
1.08353E+13,,,04.07.2016                                               ,                                ,                                ,UNIT 4 MEADOWCROFT MILL            ,BURY ROAD                          ,ROCHDALE                        ,                                ,OL11 4AU,3000,Workshop and Premises                                       ,     ,                                                         , ,0,0, 
13298X54010280     ,,,01.12.2015                                               ,                                ,                                ,UNIT 2 AT 1050 MANCHESTER ROAD     ,ROCHDALE                           ,                                ,                                ,OL11 2XJ,7600,Showroom (Not Car) and Premises                             ,     ,                                                         , ,0,0, 
1.02742E+13,,,26.01.2015                                               ,                                ,                                ,19 BAILLIE STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JA,7900,Showroom (Not Car) and Premises                             ,     ,                                                         , ,0,0, 
2.09845E+13,,,27.08.2013                                               ,UNIT 2 HANSON CLOSE             ,                                ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 2PA ,1625,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
1.56729E+13,,,01.02.2016                                               ,UNIT 3A                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,4300,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
3.13066E+13,,,26.03.2007                                               ,M AND S SEWING MACHINES         ,                                ,MISSION STREET                     ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1HY,4750,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
3.02414E+13,,,01.04.2005                                               ,                                ,                                ,40 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,2800,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.58009E+13,,,01.08.2016                                               ,                                ,                                ,359 YORKSHIRE STREET               ,ROCHDALE                           ,                                ,                                ,OL16 2DT,6300,Shop and Premises                                           ,     ,                                                         , ,0,0, 
4.05116E+13,,,01.04.2005                                               ,ROYAL EXCHANGE HOTEL            ,                                ,FEATHERSTALL ROAD                  ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 8PH,6200,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
13937X42472703     ,,,01.11.2013                                               ,                                ,                                ,501 OLDHAM ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 4TF,2400,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
3.06527E+13,,,01.09.2014                                               ,                                ,                                ,UNIT ADJ UKTTF                     ,FIR STREET                         ,HEYWOOD                         ,LANCASHIRE                      ,OL10 1NW,4600,Store and Premises                                          ,     ,                                                         , ,0,0, 
4.16903E+13,,,01.04.2005                                               ,R/O 42                          ,                                ,VICTORIA STREET                    ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 9DB,1925,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
2161230026003A     ,,,01.04.2005                                               ,                                ,                                ,49-51 MOUNT ROAD                   ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1DY ,19000,SURGERY AND PREMISES                                        ,     ,                                                         , ,0,0, 
3108160005007A     ,,,01.04.2005                                               ,PARK GARAGE                     ,                                ,LANGTON STREET                     ,HEYWOOD                            ,                                ,                                ,OL10 4LH,7500,GARAGE AND PREMISES                                         ,     ,                                                         , ,0,0, 
5.06826E+13,,,01.04.2005                                               ,D HUGHES                        ,                                ,HUDDERSFIELD ROAD                  ,MILNROW                            ,ROCHDALE                        ,LANCASHIRE                      ,OL16 3QD,25500,LAND USED FOR STORAGE AND PREMISES                          ,     ,                                                         , ,0,0, 
1.38652E+13,,,01.04.2005                                               ,                                ,                                ,BAMFORD DENTAL PRACTICE            ,THE PRECINCT                       ,NORDEN ROAD                     ,ROCHDALE                        ,OL11 5PN,14750,SURGERY AND PREMISES                                        ,     ,                                                         , ,0,0, 
13937X02530083     ,,,01.04.2005                                               ,                                ,                                ,567-569 OLDHAM ROAD                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 4SU,5600,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.2239E+13,,,01.04.2005                                               ,                                ,                                ,105 HALIFAX ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 9BA,3150,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
2.18641E+13,,,01.04.2005                                               ,ALL-IN-ONE GARDEN CENTRE        ,                                ,ROCHDALE ROAD                      ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2RB ,150000,GARDEN CENTRE AND PREMISES                                  ,     ,                                                         , ,0,0, 
2.16123E+13,,,27.07.2015                                               ,R/O 53                          ,                                ,MOUNT ROAD                         ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1DY ,2150,STORE AND PREMISES                                          ,Y    ,27.07.2015                                               , ,0,0, 
13298X62404377     ,,,01.12.2015                                               ,                                ,                                ,"UNIT 5, 1050 MANCHESTER ROAD       ",ROCHDALE                           ,                                ,                                ,OL11 2XJ,4500,Workshop and Premises                                       ,     ,                                                         , ,0,0, 
1.35895E+13,,,21.07.2014                                               ,                                ,                                ,147 MILNROW ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5DN,3850,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
