Account Name,Business Address 1,Business Address 2,Business Address 3,Business Address 4,Business Address 5,Business Post Code,Property Description,Rates Payable 17/18,Transitional Amount,Liable From,2017 Rateable Value,Account Type,Small Business Relief,Mandatory Relief,Discretionary Relief,Top Up Discretionary Relief,Exempt Property,VO reference
THE ACCOUNT HOLDER,Office B5,55 Westgate,Wakefield,West Yorkshire,,WF1  1BW,Offices & Premises,£0.00,-£251.87,28/08/2013,1575,Occupied,Yes,,,,,2436057005
THE ACCOUNT HOLDER,Unit 18 Raglan Mills,Methley Road,Castleford,West Yorkshire,,WF10 1NX,Store & Premises,£0.00,-£112.07,01/08/2013,1275,Occupied,Yes,,,,,2611500181
THE ACCOUNT HOLDER,The Pump House,Durkar Low Lane,Durkar,Wakefield,West Yorkshire,WF4  3AF,Workshop & Premises,£0.00,-£210.35,30/05/2017,1675,Occupied,Yes,,,,,3701900900
THE ACCOUNT HOLDER,Office A7,55 Westgate,Wakefield,West Yorkshire,,WF1  1BW,Offices & Premises,£0.00,-£250.59,01/12/2010,1550,Occupied,Yes,,,,,2436058007
THE ACCOUNT HOLDER,Bourne House,Morrison Street,Castleford,West Yorkshire,,WF10 4BE,Recording Studio,£0.00,-£209.17,01/06/2007,1450,Occupied,Yes,,,,,2611805620
THE ACCOUNT HOLDER,173 Church Road,Altofts,Normanton,West Yorkshire,,WF6  2QR,Post Office & Premises,£0.00,,30/05/2014,1000,Occupied,Yes,,,,,2702351730
THE ACCOUNT HOLDER,Adj. Unit 7 Langthwaite,Grange Industrial Estate,South Kirkby,Pontefract,West Yorkshire,WF9  3AP,Cafe & Premises,£0.00,-£81.81,29/09/2017,2150,Occupied,Yes,,,,,1004346170
THE ACCOUNT HOLDER,Unit 15 Britannia Works,Skinner Lane,Pontefract,West Yorkshire,,WF8  1HG,Store & Premises,£0.00,-£39.61,01/08/2014,1075,Occupied,Yes,,,,,2117150150
THE ACCOUNT HOLDER,Office A10,55 Westgate,Wakefield,West Yorkshire,,WF1  1BW,Offices & Premises,£0.00,-£249.31,13/12/2010,1525,Occupied,Yes,,,,,2436058010
THE ACCOUNT HOLDER,Office A9,55 Westgate,Wakefield,West Yorkshire,,WF1  1BW,Offices & Premises,£0.00,-£249.31,29/12/2010,1525,Occupied,Yes,,,,,2436058009
THE ACCOUNT HOLDER,Office A8,55 Westgate,Wakefield,West Yorkshire,,WF1  1BW,Offices & Premises,£0.00,-£249.31,01/12/2010,1525,Occupied,Yes,,,,,2436058008
THE ACCOUNT HOLDER,Forty-one Diner,North Side Of A650,Wakefield 41,Wrenthorpe,Wakefield,WF2  0XE,Site Of Cafe,£0.00,,24/12/2010,990,Occupied,Yes,,,,,3101907650
THE ACCOUNT HOLDER,27 Barnsley Road,Ackworth,Pontefract,West Yorkshire,,WF7  7HZ,Shop & Premises,£0.00,-£270.82,25/09/2017,2500,Occupied,Yes,,,,,0100400270
THE ACCOUNT HOLDER,Unit 6 The Old Town Hall,Horbury Business Complex,Westfield Road,Horbury,Wakefield,WF4 6EJ,Offices & Premises,£0.00,-£211.39,01/09/2017,2150,Occupied,Yes,,,,,2908957060
THE ACCOUNT HOLDER,Unit 6 At,99 Doncaster Road,Wakefield,West Yorkshire,,WF1  5DY,Workshop & Premises,£0.00,-£188.10,01/09/2017,2100,Occupied,Yes,,,,,2409859966
THE ACCOUNT HOLDER,Beech House,(Room 2),15 Margaret Street,Wakefield,West Yorkshire,WF1  2DQ,Surgery & Premises,£0.00,,01/04/2017,980,Occupied,Yes,,,,,2421001517
THE ACCOUNT HOLDER,8 Top Orchard,Ryhill,Wakefield,West Yorkshire,,WF4  2AZ,Hairdressing Salon & Prem,£0.00,-£277.79,01/04/1990,1575,Occupied,Yes,,,,,0701750081
THE ACCOUNT HOLDER,Unit 23 The Shipyard,Fernley Green Road,Knottingley,West Yorkshire,,WF11 8DH,Store & Premises,£0.00,-£126.34,18/04/2012,1250,Occupied,Yes,,,,,2003830230
THE ACCOUNT HOLDER,Junction Hotel,Carlton Street,Castleford,West Yorkshire,,WF10 1EE,Public House & Premises,£0.00,"-£4,826.23",09/07/2010,14250,Occupied,Yes,,,,,2602559060
THE ACCOUNT HOLDER,Office A11,55 Westgate,Wakefield,West Yorkshire,,WF1  1BW,Offices & Premises,£0.00,-£248.02,01/04/2013,1500,Occupied,Yes,,,,,2436058011
THE ACCOUNT HOLDER,Room N2.6  Wakefield,New Media Centre,3 West Parade,Wakefield,West Yorkshire,WF1  1LT,Office & Premises,£0.00,-£84.92,01/01/2013,1150,Occupied,Yes,,,,,2436179089
THE ACCOUNT HOLDER,Hemsworth Lane,Fitzwilliam,Pontefract,West Yorkshire,,WF9  5AY,Land Used For Stor'& Prem,"£6,629.33",,01/04/2017,15500,Occupied,Yes,,,,,1504199999
THE ACCOUNT HOLDER,Normans Farm,Darrington Road,East Hardwick,Pontefract,West Yorkshire,WF8  3DS,Stables & Premises,£0.00,-£160.01,07/09/2012,1300,Occupied,Yes,,,,,0100204569
THE ACCOUNT HOLDER,Unit 26 Raglan Mills,Methley Road,Castleford,West Yorkshire,,WF10 1NX,Workshop,£0.00,-£188.49,20/09/2014,1350,Occupied,Yes,,,,,2611507727
THE ACCOUNT HOLDER,Land At Spring End,Cottage,Spring End Road,Horbury,Wakefield,WF4  6DB,Land Used For Stor'& Prem,£0.00,-£188.49,01/04/2005,1350,Occupied,Yes,,,,,2908950275
THE ACCOUNT HOLDER,Ashbrook House,(Room 3),39 Church Street,Ossett,West Yorkshire,WF5  9DT,Offices & Premises,£0.00,-£106.94,01/04/2017,1175,Occupied,Yes,,,,,3302700393
THE ACCOUNT HOLDER,Unit D Nova Scotia Works,Dale Street,Ossett,West Yorkshire,,WF5  9HQ,Workshop,£0.00,-£130.24,16/04/2015,1225,Occupied,Yes,,,,,3303659330
THE ACCOUNT HOLDER,Suite G45,Langthwaite House,Langthwaite Business Park,South Kirkby,Pontefract,WF9  3AE,Offices & Premises,£0.00,-£216.97,01/04/2009,1400,Occupied,Yes,,,,,1009902320
THE ACCOUNT HOLDER,Churchill House,(Room 71 - Second Floor),Mill Hill Road,Pontefract,West Yorkshire,WF8  4HY,Offices & Premises,£0.00,-£26.96,01/03/2017,970,Occupied,Yes,,,,,2112564455
THE ACCOUNT HOLDER,6 Newland View,Normanton,West Yorkshire,,,WF6  2JR,Workshop,£0.00,-£122.49,01/04/2006,1175,Occupied,Yes,,,,,2704100601
THE ACCOUNT HOLDER,1 Trilby Street,Wakefield,West Yorkshire,,,WF1  4LE,Shop,£0.00,-£80.97,06/06/2017,1275,Occupied,Yes,,,,,2433757102
THE ACCOUNT HOLDER,9 Bell Lane,(Basement),Ackworth,Pontefract,West Yorkshire,WF7  7JA,Physiotherapy Centre & Premises,£0.00,-£156.16,26/06/2014,1225,Occupied,Yes,,,,,0100550909
THE ACCOUNT HOLDER,Part 1St Floor Empire Building,Redhill Drive,Castleford,West Yorkshire,,WF10 3HQ,Hairdressing Salon & Prem,£0.00,-£32.67,11/12/2000,960,Occupied,Yes,,,,,2613909050
THE ACCOUNT HOLDER,150 Castleford Road,Normanton,West Yorkshire,,,WF6  2EP,Shop & Premises,£411.07,,27/02/2015,2650,Occupied,,,,,,2702051500
THE ACCOUNT HOLDER,21 Market Street,(Former Police Office),Hemsworth,Pontefract,West Yorkshire,WF9  4JY,Shop & Premises,£0.00,-£33.19,12/05/2013,950,Occupied,Yes,,,,,1506500211
THE ACCOUNT HOLDER,West Side Of A61,Barnsley Road,Opposite Barnsley Golf Course,Notton,Wakefield,WF4  2NW,Snack Bar,£0.00,,01/04/2017,850,Occupied,Yes,,,,,3900401111
THE ACCOUNT HOLDER,Ad Right 070505/002/01,Gable 91 Station Lane,Featherstone,Pontefract,West Yorkshire,WF7  5BJ,Advertising Right,£0.00,,12/12/2016,840,Occupied,Yes,,,,,2207459091
THE ACCOUNT HOLDER,10A Westfield Road,Horbury,Wakefield,West Yorkshire,,WF4 6HP,Shop,£0.00,,01/04/2011,840,Occupied,Yes,,,,,2908950101
THE ACCOUNT HOLDER,Container 2 Hightown,Industrial Estate,Rhodes Street,Hightown,Castleford,WF10 5LN,Storage Premises,£0.00,£4.21,01/04/2015,830,Occupied,Yes,,,,,2605959223
THE ACCOUNT HOLDER,59 Station Road,Hemsworth,Pontefract,West Yorkshire,,WF9  5LN,Treatment Rooms & Premises,£0.00,-£129.01,13/10/2015,1100,Occupied,Yes,,,,,2704756245
THE ACCOUNT HOLDER,Office A14,55 Westgate,Wakefield,West Yorkshire,,WF1  1BW,Offices & Premises,£0.00,-£210.56,04/04/2011,1275,Occupied,Yes,,,,,2436058014
THE ACCOUNT HOLDER,Office A13,55 Westgate,Wakefield,West Yorkshire,,WF1  1BW,Offices & Premises,£0.00,-£210.56,28/02/2011,1275,Occupied,Yes,,,,,2436058013
THE ACCOUNT HOLDER,581A Leeds Road,(Room I),Wakefield,West Yorkshire,,WF1  2JL,Store & Premises,£0.00,-£129.01,15/10/2016,1100,Occupied,Yes,,,,,3107142581
THE ACCOUNT HOLDER,Office 18 Harker House,Common Lane,Knottingley,West Yorkshire,,WF11 8BN,Offices & Premises,£0.00,-£180.79,01/03/2017,1200,Occupied,Yes,,,,,2002460005
THE ACCOUNT HOLDER,Office A15,55 Westgate,Wakefield,West Yorkshire,,WF1  1BW,Offices & Premises,£0.00,-£197.63,13/12/2010,1225,Occupied,Yes,,,,,2436058015
THE ACCOUNT HOLDER,The Cluntergate Centre,(Office 1.6 First Floor),Cluntergate,Horbury,Wakefield,WF4  5DB,Offices & Premises,£0.00,-£244.23,01/07/2016,1325,Occupied,Yes,,,,,2901809916
THE ACCOUNT HOLDER,Bay 3B,Elm Tree Street,Wakefield,West Yorkshire,,WF1  5DZ,Workshop & Premises,"£1,045.61",-£659.97,01/04/2012,6700,Occupied,,,,,,2410903698
THE ACCOUNT HOLDER,Cinema House,(Ground Floor),Off Doncaster Road,Wakefield,West Yorkshire,WF1  5HL,Store & Premises,£0.00,-£161.40,15/05/2015,1125,Occupied,Yes,,,,,2459515740
THE ACCOUNT HOLDER,Cinder Lane,Castleford,West Yorkshire,,,WF10 1LU,Land Used For Stor'& Prem,£0.00,-£941.95,01/04/2005,2800,Occupied,Yes,,,,,2603459030
THE ACCOUNT HOLDER,Bourne House,Morrison Street,Castleford,West Yorkshire,,WF10 4BE,Treatment Rooms & Premises,£0.00,-£184.70,01/02/2005,1175,Occupied,Yes,,,,,2611803420
THE ACCOUNT HOLDER,1 Rosedale Close,Normanton,West Yorkshire,,,WF6  1UQ,Beauty Treatment Room,£0.00,-£452.65,01/05/2007,1750,Occupied,Yes,,,,,2710751010
THE ACCOUNT HOLDER,Unit 11 Westfield Market,Normanton,West Yorkshire,,,WF6  2AP,Shop,£0.00,£0.00,20/11/2017,2125,Occupied,Yes,,,,,2712470110
THE ACCOUNT HOLDER,Room 15 - Basement,Carlton House,Sandy Walk,Wakefield,West Yorkshire,WF1  2DJ,Office,£0.00,-£24.45,01/09/2012,820,Occupied,Yes,,,,,2428207015
THE ACCOUNT HOLDER,Unit 21,177 Agbrigg Road,Wakefield,West Yorkshire,,WF1  5BU,Warehouse & Premises,£0.00,-£166.58,01/02/2017,1125,Occupied,Yes,,,,,2400402121
THE ACCOUNT HOLDER,Office A12,55 Westgate,Wakefield,West Yorkshire,,WF1  1BW,Offices & Premises,£0.00,-£189.88,01/04/2013,1175,Occupied,Yes,,,,,2436058012
THE ACCOUNT HOLDER,Unit 39,Wakefield Commercial Park,Bridge Road,Horbury,Wakefield,WF4  5NW,Workshop & Premises,£0.00,£155.07,01/04/2016,430,Occupied,Yes,,,,,2900804321
THE ACCOUNT HOLDER,Unit 6 Maltkiln Lane,Castleford,West Yorkshire,,,WF10 4LF,Store & Premises,£0.00,-£160.11,01/04/2017,1100,Occupied,Yes,,,,,2619577006
THE ACCOUNT HOLDER,Office 1 Harker House,Common Lane,Knottingley,West Yorkshire,,WF11 8BN,Offices & Premises,£0.00,-£170.48,03/10/2016,1100,Occupied,Yes,,,,,2002459989
THE ACCOUNT HOLDER,Unit 13 The Shipyard,Fernley Green Road,Knottingley,West Yorkshire,,WF11 8DH,Workshop & Premises,£0.00,-£158.83,07/09/2012,1075,Occupied,Yes,,,,,2010602013
THE ACCOUNT HOLDER,Rear Of 22 Oakes Street,Wakefield,West Yorkshire,,,WF2  9LN,Workshop & Premises,£0.00,-£170.48,01/04/2015,1100,Occupied,Yes,,,,,2450269408
THE ACCOUNT HOLDER,651 Leeds Road,Outwood,Wakefield,West Yorkshire,,WF1  2LU,Workshop & Premises,£0.00,-£123.88,01/04/2015,1000,Occupied,Yes,,,,,3125162728
THE ACCOUNT HOLDER,Unit 5 Addingford Mills,Addingford Lane,Horbury,Wakefield,West Yorkshire,WF4  5BH,Store & Premises,£0.00,-£635.20,01/05/2012,2075,Occupied,Yes,,,,,2900209115
THE ACCOUNT HOLDER,Advertising Rights At,51 Barnsley Road,South Kirkby,Pontefract,West Yorkshire,WF9  3AT,Advertising Right,£0.00,,01/07/2014,700,Occupied,Yes,,,,,10002505151
THE ACCOUNT HOLDER,Unit 12A,177 Agbrigg Road,Wakefield,West Yorkshire,,WF1  5BU,Warehouse & Premises,£0.00,-£285.34,01/10/2017,1975,Occupied,Yes,,,,,2400401213
THE ACCOUNT HOLDER,138 Kingsway,Ossett,West Yorkshire,,,WF5  8BQ,Hairdressing Salon & Prem,£0.00,-£25.03,10/11/2012,710,Occupied,Yes,,,,,3310250138
THE ACCOUNT HOLDER,A17 The Market,Barnsley Road,South Elmsall,Pontefract,West Yorkshire,WF9  2SE,Shop & Premises,£0.00,-£146.73,01/11/2017,1900,Occupied,Yes,,,,,0800309430
THE ACCOUNT HOLDER,Suites G25 & G27,Langthwaite House,Langthwaite Business Park,South Kirkby,Pontefract,WF9  3AE,Offices & Premises,£0.00,-£151.37,01/04/2015,970,Occupied,Yes,,,,,10099023342
THE ACCOUNT HOLDER,Unit 4C Addingford Mills,Addingford Lane,Horbury,Wakefield,West Yorkshire,WF4  5BH,Store & Premises,£0.00,-£363.40,01/09/2013,1425,Occupied,Yes,,,,,2900058043
THE ACCOUNT HOLDER,Store H,Milner House,Milner Way,Ossett,West Yorkshire,WF5  9JE,Store,£0.00,-£162.73,08/05/2017,1050,Occupied,Yes,,,,,3310600611
THE ACCOUNT HOLDER,16 Lakeside Park,Normanton,West Yorkshire,,,WF6  1WN,Offices & Premises,£0.00,-£362.12,01/04/2010,1400,Occupied,Yes,,,,,2702651616
THE ACCOUNT HOLDER,Rear Of 65 Durkar Fields,Durkar,Wakefield,West Yorkshire,,WF4  3BY,Offices & Premises,£0.00,-£397.07,01/01/2008,1475,Occupied,Yes,,,,,3716500650
THE ACCOUNT HOLDER,C17 The Market,Barnsley Road,South Elmsall,Pontefract,West Yorkshire,WF9  2SE,Shop & Premises,£0.00,-£123.55,17/10/2017,1600,Occupied,Yes,,,,,0800309500
THE ACCOUNT HOLDER,Suite G34,Langthwaite House,Langthwaite Business Park,South Kirkby,Pontefract,WF9  3AE,Offices & Premises,£0.00,-£139.48,03/08/2015,900,Occupied,Yes,,,,,1009902326
THE ACCOUNT HOLDER,Suite G48,Langthwaite House,Langthwaite Business Park,South Kirkby,Pontefract,WF9  3AE,Offices & Premises,£0.00,-£144.14,30/06/2015,910,Occupied,Yes,,,,,1009902318
THE ACCOUNT HOLDER,14 Ackton Lane,Featherstone,Pontefract,West Yorrkshire,,WF7  6AR,Hairdressing Salon & Prem,£0.00,-£106.86,15/10/2014,830,Occupied,Yes,,,,,2200105014
THE ACCOUNT HOLDER,Car Parking Space 2,18 Upper York Street,Wakefield,West Yorkshire,,WF1  3LQ,Car Parking Space,£0.00,,01/03/2015,600,Occupied,Yes,,,,,2434109902
THE ACCOUNT HOLDER,Car Parking Space 3,18 Upper York Street,Wakefield,West Yorkshire,,WF1  3LQ,Car Parking Space,£0.00,,05/01/2015,600,Occupied,Yes,,,,,2434109903
THE ACCOUNT HOLDER,Garage 5,Union Street,Wakefield,West Yorkshire,,WF1  3AE,Garage & Premises,£0.00,-£135.35,03/01/2017,880,Occupied,Yes,,,,,2436055055
THE ACCOUNT HOLDER,Suite G24,Langthwaite House,Langthwaite Business Park,South Kirkby,Pontefract,WF9  3AE,Offices & Premises,£0.00,-£131.21,01/04/2015,860,Occupied,Yes,,,,,1009902327
THE ACCOUNT HOLDER,12 Northfield Avenue,Ossett,West Yorkshire,,,WF5  9EG,Sales Office,£0.00,-£140.53,01/04/2014,880,Occupied,Yes,,,,,3336051212
THE ACCOUNT HOLDER,Suite G23,Langthwaite House,Langthwaite Business Park,South Kirkby,Pontefract,WF9  3AE,Offices & Premises,£0.00,-£136.39,01/04/2015,860,Occupied,Yes,,,,,1009902328
THE ACCOUNT HOLDER,Unit 17 Britannia Works,Skinner Lane,Pontefract,West Yorkshire,,WF8  1HG,Store & Premises,£0.00,-£24.55,08/10/2015,620,Occupied,Yes,,,,,2117150170
THE ACCOUNT HOLDER,Suite G20,Langthwaite House,Langthwaite Business Park,South Kirkby,Pontefract,WF9  3AE,Offices & Premises,£0.00,-£127.60,01/04/2009,830,Occupied,Yes,,,,,1009902330
THE ACCOUNT HOLDER,46 Knottingley Road,Pontefract,West Yorkshire,,,WF8  2LD,Dog Grooming Parlour,£0.00,-£127.60,31/10/2005,830,Occupied,Yes,,,,,2110604601
THE ACCOUNT HOLDER,Land Opposite,1 & 2 The Paddock,Chidswell Lane,Ossett,West Yorkshire,WF5  9BA,Camping Site,£0.00,,01/04/2016,550,Occupied,Yes,,,,,3316200102
THE ACCOUNT HOLDER,Unit 28 Raglan Mills,Methley Road,Castleford,West Yorkshire,,WF10 1PW,Store,£0.00,-£399.71,02/09/2016,1375,Occupied,Yes,,,,,2611509022
THE ACCOUNT HOLDER,Middlestown Cemetery,New Road,Middlestown,Wakefield,West Yorkshire,WF4  4NN,Cemetery & Premises,£0.00,-£115.71,01/04/1990,760,Occupied,Yes,,,,,4102309040
THE ACCOUNT HOLDER,Far Thorpe Farm Livery,Causeway Garth Lane,Thorpe Audlin,Pontefract,West Yorkshire,WF8  3HD,Stables & Premises,£0.00,-£172.16,01/10/2015,870,Occupied,Yes,,,,,1166391325
THE ACCOUNT HOLDER,423 Denby Dale Road,Wakefield,West Yorkshire,,,WF4  3AX,Office Workshop & Premise,£0.00,-£176.82,31/07/2009,880,Occupied,Yes,,,,,2422310423
THE ACCOUNT HOLDER,The Cluntergate Centre,(Office 1.2 First Floor),Cluntergate,Horbury,Wakefield,WF4  5DB,Offices & Premises,£0.00,-£153.52,01/08/2015,830,Occupied,Yes,,,,,2901809912
THE ACCOUNT HOLDER,Windsor Cottage,Waggon Lane,Upton,Pontefract,West Yorkshire,WF9  1JS,Dog Grooming Parlour,£0.00,-£14.76,01/11/2013,510,Occupied,Yes,,,,,1202304658
THE ACCOUNT HOLDER,Office 6 Prospect House,24 Prospect Road,Ossett,West Yorkshire,,WF5  8AE,Offices & Premises,£0.00,-£101.76,03/01/2017,680,Occupied,Yes,,,,,3312452406
THE ACCOUNT HOLDER,43 Barden Road,Wakefield,West Yorkshire,,,WF1  4HP,Workshop & Premises,£0.00,-£71.73,01/10/2014,610,Occupied,Yes,,,,,2401904343
THE ACCOUNT HOLDER,Unit 18,177 Agbrigg Road,Wakefield,West Yorkshire,,WF1  5BU,Land Used For Stor'& Prem,£0.00,-£153.05,01/04/2015,740,Occupied,Yes,,,,,2400401818
THE ACCOUNT HOLDER,Unit 6 Addingford Mills,Addingford Lane,Horbury,Wakefield,West Yorkshire,WF4  5BH,Store & Premises,£0.00,-£367.41,01/11/2015,1200,Occupied,Yes,,,,,2900209116
THE ACCOUNT HOLDER,Churchill House,(Rooms 56),Mill Hill Road,Pontefract,West Yorkshire,WF8  4HY,Offices & Premises,£0.00,-£26.99,01/04/2017,425,Occupied,Yes,,,,,2112565656
THE ACCOUNT HOLDER,360 Leeds Road,(Basement),Wakefield,West Yorkshire,,WF1  2JA,Hairdressing Salon & Prem,£0.00,"-£1,074.21",20/11/2011,2650,Occupied,Yes,,,,,3107146360
THE ACCOUNT HOLDER,1 Broomcroft Road,Ossett,West Yorkshire,,,WF5  8LH,Hairdressing Salon & Prem,£0.00,-£11.73,30/08/2011,370,Occupied,Yes,,,,,3307150111
THE ACCOUNT HOLDER,Office 3 Grange House,Grange Street,Wakefield,West Yorkshire,,WF2  8TG,Offices & Premises,£0.00,-£87.60,01/11/2017,1000,Occupied,Yes,,,,,2413600041
THE ACCOUNT HOLDER,Room 4 First Floor,18-22 Wakefield Road,Pontefract,West Yorkshire,,WF8  4HN,Offices & Premises,£0.00,-£55.50,23/03/2017,425,Occupied,Yes,,,,,219857788
THE ACCOUNT HOLDER,46 Hollingthorpe Road,Hall Green,Wakefield,West Yorkshire,,WF4  3NW,Cattery,£0.00,-£36.86,01/04/2010,385,Occupied,Yes,,,,,3701638521
THE ACCOUNT HOLDER,Storage Unit 3,Wakefield Market Hall,Union Street,Wakefield,West Yorkshire,WF1  3AG,Store,£0.00,-£16.15,15/04/2013,335,Occupied,Yes,,,,,2418008147
THE ACCOUNT HOLDER,Storage Unit 9,Wakefield Market Hall,Union Street,Wakefield,West Yorkshire,WF1  3AG,Store,£0.00,-£16.15,02/03/2009,335,Occupied,Yes,,,,,2418008153
THE ACCOUNT HOLDER,Storage Unit 13,Wakefield Market Hall,Union Street,Wakefield,West Yorkshire,WF1  3AG,Store,£0.00,-£16.15,16/11/2016,335,Occupied,Yes,,,,,2418008157
THE ACCOUNT HOLDER,Storage Unit 20,Wakefield Market Hall,Union Street,Wakefield,West Yorkshire,WF1  3AG,Store,£0.00,-£16.15,23/06/2008,335,Occupied,Yes,,,,,2418008163
THE ACCOUNT HOLDER,Storage Unit 22,Wakefield Market Hall,Union Street,Wakefield,West Yorkshire,WF1  3AG,Store,£0.00,-£16.15,23/11/2009,335,Occupied,Yes,,,,,2418008165
THE ACCOUNT HOLDER,Taxi Office Adjacent To,75 Crossley Street,New Sharlston,Wakefield,West Yorkshire,WF4  1BQ,Offices & Premises,£0.00,-£412.78,01/01/2014,1175,Occupied,Yes,,,,,4300249753
THE ACCOUNT HOLDER,C1 The Market,Barnsley Road,South Elmsall,Pontefract,West Yorkshire,WF9  2SE,Store & Premises,£0.00,-£131.74,21/10/2017,850,Occupied,Yes,,,,,0800309460
THE ACCOUNT HOLDER,Advert Right On Gable Of,40 Station Lane,Featherstone,Pontefract,West Yorkshire,WF7  5BE,Advertising Right,£0.00,-£31.47,01/04/2007,290,Occupied,Yes,,,,,2207451740
THE ACCOUNT HOLDER,Space R1 - Level 5,Multi Storey Car Park,Westgate Keys Development,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,11/02/2011,250,Occupied,Yes,,,,,2409509254
THE ACCOUNT HOLDER,Space R7 - Level 5,Multi Storey Car Park,Westgate Keys Development,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,21/04/2011,250,Occupied,Yes,,,,,2409509245
THE ACCOUNT HOLDER,Space R9 - Level 5,Multi Storey Car Park,Westgate Keys Development,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,17/06/2011,250,Occupied,Yes,,,,,2409509247
THE ACCOUNT HOLDER,Space R11 - Level 5,Multi Storey Car Park,Westgate Keys Development,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,26/08/2011,250,Occupied,Yes,,,,,2409509211
THE ACCOUNT HOLDER,Space R10 - Level 5,Multi Storey Car Park,Westgate Keys Development,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,26/08/2011,250,Occupied,Yes,,,,,2409509210
THE ACCOUNT HOLDER,Space R12 - Level 5,Multi Storey Car Park,Westgate Keys Development,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,31/08/2011,250,Occupied,Yes,,,,,2409509236
THE ACCOUNT HOLDER,Space R18 - Level 5,Multi Storey Car Park,Westgate Keys Development,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,12/01/2012,250,Occupied,Yes,,,,,2409509258
THE ACCOUNT HOLDER,Space R23 - Level 5,Multi Storey Car Park,Westgate Keys Development,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,11/05/2012,250,Occupied,Yes,,,,,2409509887
THE ACCOUNT HOLDER,Space R20 - Level 5,Multi Storey Car Park,Westgate Keys Development,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,01/04/2016,250,Occupied,Yes,,,,,2409503687
THE ACCOUNT HOLDER,Space R4 - Level 4,Multi Storey Car Park,Westgate Keys Development,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,06/07/2012,250,Occupied,Yes,,,,,2409509852
THE ACCOUNT HOLDER,Space R19 - Level 5,Multi Storey Car Park,Westgate Keys Development,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,27/07/2012,250,Occupied,Yes,,,,,2409504563
THE ACCOUNT HOLDER,Space R29 - Level 5,Multi Storey Car Park,Westgate Keys Development,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,25/08/2012,250,Occupied,Yes,,,,,2409504278
THE ACCOUNT HOLDER,Space R30 - Level 5,Multi Storey Car Park,Westgate Keys Development,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,20/06/2015,250,Occupied,Yes,,,,,2409505874
THE ACCOUNT HOLDER,Space R28 - Level 5,Multi Storey Car Park,Westgate Keys Development,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,04/12/2012,250,Occupied,Yes,,,,,2409508789
THE ACCOUNT HOLDER,Space R31 - Level 5,Multi Storey Car Park,Westgate Keys Developmen,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,01/03/2014,250,Occupied,Yes,,,,,2409504578
THE ACCOUNT HOLDER,Space R24 - Level 5,Multi Storey Car Park,Westgate Keys Developmen,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,25/01/2013,250,Occupied,Yes,,,,,2409503232
THE ACCOUNT HOLDER,Space R32 - Level 5,Multi Storey Car Park,Westgate Keys Developmen,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,12/07/2013,250,Occupied,Yes,,,,,2409500532
THE ACCOUNT HOLDER,Space R33 - Level 5,Multi Storey Car Park,Westgate Keys Developmen,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,25/10/2013,250,Occupied,Yes,,,,,2409507979
THE ACCOUNT HOLDER,Space R34 - Level 5,Multi Storey Car Park,Westgate Keys Developmen,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,08/11/2013,250,Occupied,Yes,,,,,240951236
THE ACCOUNT HOLDER,Space R35 - Level 5,Multi Storey Car Park,Westgate Keys Developmen,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,20/12/2013,250,Occupied,Yes,,,,,240957854
THE ACCOUNT HOLDER,Space R36 - Level 5,Multi Storey Car Park,Westgate Keys Development,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,24/01/2014,250,Occupied,Yes,,,,,240953214
THE ACCOUNT HOLDER,Space R5 - Level 5,Multi Storey Car Park,Westgate Keys Developmen,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,21/02/2014,250,Occupied,Yes,,,,,240957521
THE ACCOUNT HOLDER,Space 21 - Level 5,Multi Storey Car Park,Westgate Keys Development,Westgate,Wakefield,WF1  1EW,Car Parking Space,£0.00,-£15.42,04/04/2014,250,Occupied,Yes,,,,,240952121
