establishmentname,establishmentaddressline1,establishmentaddressline2,establishmentaddressline3,establishmentaddressline4,postcode,rating,latitude,longitude,inspectiondate
The Other Place,,,79 Botanic Avenue,Belfast,BT7 1JL,1,372933,333689,15/10/2015
Tao Noodle Bar Cafe,,,79 Dublin Road,Belfast,BT2 7HF,5,373377,333635,13/03/2015
Ronnie Drews,,,79-83 May Street,Belfast,BT1 3JL,3,373967,334273,28/10/2015
Byblos,,,8-10 Amelia Street,Belfast,BT2 7GS,5,373770,333619,18/02/2015
Sakura,,,82-84 Botanic Avenue,Belfast,BT7 1JR,3,372960,333715,24/03/2015
Ena's Plaice,,,92-94 Sandy Row,Belfast,BT12 5EX,5,373412,333423,15/01/2014
Cafe Renoir/John Henrys,,,93-95 Botanic Avenue,Belfast,BT7 1JN,1,,,22/01/2015
Kentucky Fried Chicken,,,Albertbridge Road,Belfast,BT5 4AF,5,,,14/01/2015
Fortwilliam Golf Club Restaurant,,,8 Downview Avenue,Belfast,BT15 4EZ,3,378929,333414,24/09/2015
Caffe Ritazza Kiosk and Cafe Bar,"Unit 15, Great Northern Mall",,17-21 Great Victoria Street,Belfast,BT2 7GN,4,373745,333527,20/03/2015
St Georges Market Bar and Grill,,,12-20 East Bridge Street,Belfast,BT1 3NQ,5,373950,334353,08/01/2014
NI Civil Service Social Sports Club ( Pavilion),The Maynard Sinclair Pavilion,,Stormont Estate,Belfast,BT4 3TA,5,374213,340157,12/08/2014
Delicious,,,24 Duncrue Crescent,Belfast,BT3 9BW,5,377467,334507,23/10/2015
Horatio Todds,,,406 Upper Newtownards Road,Belfast,BT4 3EZ,5,373994,338023,02/11/2015
The School Yard,,,55 Templemore Avenue,Belfast,BT5 4FG,3,374169,335622,03/02/2015
Lotus Blossom,,,96 Castlereagh Road,Belfast,BT5 5FR,5,373382,335969,27/11/2013
IKEA Restaurant,Holywood Exchange,,Airport Road,Belfast,BT3 9ED,5,,,26/11/2015
Harbour Cafe,"Unit 26, Fortwilliam Business Park",,Dargan Road,Belfast,BT3 9JU,5,,,12/05/2014
Origin,,Belfast,Unit 5 Connswater Retail Park,Albertbridge Road,BT5 5DL,3,,,31/03/2015
The Continental,"Retail Unit 1, Cityside Retail Park",,100-150 York Street,Belfast,BT15 1WA,5,375365,334024,22/04/2015
Di Maggio's Italian Cafe,Castlecourt,,12-56 Royal Avenue,Belfast,BT1 1AL,5,374449,333548,05/06/2015
The Streat @ UUB,Art & Design Centre,,25-51 York Street,Belfast,BT15 1ED,5,374823,333890,14/11/2014
Maginty's Restaurant,Chester Inn,,466 Antrim Road,Belfast,BT15 5GE,5,377498,333122,19/08/2014
Kentucky Fried Chicken,,,1-3 Bradbury Place,Belfast,BT7 1RQ,5,,,27/11/2013
China China,,,1-3 University Street,Belfast,BT7 1FY,3,372812,333517,30/03/2015
Deane's @ Queens,,,1-6 College Gardens,Belfast,BT9 6BQ,5,372548,333407,07/06/2015
Ryan's Bar & Grill,,,116-118 Lisburn Road,Belfast,BT9 6AH,3,372553,333008,28/07/2014
Union Bar,,,12-14 Union Street,Belfast,BT1 2JF,5,374819,333712,20/03/2014
Amici Italian,Unit 7,,133 Lisburn Road,Belfast,BT9 7AG,3,372574,332970,03/03/2015
Yum,,,157 Stranmillis Road,Belfast,BT9 5AJ,3,372004,333607,17/10/2014
Lee Garden,,,16-18 Botanic Avenue,Belfast,BT7 1JQ,3,373172,333647,12/09/2015
Katy Dalys The Limelight Spring & Airbrake,Mcavoy House,,17A Ormeau Avenue,Belfast,BT2 8HD,5,373605,333938,02/03/2015
Bastille,,,182 Lisburn Road,Belfast,BT9 6AL,5,372277,332754,23/06/2014
Stan and Olly's/Abbots Takeaway,,,18 Dublin Road,Belfast,BT2 7HN,3,373504,333759,23/06/2014
Kitchen Bar,Unit 42 Ug,,1 Victoria Square,Belfast,BT1 4QG,5,374164,334137,23/01/2014
McDonalds,,,2-4 Donegall Place,Belfast,BT1 5BA,5,374279,333822,10/12/2015
Welcome Inn,,,22 Stranmillis Road,Belfast,BT9 5AA,3,372244,333550,14/08/2014
Nandos,,,24 Ormeau Avenue,Belfast,BT2 8HS,5,373619,333780,03/03/2015
Shu,,,255 Lisburn Road,Belfast,BT9 7EN,4,372253,332682,24/06/2014
Isibeals,,,27 High Street,Belfast,BT1 2AA,5,374352,333983,10/08/2014
Starbucks,,,2 Castle Lane,Belfast,BT1 5DA,5,374233,333947,21/05/2014
AM:PM,,,38-42 Upper Arthur Street,Belfast,BT1 4GH,5,374072,333999,08/08/2014
The Naz,,,393 Ormeau Road,Belfast,BT7 3GP,3,371892,334630,27/10/2014
Eddie Rockets,,,417-419 Lisburn Road,Belfast,BT9 7EW,5,372007,332517,01/04/2016
Deanes Deli,,,44 Bedford Street,Belfast,BT2 7FF,4,373745,333795,31/03/2015
Bengal Brasserie,,,455-457 Ormeau Road,Belfast,BT7 3GQ,3,371664,334714,06/04/2014
The Raj,,,459-461 Lisburn Road,Belfast,BT9 7EY,5,,,28/02/2014
Belfast Harlequins,Belfast Harlequins Sports Club,,45A Deramore Park,Belfast,BT9 5JX,5,370216,333281,01/07/2016
Mermaid Bar,Mermaid Inn,,5-11 Wilsons Court,Belfast,BT1 4DQ,4,374332,334002,23/07/2014
Kitch,,,61-63 Dublin Road,Belfast,BT2 7HE,5,373427,333653,27/01/2015
Urban Retreat Sandwich Co.,,,7-11 Linenhall Street,Belfast,BT2 8AA,4,373871,333825,06/04/2014
The Albany,,,701 Lisburn Road,Belfast,BT9 7GU,5,371274,331934,18/11/2015
Pizza Express,Unit TFC6,,Victoria Square,Belfast,,5,,,13/05/2014
Belfast Metropoliton College,Bifhe Site,,153 Millfield,,BT1 1HS,5,,,16/02/2015
Laurel Leaf Bar / The Bay Tree Bistro,14 Twin Spires Centre,,155 Northumberland Street,Belfast,BT13 2JF,3,374335,332660,14/09/2015
"Chiquito's, Unit R4",Unit R4,,1 Victoria Square,Belfast,BT1 4QG,5,374164,334137,09/03/2014
Apartment Bar & Restaurant,,,2 Donegall Square West,Belfast,BT1 6JA,1,374012,333716,10/08/2015
Turf Lodge Tenants Association,,,35A Norglen Gardens,Belfast,BT11 8EL,4,372752,330089,06/11/2014
Yard Bird / Dirty Onion,,,3 Hill Street,Belfast,BT1 2LA,4,368960,329351,23/11/2015
Avoca,Halifax Building,,41 Arthur Street,Belfast,BT1 4GG,5,374142,333965,20/03/2014
Kentucky Fried Chicken,,,444-448 Donegall Road,Belfast,BT12 6HS,5,372955,331900,04/07/2014
Brennans,,,48-50 Great Victoria Street,Belfast,BT2 7BB,5,373768,333588,03/09/2015
Ulster Reform Club,,,4 Royal Avenue,Belfast,BT1 1DA,5,374365,333759,09/08/2015
Whitefort Inn & Copperone Restaurant,,,71 Andersonstown Road,Belfast,BT11 9AH,4,371598,330513,28/02/2015
McDonalds,T 17   18 Westwood Shopping Ce,,Kennedy Way,Belfast,BT11 9BQ,5,371789,330837,16/07/2014
Tony Romas,,,25-27 University Road,Belfast,BT7 1NA,2,372980,333445,12/10/2014
Crilly's,,,9-11 Springfield Road,Belfast,BT12 7AB,5,373904,332191,12/01/2014
Titanic Store,,,Olympic Way,Belfast,BT3 9EP,5,,,14/12/2015
Boots UK Ltd,Boucher Retail Park,,units4-6 Boucher Crescent,Belfast,BT12 6HU,5,372172,331497,24/12/2014
TK MAXX,Boucher Retail Park,,Unit 13 Boucher Crescent,Belfast,BT12 6HU,5,372172,331497,19/10/2015
Spicyworld,,,35 Donegall Pass,Belfast,BT7 1DQ,5,373224,333728,16/04/2014
Glen-Mac,,,42 Glen Road,Belfast,BT11 8BG,4,372456,330558,12/10/2015
River Island, Unit 1 Boucher Retail Park,,Boucher Crescent,Belfast,BT12 6HU,5,372172,331497,21/06/2013
HOLLYGATE NURSING HOME,,Belfast,126 Upper Knockbreda Road,,BT6 9QB,4,371571,337053,28/01/2015
Orchardville House EPH,Orchardville House,,12 Orchardville Avenue,Belfast,BT10 0JH,5,370470,330242,18/09/2014
Cedars Residential Home,The Cedars,Belfast,130 Upper Knockbreda Road,,BT6 9QB,5,371496,336989,09/09/2014
Abbeyfield Belfast Society,,,132 Cregagh Road,Belfast,BT6 9ES,4,372210,336041,20/08/2014
Carlisle House,Carlisle House,,15-17 Henry Place,Belfast,BT15 2BB,4,375221,333456,06/10/2015
Abbeyfield Belfast Society,,,153 Belmont Church Road,Belfast,BT4 2DA,5,374513,338040,06/07/2012
MOUNT LENS CARE HOME,,Belfast,166 Kings Road,,BT5 7EL,5,373353,339573,07/03/2014
Mertoun Park Hostel,,,17 Orchard Court,Belfast,BT18 9QE,5,376654,338861,09/04/2014
Abbeyfield Belfast Society,,,18 Maryville Park,Belfast,BT9 6LN,5,371028,331991,27/08/2015
BARDAN COTTAGE DUNMURRY,,,265 Kingsway,Belfast,BT17 9EL,5,368422,328863,07/01/2015
Breffni House Residential Home,Breffni House,,27 Wandsworth Gardens,Belfast,BT4 3NL,5,374453,338210,01/07/2016
28 Trench Park,,,28 Trench Park,Belfast,BT11 9FG,5,370826,329798,23/12/2014
Springwell House,,,377-381 Springfield Road,Belfast,BT12 7DG,5,374714,331414,10/08/2015
BROOKLANDS HEALTHCARE,,,42e Cloona Park,Belfast,BT17 0HH,5,370225,328292,23/02/2015
KILWEE CARE HOME,,Dunmurry,42f Cloona Park,,BT17 0HH,5,,,10/02/2015
Abbeyfield Belfast Society,,,430 Lisburn Road,Belfast,BT9 6GN,3,371151,331907,03/07/2014
Sydenham Court Supported Housing,Sydenham Court,,48 Sydenham Gardens,Belfast,BT4 1PP,5,374966,337243,28/05/2014
Chestnut Grove Elderly Persons,,,57-61 Somerton Road,Belfast,BT15 4DD,5,377618,333399,20/06/2014
MANOR LODGE CARE HOME,,Dunmurry,5 The Manor,,BT10 0NB,5,,,13/08/2015
Old See House,,,603 Antrim Road,Belfast,BT15 4DX,5,377735,333233,19/12/2014
North Road Childrens Home,,,60 North Road,Belfast,BT5 5NH,5,373649,337204,03/11/2015
PARK MANOR NURSING HOME,,Dunmurry,6 Thornhill Road,,BT17 9EJ,5,368467,328683,10/07/2015
Dumbarton House,,,79 Somerton Road,Belfast,BT15 4DG,5,378016,333466,13/06/2014
Malone Road Adult Residential Unit,,,80 Malone Road,Belfast,BT9 5BU,5,371712,333048,14/02/2014
Beacon Support Services,Daisy Hill Court,,8 Westrock Gardens,Belfast,BT12 7RF,5,373651,330913,26/09/2013
,Abbeyfield Belfast - Hamilton House,,9 Kings Road,Belfast,BT5 6JJ,5,373741,337914,27/10/2015
Elmgrove Manor,,,Beersbridge Road,Belfast,BT5 5EG,5,,,13/01/2015
GIBONEY HOUSE (CLANMIL HOUSING),,,Mount Merrion Avenue,Belfast,,5,,,16/10/2015
Leonard Cheshire Foundation,Taylor House,,10a Derryvolgie Avenue,Belfast,BT9 6FL,5,372091,332753,20/10/2015
,Kirk House,,110 Kings Road,Belfast,BT5 7BX,5,373490,339139,10/02/2015
Abbeyfield Belfast Society,Voysey House,,12 Cadogan Park,Belfast,BT9 6HG,5,371747,332511,22/09/2015
,Glenowen Court,,177A Andersonstown Road,Belfast,BT11 9EA,5,371366,329688,10/09/2015
Ballyowen House,Ballyowen Health Centre,,179 Andersonstown Road,Belfast,BT11 9EA,5,371294,329679,07/08/2014
Palmerston Residential & Emi,,,17 Palmerston Road,Belfast,BT4 1QA,5,,,15/08/2014
Pine Lodge,,,186 Belmont Road,Belfast,BT4 2AS,5,374554,338126,01/06/2016
Malone Residential Home,,,188 Upper Malone Road,Belfast,BT17 9JZ,5,368457,331033,18/12/2015
Abbeyfield Belfast Society,,,1 Malone Park,Belfast,BT9 6NH,5,370900,331730,08/07/2014
Greenvale Residential Home,Greenvale,,21 Rossmore Drive,Belfast,BT7 3LA,5,371311,334798,13/08/2015
Malone Healthcare Ltd,,,23 Upper Lisburn Road,Belfast,BT10 0GW,5,370559,331083,11/11/2014
Fairholme,Fairholme Old Peoples Home,,29 Annadale Avenue,Belfast,BT7 3JJ,5,370935,334588,04/08/2014
Clifton House Residential Home,Clifton House,,2 North Queen Street,Belfast,BT15 1ES,3,375111,333607,16/10/2015
Camlo Homes,,,3-5 North Parade,Belfast,BT7 2GF,5,372072,334710,28/01/2015
Fortwilliam Fold Luncheon Club,,,30 Fortwilliam Park,Belfast,BT15 4AN,4,377578,333489,14/01/2015
Haypark Residential Home,,,36 Whitehall Parade,Belfast,BT7 3GX,5,371560,334596,02/03/2015
Shaws Avenue Hostel,,,3 Shaws Avenue,Belfast,BT11 9QF,5,371364,329231,18/10/2013
Breffni Lodge Residential Home,Breffni Lodge,,3 Wandsworth Road,Belfast,BT4 3LS,4,374478,338216,24/11/2015
Belfast Trust,,,444 Antrim Road,Belfast,BT15 5GB,5,382641,331215,07/07/2014
De La Cour House,"Flat 1, De La Cour House",,48 Woodcot Avenue,Belfast,BT5 5JB,5,373504,336667,02/04/2014
Kirkliston,,,4 Kirkliston Drive,Belfast,BT5 5NX,5,373826,337201,26/09/2013
Towell House Residential Home,Towell House,,57 Kings Road,Belfast,BT5 7BS,5,373586,338754,08/04/2015
Somerton Road Childrens Home,,,57 Somerton Road,Belfast,BT15 4DD,5,377619,333432,15/04/2015
Fairhaven Residential Home,,,58 North Road,Belfast,BT5 5NH,5,373631,337185,12/04/2014
Adult Residential Unit,,,611 Ormeau Road,Belfast,BT7 3JD,5,370744,334959,21/07/2015
Bawnmore Childrens Home,,,70 Bawnmore Road,Belfast,BT9 6LD,5,371031,332448,19/01/2015
Fortwilliam Park Childrens Home,,,70 Fortwilliam Park,Belfast,BT15 4AS,5,,,29/12/2014
Fortwilliam Haven,,,72 Fortwilliam Park,Belfast,BT15 4AS,5,377800,333962,06/05/2014
Regina Coeli Hostel,,,8-10 Lake Glen Avenue,Belfast,BT11 8FE,5,372286,330593,10/08/2015
Hanna Street Supported Living Scheme,,,8 Hanna Street,Belfast,BT15 1GQ,5,375766,334153,02/01/2013
Corkey House,Corkey House,,1 Forthriver Crescent,Belfast,BT13 3SR,4,375919,330643,11/11/2015
Glenmona Resource Centre,,,Glen Road,Belfast,BT11 8BX,5,372538,329446,20/06/2014
Alti Garron Court,Altigarron Court,,6 Westrock Gardens,Belfast,BT12 7RF,5,373612,330989,21/06/2013
Abbeyfield Belfast Society,Bell Rotary House,,10 Kings Road,Belfast,BT5 6JJ,5,373733,337935,06/05/2015
Open Door Housing - Inverary House,Inverary House,,14 Inverary Avenue,Belfast,BT4 1RN,5,375478,337596,28/05/2014
Glandore Avenue Childrens Home,Children's Unit,,1 Glandore Avenue,Belfast,BT15 3BP,5,376992,333240,18/06/2015
Stella Maris,,,28-34 Garmoyle Street,Belfast,BT15 1DY,4,375370,334382,03/10/2015
Clearwater House,,,3-5 Brookhill Avenue,Belfast,BT14 6BS,4,376105,333122,21/01/2015
Bruce House EMI,,,6a Duncairn Avenue,Belfast,BT14 6BP,5,,,12/02/2015
Rigby Close,,,8 Rigby Close,Belfast,BT15 5JF,5,377152,332918,23/03/2015
Redlands,,,20 Adelaide Park,Belfast,BT9 6FX,5,371823,332715,09/11/2015
,Adelaide House,,24-26 Adelaide Park,Belfast,BT9 6FX,5,371815,332757,09/11/2015
Glenalina Lodge,,,607 Springfield Road,Belfast,BT12 7FN,5,374061,330451,08/04/2015
Iveagh Centre,,,67 Broadway,Belfast,BT12 6HF,5,373333,331932,06/10/2015
Tesco Express,,,1-5 Belmont Road,Belfast,BT4 2AA,5,374544,337156,29/05/2013
SUPERVALU,Supervalu,,13 Kings Square,,BT5 7EA,5,,,07/08/2014
ICELAND FROZEN FOODS PLC,,,162 -172 Shankill Road,Belfast,BT13 2BE,5,374777,332658,29/05/2013
Karolina Shop,,,179 Ormeau Road,Belfast,BT7 1SQ,4,372663,334333,20/02/2014
Marks & Spencer,,,264-268 Upper Newtownards Road,Belfast,BT4 3EU,4,,,19/06/2012
Polita,,,29a Ravenhill Road,Belfast,BT6 8DP,,373741,335030,
Mace Titanic/Green Deli,Unit 10,,2 Queens Road,Belfast,BT3 9DT,4,375011,334995,25/11/2014
Lynas Food Outlet,,,46 Montgomery Road,Belfast,BT6 9HQ,5,372190,337190,19/08/2015
Marks & Spencer,,,517 Lisburn Road,Belfast,BT9 7GQ,5,371741,332248,08/11/2014
Home Bargains Unit13-14,,,564-568 Falls Road,Belfast,BT11 9AB,5,372236,330644,05/01/2014
Iceland (Kennedy Centre),,,564-568 Falls Road,Belfast,BT11 9AB,5,372236,330644,27/11/2013
Lidl,Hi Park Centre,,59-95 High Street,Belfast,BT1 2AB,5,374393,334062,15/01/2015
Iceland Frozen Foods Plc,,,71 Ballysillan Road,,BT14 6QQ,5,,,06/10/2013
Tesco Metro,,,91 Royal Avenue,Belfast,BT1 1FE,5,374573,333746,30/01/2015
Spar,,,935 Crumlin Road,Belfast,BT14 8AB,4,377009,330834,11/06/2014
Sainsburys Supermarket (Petrol Station),,,Airport Road (Holywood Exchang,,BT3 9ED,5,,,11/02/2012
Lidl,"13,Connswater Retail Park",,Albertbridge Road,,BT4 1AL,5,,,17/06/2013
TESCO STORES LIMITED,,Dunmurry,Kingsway Shopping Centre,,BT17 9NP,5,,,30/04/2015
Tesco Express,,Belfast,Rosetta Road,,BT6 0LR,5,,,06/03/2014
SUPERVALU,Dairy Farm Centre,,Stewartstown Road,Belfast,BT17 0LB,4,369402,327742,01/08/2015
LIDL NORTHERN IRELAND GMBH,,,100-116 Stewartstown Road,Belfast,BT11 9JP,5,,,23/06/2014
Tesco Petrol Station (Yorkgate),Yorkgate Shopping Centre,,100-150 York Street,Belfast,BT15 1WA,5,375412,334000,26/06/2014
Mace,,,10 Cromac Place,Belfast,BT7 2JB,5,373357,334304,16/06/2014
Warrens,,,120 Orby Drive,Belfast,BT5 6BB,4,372587,336983,07/08/2014
BELFAST CO-OP,,,156-158 Connsbrook Avenue,Belfast,BT4 1JX,5,374907,337016,23/05/2013
LIDL,,,196 Shore Road,Belfast,BT15 3QA,5,377384,334085,02/12/2015
Co-op,,,192 Shankill Road,Belfast,BT13 2BJ,5,374774,332547,06/09/2015
Mace,,,29 High Street,Belfast,BT1 2AA,4,374358,333992,10/09/2014
Centra Quick Stop,,,345-349 Ormeau Road,Belfast,BT7 3GL,3,372053,334552,25/09/2014
Tesco,,,369-383 Lisburn Road,Belfast,BT9 7EP,5,372153,332588,27/02/2014
Co-Op,,,390 Ormeau Road,Belfast,BT7 3HX,4,370978,334992,26/06/2012
Mace,,,443 Ormeau Road,Belfast,BT7 3GQ,5,371721,334699,11/06/2014
Iceland,,,475 Antrim Road,Belfast,BT15 3BP,5,382903,330830,22/12/2014
Spar,,,51 Bradbury Place,Belfast,BT7 1RR,4,373091,333500,25/08/2015
Tesco,,,60-66 Dublin Road,Belfast,BT2 7HE,5,,,24/10/2013
Eurospar,Flax Centre,,60 Ardoyne Avenue,Belfast,BT14 7DA,4,375904,332174,02/03/2015
McGoverans Centra,,,66-70 Stranmillis Road,Belfast,BT9 5AD,5,,,15/12/2014
Iceland Frozen Foods PLC,,,Finaghy Road South,Belfast,BT10 0BW,5,,,22/12/2014
Tesco Petrol Station,Tesco Filling Station,,Knocknagoney Road,Belfast,BT4 2PW,5,376718,338316,02/12/2014
Tesco,,,160-220 Castlereagh Road,Belfast,BT5 5FT,5,,,30/03/2015
Iceland Frozen Foods PLC,,,262-264 Newtownards Road,Belfast,BT4 1HD,5,374343,335905,29/07/2013
Tesco Express Ballyhackamore,,,288-292 Upper Newtownards Road,Belfast,BT4 3EU,4,374042,337621,25/02/2014
Tesco,Tesco 24hr Store,,2 Knocknagoney Road,Belfast,BT4 2PW,4,376729,338385,27/01/2015
Co-Operative Group,,,357-361 Beersbridge Road,Belfast,BT5 5DT,5,373701,336562,12/05/2013
Co Op,Ardenlee Post Office,,61 Cregagh Road,Belfast,BT6 8PX,5,372813,335836,11/12/2013
Iceland,,,78-80 Cregagh Road,Belfast,BT6 9ER,5,372539,335977,06/03/2013
Sainsbury's Supermarket Ltd,Holywood Exchange,,Airport Road,Belfast,BT3 9ED,5,,,23/06/2014
Tesco (Yorkgate Shopping Centre),Yorkgate Shopping Centre,,100-150 York Street,Belfast,BT15 1WA,5,375412,334000,27/02/2014
Home Bargains,Unit 3 Cityside Retail Park,,100-150 York Street,Belfast,BT15 1WA,5,375412,334000,12/03/2014
Centra,,,160 Cliftonville Road,Belfast,BT14 6LA,3,376327,332637,06/02/2014
Asda,,,219 Shore Road,Belfast,BT15 3PR,5,377528,334242,10/07/2013
CO-OP,,,238 Antrim Road,Belfast,BT15 2AR,5,376141,333261,08/04/2015
CO-OP,Unit 5,,252 Whitewell Road,Newtownabbey,BT36 7NH,5,380629,333374,08/12/2014
Spar/Subway,,,27 Ardoyne Road,Belfast,BT14 7HX,3,375992,331465,05/07/2015
Tesco,,,2 Ballygomartin Road,Belfast,BT13 3LD,5,375247,331342,18/06/2014
Spar,,,325 Cavehill Road,Belfast,BT15 5EY,5,378046,332610,30/07/2014
Maxol Spar,,,328 Antrim Road,Belfast,BT15 5AB,5,376820,333195,24/06/2015
Tesco,,,405 Antrim Road,Belfast,BT15 3BG,5,,,24/02/2015
CO-OP,Deerpark Post Office,,523 Oldpark Road,Belfast,BT14 6QU,3,376814,332052,24/06/2015
ICELAND,,,Brougham Street,Belfast,BT15 1JQ,5,,,22/12/2014
Co-op Foodstore,,,124 Upper Lisburn Road,Belfast,BT10 0BD,4,370006,330457,18/08/2014
Spar - Musgrave,,,136 Stockmans Lane,Belfast,BT9 7JE,4,371255,330921,28/07/2015
Tesco,,,307 Ormeau Road,Belfast,BT7 3GG,5,372132,334518,08/01/2013
CO-OP,,,32B Upper Malone Road,Belfast,BT9 5NA,5,369332,331615,12/04/2014
Centra Quick Stop,,,52-54 Botanic Avenue,Belfast,BT7 1JR,3,373025,333692,13/11/2014
Dunnes Stores,Dunnes Stores,,Annadale Embankment,Belfast,BT7 3AE,5,372376,334311,03/05/2015
Marks & Spencer,Unit 8,Belfast,Balmoral Plaza,Boucher Road,BT12 6HR,5,,,08/06/2015
Iceland,Castle Street Junction,,King Street,Belfast,BT1 1HY,5,,,12/03/2012
LIDL,,,14 Andersonstown Road,Belfast,BT11 9AJ,5,371942,330742,17/06/2013
Iceland,,,151 Andersonstown Road,Belfast,BT11 9BH,5,371308,329919,06/11/2014
Today's Local,,,160-174 Sandy Row,Belfast,BT12 5EY,4,373284,333435,01/08/2015
Lenadoon Spar,,,176 Lenadoon Avenue,Belfast,BT11 9HF,4,371481,328614,04/08/2015
Centra,,,23-27 Beechmount Avenue,Belfast,BT12 7NA,5,,,30/06/2014
Home Bargains,Unit 6  Balmoral Plaza,,24 Boucher Road,Belfast,BT12 6HR,4,372315,332000,10/08/2013
Spar,,,250-252 Donegall Road,Belfast,BT12 5NE,5,373102,332726,29/11/2013
Tesco,,,2 Royal Avenue,Belfast,BT1 1DA,5,374341,333761,01/03/2014
Dunnes Stores (Park Centre),,,537 Donegall Road,Belfast,BT12 6HW,5,373129,331780,09/07/2015
Iceland Frozen Foods PLC,,,537 Donegall Road,Belfast,BT12 6HW,5,373129,331780,15/10/2013
Sainsbury's,"Unit 28, Kennedy Centre",,564-568 Falls Road,Belfast,BT11 9AE,5,372214,330762,06/06/2012
Sainsbury's Filling Station,Kennedy Centre,,564-568 Falls Road,Belfast,BT11 9AE,5,372214,330762,07/06/2015
Mount Alverno Service Station,,,703-705 Springfield Road,Belfast,BT12 7FP,4,373534,329955,28/05/2014
Centra,Unit 7,,7 Woodbourne Crescent,Belfast,BT11 9PG,5,370748,328565,06/10/2015
Asda,Westwood Shopping Centre,,Kennedy Way,Belfast,BT11 9AP,5,371764,330712,14/11/2013
Iceland Foods Ltd,Arnott House,,12-16 Bridge Street,Belfast,BT1 1LS,5,374422,333993,06/11/2012
CO-OP LATE SHOP,Co-Op Late Shop,,150 Kings Road,,BT5 7EJ,4,,,16/11/2011
CO-OP,,,323 Ballysillan Road,Belfast,BT14 6RE,5,,,05/01/2015
Tesco Express,,,20 Great Victoria Street,Belfast,BT2 7BA,5,373856,333581,24/02/2015
Select Sandwiches,,,12 Owenvarragh Drive,,,4,,,24/11/2015
Clements (Manufacturer),Physical Education Centre,,Botanic Gardens,Belfast,BT9 5EX,5,372221,333836,26/03/2014
Clements ( Manufacturer ),,Stranmillis Road,The Ashby Building,Queens University,BT9 5AG,,,,
The Claremount/The Great Little Sandwich Company,,,374 Lisburn Road,Belfast,BT9 6GL,3,371297,332027,27/08/2015
Academy Restaurant,Art & Design Centre,,25-51 York Street,Belfast,BT15 1ED,5,374823,333890,27/02/2014
LISNASHARRAGH CENTRAL KITCHEN,,Belfast,2 Tudor Drive,,BT6 9LS,5,371490,336839,26/11/2014
Forge Integrated Primary School,,,20 Carolan Road,Belfast,BT7 3HE,5,,,14/05/2013
Forthriver Primary School,Forth River Primary School,,100 Cairnmartin Road,Belfast,BT13 3PQ,5,375738,331119,02/03/2014
GOOD SHEPHERD NURSERY SCHOOL,,Dunmurry,11 Good Shepherd Road,,BT17 0PL,5,370560,327725,05/11/2015
OUR LADY & ST PATRICKS COLLEGE,,Belfast,120 Gilnahirk Road,,BT5 7DL,5,372951,339673,28/05/2014
St Dominics High School,,,135-137 Falls Road,Belfast,BT12 6AE,5,373759,332054,26/11/2013
CASTLEREAGH NURSERY SCHOOL DINING CENTRE,,Belfast,135 Clonduff Drive,,BT6 9NS,5,371796,337082,13/01/2014
GILNAHIRK PRIMARY SCHOOL,Gilnahirk Primary School,Belfast,148 Gilnahirk Road,,BT5 7QQ,5,372772,339690,26/09/2011
CASTLEREAGH COLLEGE (CANTEEN),,Belfast,14 Montgomery Road,,BT6 9JD,4,371958,336188,11/05/2015
ST LUKES PRIMARY SCHOOL,,Dunmurry,16a Glasvey Drive,,BT17 ODB,5,,,09/04/2014
OUR LADY QUEEN OF PEACE PRIMARY SCHOOL,,Dunmurry,1 Cherry Road,,BT17 0RW,5,369339,328631,09/04/2014
OUR LADY QUEEN OF PEACE NURSERY UNIT,,Dunmurry,1 Cherry Road,,BT17 0RW,5,369339,328631,09/11/2014
Belfast Bible College,,Dunmurry,1 Glenburn Road South,,BT17 9JP,5,368227,329730,13/05/2015
Gaelscoil na Mona,,,1 Monagh Link,Belfast,BT11 8QB,5,372731,329791,05/07/2015
Elmgrove PS,Elmgrove Primary School,,289 Beersbridge Road,Belfast,BT5 4RS,5,373441,336419,10/07/2015
BRANIEL PRIMARY & NURSERY SCHOOL,Braniel Primary & Nursery School,,30 Ravenswood Park,,BT5 7JU,5,,,03/07/2012
LEADHILL PRIMARY SCHOOL,Leadhill Primary School,,31 Church Road,,BT6 9RZ,4,,,13/09/2013
TULLYCARNET SCHOOL MEALS,Tullycarnet School Meals,,325 Kings Road,,BT5 7EH,5,,,14/10/2014
Wheatfield Nursery School,,,35a Glenbryn Gardens,,BT14 7JA,5,,,29/05/2015
St Brides PS,,,36-38 Derryvolgie Avenue,Belfast,BT9 6FP,5,371973,333088,03/06/2015
De La Salle,De La Salle College,,36 Edenmore Drive,Belfast,BT11 8LT,5,371682,329510,06/04/2014
Boys Model School,,,384 Ballysillan Road,Belfast,BT14 6RB,5,,,27/04/2015
Belfast Metropolitan College,E3 Building Springvale Campus,,398 Springfield Road,Belfast,BT12 7DU,5,374415,331495,01/12/2016
Scoil Na Fuiseoige Primary School,,Dunmurry,40 Gardenmore Road,,BT17 0DF,5,,,09/11/2013
ST BERNARDS PRIMARY SCHOOL DINING CENTRE,St Bernard's Primary School,,46 Wynchurch Walk,Belfast,BT6 0JS,5,370856,335844,06/12/2015
St Michael's Primary School,,,514 Ravenhill Road,Belfast,BT6 0BW,5,372046,335070,06/01/2015
Mercy Primary School,,,614 Crumlin Road,Belfast,BT14 7GL,5,376135,331131,09/03/2014
