Organisation,Invoice ID,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced (£)
Rochdale,V000852233,19/11/2014,ST THOMAS MORE PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,1455.3
Rochdale,V000852234,19/11/2014,SUNFLOWER NURSERIES LIMITED,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,18284.8
Rochdale,V000852235,19/11/2014,SUNSHINE PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,5197.5
Rochdale,V000852236,19/11/2014,SUPERTOTS DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,6652.8
Rochdale,V000852237,19/11/2014,TEDDY BEAR NURSERY LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,1247.4
Rochdale,V000852238,19/11/2014,TEDDY BEAR NURSERY LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,5197.5
Rochdale,V000853133,24/11/2014,THE APPLE TREE PRIVATE DAY NURSERY,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,9524.2
Rochdale,V000852645,20/11/2014,THE HOME CORNER,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,3534.3
Rochdale,V000852239,19/11/2014,THE OLD LIBRARY PDN,Unclassifiable,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,24532.2
Rochdale,V000852240,19/11/2014,THE WILLOWS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,2079
Rochdale,V000852242,19/11/2014,TINKERBELL CHILDRENS DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,17255.7
Rochdale,V000855110,28/11/2014,TOTS JUNCTION,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,1351.35
Rochdale,V000852243,19/11/2014,TREETOPS NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,3950.1
Rochdale,V000852245,19/11/2014,WARDLE CHILDCARE PARTNERSHIP,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,2079
Rochdale,V000852246,19/11/2014,WENDYS,Unclassifiable,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,6237
Rochdale,V000852247,19/11/2014,WOODLAND PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,14968.8
Rochdale,V000852155,19/11/2014,OFSTED,Financial Services,CHILDREN’S SOCIAL CARE,FURNESS ROAD,1760
Rochdale,V000854458,26/11/2014,COMFORT CALL LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,503
Rochdale,V000854459,26/11/2014,COMFORT CALL LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,744
Rochdale,V000849229,14/11/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,702.62
Rochdale,V000852830,21/11/2014,DB ROCHDALE LTD,Unclassifiable,LEARNING DIS & MENTAL HEALTH,GENERAL,850.16
Rochdale,V000849320,14/11/2014,NEWBARN LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,518.14
Rochdale,V000849323,14/11/2014,NEWBARN LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,1709.16
Rochdale,V000849324,14/11/2014,NEWBARN LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,575.71
Rochdale,V000849325,14/11/2014,NEWBARN LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,863.57
Rochdale,V000849326,14/11/2014,NEWBARN LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,575.71
Rochdale,V000854462,26/11/2014,SEVACARE,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,540.96
Rochdale,V000849821,17/11/2014,HEALTH & SAFETY SOLUTIONS (NW) LTD,Health & Safety ,EARLY HELP AND SCHOOLS,GENERAL SURE START TRAINING,700
Rochdale,V000850321,18/11/2014,HEALTH & SAFETY SOLUTIONS (NW) LTD,Health & Safety ,EARLY HELP AND SCHOOLS,GENERAL SURE START TRAINING,550
Rochdale,V000847712,05/11/2014,GEORGE HOUSE TRUST,Healthcare,PUBLIC HEALTH,GEORGE HOUSE,1414.58
Rochdale,V000854960,28/11/2014,BRITISH GAS BUSINESS (GAS),Utilities,PROPERTY AND HIGHWAYS,GLOBE HOUSE,1803.71
Rochdale,V000854962,28/11/2014,BRITISH GAS BUSINESS (GAS),Utilities,PROPERTY AND HIGHWAYS,GLOBE HOUSE,1747.37
Rochdale,V000847256,03/11/2014,CO-OPERATIVE BANK PLC,Financial Services,PROPERTY AND HIGHWAYS,GLOBE HOUSE,2045.25
Rochdale,V000847963,06/11/2014,DUVAL SECURITY LIMITED,Facilities & Management Services,PROPERTY AND HIGHWAYS,GLOBE HOUSE,4526.71
Rochdale,V000847857,06/11/2014,TALKTALK BUSINESS,Information Communication Technology,PROPERTY AND HIGHWAYS,GLOBE HOUSE,509.15
Rochdale,V000854120,25/11/2014,TALKTALK BUSINESS,Information Communication Technology,PROPERTY AND HIGHWAYS,GLOBE HOUSE,567.22
Rochdale,V000849389,14/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,PROPERTY AND HIGHWAYS,GLOBE HOUSE,700.52
Rochdale,V000848342,15/11/2014,GMCA,Financial Services,ECONOMY AND ENVIRONMENT,GMPTE LEVY,1554300
Rochdale,V000854659,26/11/2014,B & C BEAL CONSULTANCY LTD,Consultancy,EARLY HELP AND SCHOOLS,GOVERNORS SERVICES,1024.3
Rochdale,V000847770,06/11/2014,BUILDING BLOCKS DAY NURSERY NW LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,1000
Rochdale,V000847646,05/11/2014,COSY TOES CHILDCARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,1000
Rochdale,V000846721,03/11/2014,HOPWOOD HALL COLLEGE,Facilities & Management Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,3330
Rochdale,V000847618,05/11/2014,HOPWOOD HALL COLLEGE,Facilities & Management Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,3330
Rochdale,V000847661,07/11/2014,HOPWOOD HALL COLLEGE,Facilities & Management Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,1667.5
Rochdale,V000852863,21/11/2014,RAINBOWS END PRIVATE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,1000
Rochdale,V000853109,24/11/2014,RAINBOWS END PRIVATE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,2500
Rochdale,V000846615,03/11/2014,ROLY POLEYS PRIVATE DAY NURSERY,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,2000
Rochdale,V000847511,04/11/2014,NO GRAFFITI LTD,Environmental Services,ECONOMY AND ENVIRONMENT,GRAFFITI TEAM,1600
Rochdale,V000847954,06/11/2014,NO GRAFFITI LTD,Environmental Services,ECONOMY AND ENVIRONMENT,GRAFFITI TEAM,1500
Rochdale,V000848704,11/11/2014,NO GRAFFITI LTD,Environmental Services,ECONOMY AND ENVIRONMENT,GRAFFITI TEAM,1350
Rochdale,V000847373,03/11/2014,AGROVISTA UK LTD,Horticultural,ECONOMY AND ENVIRONMENT,GROUNDS HEYWOOD GENERAL,676
Rochdale,V000847373,03/11/2014,AGROVISTA UK LTD,Horticultural,ECONOMY AND ENVIRONMENT,GROUNDS MIDDLETON GENERAL,676
Rochdale,V000828285,28/11/2014,NILFISK OUTDOOR PRODUCTS,Cleaning & Janitorial,ECONOMY AND ENVIRONMENT,GROUNDS MTCE EQUIPMENT,37426.8
Rochdale,V000830527,28/11/2014,NILFISK OUTDOOR PRODUCTS,Cleaning & Janitorial,ECONOMY AND ENVIRONMENT,GROUNDS MTCE EQUIPMENT,500
Rochdale,V000847373,03/11/2014,AGROVISTA UK LTD,Horticultural,ECONOMY AND ENVIRONMENT,GROUNDS PREMISES GENERAL,676
Rochdale,V000850345,18/11/2014,AQUABLAST SERVICES LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,GROUNDS PREMISES GENERAL,645
Rochdale,V000847373,03/11/2014,AGROVISTA UK LTD,Horticultural,ECONOMY AND ENVIRONMENT,GROUNDS ROCHDALE GENERAL,676
Rochdale,V000849632,17/11/2014,REDFOX COUNTRYSIDE SERVICES,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,GROUNDS ROCHDALE GENERAL,540
Rochdale,V000852711,20/11/2014,CLONSHALL LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,HANSON CLOSE INDUSTRIAL ESTATE,765
Rochdale,V000847738,05/11/2014,CORE ASSETS CHILDRENS SERVICES LTD,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,834
Rochdale,V000847738,10/11/2014,CORE ASSETS CHILDRENS SERVICES LTD,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,-834
Rochdale,V000848225,07/11/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,4767.5
Rochdale,V000852596,20/11/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,4767.5
Rochdale,V000848808,11/11/2014,GATENBY SANDERSON,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,12696
Rochdale,V000847949,06/11/2014,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,Financial Services,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,3545.55
Rochdale,V000853037,21/11/2014,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,Financial Services,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,3545.55
Rochdale,V000853041,21/11/2014,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,Financial Services,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,17448.08
Rochdale,V000848096,07/11/2014,PEOPLETOO LIMITED,Consultancy,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,8499
Rochdale,V000847756,06/11/2014,SWP CONSULTING,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,4500
Rochdale,V000847757,06/11/2014,SWP CONSULTING,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,4500
Rochdale,V000849175,13/11/2014,SWP CONSULTING,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,1725
Rochdale,V000849178,13/11/2014,SWP CONSULTING,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,1725
Rochdale,V000854803,27/11/2014,SWP CONSULTING,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,1725
Rochdale,V000854805,27/11/2014,SWP CONSULTING,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,1725
Rochdale,V000854609,26/11/2014,BARNSLEY METROPOLITAN BOROUGH COUNCIL,Financial Services,FINANCE SERVICES,HEAD OF SERVICE MANAGEMENT,3000
Rochdale,V000849369,14/11/2014,CIPFA BUSINESS LIMITED,Financial Services,FINANCE SERVICES,HEAD OF SERVICE MANAGEMENT,1105
Rochdale,V000849285,14/11/2014,OUR LIFE,Financial Services,ECONOMY AND ENVIRONMENT,HEALTH & HOUSING PROJECT,3600
Rochdale,V000849286,14/11/2014,OUR LIFE,Financial Services,ECONOMY AND ENVIRONMENT,HEALTH & HOUSING PROJECT,18000
Rochdale,V000844735,01/11/2014,MIDDLETON TRAMPOLINING CLUB,Arts & Leisure Services,EARLY HELP AND SCHOOLS,HEALTH RELATED SHORT BREAKS,2729.08
Rochdale,V000844729,01/11/2014,RAINBOW SCENT,Unclassifiable,EARLY HELP AND SCHOOLS,HEALTH RELATED SHORT BREAKS,2500
Rochdale,V000844725,01/11/2014,SHINING STARS SWIMMING SCHEME,Arts & Leisure Services,EARLY HELP AND SCHOOLS,HEALTH RELATED SHORT BREAKS,4037.5
Rochdale,V000844724,01/11/2014,THE NATIONAL AUTISTIC SOCIETY,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,HEALTH RELATED SHORT BREAKS,1300
Rochdale,V000849056,13/11/2014,ICE LIMITED,Arts & Leisure Services,PUBLIC HEALTH,HEALTH SMART,17702.5
Rochdale,V000850247,18/11/2014,ICE LIMITED,Arts & Leisure Services,PUBLIC HEALTH,HEALTH SMART,6040
Rochdale,V000821572,07/11/2014,THE LIFE CHANNEL GROUP LIMITED,Facilities & Management Services,PUBLIC HEALTH,HEALTH SMART,3000
Rochdale,V000849679,17/11/2014,CONNEVANS LIMITED,Healthcare,EARLY HELP AND SCHOOLS,HEARING IMPAIRED SUPPORT,670.1
Rochdale,V000848982,12/11/2014,BARNARDOS,Financial Services,EARLY HELP AND SCHOOLS,HEY MIDD ROCH PCT FUNDING,6250
Rochdale,V000846080,17/11/2014,ISAAC BUTTERWORTH (IRONFOUNDERS) LIMITED,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,HEYWOOD CEMETERY IMPROVEMENTS,3835.8
Rochdale,V000847598,04/11/2014,ISAAC BUTTERWORTH (IRONFOUNDERS) LIMITED,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,HEYWOOD CEMETERY IMPROVEMENTS,1776.2
Rochdale,V000854852,27/11/2014,BRAHM FUNDCO 2 LTD,Housing Management,ECONOMY AND ENVIRONMENT,HEYWOOD JSC - PHOENIX CENTRE,22470.73
Rochdale,V000852567,20/11/2014,ATG ACCESS LTD,Facilities & Management Services,PROPERTY AND HIGHWAYS,HEYWOOD RISING BOLLARD,2752.09
Rochdale,V000852565,20/11/2014,J COONEY LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HEYWOOD RISING BOLLARD,525
Rochdale,V000849008,13/11/2014,FLETCHER BUILDING SERVICES LIMITED,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,HIA,885
Rochdale,V000846724,03/11/2014,MANCHESTER WORKING LIMITED,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,HIA,14337
Rochdale,V000854957,28/11/2014,MANCHESTER WORKING LIMITED,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,HIA,14337
Rochdale,V000847370,03/11/2014,PRIESTLEYS JOINERS,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,HIA,1848
Rochdale,V000848772,18/11/2014,ROSS CARE,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,HIA,661.54
Rochdale,V000844063,04/11/2014,ROYAL NATIONAL INSTITUTE OF THE BLIND,Financial Services,PHYSICAL DIS & OLDER PEOPLE,HIA,1000
Rochdale,V000847638,05/11/2014,STANNAH LIFT SERVICES LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,HIA,1490
Rochdale,V000847589,04/11/2014,UNITY PARTNERSHIP LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,HIGHWAYS CAPITAL INVESTMENT,18559.24
Rochdale,V000853140,24/11/2014,UNITY PARTNERSHIP LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,HIGHWAYS CAPITAL INVESTMENT,24603.23
Rochdale,V000854595,26/11/2014,UNITY PARTNERSHIP LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,HIGHWAYS CAPITAL INVESTMENT,13596.6
Rochdale,V000852558,20/11/2014,UNITY PARTNERSHIP LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,HIGHWAYS MANAGEMENT,3037.5
Rochdale,V000853019,25/11/2014,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,HIGHWOOD RESOURCE CENTRE,818.95
Rochdale,V000855109,28/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,EARLY HELP AND SCHOOLS,HIGHWOOD RESOURCE CENTRE,1114.04
Rochdale,V000853211,24/11/2014,GMCA,Financial Services,PROPERTY AND HIGHWAYS,HIP BRIDGE STREET,713.74
Rochdale,V000853138,24/11/2014,J COONEY LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HIP FARMWAY,8239.33
Rochdale,V000852588,20/11/2014,A E YATES LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HIP HUDDERSFIELD ROAD,990.35
Rochdale,V000852695,20/11/2014,GMCA,Financial Services,PROPERTY AND HIGHWAYS,HIP MELLOR ST,1731.68
Rochdale,V000852699,20/11/2014,GMCA,Financial Services,PROPERTY AND HIGHWAYS,HIP OLDHAM ROAD,2070.66
Rochdale,V000854678,26/11/2014,TRANSPORT FOR GREATER MANCHESTER,Public Transport,PROPERTY AND HIGHWAYS,HIP OLDHAM ROAD,2880
Rochdale,V000852694,20/11/2014,GMCA,Financial Services,PROPERTY AND HIGHWAYS,HIP QUEENS PARK ROAD - LOCALISED REPAIRS,4859.36
Rochdale,V000853136,24/11/2014,J COONEY LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HIP WESTFIELD AVE,12211.2
Rochdale,V000852597,20/11/2014,JPR ASBESTOS SERVICES LTD,Environmental Services,ECONOMY AND ENVIRONMENT,HMRF RENTAL INCOME,2475
Rochdale,V000849053,13/11/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,HOLLIN - PLACE PLANNING,2250
Rochdale,V000850311,18/11/2014,DDH FABRICATIONS LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HOLLINGWORTH LAKE GENERAL,890
Rochdale,V000852587,20/11/2014,INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,HOLLINGWORTH PFI,288180.66
Rochdale,V000844723,01/11/2014,ROCHDALE BOROUGHWIDE HOUSING,Housing Management,ECONOMY AND ENVIRONMENT,HOMELESS CONTRACT,49833.33
Rochdale,V000854328,26/11/2014,THE SANCTUARY TRUST,Social Community Care Supplies & Services,ECONOMY AND ENVIRONMENT,HOMELESS HEALTH HUB,4000
Rochdale,V000854626,26/11/2014,THE SANCTUARY TRUST,Social Community Care Supplies & Services,ECONOMY AND ENVIRONMENT,HOMELESS HEALTH HUB,1822
Rochdale,V000849244,13/11/2014,BUILDING DESIGN PARTNERSHIP LTD,"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,HOPWOOD - PLACE PLANNING,772.5
Rochdale,V000850242,18/11/2014,HOPWOOD COMMUNITY PRIMARY SCHOOL,Public Bodies,EARLY HELP AND SCHOOLS,HOPWOOD - PLACE PLANNING,5073.71
Rochdale,V000852468,19/11/2014,HOPWOOD COMMUNITY PRIMARY SCHOOL,Public Bodies,EARLY HELP AND SCHOOLS,HOPWOOD - PLACE PLANNING,926.29
Rochdale,V000847093,03/11/2014,PENNINE CARE IN PATIENT SERVICES PRIORY,Healthcare,EARLY HELP AND SCHOOLS,HOSPITAL TUITION,2800
Rochdale,V000847826,06/11/2014,ACTION ON HEARING LOSS,Financial Services,EARLY HELP AND SCHOOLS,HOWARD ST CHILDRENS CENTRE,798
Rochdale,V000835115,07/11/2014,ROCHDALE OCCUPATIONAL HEALTH SERVICE LTD,Healthcare,EARLY HELP AND SCHOOLS,HOWARD ST CHILDRENS CENTRE,535
Rochdale,V000830433,11/11/2014,PENNINE CARE NHS,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,ICAN,8538
Rochdale,V000848084,07/11/2014,PENNINE CARE NHS,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,ICAN,5751.19
Rochdale,V000848589,10/11/2014,BELMONT SCHOOL LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,10658
Rochdale,V000854928,28/11/2014,BELMONT SCHOOL LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,10658
Rochdale,V000854929,28/11/2014,BELMONT SCHOOL LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,9810.12
Rochdale,V000854930,28/11/2014,BELMONT SCHOOL LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,10658
Rochdale,V000854931,28/11/2014,BELMONT SCHOOL LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,10658
Rochdale,V000854932,28/11/2014,BELMONT SCHOOL LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,10658
Rochdale,V000855103,28/11/2014,BELMONT SCHOOL LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,10347.68
Rochdale,V000848927,12/11/2014,KEYS CHILDCARE,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,2600
Rochdale,V000854778,27/11/2014,PONTVILLE SCHOOL,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,22734
Rochdale,V000848593,10/11/2014,ROSSENDALE SCHOOL PRIORY,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,915
Rochdale,V000854779,27/11/2014,ROSSENDALE SCHOOL PRIORY,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,13059
Rochdale,V000854780,27/11/2014,ROSSENDALE SCHOOL PRIORY,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,13059
Rochdale,V000854781,27/11/2014,ROSSENDALE SCHOOL PRIORY,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,13059
Rochdale,V000854782,27/11/2014,ROSSENDALE SCHOOL PRIORY,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,13059
Rochdale,V000854785,27/11/2014,WINGS SCHOOL,Education,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,31848
Rochdale,V000854534,26/11/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,3538.34
Rochdale,V000854536,26/11/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,3321.34
Rochdale,V000854537,26/11/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,3011.34
Rochdale,V000854538,26/11/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,3228.34
Rochdale,V000854539,26/11/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,3184.01
Rochdale,V000854541,26/11/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,3449.99
Rochdale,V000854542,26/11/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,2905.63
Rochdale,V000854544,26/11/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,3228.34
Rochdale,V000854545,26/11/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,3370.01
Rochdale,V000854546,26/11/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,3184.01
Rochdale,V000854548,26/11/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,3268.33
Rochdale,V000854549,26/11/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,3268.33
Rochdale,V000854551,26/11/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,3268.33
Rochdale,V000854552,26/11/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,3228.34
Rochdale,V000854554,26/11/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,3228.34
Rochdale,V000854555,26/11/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,3423.33
Rochdale,V000854557,26/11/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,3449.99
Rochdale,V000848632,10/11/2014,FAMILY CARE ASSOCIATES,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,-1280.28
Rochdale,V000848612,10/11/2014,FOSTER CARE ASSOCIATES LIMITED,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,1554.3
Rochdale,V000848642,10/11/2014,FOSTER CARE ASSOCIATES LIMITED,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,-990.85
Rochdale,V000848613,10/11/2014,FOSTER CARE ASSOCIATES LIMITED,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,-2305.27
Rochdale,V000848719,11/11/2014,NEW HORIZONS STOCKPORT LIMITED,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,7954
Rochdale,V000854800,27/11/2014,KAPOOR CHEMISTS LTD,Healthcare,PUBLIC HEALTH,INFECTIOUS DESEASES,3272
Rochdale,V000854636,26/11/2014,ADOPTION MATTERS,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,750
Rochdale,V000854643,26/11/2014,ADOPTION MATTERS,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,750
Rochdale,V000852786,21/11/2014,BARNARDOS,Financial Services,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,9000
Rochdale,V000848796,11/11/2014,H BELL & SONS ROCHDALE LTD,Building Construction Materials,EARLY HELP AND SCHOOLS,KITCHEN & DINING FACILITY EXPS / IMPR,87147.85
