ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,PAID DATE,NET AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020314
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,623.30,RESIDENTIAL LONG TERM,V001020316
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,623.30,RESIDENTIAL LONG TERM,V001020317
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,-598.12,NURSING LONG TERM,V001020319
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,591.66,RESIDENTIAL LONG TERM,V001020320
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,590.12,RESIDENTIAL LONG TERM,V001020321
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020322
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,583.02,RESIDENTIAL LONG TERM,V001020323
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,597.90,RESIDENTIAL LONG TERM,V001020324
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,564.48,RESIDENTIAL LONG TERM,V001020325
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,801.30,NURSING LONG TERM,V001020326
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,604.12,RESIDENTIAL LONG TERM,V001020327
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,24/06/2016,522.84,RESIDENTIAL LONG TERM,V001020328
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,24/06/2016,601.88,RESIDENTIAL LONG TERM,V001020329
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,517.57,NURSING LONG TERM,V001020330
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,HURSTEAD HOUSE CARE HOME,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020332
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,662.82,RESIDENTIAL LONG TERM,V001020333
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,24/06/2016,565.20,RESIDENTIAL LONG TERM,V001020334
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,24/06/2016,533.38,RESIDENTIAL LONG TERM,V001020335
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,24/06/2016,593.62,RESIDENTIAL LONG TERM,V001020336
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,24/06/2016,584.92,NURSING LONG TERM,V001020338
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,502.70,NURSING LONG TERM,V001020344
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,24/06/2016,592.12,RESIDENTIAL LONG TERM,V001020345
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,24/06/2016,582.90,RESIDENTIAL LONG TERM,V001020346
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,24/06/2016,592.12,RESIDENTIAL LONG TERM,V001020347
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,24/06/2016,529.28,RESIDENTIAL LONG TERM,V001020348
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,24/06/2016,582.50,RESIDENTIAL LONG TERM,V001020349
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,582.74,RESIDENTIAL LONG TERM,V001020350
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,24/06/2016,578.98,NURSING LONG TERM,V001020351
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,24/06/2016,586.58,RESIDENTIAL LONG TERM,V001020352
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020353
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,588.28,NURSING LONG TERM,V001020354
ROCHDALE BOROUGH COUNCIL,24/06/2016,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,24/06/2016,595.90,RESIDENTIAL LONG TERM,V001020355
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,598.12,NURSING LONG TERM,V001020357
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020360
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020361
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,24/06/2016,547.16,RESIDENTIAL LONG TERM,V001020362
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,884.70,RESIDENTIAL LONG TERM,V001020364
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,24/06/2016,523.02,RESIDENTIAL LONG TERM,V001020365
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020366
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020367
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,859.52,NURSING LONG TERM,V001020368
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,24/06/2016,623.30,RESIDENTIAL LONG TERM,V001020369
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,596.12,RESIDENTIAL LONG TERM,V001020371
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,598.12,NURSING LONG TERM,V001020372
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,24/06/2016,569.36,RESIDENTIAL LONG TERM,V001020373
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020375
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HIGHFIELD HALL,24/06/2016,884.70,RESIDENTIAL LONG TERM,V001020376
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,24/06/2016,526.70,RESIDENTIAL LONG TERM,V001020378
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,598.12,NURSING LONG TERM,V001020379
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,24/06/2016,600.12,RESIDENTIAL LONG TERM,V001020380
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,HALF ACRE HOUSE,24/06/2016,576.18,RESIDENTIAL LONG TERM,V001020383
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020384
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,24/06/2016,562.00,RESIDENTIAL LONG TERM,V001020387
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,24/06/2016,547.96,RESIDENTIAL LONG TERM,V001020388
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,HALF ACRE HOUSE,24/06/2016,574.70,RESIDENTIAL LONG TERM,V001020389
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,24/06/2016,572.92,RESIDENTIAL LONG TERM,V001020390
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,598.12,NURSING LONG TERM,V001020392
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020393
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,24/06/2016,623.30,RESIDENTIAL LONG TERM,V001020395
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020397
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,605.94,RESIDENTIAL LONG TERM,V001020401
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,24/06/2016,616.12,RESIDENTIAL LONG TERM,V001020403
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020405
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,859.52,NURSING LONG TERM,V001020407
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020408
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,651.30,RESIDENTIAL LONG TERM,V001020410
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020412
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,24/06/2016,685.38,RESIDENTIAL LONG TERM,V001020413
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,859.52,RESIDENTIAL LONG TERM,V001020414
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020415
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020416
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,24/06/2016,560.38,RESIDENTIAL LONG TERM,V001020417
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,24/06/2016,884.70,RESIDENTIAL LONG TERM,V001020418
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,24/06/2016,545.32,NURSING LONG TERM,V001020420
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,24/06/2016,561.98,RESIDENTIAL LONG TERM,V001020421
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,24/06/2016,520.44,RESIDENTIAL LONG TERM,V001020423
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,623.30,RESIDENTIAL LONG TERM,V001020424
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020425
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,654.88,RESIDENTIAL LONG TERM,V001020426
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,24/06/2016,546.86,RESIDENTIAL LONG TERM,V001020427
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,HURSTEAD HOUSE CARE HOME,24/06/2016,635.52,NURSING LONG TERM,V001020428
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020431
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,24/06/2016,623.30,RESIDENTIAL LONG TERM,V001020433
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,24/06/2016,623.30,RESIDENTIAL LONG TERM,V001020434
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,24/06/2016,623.30,RESIDENTIAL LONG TERM,V001020435
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,24/06/2016,623.30,RESIDENTIAL LONG TERM,V001020436
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,24/06/2016,623.30,RESIDENTIAL LONG TERM,V001020437
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020438
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,24/06/2016,573.74,RESIDENTIAL LONG TERM,V001020439
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,24/06/2016,598.12,NURSING LONG TERM,V001020440
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,24/06/2016,582.60,RESIDENTIAL LONG TERM,V001020441
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020442
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,24/06/2016,623.30,RESIDENTIAL LONG TERM,V001020448
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,24/06/2016,736.73,RESIDENTIAL LONG TERM,V001020449
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,24/06/2016,859.52,RESIDENTIAL LONG TERM,V001020450
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020452
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,HURSTEAD HOUSE CARE HOME,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020453
ROCHDALE BOROUGH COUNCIL,24/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,24/06/2016,598.12,RESIDENTIAL LONG TERM,V001020454
ROCHDALE BOROUGH COUNCIL,23/06/2016,PHYSICAL DIS & OLDER PEOPLE,HOMECARE SUPPORT,23/06/2016,3658.27,HOME CARE - ADULT SERVICES,V001020456
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,LINK4LIFE (CHARITY),23/06/2016,15000.00,ACTIVITIES,V001020457
ROCHDALE BOROUGH COUNCIL,23/06/2016,PHYSICAL DIS & OLDER PEOPLE,HG CARE SERVICES LIMITED,23/06/2016,3799.33,HOME CARE - ADULT SERVICES,V001020458
ROCHDALE BOROUGH COUNCIL,23/06/2016,PHYSICAL DIS & OLDER PEOPLE,PREMIER CARE,23/06/2016,12397.90,HOME CARE - ADULT SERVICES,V001020460
ROCHDALE BOROUGH COUNCIL,23/06/2016,PHYSICAL DIS & OLDER PEOPLE,SEVACARE,23/06/2016,14386.89,HOME CARE - ADULT SERVICES,V001020462
ROCHDALE BOROUGH COUNCIL,23/06/2016,PHYSICAL DIS & OLDER PEOPLE,SUNSHINE CARE CO-OP,23/06/2016,3336.72,HOME CARE - ADULT SERVICES,V001020463
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,CP DAVIDSON & SONS LTD,23/06/2016,2640.00,TRANSACTIONS-EXPENDITURE,V001020464
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,CP DAVIDSON & SONS LTD,23/06/2016,3520.00,TRANSACTIONS-EXPENDITURE,V001020465
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,CP DAVIDSON & SONS LTD,23/06/2016,3520.00,TRANSACTIONS-EXPENDITURE,V001020466
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,CP DAVIDSON & SONS LTD,23/06/2016,3520.00,TRANSACTIONS-EXPENDITURE,V001020467
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,CP DAVIDSON & SONS LTD,23/06/2016,3300.00,TRANSACTIONS-EXPENDITURE,V001020468
ROCHDALE BOROUGH COUNCIL,30/06/2016,PUBLIC HEALTH,OSBORNE RICHARDSON,30/06/2016,558.25,ACTIVITIES,V001020471
ROCHDALE BOROUGH COUNCIL,23/06/2016,PROPERTY AND HIGHWAYS,TWM TRAFFIC CONTROL SYSTEMS,23/06/2016,725.00,REPAIRS & ALTS OF BUILDINGS,V001020482
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,KBP SERVICES LIMITED,23/06/2016,630.00,HISTOLOGY PAYMENTS,V001020509
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,DR S TITI,23/06/2016,677.60,MEDICAL FEES,V001020511
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,DR K BAIDEN-AMISSAH,23/06/2016,957.00,HISTOLOGY PAYMENTS,V001020517
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,DR K BAIDEN-AMISSAH,23/06/2016,1548.80,MEDICAL FEES,V001020517
ROCHDALE BOROUGH COUNCIL,24/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,DR C A WILSON,24/06/2016,553.80,MEDICAL FEES,V001020518
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,DR A PADWELL,23/06/2016,2116.00,HISTOLOGY PAYMENTS,V001020519
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,DR A PADWELL,23/06/2016,1661.40,MEDICAL FEES,V001020519
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,23/06/2016,575.00,WITNESSES EXPENSES,V001020519
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,DR ABDUL QUADER GANJIFROCKWALA,23/06/2016,774.40,MEDICAL FEES,V001020521
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,FORENSICS LTD,23/06/2016,3635.00,TOXICOLOGY PAYMENTS,V001020524
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,FORENSICS LTD,23/06/2016,3000.00,TOXICOLOGY PAYMENTS,V001020525
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,DR ARUN MANOHARAN,23/06/2016,2427.00,HISTOLOGY PAYMENTS,V001020526
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,DR ARUN MANOHARAN,23/06/2016,1742.40,MEDICAL FEES,V001020526
ROCHDALE BOROUGH COUNCIL,23/06/2016,CHILDREN’S SOCIAL CARE,1 CLICK MOVE PROPERTY MANAGEMENT,23/06/2016,750.00,ALLOWANCES,V001020533
ROCHDALE BOROUGH COUNCIL,29/06/2016,FINANCE SERVICES,AON LIMITED,29/06/2016,507.81,TRANSACTIONS-EXPENDITURE,V001020535
ROCHDALE BOROUGH COUNCIL,23/06/2016,FINANCE SERVICES,AON LIMITED,23/06/2016,24157.40,TRANSACTIONS-EXPENDITURE,V001020537
ROCHDALE BOROUGH COUNCIL,23/06/2016,FINANCE SERVICES,AON LIMITED,23/06/2016,467981.26,TRANSACTIONS-EXPENDITURE,V001020539
ROCHDALE BOROUGH COUNCIL,23/06/2016,FINANCE SERVICES,AON LIMITED,23/06/2016,-29691.66,TRANSACTIONS-EXPENDITURE,V001020540
ROCHDALE BOROUGH COUNCIL,23/06/2016,ECONOMY DIRECTORATE,HEYWOOD SCAFFOLDING SERVICES,23/06/2016,2364.00,IMPROVEMENTS-MODERNISATION,V001020551
ROCHDALE BOROUGH COUNCIL,30/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,SSI SCHAEFER LIMITED,30/06/2016,12407.40,PURCHASE OF OTHER EQUIPMENT,V001020553
ROCHDALE BOROUGH COUNCIL,23/06/2016,ECONOMY DIRECTORATE,S T HEATINGS SERVICES LTD,23/06/2016,560.00,CENTRAL HEATING,V001020559
ROCHDALE BOROUGH COUNCIL,23/06/2016,ECONOMY DIRECTORATE,S T HEATINGS SERVICES LTD,23/06/2016,1660.00,CENTRAL HEATING,V001020559
ROCHDALE BOROUGH COUNCIL,23/06/2016,ECONOMY DIRECTORATE,S T HEATINGS SERVICES LTD,23/06/2016,840.00,CENTRAL HEATING,V001020560
ROCHDALE BOROUGH COUNCIL,24/06/2016,PROPERTY AND HIGHWAYS,S T HEATINGS SERVICES LTD,24/06/2016,520.60,TRANSACTIONS-EXPENDITURE,V001020562
ROCHDALE BOROUGH COUNCIL,24/06/2016,ECONOMY DIRECTORATE,S T HEATINGS SERVICES LTD,24/06/2016,2010.56,CENTRAL HEATING,V001020563
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,OTIS LTD,23/06/2016,1652.16,PROPERTY - WORKS ELEMENT,V001020565
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,INTEGRATED DESIGN LTD,23/06/2016,2269.67,PROPERTY - WORKS ELEMENT,V001020566
ROCHDALE BOROUGH COUNCIL,23/06/2016,PROPERTY AND HIGHWAYS,F BRIERLEY & SON LIMITED,23/06/2016,980.00,TRANSACTIONS-EXPENDITURE,V001020568
ROCHDALE BOROUGH COUNCIL,24/06/2016,PUBLIC HEALTH,SUPERDRUG STORES PLC,24/06/2016,962.64,PH LCS PAYMENTS,V001020571
ROCHDALE BOROUGH COUNCIL,23/06/2016,PHYSICAL DIS & OLDER PEOPLE,BRITISH GAS,23/06/2016,517.18,ELECTRICITY,V001020613
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,BRITISH GAS,23/06/2016,553.42,ELECTRICITY,V001020613
ROCHDALE BOROUGH COUNCIL,23/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,BRITISH GAS,23/06/2016,607.72,ELECTRICITY,V001020613
