Reference Number,Titile of Agreement,Department Responsible,Description of Goods and/or Services,Supplier,Total Contract Value,Start Date,End Date,End Date (including extension),Review Date,Award Method,SME?
5000002560,Social Care (Fiver Rivers Child Care),Children's Service,"Contract is being set up, no money has been spent with the provider as of yet.",Five Rivers Child Care Li,"£113,592.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002752,SEN (King Alfred School),Children's Service,SEN Placement - NASS/ NON PROCUREMENT,King Alfred School,"£87,500.00",22/11/2012,31/03/2016,,30/06/2015,Quote,N/A
5000005410,Backfill Ali Hossein Housing Lead (AD),Adults and Communities,Backfill Ali Hossein Housing Lead (AD),The Barnetgroup,"£26,000.00",30/11/2012,31/03/2014,,30/06/2013,ITT,N/A
5000004327,Legal Costs & Serv (CS),Children's Service,Legal Costs & Serv  (CS),EAD Solicitors,"£24,000.00",30/11/2012,31/03/2016,,30/06/2015,ITT,N/A
5000004331,Parking Control Serv (EPR),Street Scene,Parking Control Serv  (EPR),Civica UK Limited,"£21,500.00",30/11/2012,31/03/2016,,30/06/2015,ITT,N/A
5000004338,Child Placement (CS),Children's Service,Child Placement  (CS),Ryancare Fostering,"£20,000.00",03/12/2012,31/03/2016,,30/06/2015,ITT,N/A
5000004340,Soc Serv Ind Care Pymnts (CS),Children's Service,Soc Serv Ind Care Pymnts  (CS),Catherine Devereux-Evans,"£15,000.00",03/12/2012,31/03/2016,,30/06/2015,ITT,N/A
5000000501,Care Place System,Adults and Communities,Information Systems,London Borough of Ealing,"£24,010.00",04/12/2012,15/12/2014,,15/03/2014,ITT,N/A
5000004347,Independent Social Worker (CS),Children's Service,Independent Social Worker  (CS),Steve Brown,"£37,752.00",07/12/2012,03/07/2015,,03/10/2014,ITT,N/A
5000004361,Therapeutic Service,Children's Service,Therapeutic Service,Binoh ,"£90,725.00",11/12/2012,09/05/2014,,09/08/2013,ITT,N/A
5000004380,CSDP Telephone Line Rental,Adults and Communities,Non- Procurement as is for line rental for a residential line rental,British Telecom Plc,"£48,000.00",13/12/2012,31/03/2015,,30/06/2014,ITT,N/A
5000004369,Child Placement,Children's Service,Child Placement,Hollibrook House LTD,"£145,000.00",14/12/2012,31/03/2016,,30/06/2015,Quote,N/A
5000004409,DCLG TFS Empty Homes,Commissioning Group,DCLG TFS Empty Homes,LB Enfield  Recoup,"£739,713.82",21/12/2012,31/03/2016,,30/06/2015,ITT,N/A
5000004397,Independent Social Work,Children's Service,Independent Social Work,Social Work South East Ltd,"£35,000.00",21/12/2012,10/03/2016,,10/06/2015,Quote,N/A
5000005368,Individual Foster Carers,Children's Service,Individual foster carers,Litsa Davies,"£59,400.00",01/01/2013,31/03/2015,,30/06/2014,ITT,N/A
5000004909,Bakery Products,Children's Service,Bakery Products,Raynors,"£600,000.00",01/01/2013,11/03/2016,,11/06/2015,ITT,N/A
5000000639,General Groceries,Children's Service,General Groceries,Thomas Ridley & Son Ltd,"£180,000.00",01/01/2013,29/07/2015,,29/10/2014,Quote,N/A
5000002692,Specialist Frozen Supplies For Catering Services,Children's Service,Specialist frozen Supplies for Catering Services,Brake Brothers,"£120,000.00",01/01/2013,31/12/2016,,31/03/2016,Quote,N/A
5000004978,Primary Expansions PCA,CSG,Primary Expansions PCA,Mace Ltd,"£221,688.27",01/01/2013,31/01/2015,,30/04/2014,ITT,N/A
5000004412,Child Placement,Children's Service,Non-Procurement,The Noam Primary School,"£18,500.00",02/01/2013,31/03/2016,,30/06/2015,Quote,N/A
5000004425,Subscript-Membership (EPR),Re,Subscript-Membership  (EPR),Experian Limited,"£10,000.00",02/01/2013,31/03/2016,,30/06/2015,ITT,N/A
700135,SWIFT Lyndhurst Rest Home,Adults and Communities,Residential & Nursing Care,Z & M Care Ltd,"£26,280.00",03/01/2013,31/03/2015,,30/06/2014,ITT,N/A
5000004426,Consult --IT Telecoms (EPR),Street Scene,Consult --IT Telecoms   (EPR),RA Information Systems,"£11,000.00",03/01/2013,31/03/2016,,30/06/2015,ITT,N/A
5000004434,Hire of Venue (CGov),Assurance,Hire of Venue  (CGov),Community Focus,"£10,000.00",04/01/2013,31/03/2016,,30/06/2015,ITT,N/A
5000004432,Residential Children's Home,Children's Service,Residential Children's Home,Alliance Care & Education,"£257,400.00",04/01/2013,31/03/2016,,30/06/2015,Quote,N/A
700373,SWIFT Mental health day opportunities,Adults and Communities,Voluntary sector preventative services,Richmond Fellowship,"£2,650,000.00",14/01/2013,13/01/2018,,13/04/2017,ITT,N/A
5000004470,Child Placement,Children's Service,Child Placement,Care Afloat,"£323,000.00",22/01/2013,31/03/2017,30/05/2014,30/06/2016,ITT,N/A
5000004507,IT Media Products (DCE),CSG,IT Media Products  (DCE),Insight Media Internet Limited,"£22,356.00",01/02/2013,31/03/2016,,30/06/2015,ITT,N/A
5000002258,IT Media Products,CSG,IT Media Products,Insight Media Internet Limited ,"£22,356.00",01/02/2013,31/03/2016,,30/06/2015,ITT,N/A
700166,SWIFT Lennox,Adults and Communities,Residential & Nursing Care,Care Uk Community Partnership Ltd,"£36,400.00",04/02/2013,31/03/2015,,30/06/2014,ITT,N/A
5000004517,Disclosure Barring Service (CRB),CSG,Disclosure Barring Service (CRB),Capita Resourcing Ltd,"£21,272.00",06/02/2013,31/03/2016,,30/06/2015,ITT,N/A
700119,SWIFT Newton House,Adults and Communities,Residential & Nursing Care,Eastern Care Ltd,"£20,857.00",08/02/2013,31/03/2015,,30/06/2014,ITT,N/A
5000004519,Hire of Venue (EPR),Re,Hire of Venue   (EPR),Crown Moran Hotel,"£10,000.00",08/02/2013,31/03/2016,,30/06/2015,ITT,N/A
5000004527,Kent County Council KCS Elec (All Users),CSG,Kent County Council KCS Elec (All Users),Kent County Council (KCS),"£9,532,175.00",12/02/2013,30/09/2016,,30/12/2015,ITT,N/A
5000004540,Audio & Visual,Children's Service,Audio & Visual,The Award Scheme Ltd,"£30,000.00",18/02/2013,01/09/2017,,01/12/2016,Quote,N/A
5000004545,Road Services (EPR),Re,Road Services  (EPR),URS Infrastructure & Environment UK Ltd,"£20,000.00",21/02/2013,31/03/2016,,30/06/2015,ITT,N/A
5000004549,Advert-Public Notice (All Direct),CSG,Advert-Public Notice (All Direct),London Weekly Newspapers Ltd,"£29,000.00",22/02/2013,31/03/2015,,30/06/2014,ITT,N/A
5000005657,Prof Serv for Dollis Valley (EPR),Re,ITA services from Solon on Dollis Valley,Solon Community Networks,"£29,205.00",25/02/2013,31/01/2016,,30/04/2015,ITT,N/A
5000004568,SEN placement,Children's Service,SEN placement,Together Trust,"£50,833.00",28/02/2013,31/03/2016,,30/06/2015,Quote,N/A
5000004567,SEN placement (Blossom House),Children's Service,Special Educational Needs Placement.,Blossom House,"£52,500.00",28/02/2013,31/03/2016,,30/06/2015,Quote,N/A
5000004565,IT Software License (DCE),CSG,IT Software License (DCE),Infor Global Solutions (Midlands II) Ltd,"£22,700.00",28/02/2013,31/03/2014,,30/06/2013,ITT,N/A
5000004599,Construction Services,CSG,Construction Services,Morgan Sindell,"£376,112.96",28/02/2013,17/01/2014,,17/04/2013,ITT,N/A
5000006604,LD Service S75,Adults and Communities,Non-Procurement,"Barnet , Enfield & Haringey","£1,125,827.00",01/03/2013,31/01/2015,,30/04/2014,ITT,N/A
5000004594,Residential Children's Home,Children's Service,Residential Children's Home,16-21 Project,"£60,000.00",07/03/2013,31/03/2016,,30/06/2015,Quote,N/A
5000005828,Positive activties- Alternative Edu (CS),Children's Service,Positive activties- Alternative Edu (CS),The Archway Project Ltd,"£29,700.00",08/03/2013,30/09/2014,,30/12/2013,Quote,N/A
5000004884,Child Placement,Children's Service,Child Placement,The Serendipity Centre Ltd,"£234,302.00",10/03/2013,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000004681,Consult Other Prof (CS),Children's Service,Consult Other Prof  (CS),Barnet Education Arts Trust,"£24,000.00",11/03/2013,31/03/2016,,30/06/2015,ITT,N/A
700149,SWIFT Charter House,Adults and Communities,Residential & Nursing Care,Bedford Citizens Housing Association,"£29,373.00",21/03/2013,31/03/2015,,30/06/2014,ITT,N/A
5000004740,Utility Scars (EPR),Re,Utility Scars  (EPR),London Borough Of Brent,"£20,000.00",21/03/2013,31/03/2016,,30/06/2015,ITT,N/A
5000004770,Works in Default,Re,Works in Default,Amwell Construction Ltd,"£15,000.00",26/03/2013,31/03/2016,,30/06/2015,ITT,N/A
5000004780,Gym Equipment,Children's Service,Gym Equipment,Technogym UK Ltd,"£12,989.00",27/03/2013,31/05/2015,,31/08/2014,Quote,N/A
5000004793,Water Machines for NLBP (DCE),CSG,Water Machines for NLBP  (DCE),2468 Ltd,"£10,000.00",27/03/2013,31/03/2016,,30/06/2015,ITT,N/A
5000003586,Care Homes Lease (AD),Adults and Communities,Care Homes Lease (AD),Catalyst Housing Ltd,"£375,000.00",28/03/2013,29/03/2034,,29/06/2033,ITT,N/A
5000005029,Temporary building hire (DCE),CSG,Temporary building hire  (DCE),Portakabin Ltd,"£325,000.00",28/03/2013,30/09/2014,,30/12/2013,ITT,N/A
5000005199,Highways Asset Management System (EPR),Re,Highways Asset Management System (EPR),Bentley Systems,"£346,495.00",31/03/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005234,Admin fee for Comm Eqiup F/work(AD),Adults and Communities,Fee to join the framework,Royal Borough Of K&C,"£40,000.00",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700108,SWIFT05 Anand Day Centre,Adults and Communities,Day Care,ASRA Greater London Housing Assn,"£42,603.34",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
700102,SWIFT10 Barnet Refugee Service,Adults and Communities,Voluntary sector service for refugees,Barnet Refugee Service,"£66,946.00",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
700076,SWIFT26 Campus Reprovision,Adults and Communities,Supported living framework,Lifeways Community Care Ltd,"£869,000.00",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700407,SWIFT 08 Carer Matron,Adults and Communities,Carers Matron,Central London Community Healthcare,"£55,000.00",01/04/2013,31/07/2014,,31/10/2013,ITT,N/A
700115,SWIFT02 Cherry Lodge Cancer Care,Adults and Communities,Voluntary sector cancer care for ethinic minorities,Cherry Lodge Cancer Care,"£14,086.00",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
700105,SWIFT07 CMHA Floating Support,Adults and Communities,voluntary sector,Chinese Mental Health,"£49,361.79",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
5000004943,Community Equipment Serv (AD),Adults and Communities,Community equipment,Medequip Assistive,"£3,540,000.00",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
5000006170,Crime Prevention Products,Adults and Communities,Crime Prevention Products,Solon Security Ltd,"£20,000.00",01/04/2013,31/03/2017,,30/06/2016,ITT,N/A
700092,SWIFT21 Floating Support Scheme/Supported Housing (Barnet Mencap),Adults and Communities,Supported living framework,Barnet Mencap,"£239,310.68",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
5000005663,Healthwatch Barnet,Adults and Communities,Healthwatch Barnet,Community Barnet,"£592,083.00",01/04/2013,30/03/2016,,30/06/2015,ITT,N/A
5000005731,"Hertfordshire Partnership, NHS",Adults and Communities,"Hertfordshire Partnership, NHS",Hertfordshire Partnership NHS Foundation Trust,"£1,459,013.80",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
5000005227,Indp Health Complaints Adv agreement(AD),Adults and Communities,Pan London adviceline,VoiceAbility,"£170,138.00",01/04/2013,31/03/2015,31/03/2015,30/06/2014,ITT,N/A
5000006165,MOPAC Safer Homes,Adults and Communities,MOPAC Safer Homes,Capital Locksmiths,"£120,000.00",01/04/2013,30/06/2017,,30/09/2016,ITT,N/A
700074,SWIFT28 Neighbourhood services,Adults and Communities,umbrella agreement for neighbourhood services,Age UK Barnet,"£1,650,000.00",01/04/2013,31/03/2016,31/03/2018,30/06/2015,ITT,N/A
700097,SWIFT15 Outreach housing support service,Adults and Communities,Supported living framework,One Housing Group,"£138,169.00",01/04/2013,30/04/2015,31/03/2017,30/07/2014,ITT,N/A
5000005398,"Registrars Serv, info & Training (AD)",Adults and Communities,Registrar training and advice,London Borough Of Brent,"£60,000.00",01/04/2013,31/03/2014,31/03/2014,30/06/2013,ITT,N/A
700099,SWIFT13 Services For Older People,Adults and Communities,preventative services and café,Alzheimer's Society,"£95,149.00",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
700116,"SWIFT01 Station Road, The Broadway",Adults and Communities,Sheltered housing,Central & Cecil Housing,"£12,989.00",01/04/2013,30/09/2016,,30/12/2015,ITT,N/A
700061,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Angel Support Living,"£205,176.70",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
701129,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Brunswick Supported Living Service Ltd,"£205,176.70",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700060,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Voyage Limited,"£205,176.70",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700063,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Care Worldwide London Ltd,"£205,176.70",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700064,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Green Oak Living,"£205,176.70",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700065,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Liral Veget Training and Recruitment,"£205,176.70",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700066,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Metropolitan Support Trust,"£205,176.70",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700067,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Next Steps Support Ltd,"£205,176.70",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700068,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Origin Housing,"£205,176.70",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700069,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Outlook Care,"£205,176.70",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700070,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Phoenix Community Care Ltd,"£205,176.70",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700071,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Walsingham ,"£205,176.70",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700073,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Your Choice Barnet Ltd,"£205,176.70",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700075,SWIFT27 Supported Housing,Adults and Communities,Supported living framework,Self Unlimited,"£968,620.57",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700077,SWIFT25 Supported Housing,Adults and Communities,Supported living framework,Norwood Ravenswood Ltd,"£630,105.85",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700078,SWIFT24 Supported Housing,Adults and Communities,Supported living framework,One Step At A Time,"£551,149.47",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700079,SWIFT23 Supported Housing,Adults and Communities,Supported living framework,Creative Support Ltd,"£471,915.22",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700081,SWIFT22 Supported Housing,Adults and Communities,Supported living framework,Langdon Community,"£465,557.22",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700093,SWIFT20 Supported housing,Adults and Communities,Supported living framework,Kisharon / Eagle Lodge,"£192,692.90",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700095,SWIFT18 Supported Housing,Adults and Communities,Supported living framework,The Richmond Fellowship ,"£166,430.66",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700096,SWIFT17 Supported Housing,Adults and Communities,Supported living framework,Care Management Group (CMG),"£154,593.17",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700098,SWIFT14 Supported Housing,Adults and Communities,Supported living framework,Maison Moti Ltd,"£117,234.41",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
700100,SWIFT12 Supported Housing,Adults and Communities,Supported living framework,Shine Partnership Ltd,"£92,232.00",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700101,SWIFT11 Supported Housing,Adults and Communities,Supported living framework,Hill Green Supported Living,"£85,756.94",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700103,SWIFT09 Supported Housing,Adults and Communities,Supported living framework,The Regard Partnership,"£52,084.93",01/04/2013,31/03/2015,31/03/2017,30/06/2014,ITT,N/A
700107,SWIFT06 Supported Housing,Adults and Communities,supported living framework,Dillon Care,"£44,442.85",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
700109,SWIFT04 Supported Housing,Adults and Communities,supported living framework,SGSL Ltd,"£31,371.43",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
5000006172,Young Peoples Substance Misuse,Adults and Communities,Young Peoples Substance Misuse,The Tavistock and Portman NHS Foundation Trust,"£196,072.00",01/04/2013,30/06/2017,,30/09/2016,ITT,N/A
5000004604,Electoral Registration and Election Management Software System,Assurance,Electoral Registration and Election Management Software System ,Xpress Software Solutions Ltd,"£34,500.00",01/04/2013,31/03/2016,,30/06/2015,Other,N/A
5000004933,Vouchers re Crisis Fund (CES),Commissioning Group,Vouchers re Crisis Fund  (CES),Family Fund,"£375,000.00",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
5000005743,Specialist Place branding design work,Commissioning Group,Specialist design work,New Level Ltd,"£20,000.00",01/04/2013,31/03/2014,,30/06/2013,ITT,N/A
5000004932,Legal advice on Insurance claims (INS),Commissioning Group,Legal advice on Insurance claims  (INS),Kennedys,"£120,000.00",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
5000004931,Legal advice on Insurance claims (INS),Commissioning Group,Legal advice on Insurance claims (INS),Clyde & Co Llp,"£60,000.00",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
5000004930,Legal advice on Insurance claims (Ins),Commissioning Group,Legal advice on Insurance claims (Ins),Weightmans LLP,"£60,000.00",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
5000004928,Legal advice on Insurance claims (INS),Commissioning Group,Legal advice on Insurance claims  (INS),Browne Jacobson,"£60,000.00",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
700044,CLA - Public Admin Licence,Commissioning Group,CLA - Public Admin Licence,The Copyright Licensing Agency Ltd,"£35,000.00",01/04/2013,31/03/2016,,30/06/2015,SLA,N/A
5000006307,Domestic Violence Assessments,Children's Service,Domestic Violence Assessments,Solace Women's Aid,"£140,000.00",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
5000006231,Joint Commisioning Group (Non-Procurement),Children's Service,Joint Commisioning Group (Non-Procurement),NHS Barnet CCG,"£97,374.00",01/04/2013,30/06/2014,,30/09/2013,ITT,N/A
5000005419,Playscheme Short breaks (CS),Children's Service,Short breaks for disabled children and young people - SENN,Action for Kids,"£30,100.00",01/04/2013,31/03/2015,31/03/2014,30/06/2014,ITT,N/A
5000005392,Gls Educational Supplies Ltd (CS),Children's Service,Gls Educational Supplies Ltd   (CS),Gls Educational,"£10,725.00",01/04/2013,30/06/2014,,30/09/2013,ITT,N/A
5000005338,Fostering advertising (CS),Children's Service,Fostering advertising (CS),Newsquest (London),"£10,000.00",01/04/2013,30/06/2014,,30/09/2013,ITT,N/A
5000005330,Short Breaks Spot Purch 12-13 (CS),Children's Service,SEN Outreach Service- Awaiting signed contract,Mapledown School,"£60,000.00",01/04/2013,31/03/2015,30/06/2013,30/06/2014,ITT,N/A
5000005240,Daytime activity(SHORT BREAKS TEAM ONLY),Children's Service,Short breaks for disabled children and young people,Resources For Autism,"£150,903.00",01/04/2013,31/03/2015,31/03/2014,30/06/2014,ITT,N/A
5000005116,CommUNITY Barnet (CS),Children's Service,"Engaging the voluntary and community sector in strategic planning and delivery of services to CYP. Final Invoice for last year, authorised by Head of Procurement Kevin Bates. See email in repository. Awaiting extension document.",Community Barnet,"£116,550.00",01/04/2013,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000002775,Child Placement,Children's Service,Child Placement,Foster Care UK,"£108,441.00",01/04/2013,31/07/2017,30/05/2014,31/10/2016,ITT,N/A
5000002690,Sally Wright Associates,Children's Service,Special Educational Needs Placement.,Sally Wright,"£24,425.00",01/04/2013,30/06/2014,30/05/2014,30/09/2013,ITT,N/A
5000002556,Child Placement,Children's Service,Child Placement,Child First Fostering,"£217,995.00",01/04/2013,31/07/2017,30/05/2014,31/10/2016,ITT,N/A
5000000599,Child Placement,Children's Service,Child Placement ,Benjamin UK,"£607,963.00",01/04/2013,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000005420,Creative arts Short Breaks (CS),Children's Service,Short breaks for disabled children and young people,Community Focus,"£32,200.00",01/04/2013,31/03/2015,31/03/2014,30/06/2014,ITT,N/A
5000005366,London Care Placements (CS),Children's Service,Child Placement - LCP,Sankofa Care Ltd,"£46,800.00",01/04/2013,31/03/2015,31/03/2014,30/06/2014,ITT,N/A
5000005239,Daytime activity(SHORT BREAKS TEAM ONLY),Children's Service,Daytime activity(SHORT BREAKS TEAM ONLY),Norwood Ravenswood,"£53,211.00",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
5000005236,Short Breaks Team ONLY (CS),Children's Service,One SLA covers Tracker project and Children centre service,Oakleigh School,"£50,000.00",01/04/2013,31/03/2015,31/03/2014,30/06/2014,ITT,N/A
5000005889,Stonegrove Childrens Centre,Children's Service,Stonegrove Childrens Centre,Barnet Pre School Learning Alliance,"£293,040.00",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
5000005718,Library Books,Children's Service,Provision of Unity inter- Loans. Single Source Supplier,OCLC (UK) Ltd,"£18,000.00",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
5000005717,Library Books,Children's Service,Spoken Word Materials - Single Source Supplier,W F Howes Ltd,"£36,000.00",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
5000005678,CACI Ltd,Children's Service,CACI Ltd,C A C I Ltd,"£84,000.00",01/04/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005404,Child Placement (CS),Children's Service,Not a Procurement,Annemount Nursery,"£33,600.00",01/04/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005291,Frozen Foods (CS),Children's Service,Frozen Food Provider,Brake Bros ,"£129,000.00",01/04/2013,31/12/2016,,31/03/2016,ITT,N/A
5000005284,Cleaning Materials,Children's Service,"ESPO Framework- No contract on file, ESPO is sending these over.",Eastern Shires,"£78,000.00",01/04/2013,30/03/2015,30/11/2013,30/06/2014,ITT,N/A
5000005277,Training for Early Years settings (CS),Children's Service,Training for Early Years settings  (CS),Oakleigh School,"£10,000.00",01/04/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005201,Interlibrary loans at British Museum(CS),Children's Service,PO,British Library,"£12,000.00",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
5000005200,Smart SM (CS),Children's Service,SmartSM,Bridgeall Libraries Ltd,"£26,000.00",01/04/2013,31/03/2015,31/03/2015,30/06/2014,ITT,N/A
5000005238,Delivery of App Behaviour Analysis (CS),Children's Service,Placement of children in care,UK Young Autism,"£85,693.00",01/04/2013,31/07/2015,31/07/2015,31/10/2014,Quote,N/A
5000006019,E-dofe Participation Places,Children's Service,Non- Procurement,The Award Scheme Ltd,"£171,200.00",01/04/2013,31/03/2017,,30/06/2016,Quote,N/A
5000006020,Accreditation,Children's Service,Non- Procurement,Asdan,"£100,000.00",01/04/2013,31/03/2017,,30/06/2016,Quote,N/A
5000006021,Accreditation Scheme,Children's Service,Non- Procurement,AQA,"£100,000.00",01/04/2013,31/03/2017,,30/06/2016,Quote,N/A
5000006022,Accreditation Scheme- Training,Children's Service,Non- Procurement,NCFE,"£100,000.00",01/04/2013,31/03/2017,,30/06/2016,Quote,N/A
5000006023,D of E Operating Licenses,Children's Service,Non- Procurement,The Award Scheme Ltd,"£11,200.00",01/04/2013,31/03/2017,,30/06/2016,Quote,N/A
5000003759,Outings and Holidays,Children's Service,Outings and Holidays,Kingswood Holiday Centre,"£10,000.00",01/04/2013,31/03/2015,,30/06/2014,Quote,N/A
5000002619,Kedassia Supervision,Children's Service,Kedassia Licensing authorisation.,Kedassia,"£65,500.00",01/04/2013,31/03/2015,,30/06/2014,Quote,N/A
5000006205,A-Z Expeditions D of E,Children's Service,A-Z Expeditions D of E,A - Z Expeditions,"£125,000.00",01/04/2013,31/03/2015,,30/06/2014,Quote,N/A
5000006350,School Circular,Children's Service,School Circular ,Chas Erbil Systems,"£13,750.00",01/04/2013,28/01/2015,,28/04/2014,Quote,N/A
5000006374,Coach Hire D of E,Children's Service,Coach Hire D of E ,St Margarets Travel,"£54,000.00",01/04/2013,31/03/2015,,30/06/2014,Quote,N/A
5000006377,D of E Access Expeditions,Children's Service,D of E Access Expeditions,Access Expeditions,"£40,000.00",01/04/2013,31/03/2015,,30/06/2014,Quote,N/A
700034,Childrens Occupational Therapy (SEN),Children's Service,Childrens Occupational Therapy (SEN),Central London Community Healthcare,"£60,000.00",01/04/2013,31/03/2014,,30/06/2013,SLA,N/A
5000005278,Internet Line Chipping Barnet Libr (DCE),CSG,Internet Line Chipping Barnet Libr (DCE),London Grid For,"£10,000.00",01/04/2013,31/03/2014,,30/06/2013,ITT,N/A
5000004938,Contract C (PROCUREMENT DEPT ONLY),CSG,Contract C  (PROCUREMENT DEPT ONLY),Servest(Commercial,"£50,000.00",01/04/2013,31/09/2014,,#VALUE!,ITT,N/A
5000004937,Contract A (PROCUREMENT DEPT ONLY),CSG,Contract A   (PROCUREMENT DEPT ONLY),Servest(Commercial,"£10,000.00",01/04/2013,31/09/2014,,#VALUE!,ITT,N/A
5000004015,Print Framework,CSG,Print Framework,Belmont Press,"£20,000.00",01/04/2013,31/12/2014,,31/03/2014,ITT,N/A
5000006003,Christ's College Main Works JCT (CSG),CSG,Christs College Main Work JCT (CSG),Morgan Sindall,"£2,976,524.22",01/04/2013,17/04/2015,,17/07/2014,ITT,N/A
5000006004,Compton Main Works JCT (CSG),CSG,Compton Main Work JCT (CSG),Morgan Sindall,"£3,780,557.97",01/04/2013,05/09/2015,,05/12/2014,ITT,N/A
5000005073,Water Bills,Re,Water Bills,Thames Water,"£700,000.00",01/04/2013,31/03/2014,,30/06/2013,ITT,N/A
5000004137,Affinity Water,Re,Water Supply,Affinity Water,"£5,645,000.00",01/04/2013,31/03/2015,,30/06/2014,ITT,N/A
5000004923,Route optimisation software (EPR),Street Scene,Route optimisation software  (EPR),Webaspx Ltd,"£50,715.00",01/04/2013,01/04/2018,,01/07/2017,ITT,N/A
5000005533,Tools & Plant Equip (EPR),Street Scene,Supply of tools & equipment for grounds maintenance/greenspaces,Landscape supply group,"£10,000.00",01/04/2013,31/03/2014,,30/06/2013,Quote,N/A
5000005666,Tools & Plant Equip (EPR),Street Scene,Supply of tools & equipment for grounds maintenance/greenspaces,Groundsman Tools & Supplies,"£10,000.00",01/04/2013,31/03/2014,,30/06/2013,Quote,N/A
5000005313,Community Library Service (CS),Children's Service,Grant Payments for Lease of Library Services to Community Library,Friern Barnet,"£50,000.00",05/04/2013,31/03/2015,,30/06/2014,ITT,N/A
5000004844,Secondee Katharine Purser (CES),Commissioning Group,Secondee Katharine Purser  (CES),Cabinet Office,"£45,000.00",10/04/2013,31/03/2014,,30/06/2013,ITT,N/A
