Organisation Name,EffectiveDate,Service,Supplier Name,paidDate,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/03/2015,3903.28,INDIVIDUAL SERVICE FUND,V000882724
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,ROYAL MENCAP SOCIETY,13/03/2015,949.24,INDIVIDUAL SERVICE FUND,V000882798
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,ROYAL MENCAP SOCIETY,13/03/2015,3796.96,INDIVIDUAL SERVICE FUND,V000882799
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,ROYAL MENCAP SOCIETY,13/03/2015,2144.72,INDIVIDUAL SERVICE FUND,V000882840
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,ROYAL MENCAP SOCIETY,13/03/2015,4289.44,INDIVIDUAL SERVICE FUND,V000882841
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/03/2015,3021.35,LD SUPPORTED LIVING,V000882584
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/03/2015,1518,LD SUPPORTED LIVING,V000882585
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/03/2015,2603.9,LD SUPPORTED LIVING,V000882586
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/03/2015,3274.35,LD SUPPORTED LIVING,V000882587
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/03/2015,11634,LD SUPPORTED LIVING,V000882590
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/03/2015,2676.25,LD SUPPORTED LIVING,V000882597
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/03/2015,3915.95,LD SUPPORTED LIVING,V000882600
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/03/2015,4741.75,LD SUPPORTED LIVING,V000882601
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/03/2015,5715.8,LD SUPPORTED LIVING,V000882602
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/03/2015,3299.65,LD SUPPORTED LIVING,V000882774
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/03/2015,4450.8,LD SUPPORTED LIVING,V000882777
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/03/2015,1057.05,LD SUPPORTED LIVING,V000882803
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/03/2015,7792.4,LD SUPPORTED LIVING,V000882804
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/03/2015,3590.6,LD SUPPORTED LIVING,V000882825
ROCHDALE BOROUGH COUNCIL,25/03/2015,CUSTOMERS & CORPORATE SERVICES,S KERSHAW & SONS,25/03/2015,3187.5,RENTS,V000886109
ROCHDALE BOROUGH COUNCIL,17/03/2015,PROPERTY AND HIGHWAYS,S T HEATINGS SERVICES LTD,17/03/2015,628.39,CENTRAL HEATING,V000885538
ROCHDALE BOROUGH COUNCIL,16/03/2015,PROPERTY AND HIGHWAYS,S T HEATINGS SERVICES LTD,16/03/2015,3777.44,PROPERTY - WORKS ELEMENT,V000885182
ROCHDALE BOROUGH COUNCIL,16/03/2015,PROPERTY AND HIGHWAYS,S T HEATINGS SERVICES LTD,16/03/2015,6808.38,PROPERTY - WORKS ELEMENT,V000885208
ROCHDALE BOROUGH COUNCIL,17/03/2015,EARLY HELP AND SCHOOLS,S T HEATINGS SERVICES LTD,17/03/2015,939.34,REPAIRS & ALTS OF BUILDINGS,V000885540
ROCHDALE BOROUGH COUNCIL,20/03/2015,PROPERTY AND HIGHWAYS,S T HEATINGS SERVICES LTD,20/03/2015,588.19,REPAIRS & ALTS OF BUILDINGS,V000885549
ROCHDALE BOROUGH COUNCIL,16/03/2015,PROPERTY AND HIGHWAYS,S T HEATINGS SERVICES LTD,16/03/2015,755.48,TRANSACTIONS-EXPENDITURE,V000885182
ROCHDALE BOROUGH COUNCIL,16/03/2015,PROPERTY AND HIGHWAYS,S T HEATINGS SERVICES LTD,16/03/2015,1361.68,TRANSACTIONS-EXPENDITURE,V000885208
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SAFE CHOICE TRAINING LTD,13/03/2015,700,TRAINING,V000881757
ROCHDALE BOROUGH COUNCIL,24/03/2015,PHYSICAL DIS & OLDER PEOPLE,SAFEGARD SECURITY SOLUTIONS,24/03/2015,1300,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,V000887639
ROCHDALE BOROUGH COUNCIL,27/03/2015,CUSTOMERS & CORPORATE SERVICES,SAFEGARD SECURITY SOLUTIONS,27/03/2015,14000,SECURITY,V000886943
ROCHDALE BOROUGH COUNCIL,27/03/2015,CUSTOMERS & CORPORATE SERVICES,SAFEGARD SECURITY SOLUTIONS,27/03/2015,18000,SECURITY,V000886944
ROCHDALE BOROUGH COUNCIL,27/03/2015,CUSTOMERS & CORPORATE SERVICES,SAFEGARD SECURITY SOLUTIONS,27/03/2015,34750,SECURITY,V000887912
ROCHDALE BOROUGH COUNCIL,27/03/2015,ECONOMY AND ENVIRONMENT,SAFEGARD SECURITY SOLUTIONS,27/03/2015,-15000,SECURITY,V000888385
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,SAFEGARD SECURITY SOLUTIONS,13/03/2015,2170.64,TRANSACTIONS-EXPENDITURE,V000879261
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,SAFEHOUSES NORTH LIMITED,10/03/2015,3226.16,FOSTER PARENTS BASIC ALLOWANCE,V000881585
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,SAFEHOUSES NORTH LIMITED,10/03/2015,3226.16,FOSTER PARENTS BASIC ALLOWANCE,V000881586
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,SAFEHOUSES NORTH LIMITED,10/03/2015,3416.28,FOSTER PARENTS BASIC ALLOWANCE,V000881587
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,SAFEHOUSES NORTH LIMITED,10/03/2015,3245.48,FOSTER PARENTS BASIC ALLOWANCE,V000881588
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,SAFEHOUSES NORTH LIMITED,10/03/2015,3226.16,FOSTER PARENTS BASIC ALLOWANCE,V000881589
ROCHDALE BOROUGH COUNCIL,20/03/2015,EARLY HELP AND SCHOOLS,SANDBROOK CC NURSERY,20/03/2015,780,GRANTS AND SUBSCRIPTIONS - GENERAL,V000886863
ROCHDALE BOROUGH COUNCIL,27/03/2015,ECONOMY AND ENVIRONMENT,SCOPED SOLUTIONS LIMITED,27/03/2015,3000,CONSULTANTS FEES,V000880922
ROCHDALE BOROUGH COUNCIL,20/03/2015,EARLY HELP AND SCHOOLS,SEEROS PRIVATE DAY NURSERY,20/03/2015,2135.7,DAY CARE,V000886882
ROCHDALE BOROUGH COUNCIL,20/03/2015,EARLY HELP AND SCHOOLS,SEEROS PRIVATE DAY NURSERY,20/03/2015,780,GRANTS AND SUBSCRIPTIONS - GENERAL,V000886883
ROCHDALE BOROUGH COUNCIL,13/03/2015,CUSTOMERS & CORPORATE SERVICES,SELIMA,13/03/2015,2052,FAX,V000880848
ROCHDALE BOROUGH COUNCIL,06/03/2015,CUSTOMERS & CORPORATE SERVICES,SENITOR RECRUITMENT,06/03/2015,2000,AGENCY STAFF,V000880888
ROCHDALE BOROUGH COUNCIL,06/03/2015,CUSTOMERS & CORPORATE SERVICES,SENITOR RECRUITMENT,06/03/2015,8400,AGENCY STAFF,V000880900
ROCHDALE BOROUGH COUNCIL,12/03/2015,CUSTOMERS & CORPORATE SERVICES,SENITOR RECRUITMENT,12/03/2015,1600,AGENCY STAFF,V000882074
ROCHDALE BOROUGH COUNCIL,13/03/2015,CUSTOMERS & CORPORATE SERVICES,SENITOR RECRUITMENT,13/03/2015,1600,AGENCY STAFF,V000882107
ROCHDALE BOROUGH COUNCIL,10/03/2015,CUSTOMERS & CORPORATE SERVICES,SENITOR RECRUITMENT,10/03/2015,8000,CAPITAL SALARIES,V000880916
ROCHDALE BOROUGH COUNCIL,24/03/2015,CUSTOMERS & CORPORATE SERVICES,SENITOR RECRUITMENT,24/03/2015,4000,CAPITAL SALARIES,V000885456
ROCHDALE BOROUGH COUNCIL,24/03/2015,CUSTOMERS & CORPORATE SERVICES,SENITOR RECRUITMENT,24/03/2015,2000,CAPITAL SALARIES,V000885476
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SEVA SUPPORT LTD,13/03/2015,5872.16,LD SUPPORTED LIVING,V000882784
ROCHDALE BOROUGH COUNCIL,04/03/2015,PHYSICAL DIS & OLDER PEOPLE,SEVACARE,04/03/2015,12430.15,HOME CARE,V000880286
ROCHDALE BOROUGH COUNCIL,11/03/2015,PHYSICAL DIS & OLDER PEOPLE,SEVACARE,11/03/2015,12329.28,HOME CARE,V000882050
ROCHDALE BOROUGH COUNCIL,18/03/2015,PHYSICAL DIS & OLDER PEOPLE,SEVACARE,18/03/2015,12328.2,HOME CARE,V000885992
ROCHDALE BOROUGH COUNCIL,25/03/2015,PHYSICAL DIS & OLDER PEOPLE,SEVACARE,25/03/2015,12435.12,HOME CARE,V000887801
ROCHDALE BOROUGH COUNCIL,11/03/2015,LEARNING DIS & MENTAL HEALTH,SEVACARE,11/03/2015,663.32,PERSONAL BUDGETS - MANAGED,V000881976
ROCHDALE BOROUGH COUNCIL,25/03/2015,LEARNING DIS & MENTAL HEALTH,SEVACARE,25/03/2015,850.08,PERSONAL BUDGETS - MANAGED,V000887379
ROCHDALE BOROUGH COUNCIL,20/03/2015,LEARNING DIS & MENTAL HEALTH,SHELTER,20/03/2015,16109.6,SP BLOCK PAYMENTS - EXTERNAL,V000886346
ROCHDALE BOROUGH COUNCIL,25/03/2015,EARLY HELP AND SCHOOLS,SHINE THERAPY,25/03/2015,1000,TRAINING-QUALIFICATION,V000885002
ROCHDALE BOROUGH COUNCIL,20/03/2015,EARLY HELP AND SCHOOLS,SHUTTERS VILLAGE NURSERY,20/03/2015,1584,DAY CARE,V000886890
ROCHDALE BOROUGH COUNCIL,31/03/2015,EARLY HELP AND SCHOOLS,SIGHT & SOUND TECHNOLOGY LIMITED,31/03/2015,954.95,EQUIPMENT - GENERAL,V000889017
ROCHDALE BOROUGH COUNCIL,31/03/2015,EARLY HELP AND SCHOOLS,SIGHT & SOUND TECHNOLOGY LIMITED,31/03/2015,2250,EQUIPMENT - GENERAL,V000889017
ROCHDALE BOROUGH COUNCIL,02/03/2015,PROPERTY AND HIGHWAYS,SIGNAGE SYSTEMS LTD,02/03/2015,7152.5,MAINTENANCE,V000879682
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,1077.68,NURSING LONG TERM,V000883387
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,769.72,NURSING LONG TERM,V000883689
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,1077.68,NURSING LONG TERM,V000883819
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,784.04,NURSING LONG TERM,V000883872
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,1573.48,NURSING LONG TERM,V000884056
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,1077.68,NURSING LONG TERM,V000884353
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,1573.48,NURSING LONG TERM,V000884592
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,1077.68,NURSING LONG TERM,V000884607
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,1573.48,NURSING LONG TERM,V000884765
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,1573.48,NURSING LONG TERM,V000884769
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,1034.4,NURSING LONG TERM,V000884817
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,1077.68,NURSING LONG TERM,V000884872
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,1077.68,RESIDENTIAL LONG TERM,V000883382
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,1175.88,RESIDENTIAL LONG TERM,V000883397
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,-743.45,RESIDENTIAL LONG TERM,V000884167
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,1734.72,RESIDENTIAL LONG TERM,V000884241
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,1238.92,RESIDENTIAL LONG TERM,V000884372
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,1019.24,RESIDENTIAL LONG TERM,V000884393
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,1238.92,RESIDENTIAL LONG TERM,V000884404
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,-750.13,RESIDENTIAL LONG TERM,V000884555
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/03/2015,586.24,RESIDENTIAL LONG TERM,V000884594
ROCHDALE BOROUGH COUNCIL,27/03/2015,PHYSICAL DIS & OLDER PEOPLE,SIMPLY STORAGE LTD.,27/03/2015,1083.33,SERVICE LEVEL AGREEMENTS,V000887377
ROCHDALE BOROUGH COUNCIL,13/03/2015,EARLY HELP AND SCHOOLS,SMARTBOX ASSISTIVE TECHNOLOGY LTD,13/03/2015,9134,EQUIPMENT - GENERAL,V000880849
ROCHDALE BOROUGH COUNCIL,13/03/2015,EARLY HELP AND SCHOOLS,SMARTBOX ASSISTIVE TECHNOLOGY LTD,13/03/2015,-6819,EQUIPMENT - GENERAL,V000884969
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,SOCIAL CARE SERVICES LIMITED,10/03/2015,7700,EDB PLACEMENTS,V000881590
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,SOCIAL CARE SERVICES LIMITED,10/03/2015,7700,EDB PLACEMENTS,V000881591
ROCHDALE BOROUGH COUNCIL,31/03/2015,CUSTOMERS & CORPORATE SERVICES,SOCITM LTD,31/03/2015,1440,SUMMONDS COSTS,V000887038
ROCHDALE BOROUGH COUNCIL,17/03/2015,CUSTOMERS & CORPORATE SERVICES,SOFTCAT LTD,17/03/2015,800,PURCHASE OF ICT SOFTWARE,V000885452
ROCHDALE BOROUGH COUNCIL,17/03/2015,CUSTOMERS & CORPORATE SERVICES,SOLON SECURITY LIMITED,17/03/2015,980.71,BUILDING SECURITY WORKS,V000881813
ROCHDALE BOROUGH COUNCIL,24/03/2015,CUSTOMERS & CORPORATE SERVICES,SOLON SECURITY LIMITED,24/03/2015,711.5,BUILDING SECURITY WORKS,V000885499
ROCHDALE BOROUGH COUNCIL,19/03/2015,EARLY HELP AND SCHOOLS,SONGSMITH RECORDS LTD,19/03/2015,500,CONSUMABLES,V000886436
ROCHDALE BOROUGH COUNCIL,16/03/2015,ECONOMY AND ENVIRONMENT,SOUTHERN SOLAR LTD,16/03/2015,53363,PURCHASE OF PLANT AND MACHINERY,V000885390
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,SOUTHLEA CARE HOME,13/03/2015,1573.48,RESIDENTIAL LONG TERM,V000883871
ROCHDALE BOROUGH COUNCIL,12/03/2015,EARLY HELP AND SCHOOLS,SPACEKRAFT LIMITED,12/03/2015,1644.3,EQUIPMENT - GENERAL,V000880876
ROCHDALE BOROUGH COUNCIL,13/03/2015,EARLY HELP AND SCHOOLS,SPACEKRAFT LIMITED,13/03/2015,933.89,EQUIPMENT - GENERAL,V000881291
ROCHDALE BOROUGH COUNCIL,31/03/2015,EARLY HELP AND SCHOOLS,SPACEKRAFT LIMITED,31/03/2015,503.75,EQUIPMENT - GENERAL,V000887650
ROCHDALE BOROUGH COUNCIL,17/03/2015,CUSTOMERS & CORPORATE SERVICES,SPECIALIST COMPUTER CENTRES PLC,17/03/2015,7429.15,IT EQUIPMENT,V000885450
ROCHDALE BOROUGH COUNCIL,06/03/2015,CUSTOMERS & CORPORATE SERVICES,SPECIALIST COMPUTER CENTRES PLC,06/03/2015,4547.1,PURCHASE OF ICT HARDWARE,V000880895
ROCHDALE BOROUGH COUNCIL,06/03/2015,CUSTOMERS & CORPORATE SERVICES,SPECIALIST COMPUTER CENTRES PLC,06/03/2015,4483.7,PURCHASE OF ICT HARDWARE,V000880930
ROCHDALE BOROUGH COUNCIL,06/03/2015,CUSTOMERS & CORPORATE SERVICES,SPECIALIST COMPUTER CENTRES PLC,06/03/2015,42003,PURCHASE OF ICT HARDWARE,V000880947
ROCHDALE BOROUGH COUNCIL,05/03/2015,ECONOMY AND ENVIRONMENT,SPOTLAND COMMUNITY CENTRE,05/03/2015,3000,PROJECT & ACTIVITIES,V000880512
ROCHDALE BOROUGH COUNCIL,27/03/2015,CUSTOMERS & CORPORATE SERVICES,SPOTLAND COMMUNITY CENTRE,27/03/2015,6500,PROJECT & ACTIVITIES,V000889070
ROCHDALE BOROUGH COUNCIL,20/03/2015,EARLY HELP AND SCHOOLS,SPRING WILLOWS PLAYGROUP,20/03/2015,780,GRANTS AND SUBSCRIPTIONS - GENERAL,V000886849
ROCHDALE BOROUGH COUNCIL,05/03/2015,LEARNING DIS & MENTAL HEALTH,SPRINGHILL HOSPICE ROCHDALE,05/03/2015,1650,END OF LIFE,V000879624
ROCHDALE BOROUGH COUNCIL,27/03/2015,LEARNING DIS & MENTAL HEALTH,SPRINGHILL HOSPICE ROCHDALE,27/03/2015,1650,END OF LIFE,V000885730
ROCHDALE BOROUGH COUNCIL,26/03/2015,ECONOMY AND ENVIRONMENT,SQUIRE PATTON BOGGS UK LLP,26/03/2015,4243.9,LEGAL SERVICES EXTERNAL,V000888032
ROCHDALE BOROUGH COUNCIL,26/03/2015,ECONOMY AND ENVIRONMENT,SQUIRE PATTON BOGGS UK LLP,26/03/2015,3639.5,LEGAL SERVICES EXTERNAL,V000888043
ROCHDALE BOROUGH COUNCIL,26/03/2015,ECONOMY AND ENVIRONMENT,SQUIRE PATTON BOGGS UK LLP,26/03/2015,2653.75,LEGAL SERVICES EXTERNAL,V000888044
ROCHDALE BOROUGH COUNCIL,26/03/2015,ECONOMY AND ENVIRONMENT,SQUIRE PATTON BOGGS UK LLP,26/03/2015,5421,LEGAL SERVICES EXTERNAL,V000888045
ROCHDALE BOROUGH COUNCIL,03/03/2015,EARLY HELP AND SCHOOLS,ST ANNES ACADEMY,03/03/2015,1200,COSTS MET BY SCHOOL,V000879951
ROCHDALE BOROUGH COUNCIL,10/03/2015,EARLY HELP AND SCHOOLS,ST ANNES ACADEMY,10/03/2015,1200,COSTS MET BY SCHOOL,V000881798
ROCHDALE BOROUGH COUNCIL,20/03/2015,EARLY HELP AND SCHOOLS,ST ANNES ACADEMY,20/03/2015,1871.93,SEN COSTS MET BY SCHOOLS,V000886838
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,ST GEORGES NURSING HOME OLDHAM LTD,13/03/2015,2987.2,NURSING LONG TERM,V000883665
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,ST GEORGES NURSING HOME OLDHAM LTD,13/03/2015,3665,NURSING LONG TERM,V000884180
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,ST GEORGES NURSING HOME OLDHAM LTD,13/03/2015,4203,NURSING LONG TERM,V000884833
ROCHDALE BOROUGH COUNCIL,31/03/2015,PHYSICAL DIS & OLDER PEOPLE,ST JOHNS PLUMBING HEATING & BATHROOMS LTD,31/03/2015,2953.1,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,V000889002
ROCHDALE BOROUGH COUNCIL,06/03/2015,PHYSICAL DIS & OLDER PEOPLE,ST JOHNS PLUMBING HEATING & BATHROOMS LTD,06/03/2015,1580,TRANSACTIONS-EXPENDITURE,V000881096
ROCHDALE BOROUGH COUNCIL,11/03/2015,PHYSICAL DIS & OLDER PEOPLE,ST JOHNS PLUMBING HEATING & BATHROOMS LTD,11/03/2015,4530,TRANSACTIONS-EXPENDITURE,V000882892
ROCHDALE BOROUGH COUNCIL,24/03/2015,PHYSICAL DIS & OLDER PEOPLE,ST JOHNS PLUMBING HEATING & BATHROOMS LTD,24/03/2015,4100,TRANSACTIONS-EXPENDITURE,V000887651
ROCHDALE BOROUGH COUNCIL,20/03/2015,EARLY HELP AND SCHOOLS,ST JOSEPHS PRESCHOOL NURSERY LTD,20/03/2015,660,GRANTS AND SUBSCRIPTIONS - GENERAL,V000886850
ROCHDALE BOROUGH COUNCIL,20/03/2015,PHYSICAL DIS & OLDER PEOPLE,ST VINCENT`S HOUSING ASSOCIATION,20/03/2015,3355.73,SP SUBSIDY PAYMENTS - EXTERNAL,V000886342
ROCHDALE BOROUGH COUNCIL,30/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,30/03/2015,1646.25,JOINTLY FINANCED,V000889205
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/03/2015,1093.68,RESIDENTIAL LONG TERM,V000883417
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/03/2015,1093.68,RESIDENTIAL LONG TERM,V000883564
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/03/2015,1125.12,RESIDENTIAL LONG TERM,V000883622
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/03/2015,1038,RESIDENTIAL LONG TERM,V000883632
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/03/2015,1093.68,RESIDENTIAL LONG TERM,V000883669
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/03/2015,983.64,RESIDENTIAL LONG TERM,V000883709
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/03/2015,1093.68,RESIDENTIAL LONG TERM,V000883795
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/03/2015,1093.68,RESIDENTIAL LONG TERM,V000883929
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/03/2015,1093.68,RESIDENTIAL LONG TERM,V000884040
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/03/2015,1270.08,RESIDENTIAL LONG TERM,V000884165
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/03/2015,1093.68,RESIDENTIAL LONG TERM,V000884203
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/03/2015,1017.2,RESIDENTIAL LONG TERM,V000884210
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/03/2015,1093.68,RESIDENTIAL LONG TERM,V000884261
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/03/2015,935,RESIDENTIAL LONG TERM,V000884435
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/03/2015,1093.68,RESIDENTIAL LONG TERM,V000884461
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/03/2015,1270.08,RESIDENTIAL LONG TERM,V000884573
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/03/2015,1061.24,RESIDENTIAL LONG TERM,V000884729
