Property Reference Number,Full Property Address,Current Rateable Value,Primary Liable party name,Account Start Date,Occupied relief,Empty relief,Empty relief start date,Empty exemption,Exemption start date
1192050025057,"Digital World Centre, Suites 5.13 & 5.15 5th Flr , 1, Lowry Plaza, The Quays, Salford, M50 3SQ",13500,Regus Management (Uk) Ltd,01/01/2016,,,,,
1192050025101,"Suite 6.17 6th Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",2550,Regus Management (Uk) Ltd,01/01/2011,,,,,
1192050025102,"Suite 6.14 6th Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",2050,Regus Management (Uk) Ltd,01/01/2011,,,,,
1192050025103,"Suite 6.11 6th Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",2400,Regus Management (Uk) Ltd,01/01/2011,,,,,
1192050025107,"Suite 6.20 6th Flr Digital World Centre , 1, Lowry Plaza, The Quays, Salford, M50 3SQ",1325,Regus Management (Uk) Ltd,01/04/2017,,,,Empty,01/04/2017
1192050025108,"Suite 6.21 6th Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",1350,Regus Management (Uk) Ltd,01/01/2011,,,,,
1192050025111,"Suite 303 3rd Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",2275,Regus Management (Uk) Ltd,01/11/2015,,,,,
1192050025116,"Suites 6.2 & 6.22 Digital  World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",6300,Regus Management (Uk) Ltd,01/04/2015,,EPRN,01/04/2015,,
1192050025121,"Suite 304 3rd Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",2800,Regus Management (Uk) Ltd,01/11/2015,,,,,
1192050025131,"Suite 305 3rd Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",2275,Regus Management (Uk) Ltd,01/11/2015,,,,,
1192050025151,"Suite 6.3 6th Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",2600,Regus Management (Uk) Ltd,10/12/2016,,,,Empty,10/12/2016
1192050025152,"Suite 6.4 6th Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",2600,Regus Management (Uk) Ltd,22/06/2015,,,,,
1192050025153,"Suites 6.12 & 6.16 Digital World Centre, Lowry Plaza, The Quays, Salford, M50 3SQ",7800,Regus Management (Uk) Ltd,01/07/2014,,,,,
1192050025161,"Suite 308 3rd Flr Digital World Centre , 1, Lowry Plaza, The Quays, Salford, M50 3SQ",1700,Regus Management (Uk) Ltd,01/11/2015,,,,,
1192050025171,"Suite 309 3rd Flr Digital World Centre, Lowry Plaza, The Quays, Salford, M50 3SQ",2800,Regus Management (Uk) Ltd,01/11/2015,,,,,
1192050025181,"Suite 310 3rd Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",4200,Regus Management (Uk) Ltd,01/11/2015,,,,Empty,30/06/2017
1192050025191,"Suite 311 3rd Flr Digital World Centre , 1, Lowry Plaza, The Quays, Salford, M50 3SQ",3350,Regus Management (Uk) Ltd,01/11/2015,,,,,
1192050025222,"Suite 5.4 5th Floor Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",6100,Regus Management (Uk) Ltd,01/05/2011,,,,,
1192050025224,"Suite 5.16 5th Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",2950,Regus Management (Uk) Ltd,01/05/2011,,EPRN,01/05/2017,,
1192050025227,"Suite 5.17 5th Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",1525,Regus Management (Uk) Ltd,01/05/2011,,,,,
1192050025291,"Suite 312 3rd Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",6300,Regus Management (Uk) Ltd,01/11/2015,,EPRN,01/02/2017,,
1192050025292,"Suite 313 3rd Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",7300,Regus Management (Uk) Ltd,01/11/2015,,,,,
1192050025293,"Suite 314 3rd Flr Digital World , 1, Lowry Plaza, The Quays, Salford, M50 3SQ",4350,Regus Management (Uk) Ltd,01/11/2015,,,,,
1192050025295,"Suite 316 3rd Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",4950,Regus Management (Uk) Ltd,01/11/2015,,EPRN,01/12/2016,,
1192050025296,"Suite 317 3rd Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",2550,Regus Management (Uk) Ltd,01/11/2015,,,,Empty,01/11/2016
1192050025297,"Suite 318 3rd Flr Digital World Centre , 1, Lowry Plaza, The Quays, Salford, M50 3SQ",1325,Regus Management (Uk) Ltd,01/11/2015,,,,,
1192050025298,"Suite 319 3rd Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",2600,Regus Management (Uk) Ltd,01/11/2015,,,,,
1192050025300,"Suite 321 3rd Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",2225,Regus Management (Uk) Ltd,01/11/2015,,,,,
1192050025302,"Suite 323 3rd Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",2275,Regus Management (Uk) Ltd,01/11/2015,,,,,
1192050025303,"Meeting Room 3rd Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",3200,Regus Management (Uk) Ltd,01/11/2015,,,,,
1192050025305,"Suite 307 3rd Flr Digital World Centre, 1, Lowry Plaza, The Quays, Salford, M50 3SQ",1800,Regus Management (Uk) Ltd,01/11/2015,,,,,
1192050025311,"Suite 3.6 3rd Flr Digital World Centre , 1, Lowry Plaza, The Quays, Salford, M50 3SQ",2650,Regus Management (Uk) Ltd,01/01/2011,,,,,
1192050025423,"Car Space 22 At, Digital World Centre, Lowry Plaza, The Quays, M50 3SQ",750,Regus Management (Uk) Ltd,04/07/2014,,,,,
1192050025424,"Car Space 23 At, Digital World Centre, Lowry Plaza, The Quays, M50 3SQ",750,Regus Management (Uk) Ltd,04/07/2014,,,,,
1192050025427,"Car Space 27 At, Digital World Centre, Lowry Plaza, The Quays, M50 3SQ",750,Regus Management (Uk) Ltd,04/07/2014,,,,,
1192050025428,"Car Space 28 At, Digital World Centre, Lowry Plaza, The Quays, M50 3SQ",750,Regus Management (Uk) Ltd,04/07/2014,,,,,
1192050025432,"Car Space 32 At, Digital World Centre, Lowry Plaza, The Quays, M50 3SQ",750,Regus Management (Uk) Ltd,04/07/2014,,,,,
1192050025434,"Car Space 34 At, Digital World Centre, Lowry Plaza, The Quays, M50 3SQ",750,Regus Management (Uk) Ltd,04/07/2014,,,,,
1192050025435,"Car Space 35 At, Digital World Centre, Lowry Plaza, The Quays, M50 3SQ",750,Regus Management (Uk) Ltd,04/07/2014,,,,,
1192050025436,"Car Space 36 At, Digital World Centre, Lowry Plaza, The Quays, M50 3SQ",750,Regus Management (Uk) Ltd,04/07/2014,,,,,
1192050025439,"Car Space 39 At, Digital World Centre, Lowry Plaza, The Quays, M50 3SQ",750,Regus Management (Uk) Ltd,04/07/2014,,,,,
1192050025440,"Car Space 40 At, Digital World Centre, Lowry Plaza, The Quays, M50 3SQ",750,Regus Management (Uk) Ltd,04/07/2014,,,,,
1192050025444,"Car Space 44 At, Digital World Centre, Lowry Plaza, The Quays, M50 3SQ",750,Regus Management (Uk) Ltd,04/07/2014,,,,,
1192050025445,"Car Space 45 At, Digital World Centre, Lowry Plaza, The Quays, M50 3SQ",750,Regus Management (Uk) Ltd,04/07/2014,,,,,
1747510002009,"Meeting Rooms At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",6300,Regus Management (Uk) Ltd,13/10/2014,,EPRN,13/01/2015,,
1747510002011,"Office 202 At Suite 11, 2nd Flr Lowry Mill , Lees Street, Swinton, Manchester, M27 4AA",2500,Regus Management (Uk) Ltd,13/10/2014,,,,,
1747510002012,"Office 203 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",2500,Regus Management (Uk) Ltd,13/10/2014,,,,Empty,13/10/2014
1747510002013,"Office 204 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",2500,Regus Management (Uk) Ltd,13/10/2014,,,,Empty,13/10/2014
1747510002014,"Office 205 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",2500,Regus Management (Uk) Ltd,13/10/2014,,,,,
1747510002015,"Office 206 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",2500,Regus Management (Uk) Ltd,13/10/2014,,,,,
1747510002016,"Office 207 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",2500,Regus Management (Uk) Ltd,13/10/2014,,,,Empty,13/10/2014
1747510002017,"Office 208 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",1850,Regus Management (Uk) Ltd,13/10/2014,,,,Empty,13/10/2014
1747510002018,"Office 209 At Suite 11, 2nd Flr Lowry Mill , Lees Street, Swinton, Manchester, M27 4AA",1850,Regus Management (Uk) Ltd,13/10/2014,,,,,
1747510002019,"Office 210 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",1900,Regus Management (Uk) Ltd,13/10/2014,,,,,
1747510002020,"Office 211 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",1700,Regus Management (Uk) Ltd,13/10/2014,,,,Empty,13/10/2014
1747510002021,"Office 212 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",3750,Regus Management (Uk) Ltd,13/10/2014,,EPRN,13/01/2015,,
1747510002022,"Office 213 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",3950,Regus Management (Uk) Ltd,13/10/2014,,EPRN,13/01/2015,,
1747510002023,"Office 226 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",2150,Regus Management (Uk) Ltd,13/10/2014,,,,,
1747510002024,"Office 227 At Suite 11, 2nd Flr Lowry Mill , Lees Street, Swinton, Manchester, M27 4AA",2500,Regus Management (Uk) Ltd,13/10/2014,,,,Empty,13/10/2014
1747510002025,"Office 228 At Suite 11, 2nd Flr Lowry Mill , Lees Street, Swinton, Manchester, M27 4AA",3200,Regus Management (Uk) Ltd,13/10/2014,,,,,
1747510002026,"Office 229 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",3250,Regus Management (Uk) Ltd,13/10/2014,,EPRN,01/04/2017,,
1747510002027,"Office 230 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",4350,Regus Management (Uk) Ltd,13/10/2014,,,,,
1747510002028,"Office 231 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",1250,Regus Management (Uk) Ltd,13/10/2014,,,,Empty,13/10/2014
1747510002029,"Office 232 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",1600,Regus Management (Uk) Ltd,13/10/2014,,,,Empty,13/10/2014
1747510002030,"Office 233 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",3400,Regus Management (Uk) Ltd,13/10/2014,,EPRN,01/04/2017,,
1747510002031,"Office 234 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",2500,Regus Management (Uk) Ltd,13/10/2014,,,,Empty,13/10/2014
1747510002032,"Office 235 At Suite 11, 2nd Flr Lowry Mill , Lees Street, Swinton, Manchester, M27 4AA",1700,Regus Management (Uk) Ltd,13/10/2014,,,,,
1747510002033,"Office 236 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",1300,Regus Management (Uk) Ltd,13/10/2014,,,,Empty,13/10/2014
1747510002034,"Office 237 At Suite 11, 2nd Flr Lowry Mill , Lees Street, Swinton, Manchester, M27 4AA",1425,Regus Management (Uk) Ltd,13/10/2014,,,,,
1747510002035,"Office 214 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",4150,Regus Management (Uk) Ltd,05/01/2015,,EPRN,05/04/2015,,
1747510002036,"Office 215 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",3150,Regus Management (Uk) Ltd,05/01/2015,,,,,
1747510002037,"Office 216 At Suite 11, 2nd Flr Lowry Mill , Lees Street, Swinton, Manchester, M27 4AA",3350,Regus Management (Uk) Ltd,05/01/2015,,,,,
1747510002038,"Office 217 At Suite 11, 2nd Flr Lowry Mill , Lees Street, Swinton, Manchester, M27 4AA",3200,Regus Management (Uk) Ltd,05/01/2015,,EPRN,01/04/2017,,
1747510002039,"Office 218 At Suite 11 , 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",1700,Regus Management (Uk) Ltd,05/01/2015,,,,,
1747510002040,"Office 219 At Suite 11, 2nd Flr Lowry Mill , Lees Street, Swinton, Manchester, M27 4AA",7700,Regus Management (Uk) Ltd,05/01/2015,,,,,
1747510002041,"Office 220 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",1225,Regus Management (Uk) Ltd,01/11/2016,,,,,
1747510002042,"Office 221 At Suite 11, 2nd Flr Lowry Mill , Lees Street, Swinton, Manchester, M27 4AA",1700,Regus Management (Uk) Ltd,05/01/2015,,,,,
1747510002043,"Office 222 At Suite 11, 2nd Flr Lowry Mill , Lees Street, Swinton, Manchester, M27 4AA",1700,Regus Management (Uk) Ltd,05/01/2015,,,,,
1747510002044,"Office 223 At Suite 11 , 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",1200,Regus Management (Uk) Ltd,05/01/2015,,,,,
1747510002045,"Office 224 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",1700,Regus Management (Uk) Ltd,05/01/2015,,,,,
1747510002046,"Office 225 At Suite 11, 2nd Flr Lowry Mill , Lees Street, Swinton, Manchester, M27 4AA",1675,Regus Management (Uk) Ltd,01/04/2017,,,,Empty,01/04/2017
1747510002047,"Office 238 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",1650,Regus Management (Uk) Ltd,01/04/2017,,,,Empty,01/04/2017
1747510002048,"Office 239 At Suite 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",1250,Regus Management (Uk) Ltd,05/01/2015,,,,Empty,01/05/2017
1747510002050,"Office 241 At Sutie 11, 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",1675,Regus Management (Uk) Ltd,05/01/2015,,,,Empty,05/01/2015
1747510002051,"Office 242 At Suite 11, 2nd Flr Lowry Mill , Lees Street, Swinton, Manchester, M27 4AA",1250,Regus Management (Uk) Ltd,05/01/2015,,,,,
1747510002052,"Office 243 At Suite 11, 2nd Flr Lowry Mill , Lees Street, Swinton, Manchester, M27 4AA",1650,Regus Management (Uk) Ltd,01/01/2017,,,,Empty,01/01/2017
M20005A0270005,"Car Space No 27 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Regus Management Uk Limited,26/10/1998,,,,Empty,01/04/2011
M20005A0280079,"Car Space No 28 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Regus Management Uk Limited,26/10/1998,,,,Empty,01/04/2011
M20005A0290009,"Car Space No 29 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Regus Management Uk Limited,26/10/1998,,,,Empty,01/04/2011
535720000598,"Rehau Ltd, Northbank Industrial Estate, Brinell Drive, Irlam, Manchester, M44 5BL",159000,Rehau Limited,12/12/1996,,,,,
965670199034,"Car Space (1) Reich Group Ltd , Griffin Court, 199/201 Chapel Street, Salford, M3 5EQ",800,Reich Insurance Brokers,26/04/2011,,,,,
965670199121,"Car Spaces (3) Street Design, Griffin Court, 199/201 Chapel Street, Salford, M3 5EQ",2400,Reich Insurance Brokers,26/04/2011,,,,,
0119270004700A,"Unit 47 Willan Industrial Estate,, Vere Street, Salford, M50 2GR",5300,Reliatech Systems Limited,04/11/2016,Small Business Relief England,,,,
1203130026048,"Room 110, Salford Innovation Forum, Winders Way, Salford, M6 6AR",2250,Remtek Systems Limited,01/07/2013,,,,,
1203130027049,"Room 111, Salford Innovation Forum, Winders Way, Salford, M6 6AR",2325,Remtek Systems Limited,01/07/2013,,,,,
1204660041123,"Units 41-43, Salford University Business Park, Leslie Hough Way, Salford, M6 6AJ",26000,Remtek Systems Ltd,01/04/2005,,,,,
974432000515,"Ad Right Maiden Gable 2, Collier Street, Trinity Way, Salford, M3 7BB",500,Renaker Build Limited,01/05/2016,,,,Empty,01/05/2016
968910005142,"Carillion, Greengate, Salford, M3 7NN",15750,Renaker Build Ltd,10/05/2016,,,,Empty,10/05/2016
964530000281,"Renault Uk Ltd T/A Renault Manchester, Blackfriars Road, Salford, M3 7FT",422500,Renault Uk Limited,12/12/2008,,,,,
2277310050011,"Gnd Floor Suite 2 The Granary , 50, Barton Road, Worsley, Manchester, M28 2PB",14750,Rescom Ltd,03/01/2016,,,,,
10818100010103,"A 12.06, Block A, Wilburn Basin, Ordsall Lane, Salford, Manchester, M5 4XP",1150,Residential Estates Limited,05/12/2016,,,,,
0108495000112B,"Resistance Technology Ltd, Worrall Street, Salford, M5 4TH",13000,Resistance Technology Ltd,01/11/1993,Small Business Relief England,,,,
1186130217135,"Suite A, 1st Floor, Osprey House, 217/227 Broadway, Salford, M50 2UE",19500,Resource & Environ. Consults. Ltd,04/09/2006,,,,,
1186130227003,"Car Spaces 50-69 Osprey House , 217/227, Broadway, Salford, M50 2UE",8000,Resource & Environ. Consults. Ltd,09/08/2013,,,,,
1186130227220,"Suite B 1st Flr Osprey House , 217/227, Broadway, Salford, M50 2UE",11750,Resource & Environ. Consults. Ltd,09/08/2013,,,,,
1186130227219,"Suite B Gnd Flr Osprey House, 217/227, Broadway, Salford, M50 2UE",32000,Resource And Enviromental Consultants Limited,18/07/2016,,,,,
1191850000034,"Unit M3, Cody Court, Kansas Avenue, Salford, ",9500,Resource And Environmental Consultants Ltd,19/08/2011,,,,,
972900033312,"Suite 3b, Delphian House, New Bailey Street, Salford, M3 5FS",25250,Resource Solutions Limited,20/01/2017,,,,,
972900055203,"6th Floor, Delphian House, New Bailey Street, Salford, M3 4AA",51000,Resource Solutions Limited,30/10/2015,,,,,
1190850004718,"Car Spaces 81-83 Furness House , Furness Quay, Trafford Road, Salford, M50 3XA",1200,Responsetap Ltd,02/07/2012,,,,,
1192050080725,"Suites 7.2 & 7.3 Pt 7th Flr, Building 8, Trafford Road, Exchange Quay, Salford, M5 3EQ",78500,Responsetap Ltd,30/11/2016,,,,,
80000200520006,"Car Space No 52, P1 Upper Level, Building 8, Exchange Quay, Trafford Road, M5 3EJ",500,Responsetap Ltd,29/11/2016,,,,,
80000200740001,"Car Space No 74, P1 Upper Level, Building 8, Exchange Quay, Trafford Road, M5 3EJ",500,Responsetap Ltd,29/11/2016,,,,,
80000200750003,"Car Space No 75, P1 Upper Level, Building 8, Exchange Quay, Trafford Road, M5 3EJ",500,Responsetap Ltd,29/11/2016,,,,,
80000200760005,"Car Space No 76, P1 Upper Level, Building 8, Exchange Quay, Trafford Road, M5 3EJ",500,Responsetap Ltd,29/11/2016,,,,,
80000200770007,"Car Space No 77, P1 Upper Level, Building 8, Exchange Quay, Trafford Road, M5 3EJ",500,Responsetap Ltd,29/11/2016,,,,,
80000200780009,"Car Space No 78, P1 Upper Level, Building 8, Exchange Quay, Trafford Road, M5 3EJ",500,Responsetap Ltd,29/11/2016,,,,,
8000020079000B,"Car Space No 79, P1 Upper Level, Building 8, Exchange Quay, Trafford Road, M5 3EJ",500,Responsetap Ltd,29/11/2016,,,,,
80000200800005,"Car Space No 80, P1 Upper Level, Building 8, Exchange Quay, Trafford Road, M5 3EJ",500,Responsetap Ltd,29/11/2016,,,,,
1855660012233,"2, Overman Way, Swinton, Manchester, M27 8UQ",210000,Restore Scan Limited,09/07/2010,,,,,
1856610004000,"Squirrel Storage Unit 4, Agecroft Commerce Park, Tally Close, Agecroft Road, Swinton, Manchester, M27 8WJ",255000,Restore Scan Limited,09/07/2010,,,,,
426350007101,"Unit 8, Fairhills Industrial Estate, Woodrow Road, Irlam, Manchester, M44 6BA",45250,Restore Shred Limited,18/07/2015,,,,,
855630013033,"Unit 13 Broughton Trade Centre, 95-103, Broughton Lane, Salford, ",0,Restways Limited T/A Cosmetics Plus,01/06/1998,,,,,
0085563001404B,"Unit 14 Broughton Trade Centre, 95-103, Broughton Lane, Salford, ",0,Restways Limited T/A Cosmetics Plus,01/06/1998,,,,,
974430104453,"Gnd Flr 4, The Cottages, Deva Centre, Trinity Way, Salford, M3 7BE",11750,Retail Property Investments Limited,24/06/2013,,,,,
974432010248,"1st & 2nd Flrs 4, The Cottages, Deva Centre, Trinity Way, Salford, M3 7BE",19750,Retail Property Investments Limited,30/07/2001,,,,,
2282650007733,"Retirement Professionals, Pt Gnd Flr Front 7, Memorial Road, Worsley, Manchester, M28 3AQ",4950,Retirement Professionals Ltd,01/06/2015,Small Business Relief England,,,,
107090072006,"72, Rocky Lane, Eccles, Manchester, M30 9LY",10500,Revive Dental Care Ltd,01/01/2015,,,,,
964350002018,"2, Bexley Square, Salford, M3 6BZ",12250,Revive Dental Care Ltd,01/01/2015,,,,,
1745890318000,"318,  , East Lancashire Road, Swinton, Manchester, M27 0LJ",8000,Revive Dental Care Ltd,11/12/2012,,,,,
1191712345261,"Unit 1, Walker House, Sovereign Enterprise Park, King William Street, M50 3UP",5500,Rfci Limited,01/08/2013,Small Business Relief England,,,,
1082490010022,"Suite A2 Westwood House, Greenwood Business Centre, Regent Road, Salford, M5 4EH",6900,Rgis Inventory Specialists Ltd,14/12/2011,,,,,
1082491000003,"Car Space 3, Greenwood Business Centre, Regent Road, Salford, M5 4EH",400,Rgis Inventory Specialists Ltd,07/01/2015,,,,,
1082491000004,"Car Space 4, Greenwood Business Centre, Regent Road, Salford, M5 4EH",400,Rgis Inventory Specialists Ltd,07/01/2015,,,,,
1082491000078,"Car Space 77, Greenwood Business Centre, Regent Road, Salford, M5 4EH",400,Rgis Inventory Specialists Ltd,07/01/2015,,,,,
1192700008005,"Unit 8 Willan Industrial Estate, Vere Street, Salford, M50 2GR",9000,Rhino Peak Ltd,30/01/2014,Small Business Relief England,,,,
531900000024,"Richard Austin Alloys (Nw) Ltd, Northbank Industrial Estate, Bessemer Road, Irlam, Manchester, M44 5BF",65500,Richard Austin Alloys (North West) Limited,17/03/1997,,,,,
1187690659020,"Unit 2, 659 Eccles New Road, Salford, M50 1AY",30500,Richard Butler & Co. Ltd.,01/11/2012,,,,,
1186901010021,"F21, The Designer Outlet, The Quays, Salford, M50 1DL",19500,Richard Haworth Ltd,24/10/2014,,,,,
1186901012020,"F20, The Designer Outlet, The Quays, Salford, M50 1DL",17000,Richard Haworth Ltd,24/10/2014,,,,,
1965750001019,"Steely Products, Smithfold Lane, Worsley, Manchester, ",37000,Richardson & Company Steely Products) Ltd,02/08/1993,,,,,
0196575000156A,"Spotono Eng Ltd Vulcan Works, Smithfold Lane, Little Hulton, Manchester, ",15000,Richardson & Company Steely Products) Ltd,30/11/2016,,,,,
1421580009011,"Unit 5, Westlink Business Park, James Corbett Road, Salford, M50 1DE",40750,Rico Logistics Ltd,14/06/2005,,,,,
1192050081332,"Suite 5.2  Pt 5th Floor, 8, Exchange Quay, Trafford Road, Salford, M5 3EQ",46750,Rider Levett Bucknall Uk Ltd,01/09/2008,,,,,
968910086001,"Unit 1b Abito, 85, Greengate, Salford, M3 7WL",33000,Ridge And Partners Llp,01/04/2016,,,,,
104810160090,"106/108, Liverpool Road, Eccles, Manchester, M30 0QN",5300,Right Carpet (Mb)Limited,15/10/2012,Small Business Relief England,,,,
1201630076039,"Unit 3, 76, Broughton Road, Salford, ",5100,Right Carpet Uk Ltd,01/03/2012,Small Business Relief England,,,,
458090621009,"Vacant Pt 1st Flr, 621-629, Liverpool Road, Irlam, Manchester, M44 5BE",4700,Right Move Properties Limited,01/09/2015,,EPRN,01/12/2015,,
1962090015876,"Unit 19a/19b, Oakhill Trading Estate, Devonshire Road, Worsley, Manchester, M28 3PT",0,Righton Ltd,01/04/1992,,,,,
1526630323008,"323, Bolton Road, Salford, M6 7GU",6100,Rightroad Limited,24/04/2010,Small Business Relief England,,,,
637710423702,"419, Bury New Road, Salford, M7 0ED",7500,Rimonov Limited,01/09/2015,,,,,
2284150009009,"1st Floor, 9/14 Standfield Shopping Centre, Simpson Road, Worsley, Manchester, M28 1LY",23750,Ristorante Vesuvio Lrd,01/11/2013,,,,,
431140001600,"Unit 16, Thames Trading Centre, Woodrow Way, Irlam, M44 6BP",8800,Riverford On Home Farm Limited,31/05/2016,,,,,
971490019012,"Baskerville House, Gnd Flr 19 New Bailey Street, Salford, M3 5FS",8500,Riverside Grooming Limited,17/10/2013,Small Business Relief England,,,,
963090002525,"Unit 2, Adelphi Street, Salford, M3 6AE",1275,Riverside Reclamation Ltd,01/04/2013,,,,Empty,01/04/2013
859470000001,"Riverview Primary School , 1, Wheaters Street, Salford, M7 1QZ",159000,Riverview Primary School,01/09/2011,,,,,
1965750001555,"C H Rewinds Ltd, Smithfold Lane, Little Hulton, Manchester, M38 0AR",55000,Rjw Engineering (Manchester) Ltd,03/11/1997,,,,,
2277310013021,"17-21, Barton Road, Worsley, Manchester, M28 2PD",39250,Rkb Ventures Ltd,15/10/2013,,,,,
975150006518,"Arch 32a, At 2/4, Viaduct Street, Salford, M3 4NN",16500,Rm Fitness Ltd,01/06/2015,,,,,
1749490000308,"Grafix House , 6, Boundary Road , Swinton , Manchester , M27 4EQ",250000,Rms International Limited,19/01/2016,,,,,
1532030059016,"59, Russell Road, Salford, M6 8WQ",3100,Rndm Retail Limited,01/04/2012,,,,,
641130003002,"3, King Edwards Buildings, Bury Old Road, Salford, M8 4QJ",12750,Robert Glass Opticians Ltd,23/07/1999,Small Business Relief England,,,,
1642390020025,"1st Floor Colgran Lodge , 20, Worsley Road, Swinton, Manchester, M27 5WN",7400,Robert Graham Trustees Ltd,01/02/2016,,EPRN,01/05/2016,,
976830099112,"Peugoet Garage, 99, Windsor Street, Salford, M5 4DG",300000,Robins And Day Ltd,20/10/2008,,,,,
1170660004017,"17, Quays Reach, Carolina Way, Salford, M50 2ZY",257500,Robinson Way Ltd,26/09/2009,,,,,
0118907003800B,"38, Kansas Avenue, Salford, M5 2gl, ",11750,Robinsons Preservation Limited,18/05/2001,Small Business Relief England,,,,
96570810922,"Bst, 81-83, Chapel Street, Salford, M3 5DF",880,Rocp Ltd,19/10/2009,,,,Empty,19/10/2009
2169760254538,"St Marks Tennis Club, Beesley Green, Worsley, Manchester, M28 2QW",1625,Roe Green  Tennis Club,01/04/1992,Small Business Relief England,,,,
2169760254523,"Roe Green Bowling And Social Club, Beesley Green, Worsley, Manchester, M28 2QW",1100,Roe Green Bowling And Social Club,01/04/1992,Small Business Relief England,,,,
108890020014,"Cambridge Grove Filling Station ,  ,  , Wellington Road, Eccles, Manchester, M30 9AA",80000,Roked Filling Stations Ltd,05/04/2011,,,,,
1186900004305,"G43,, The Designer Outlet, The Quays, Salford, M5 2DL",50500,Roman Originals Plc,03/04/2017,,,,,
972900033600,"Suite 3.6 Delphian House , New Bailey Street, Salford, M3 5FS",12250,Romero Insurance Brokers Limited,06/10/2014,,,,,
