Organisation Name,Effective Date,Service,Supplier Name,Payment Date,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,5073.8,DIRECT PAYMENTS,V000877707
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1383.04,DIRECT PAYMENTS,V000877708
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,714.4,DIRECT PAYMENTS,V000877709
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,708.28,DIRECT PAYMENTS,V000877710
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1645.36,DIRECT PAYMENTS,V000877711
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,3187.72,DIRECT PAYMENTS,V000877712
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,938.08,DIRECT PAYMENTS,V000877713
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,986.88,DIRECT PAYMENTS,V000877714
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,787,DIRECT PAYMENTS,V000877715
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,4970.72,DIRECT PAYMENTS,V000877716
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,764.8,DIRECT PAYMENTS,V000877717
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,871.04,DIRECT PAYMENTS,V000877718
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,2652,DIRECT PAYMENTS,V000877719
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,625.04,DIRECT PAYMENTS,V000877721
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,622.48,DIRECT PAYMENTS,V000877723
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,791.64,DIRECT PAYMENTS,V000877725
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,746.76,DIRECT PAYMENTS,V000877726
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,1397.48,DIRECT PAYMENTS,V000877727
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,2134,DIRECT PAYMENTS,V000877728
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1666.12,DIRECT PAYMENTS,V000877729
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,716.92,DIRECT PAYMENTS,V000877730
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,2809.32,DIRECT PAYMENTS,V000877731
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1107.48,DIRECT PAYMENTS,V000877732
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,630.2,DIRECT PAYMENTS,V000877733
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,511.8,DIRECT PAYMENTS,V000877735
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,871.36,DIRECT PAYMENTS,V000877736
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,886.32,DIRECT PAYMENTS,V000877739
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,789,DIRECT PAYMENTS,V000877740
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,1908,DIRECT PAYMENTS,V000877742
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,1102.76,DIRECT PAYMENTS,V000877745
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1416.24,DIRECT PAYMENTS,V000877749
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,564.12,DIRECT PAYMENTS,V000877750
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,773.68,DIRECT PAYMENTS,V000877751
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,1408.08,DIRECT PAYMENTS,V000877752
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,556.28,DIRECT PAYMENTS,V000877753
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,571.92,DIRECT PAYMENTS,V000877754
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,2258.96,DIRECT PAYMENTS,V000877756
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,2738.04,DIRECT PAYMENTS,V000877757
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,536.64,DIRECT PAYMENTS,V000877758
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,1118.76,DIRECT PAYMENTS,V000877759
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,940.28,DIRECT PAYMENTS,V000877760
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,684.96,DIRECT PAYMENTS,V000877762
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,547.8,DIRECT PAYMENTS,V000877769
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,954.72,DIRECT PAYMENTS,V000877772
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,795.8,DIRECT PAYMENTS,V000877773
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,558.68,DIRECT PAYMENTS,V000877774
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,926,DIRECT PAYMENTS,V000877775
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,970.2,DIRECT PAYMENTS,V000877776
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1168.56,DIRECT PAYMENTS,V000877778
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,544.2,DIRECT PAYMENTS,V000877780
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,795.92,DIRECT PAYMENTS,V000877784
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,656,DIRECT PAYMENTS,V000877785
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,615.4,DIRECT PAYMENTS,V000877787
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,609.44,DIRECT PAYMENTS,V000877788
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,974.6,DIRECT PAYMENTS,V000877789
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,925.92,DIRECT PAYMENTS,V000877790
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1786.36,DIRECT PAYMENTS,V000877795
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,507.56,DIRECT PAYMENTS,V000877796
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,597.4,DIRECT PAYMENTS,V000877797
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,584.8,DIRECT PAYMENTS,V000877798
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1036.8,DIRECT PAYMENTS,V000877800
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,2099.52,DIRECT PAYMENTS,V000877802
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,825.84,DIRECT PAYMENTS,V000877807
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,774.08,DIRECT PAYMENTS,V000877808
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1014.04,DIRECT PAYMENTS,V000877809
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1227.04,DIRECT PAYMENTS,V000877810
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,1254.68,DIRECT PAYMENTS,V000877811
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,1102.56,DIRECT PAYMENTS,V000877813
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,683.84,DIRECT PAYMENTS,V000877815
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,854.12,DIRECT PAYMENTS,V000877820
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,589.52,DIRECT PAYMENTS,V000877822
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,2342.2,DIRECT PAYMENTS,V000877823
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1740.6,DIRECT PAYMENTS,V000877824
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,840,DIRECT PAYMENTS,V000877825
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,720.88,DIRECT PAYMENTS,V000877826
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,917.28,DIRECT PAYMENTS,V000877827
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,1354.16,DIRECT PAYMENTS,V000877828
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,772,DIRECT PAYMENTS,V000877829
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,541.88,DIRECT PAYMENTS,V000877830
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1024,DIRECT PAYMENTS,V000877833
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1576.48,DIRECT PAYMENTS,V000877834
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,658.56,DIRECT PAYMENTS,V000877835
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,899.36,DIRECT PAYMENTS,V000877836
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,650.84,DIRECT PAYMENTS,V000877837
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,819.96,DIRECT PAYMENTS,V000877839
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,738,DIRECT PAYMENTS,V000877841
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,967.88,DIRECT PAYMENTS,V000877842
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1000,DIRECT PAYMENTS,V000877843
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,842.12,DIRECT PAYMENTS,V000877844
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1067.36,DIRECT PAYMENTS,V000877845
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,1274.84,DIRECT PAYMENTS,V000877846
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,684.64,DIRECT PAYMENTS,V000877851
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,579.44,DIRECT PAYMENTS,V000877852
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,912,DIRECT PAYMENTS,V000877854
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1341.68,DIRECT PAYMENTS,V000877856
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1056.32,DIRECT PAYMENTS,V000877857
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,3009.16,DIRECT PAYMENTS,V000877858
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,827.72,DIRECT PAYMENTS,V000877860
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,603.36,DIRECT PAYMENTS,V000877861
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,3914.84,DIRECT PAYMENTS,V000877862
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,612,DIRECT PAYMENTS,V000877863
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,715.36,DIRECT PAYMENTS,V000877864
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,911.4,DIRECT PAYMENTS,V000877865
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,2126.64,DIRECT PAYMENTS,V000877866
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1875.52,DIRECT PAYMENTS,V000877870
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,1096.12,DIRECT PAYMENTS,V000877871
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,865.52,DIRECT PAYMENTS,V000877873
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,2566.36,DIRECT PAYMENTS,V000877874
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1678.64,DIRECT PAYMENTS,V000877875
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,1110.56,DIRECT PAYMENTS,V000877876
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,588.72,DIRECT PAYMENTS,V000877878
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1368.24,DIRECT PAYMENTS,V000877879
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1174.72,DIRECT PAYMENTS,V000877882
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,557.04,DIRECT PAYMENTS,V000877883
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1035.8,DIRECT PAYMENTS,V000877884
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1490.16,DIRECT PAYMENTS,V000877885
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,560.28,DIRECT PAYMENTS,V000877886
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,2884.56,DIRECT PAYMENTS,V000877888
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,667.92,DIRECT PAYMENTS,V000877889
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1425.68,DIRECT PAYMENTS,V000877890
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,2741.96,DIRECT PAYMENTS,V000877892
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,815.72,DIRECT PAYMENTS,V000877893
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,1067.08,DIRECT PAYMENTS,V000877894
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,804.48,DIRECT PAYMENTS,V000877895
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,616,DIRECT PAYMENTS,V000877896
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,704,DIRECT PAYMENTS,V000877900
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,914.84,DIRECT PAYMENTS,V000877901
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,698.24,DIRECT PAYMENTS,V000877904
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1320,DIRECT PAYMENTS,V000877905
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,669.92,DIRECT PAYMENTS,V000877908
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,530.64,DIRECT PAYMENTS,V000877910
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,1346.16,DIRECT PAYMENTS,V000877911
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,592.68,DIRECT PAYMENTS,V000877914
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,539.32,DIRECT PAYMENTS,V000877917
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,2273.04,DIRECT PAYMENTS,V000877919
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,1019.44,DIRECT PAYMENTS,V000877920
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,708.48,DIRECT PAYMENTS,V000877921
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,507.56,DIRECT PAYMENTS,V000877922
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,729.68,DIRECT PAYMENTS,V000877923
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,5719.2,DIRECT PAYMENTS,V000877925
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1328.14,DIRECT PAYMENTS,V000877926
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,5674.28,DIRECT PAYMENTS,V000877927
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1190.28,DIRECT PAYMENTS,V000877931
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,500,DIRECT PAYMENTS,V000877933
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,504,DIRECT PAYMENTS,V000877934
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,1412.88,DIRECT PAYMENTS,V000877938
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,3970.64,DIRECT PAYMENTS,V000877941
ROCHDALE BOROUGH COUNCIL,20/02/2015,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,20/02/2015,917.88,DIRECT PAYMENTS,V000877944
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/02/2015,808.56,DIRECT PAYMENTS,V000877946
